company,location,title,post_date,salary,description,url
Medidata Solutions,"New York, NY 10003",Executive Assistant ,12,," 
 Medidata: a great place to work; a great place to stay<br/>

Medidata is leading the digital transformation of life sciences with the world's most-used platform for clinical development, commercial and real-world data. Powered by artificial intelligence and delivered by #1 ranked industry experts, the Intelligent Platform for Life Sciences helps pharmaceutical, biotech, medical device companies and academic researchers accelerate value, minimize risk and optimize outcomes. Medidata serves more than 1,000 customers and partners worldwide and empowers more than 100,000 certified users every day to create hope for millions of patients. Discover the future of life sciences: www.mdsol.com<br/>
We know that diverse teams win and are fully committed to selecting leaders and employees that represent the markets in which we operate. We are still led by our Co-founders, Tarek Sherif and Glen de Vries, and have global operations in US, Europe and Asia with over 2000 employees.
Your Mission:
A seasoned, experienced professional with a full understanding of area of specialization; resolves a wide range of issues in creative ways. This job is the fully qualified, career-oriented, journey-level position.
Provides administrative support to an executive
Handles details of a highly confidential and critical nature
Collects and prepares information for use in discussions/meetings of executive staff and outside individuals
Prepares presentation materials for board of director meetings. Makes high-level contacts of a sensitive nature inside and outside the company
Works on problems of diverse scope where analysis of data requires evaluation of identifiable factors
Networks with senior internal and external personnel in own area of expertise
Normally receives little instruction on day-to-day work, general instructions on new assignments
#LI-DL1
Your Competencies:
Requires in-depth knowledge of company operations, policies, and procedures
Exercises judgment within generally defined practices and policies in selecting methods and techniques for obtaining solutions
Demonstrates good judgment in selecting methods and techniques for obtaining solutions
Your Education &amp; Experience:
Typically requires a minimum of 5 years of related experience with a Bachelor’s degree; or 3 years and a Master’s degree; or a PhD without experience; or equivalent work experience
Requires a professional certification or equivalent experience in working with senior level executives within and outside the company, as well as experience with customers, vendors, visitors, and other dignitaries
Medidata is making a real difference in the lives of patients everywhere by accelerating critical drug and medical device development, enabling life-saving drugs and medical devices to get to market faster. Our products sit at the convergence of the Technology and Life Sciences industries, one of most exciting areas for global innovation. Nine of the top 10 best-selling drugs in 2017 were developed on the Medidata platform.
Medidata’s solutions have powered over 14,000 clinical trials giving us the largest collection of clinical trial data in the world. With this asset, we pioneer innovative, advanced applications and intelligent data analytics, bringing an unmatched level of quality and efficiency to clinical trials enabling treatments to reach waiting patients sooner<br/>

Medidata Solutions, Inc. is an Equal Opportunity Employer. Medidata Solutions provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, age, disability status, protected veteran status, or any other characteristic protected by the law. Medidata Solutions complies with applicable state and local laws governing non-discrimination in employment in every location in which the company has facilities.<br/>

#LI-DL1 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDVgtNQlx7gS010H2f5C_uGZJFmZxuO5A0DL0uen0Gw2gO4SjVVFxtAHZmHtNV2Mojt7sJi-cgh1lzwjVQ2UkNowFVhRy0GrI_b7mrQGhog4ejA0lNs9iYskszHDRaelOVS0um3iAMLa08ev9dcudi1Ga9nbZBH2jIE1JHYSsibz3ofdFR16HNBbDwmpmY7xGHJmSqTLtxETo7endRBIPNaJAwdlv576QP_SuaYOEIk_tHKtU-_KiTGHYPoWki23PQXgKotwqK0e0VrOZrBuQ3rSLkdbK2_1Mk40bSCRW5GeCZqHgOoK56EwusZI9rwXVJ1dTa-j6DMlpt2RsLPeDDh9tBGVK5n4rsqCmhOFVqkQJ8GTsyTqj3AyvUZmikXgYrqqBst9suY0MJAO8Ht0L_CliQEMSj_FFjCDZX5KLChQCAP77O3Q716bDLvs1wyuR-Sg9zWVBR-lT5Y16I7J7Qt181IcMLfw8v-58D4oyT4laG9kvzxnbuHtRQmV3kPVAr9wQQRmX2uk7rrYsTJH6q_fcgcpeSaeVgXNZEn38_-WEFH0gdI0vvweAhPfrjizgbqhMV3gtL8A==&p=0&fvj=0&vjs=3
Ironpaper,"New York, NY",Content Specialist ,30+,," 
 We are hiring a full time Content Specialist in our New York, NY office. We are looking for a passionate writer and researcher who will create compelling content for niche B2B &amp; technology industries. This includes articles, website copy, homepage copy, ad copy, solution sheets, info sheets, and email copy.
All content creation should be well researched, so our ideal candidate should have experience conducting interviews with clients/stakeholders, using third-party research, reports, industry content, etc.
Our client accounts are primarily in the B2B technology space and include enterprise software, SaaS, IT, cloud, artificial intelligence, Internet of Things, telecom/wireless, digital transformation, marketing technology, and big data. Additional (non primary) industries may be covered, such as nonprofits.
Before applying please be sure you fit this criteria:
Ability to provide a writing portfolio that includes professional works. Business or Technology subjects preferred.
To work on location in our New York, NY office.
Must be a smart and lovely person that is passionate about their work.
Strong presentation, communication, writing, editing, and research skills.
Understanding of technology, digital, and business subjects.
Willing to learn the core concepts of Inbound Marketing.
<h4 class=""jobSectionHeader"">Responsibilities include:
Create strategic content including blog articles, third-party articles, eBooks, key messaging, interviews, sales collateral, whitepapers, and website copy.
Create client content strategies, plans, and messaging and client content strategy documents that frames content maps throughout the buyer's journey.
Create messaging and content for lead/opportunity nurturing programs for both the marketing and sales funnels.
Ability to quickly conduct research on industries and topics within the business and tech categories.
Working closely with client stakeholders and conveying fantastic interpersonal communication skills.
Provide thoughtful analysis of digital economies, information technology, cloud, B2B tech, and business transformation subjects.
Learn and understand Inbound Marketing methodology. 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DN2Dg6Iiz-Banyx2X5d5VtxT-jJ1oMXrU8FCvNXfjPPiLbix9YuldEy9NlDdSZnOg4L5xWPd_ZaesdUdKmO5u_Ue1olrcK8CJylY5aNulhn1_TY6GlKC-Uj4Ik3dclE4TF9O-EZlBo_fqWpj5cUmpXmwjljXTmSp1GYljz9Dc4j6gV4jBS4r9v_KbSH8GqdoZftmPAMIm3DthV12Z6ZBtvQRRxGUtb7_xI-YHgnFHpLPSRCmcekkak7mNvI6e1SZspV60Z3nDZef49Tt6mrj0lTF_v8gxtoeQ0oSxmLP8DZyPUBk3Ht30NIzD-1yFIanHWJ3Q2ubFdmAIPV4o2RbbV2JHAZ27_Z4RmZSbcaThEuUDGKPIVY9i-BmxWsfLZbm9DtBfNTm5Ag0G9N76xRKXzA2SOcRsdSQvw1tbBWX5zA_guDGnG7HfNBHbAjoYE9OWZbjNrRhrwtcFgsm26LXX_KORsMwWr2iGpNZ7o5cJsgDIVcGZR1t5L-YOOFxR7D5lPO23wsamsIa6NAYASZQLlXjoiQ1_MmYT-RueciM2AgkeSbA0YYEE2KbuWGpHwoyAB_bYYkXkF0tsvJXYFqnK3x6c9Vu0meqNcMEEEIaPbOej8C6iT--KALu8jyXMzUIdsU2NIc8KqTT3fottByc1yO03Lkenvor6qYbHExEe-68uMz2NOE8_s&p=1&fvj=0&vjs=3
Interactions LLC,"Bowling Green, NY 10004",Software Engineer ,30+,," 
 Job Description: 
 <br/> 
 
Headquartered in the Boston area, Interactions, LLC is the world’s largest independent AI company. We operate at the intersection of customer experience and AI – two of today’s most innovative and dynamic industries. Leading global brands in a variety of industries rely on Interaction’s conversational AI technology to communicate with their customers every day.
 
 <br/> 
 <br/> 
 
At Interactions we are committed to transforming customer experience and passionate about the professional and personal development of our talented and enthusiastic team. We endeavor to create opportunities that advance the skills, interests, careers and lives of our employees. Come join our growing team!
 
 <br/> 
 <br/> 
 
The Software Engineer plays a key role in designing and implementing novel technologies that enable
 
 <br/> 
 <br/> 
 
the creation of AI-enabled services for the food service vertical. The Software Engineer works in close
 
 <br/> 
 <br/> 
 
collaboration with researchers, product management, and engineering teams.
 
 <br/> 
 <br/> 
 
 
 Essential Job Functions: 
 <br/> 
 
 
 
Collaborate with research scientists on the design of novel first of a kind technologies and
 
 
services for the food services vertical.
 
 <br/> 
 <br/> 
 
 
 
Implement and iterate on proof of concept services and applications.
Work with research team to support customer trials and empirical evaluation of new
 
 
technologies and services.
 
 <br/> 
 <br/> 
 
 
 
Work closely with product management and engineering teams to bring differentiating
 
 
technologies into our award winning Intelligent Virtual Assistant platform.
 
 <br/> 
 <br/> 
 
 
 
Effectively communicate within and outside the team.
 
 
 
 Preparation, Knowledge, Skills and Abilities: 
 <br/> 
 
 
 
Bachelor’s Degree in Computer Science or related field.
Strong software background with expert proficiency Python.
At least three years professional experience in professional software development.
Experience developing for mobile platforms (iOS and/or Android)
Must have strong testing, debugging, and problem solving skills.
Comfortable in fast-paced innovation directed environment.
Willingness to pick up new skills quickly as needed.
 
 
 
 Pluses: 
 <br/> 
 
 
 
Advanced degree (Masters, PhD) in Computer Science or related field.
Prior experience with speech recognition technologies
Prior experience with natural language processing technologies
Prior experience building conversational and multimodal interactive systems
Prior experience more broadly with artificial intelligence and machine learning
Front web development experience (HTML, CSS, JS, Angular, React, Ember, Bootstrap, D3…)
 
 
",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DShQv7YytIw9goHnW8oIctyngQaCE4K9F-nlQhDGnH0Yjykzh7PPc6SVMp0UmcMlwfbxoCt5tWowRiFusBPlNbDD6EYcuTcykZ850rnER4r4DFjFva8k20UlIL21Ql4xSRDC3NycGKDglFWSpZGwIr2IEPbnjewnl5EG6yYpl5aVQMT9uNUoaU90VyIR1HDvkMNt0DqAzo2Ag49mgliKUS3IkFERE9Imgb72ShHsSWPgzPSQEbzJFHITvou6cJ6JaLi_IqUggPeRU_efLAQ8ARA18epAGa7O4xJX6zL2uhAsDzw-2YQ0QnqqKkTOLz9-7P5cxhy6fezmiJIDRioL4ElUc2pgolTFKq_P2LxoF_SkSTizyzB4ttP2IOx96rkoj1WvQZHxo9K6BK384F9gry_HQP9kP3og8hqiNV8qXf8RAHqLbG0K05ta9kvurxFYtvLNdeeg_uixk2fy9iJSvhTTSIEQ7JROaAUQCcfXHcU1Qi2Dhzz0iegGHiDVaPKvb7cXxRBQXUhbGzMhaG9o4W7b82V_-Y_b92QgisymUU-7kKdGM0ybIr&p=2&fvj=0&vjs=3
Medidata Solutions,"Iselin, NJ 08830",Inside Sales Account Executive ,21,," 
 Medidata is leading the digital transformation of life sciences with the world's most-used platform for clinical development, commercial and real-world data. Powered by artificial intelligence and delivered by #1 ranked industry experts, the Intelligent Platform for Life Sciences helps pharmaceutical, biotech, medical device companies and academic researchers accelerate value, minimize risk and optimize outcomes. Medidata serves more than 1,000 customers and partners worldwide and empowers more than 100,000 certified users every day to create hope for millions of patients. Discover the future of life sciences: www.mdsol.com
<br/>
<br/>
We know that diverse teams win and are fully committed to selecting leaders and employees that represent the markets in which we operate. We are still led by our Co-founders, Tarek Sherif and Glen de Vries, and have global operations in US, Europe and Asia with over 2000 employees.
<br/>
<br/>
Your Mission:
<br/>
<br/>
To achieve sales/revenue objectives in geographic or specifically-named account territories including identifying Professional Services sales opportunities, qualifying opportunities, and efficiently leveraging resources in order to bring opportunities to successful conclusion. In addition, he/she is responsible for working with your Inside Sales Account Executives and/or Regional/Global Account Manager counterparts to deliver sales presentations related to Professional Services to both new sales prospects and existing clients where applicable.
Place outbound calls to market to build relationships with contacts and garnish leads
Hunt for new professional services business opportunities in existing customer accounts
Educate prospects on Medidata and Medidata Professional Services offerings
Work with the Inside Sales Account Executives and VP’s of Professional Services to help manage the overall relationship and expectations with a sponsoring client or CRO from a professional services perspective for all services and deliverables across all Medidata functions
Present to all Inside Sales accounts new and existing where applicable all professional services offerings, methodologies and support structures to assist in bringing on new clients and expanding business in existing clients
Advise of any potential customer issues and new business opportunities
Actively team with sales organization and professional services org to ensure customer satisfaction
Support Strategic Services Account Manager’s study by study/velocity opportunities within individual territories as needed
Maintain records of correspondence in sales force automation tool
Maintain referenceable clients
Your Competencies:
Excellent verbal/written communication and organizational skills
Excellent computer skills, public speaking, presentation and teaching skills
Excellence with MS Office suite, Word, Excel and PowerPoint
Self-motivating, able to assume responsibility and work autonomously in a professional manner
Travel expectations up to 10 – 25 %, national / international
Valid driver’s license &amp; passport required
Your Education &amp; Experience:
Bachelor’s Degree in the Life Sciences, Business or Computer Science, or equivalent relevant experience
Requires a minimum of 1 year of field sales (Experience preferably in clinical or biomedical or software development environment)
Medidata is making a real difference in the lives of patients everywhere by accelerating critical drug and medical device development, enabling life-saving drugs and medical devices to get to market faster. Our products sit at the convergence of the Technology and Life Sciences industries, one of most exciting areas for global innovation. Nine of the top 10 best-selling drugs in 2017 were developed on the Medidata platform.
<br/>
<br/>
Medidata’s solutions have powered over 14,000 clinical trials giving us the largest collection of clinical trial data in the world. With this asset, we pioneer innovative, advanced applications and intelligent data analytics, bringing an unmatched level of quality and efficiency to clinical trials enabling treatments to reach waiting patients sooner.
<br/>
<br/>
Medidata Solutions, Inc. is an Equal Opportunity Employer. Medidata Solutions provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity, national origin, age, disability status, protected veteran status, or any other characteristic protected by the law. Medidata Solutions complies with applicable state and local laws governing non-discrimination in employment in every location in which the company has facilities.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2LP6KtwgLMWcIJbzQK4y118hUYa2NHT0ELzb4aR6nDrO9_32R0LtaSt14Qp6V3_jhKj1ey8EEO8USlPyZLwenfj5uCDkfnrvbguJQ0ou8knKguXSWMsEbzojWi8AepkCkeKzaebsyjjBlYOUWN5S_7NuxXk78rZkvu4uCxvXV66i6X_gtPA9eqUP8P6X3ebVqywKg-MncHoYmeOPvkfaQd_SPUr-ApEB3H2Y1lwuDPCNhbtKTKn4NJOnKG6G0KQnS_YPZiDn1r3fTfezBFggBsMYkLlMkwza6i2_-L_dA1COtMsPHH3vjbZTz82KJCVYE3IIM6XRjUIyfHqe_Ov3-7n5W5KCmlx1oRLdf2F1YQOJFfbDTMiHTqLGT1flJENHSKbeBIkrSZTz8kC02NHifONPBFX0RUoUonVzSds-JWPr8qFqpiEQg&p=3&fvj=0&vjs=3
Yewno,"New York, NY",Alternative Data Research Analyst ,12,," 
 About us
 
 <br/> 
 Yewno is an emerging high-tech company based in Silicon Valley, focused on
 
 <br/> 
 an innovative platform that provides insights and answers to the complexity
 
 <br/> 
 of ever-growing information. We are an accomplished team of alums from top
 
 <br/> 
 universities and industry leaders, and our managers have track records of
 
 <br/> 
 billion-dollar exits.
 
 <br/> 
 The company has successfully launched a portfolio of products and services,
 
 <br/> 
 including an intelligent framework based on a stack of Artificial Intelligence
 
 <br/> 
 algorithms that digest a multitude of data sources, both structured and
 
 <br/> 
 unstructured, and extract financial, economic, political and social indicators,
 
 <br/> 
 alongside the semantic explanatory rationale describing any given event.
 
 <br/> 
 Such a portfolio of services gives influential decision makers, researchers and
 
 <br/> 
 analysts a critical edge by connecting them to a dynamic network of
 
 <br/> 
 information. Yewno has a range of customers in the education sector
 
 <br/> 
 including some of the top research institutions across the US, UK and Europe.
 
 <br/> 
 We offer a fun working environment with sharp, motivated colleagues, and
 
 <br/> 
 <br/> 
 
 
 great benefits: 
 <br/> 
 
 
 
Competitive salary and stock options
Medical, Dental, and Vision
Company-covered life insurance
401(k) Plan
15 days vacation
 
 
Core Responsibilities
 
 <br/> 
 
Perform research and identify unique alternative datasets relevant to financial services applications;
Perform data validation further assessing validity, novelty and quality of the
 
 
dataset;
 
 <br/> 
 
Design and implement use cases for alternative datasets.
 
 
Yewno Inc +1 (650) 549-8257
 
 <br/> 
 12E 49th Street, 17th FL., NYC, 10017 www.yewno.com
 
 <br/> 
 Qualifications
 
 <br/> 
 
Attitude to thrive in a fast-paced start-up environment;
Degree in quantitative discipline such as finance, math, statistics,
 
 
engineering, economics, computer science, or hard sciences;
 
 <br/> 
 
Demonstrated experience in researching and developing data-driven
 
 
products;
 
 <br/> 
 
Solid programming skills in programming languages such as R and Python;
Excellent written and verbal communication skills. Must be able to explain
 
 
complex and/or technical matters clearly, accurately, and simply.
 
 <br/> 
 
While financial industry experience is a plus, we are open-minded in our
 
 
search for critical thinkers who are passionate about technology and data.
 
 <br/> 
 If you are interested in applying, please send your resume to hr@yewno.com",https://www.indeed.com/rc/clk?jk=a2181c15cb86cc5e&fccid=ff513d4351456de2&vjs=3
Microsoft,"New York, NY 10022",Research Intern,30+,," 
 Empower every person and organization on the planet to achieve more. That’s what inspires us, drives our work, and pushes us to challenge the status quo every day. At Microsoft, we also work to empower our employees, so they can achieve more. We believe we should each find meaning in our work and we ensure employees have the freedom and the reach to help make a difference in the world.<br/>

Microsoft Research provides a dynamic environment for research careers with a network of world-class research labs led by globally-recognized scientists and engineers. Our researchers and engineers pursue innovation in a range of scientific and technical disciplines to help solve complex challenges in diverse fields, including computing, healthcare, economics, and the environment.<h2 class=""jobSectionHeader"">
Responsibilities
Interns put inquiry and theory into practice. Alongside some of the world’s best researchers and practitioners, interns learn, collaborate, and network for life. Interns not only advance their own careers, but they also contribute to exciting research and development strides. During the 12-week internship, interns will be paired with mentors and expected to collaborate with other interns, researchers and product teams on key problems in responsible AI development and ethics and advance the state-of-the-art in practice.<h2 class=""jobSectionHeader"">
Qualifications
Required Qualifications<br/>

Must be currently enrolled in an undergraduate or PhD program in Computer Science or a related STEM field.<br/>
Preferred Qualifications<br/>

Must be able to collaborate effectively with other researchers and product development teams.
Excellent interpersonal skills, cross-group, and cross-culture collaboration.
Ability to think unconventionally to derive creative and innovative solutions.
2+ years of experience working on data, machine learning or artificial intelligence related research or products<br/>

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.<br/>

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",https://www.indeed.com/rc/clk?jk=b723b4ef9aee0b2d&fccid=734cb5a01ee60f80&vjs=3
Google,"New York, NY 10011",Research Intern ,30+,," 
 To start the application process, you will need an updated CV or resume and a current unofficial or official transcript in English. Click on the “Apply” button on this page and provide the required materials in the appropriate sections (PDFs preferred):

1. In the “Resume Section:” attach an updated CV or resume.
2. In the “Education Section:” attach a current or recent unofficial or official transcript in English.
Under “Degree Status,” select “Now attending” to upload a transcript.<br/>
Note: By applying to this position your application is automatically submitted to the following locations: Ann Arbor, MI, USA; Boulder, CO, USA; Cambridge, MA, USA; Chicago, IL, USA; Kirkland, WA, USA; Los Angeles, CA, USA; Mountain View, CA, USA; Madison, WI, USA; New York, NY, USA; Chapel Hill, NC, USA; Portland, OR, USA; Pittsburgh, PA, USA; San Bruno, CA, USA; Seattle, WA, USA; San Francisco, CA, USA; Sunnyvale, CA, USA; Washington, DC, USA
Minimum qualifications:
Must be currently enrolled in a BS, MS or PhD degree program in Computer Science, Linguistics, Computational Linguistics, Statistics, Biostatistics, Applied Mathematics, Operations Research, Economics, Natural Sciences including Biomedical, Chemistry, Materials Science, Physical Modeling, Physics and Scientific Computing or a related technical field or equivalent practical experience.
Experience (classroom or work related) in one or more areas of computer science, such as Natural Language Understanding, Neural Networks, Computer Vision, Machine Learning, Deep Learning, Algorithmic Foundations of Optimization, Data Science, Privacy, Trust &amp; Safety, Software Engineering, Programming Languages, Distributed Systems, Human Computer Interaction, Networking,Operating Systems, Computer Architecture, Data Mining and/or Machine Intelligence (Artificial Intelligence).
Experience with one or more general purpose programming languages including: C/C++, Java, MATLAB, Go or Python.
<br/>
Preferred qualifications:

Returning to a degree program after completion of the internship.
Relevant work experience, including internships, full time industry experience or as a researcher in a lab.
Ability to design and execute a research agenda.
Contribution to research communities and/or efforts, including publishing papers (i.e. being listed as author) in major conferences or journals.
<h2 class=""jobSectionHeader"">About the job
Research happens across Google everyday, in many different teams. Our research has already impacted user-facing services across Google including Search, Maps and Google Now, and is central to the success of Google Cloud and our planet-scale computing, storage, and networking infrastructure.

We do research differently here. Research Interns aren't cloistered in the lab, but instead they work closely with Software Engineers to discover, invent, and build at the largest scale. Ideas may come from internal projects as well as from collaborations with research programs at partner universities and technical institutes all over the world. From creating experiments and prototyping implementations to designing new architectures, Research Interns and Software Engineers work on challenges in artificial intelligence, machine perception, data mining, machine learning, natural language understanding, privacy, computer architecture, networking, operating systems, storage and data management, and much more. You might also stay connected to your research roots as a contributor to the wider research community by publishing papers.

There is always more information out there, and our research teams have a quest to find new ways to make it accessible and useful. We're constantly refining our signature search engine to provide better results, expanding the scope and utility of our data-analytics systems, enhancing our Cloud applications and infrastructure, among a broad range of other Google products.
Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.<h2 class=""jobSectionHeader"">
Responsibilities
Participate in cutting edge research to develop solutions for real-world, large-scale problems.
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form.",https://www.indeed.com/rc/clk?jk=d15cfed2417d39b1&fccid=a5b4499d9e91a5c6&vjs=3
Facebook,"New York, NY 10017",Research Scientist (AI) ,30+,," 
 Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started.
Facebook is seeking a Research Scientist to join Facebook AI Research (FAIR), a research organization focused on making significant progress in AI. Individuals in this role are expected to be recognized experts in identified research areas such as artificial intelligence, machine learning, computational statistics, and applied mathematics, particularly including areas such as deep learning, graphical models, reinforcement learning, computer perception, natural language processing and data representation. The ideal candidate will have a keen interest in producing new science to understand intelligence and technology to make computers more intelligent. To learn more about our research, visit https://research.facebook.com (https://research.facebook.com/).
RESPONSIBILITIES
Lead research to advance the science and technology of intelligent machines.
Lead research that enables learning the semantics of data (images, video, text, audio, speech and other modalities).
Devise better data-driven models of human behavior.
Work towards long-term ambitious research goals, while identifying intermediate milestones.
Influence progress of relevant research communities by producing publications.
Contribute research that can be applied to Facebook product development.
Lead and collaborate on research projects within a globally based team.
MINIMUM QUALIFICATIONS
Currently holding a faculty, industry, or government researcher position.
Ph.D. and publications in machine learning, AI, computer science, statistics, applied mathematics, data science, or related technical fields.
Experience leading a team in solving analytical problems using quantitative approaches.
Experience manipulating and analyzing data from different sources.
Experience in theoretical and empirical research and for answering questions with research.
Ability to communicate research for public audiences of peers.
Knowledge in a programming language.
Ability to obtain and maintain work authorization in the country of employment in 2018.
PREFERRED QUALIFICATIONS
1+ year(s) of work experience in a university, industry, or government lab(s), in a role with primary emphasis on AI research.
Experience driving original scholarship in collaboration with a team.
First-author publications at peer-reviewed AI conferences (e.g. NIPS, CVPR, ICML, ICLR, ICCV, and ACL).
Experience in developing and debugging in C/C++, Python, C# and/or Java.
Facebook is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com.",https://www.indeed.com/rc/clk?jk=e6a57f015b01d83e&fccid=1639254ea84748b5&vjs=3
Google,"New York, NY 10011","Creative Writer, Google Assistant International ",30+,," 
 Minimum qualifications:

5 years of experience as a writer for consumers.
Experience writing dialogue for plays/screenplays, fiction/interactive fiction, and/or comedy/entertainment, journalism.
Ability to speak and write fluently and idiomatically in one of the following languages: German, Portuguese (Brazil), English (UK).
<br/>
Preferred qualifications:

Bachelor's degree in Creative Writing or equivalent practical experience.
Experience and interest in product and game design and artificial intelligence.
Passion for pop-culture and current news.
<h2 class=""jobSectionHeader"">About the job
As part of the editorial team you are responsible for end-to-end, brand-right delivery of promotion for our partners. You oversee and deliver the creative for a designated number of markets, ensuring that the copy and images adhere to our guidelines while accurately representing our business partners. You work with agencies and/or freelancers to ensure high quality output, and you are responsible for the total package of the promotions (copy and image) in your markets. You are able to write and/ or prepare the images yourself for time-sensitive needs.
In this role, you will join a team creating fun content for the Google Assistant. You will contribute experience writing for a character for film, TV, video game, or comic book and can deliver a joke that can make anyone smile. The Google Assistant Personality team is dedicated to bringing a bit of fun and a human touch to people interacting with the Google Assistant through our products. As a Creative Writer, you will work closely with international Creative Leads in adapting the Google Assistant persona for your region. You will be writing dialogue and curating a wide range of content including jokes, quotes, fun facts, and games making sure it all feels natural for the market.
User experience is at the forefront of how we create intuitive, innovative, and beautiful products that people love. We strive to learn and understand our users’ needs, behaviors, and emotions to gather insights that inform product strategy and design. Our UX teams include designers, researchers, content strategists, and engineers who are passionate about quality, usability, and simplicity. We work on collaborative teams to solve complex challenges and craft experiences that highlight our products’ unique capabilities and personalities. Our work touches billions while exemplifying a key principle that is core to Google’s philosophy: “Focus on the user and all else will follow.”<h2 class=""jobSectionHeader"">
Responsibilities
Write and edit dialogue in relation to user interaction and character development.
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form.",https://www.indeed.com/rc/clk?jk=e3d4952521563baf&fccid=a5b4499d9e91a5c6&vjs=3
Facebook,"New York, NY 10017","Research Engineer, AI (University Grad) ",30+,," 
 Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started.
In this role, you will embed deeply with researchers at Facebook AI Research (FAIR) and develop experiments and prototypes at the frontier of AI Research. You will need to engage with research topics and cover new domains quickly; build deep expertise with Facebook data and tools; apply high standards to the research code around you and develop an ability to identify highly impactful projects in a complex and unexplored domain. You will gain valuable experience in artificial intelligence and AI, publish academic papers and help push forward the understanding of learning and intelligent systems. To learn more about our research, visit https://research.facebook.com (https://research.facebook.com/).
RESPONSIBILITIES
Develop highly scalable algorithms based on state-of-the-art machine learning and neural network methodologies.
Collaborate with Facebook AI Research (FAIR) Scientists to facilitate research that enables learning the semantics of data (images, video, text, audio, and other modalities).
Apply knowledge of relevant research domains along with expert coding skills to platform and framework development projects.
Adapt machine learning and neural network algorithms and architectures to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU).
MINIMUM QUALIFICATIONS
Experience in developing and debugging in C/C++ and/or Python.
Ability to obtain and maintain work authorization in the country of employment in 2018.
PREFERRED QUALIFICATIONS
M.S. degree in Computer Science or related quantitative field.
Experience building systems based on machine learning (especially deep learning) methods.
Experience using frameworks like PyTorch, Caffe2, Tensorflow, Theano, Keras, and/or Chainer.
Experience with storage systems, distributed systems, HPC, compilers, and/or CUDA programming.
Research and software engineer experience demonstrated via an internship, contributions to open source, work experience, or coding competitions.
Facebook is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com.",https://www.indeed.com/rc/clk?jk=029f39e61beea8a6&fccid=1639254ea84748b5&vjs=3
