company,location,title,post_date,salary,description,url
Well Woven Inc.,"New York, NY 10036",Business Data Analyst Intern ,30+,$15 an hour," 
 Summary 
 The E-commerce Research, Analytics + Insights (ERAI) team transforms data into valuable discoveries. RAI analyzes the data from our digital media, social media, websites, email campaigns, consumer surveys, and other industry sources. The ERAI intern will contribute to all aspects of the group’s work—including pulling data from various software interfaces, performing necessary computational analyses, helping to proofread and edit documents, assisting with the preparation of client presentations, and supporting the team via organizational and administrative tasks. This position will also provide the intern with hands-on, real-world learning experience; exposure to cutting-edge research and analytics; and an opportunity to work alongside senior staff. 
 Requirements 
 Candidates MUST be junior/senior standing or a recent graduate. Some exposure to advertising and any creative industry is highly preferred. Excellent written and verbal communications skills, with the ability to interact with all levels of associates, are a must. Candidates should also know Microsoft Office, including Word, Excel, and PowerPoint. 
 Problem solver with a positive attitudeEager to learn and contribute to the teamData EnthusiastAnalytical mindsetKnowledge of Tableau, Digital Analytics Platforms, SPSS, Software Development are a big plus! (But not required) 
 APPLICATION PROCESS – Please read carefully:  
 All applicants MUST submit a resume AND the ERAI Project below. 
 Sample Project 
 Put on your thinking cap! To help us get a sense of your problem-solving approach, consider this hypothetical scenario (response must be 150 words or less): 
 A major Airline has a new ad campaign, which tested well in focus groups but did not increase ticket sales. Usually, focus groups predict sales. 
 As a data analyst &amp; researcher, how would you help the client find out what happened? 
 *Applicants who fail to submit all pertinent information will automatically be disqualified from the application process. 
 The fine print:  
 When: May/June – August 
 Where: Our 311 W. 43 Street, NY, NY 
 Duration: 25-35 hours/week, flexible schedule 
 Application deadline: 4:59 pm on Thursday, August 10th, no exceptions 
 Job Type: Part-time 
 Job Type: Full-time 
 Salary: $15.00 /hour 
 Education: 
 Bachelor's (Preferred)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6QCtGIurKsNoO-9KjfQyhutTnUUNue6hLojlIbqs3WiDdM2jfHbiYjgRCMqoLdbTczbtSMaJvEAm4zMsNNm8dwHjX06NHNVimngetZsDJi8NHBBbQz1kRPgMfTOGKXJ-qs-komVzV8jpKxUdK4np3FOPlt_YI4pgiIhlcb0udyKp9ROpaMRh2kHyYLfVGOSr0OJFj9qByW4zbdxou3DA416NjEYf8AUdPP4Wmo_FTZnJ-yJC2jrKCXQiloo8SGsxGXGfL05dPfqHJrt-tJZOy6DYzAdbpw3kvJDUJfz0N7hpMFGqQnCXa8CwqNaWEusfkqjUwnnXGUmq3rCj42ep_36Z39evX2I0CPj1R084p62qwiyQgtMv7bQetVvrgO5_AT6dYctaA9Ftjb2HOml7s9MtQ8bCfpS7PI0H8m7didBttOmvTAIiNDZ-OY161f44KBwT684ogrl-LhIDjw6Gf&p=0&fvj=1&vjs=3
Northpointe Staffing,"Montvale, NJ",Business Analyst ,Today,," 
 Business Analyst will be responsible working with internal teams to ensure understanding and adherence to business process improvement and to ensure that proper controls are in place for risk mitigation that can be managed through applications and systems. 
 Responsibilities Include: 
 Work with technology, business process owners and vendors to define and document business requirements 
 Identify and define technology solutions that improve process efficiencies 
 Maintain communication and work with Business Process Management Leaders and Project Managers to ensure that project deliverables and milestones are met. 
 Support Risk Management Applications Team projects and initiatives 
 Prepare project report 
 Conduct reviews for scope, business justification and business requirements 
 Qualifications: 8 – 10 years Business Analyst experience. Prior experience working with Risk Management Applications Preferred. Strong communication and analytical skills a must. Ability to work independently as was as part of a team. 
 Job Type: Temporary 
 Experience: 
 business analyst: 8 years (Preferred) 
 Education: 
 Bachelor's (Preferred)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AWtFlgNcYtFiNg6J9y-W-kxbePP5kVx6kwWW2nTRfOFVFH6MWeV5VnFciNuHOmzCNM8I7ToQALPyfvmR65LrHPQzfAJxVjWTkbHfurDsl48fsz1aEjsdvKKoLQUZ8cAxmv2__Ib4gmG37jyorA-9Q-9-sNThYzaKoHSaumZJOzes0jC5OSu4vql5Bc2uxgrzHnmDNo9Xt60hz7foYcBquNOzqicy4bKzBtnlABN0cshT7FqzB_Ay8NtI8c5-R8fO869LVi_Mv2D6tEm8mrRzLFl4Zf9EB_DbIVYS3zEibF7tyfXajrGBtVsygNSBSQC6lERUGVUKgpMcT0V9RHx86LvWPFDHvy4N5h1QytdhEqHTBP4m2pKHLzuJQtNS4fgNo_bUHdsZiwHyaxhzh5sFEJnFnUlQsaC-Qw7l1NE1sMF2hIJEOSXXHx24rUsIdE78o=&p=1&fvj=1&vjs=3
Promotion In Motion,"Allendale, NJ 07401",Business Systems Analyst ,30+,," 
 Job Brief<br/>The incumbent will serve as member of the Business Systems team, to support business analysis efforts across the enterprise (Supply Chain, Manufacturing, Customer Service, Sales, Marketing, Finance, and R&amp;D), including execution and delivery of reports using BI tools. Collaborate with business process owners and users to gather and document business requirements and facilitate process acceptance. One of the key responsibilities will be helping achieve operational efficiency by ensuring master data integrity and supporting ongoing system operations.Responsibilities 
 Work closely with the Business Systems Manager to help assess demandProactively maintain and ensure Integrity of Master Data (customers, suppliers, items)Assist with requirement definition, data conversions, user interfaces, and reportsNew system implementations and will provide necessary support to functional users to ensure quality throughout the process.Support system cutover activities, including annual YE inventory reconciliation processSupport business analysis tools to meet the needs of a rapidly growing businessAssist in designing efficient business processes and business systems implementation projectsUnderstand the needs of various user groups across broad functional areas with the ability to prioritize and manage expectationsLearn the software capabilities, transaction processing, and become knowledgeable about software configuration through internal training and support of appointed consultantsFoster the involvement of stakeholdersWork with ERP consultants and process owners to configure systems and create documentation 
 Requirements 
 Bachelor’s degree in Business, Economics or Computer Science or related field3-5 years relevant experience, with knowledge and experience in:ERP systems (ideally Infor M3) and/or business applications with emphasis on master data maintenance, configuration, customizations, scripts, implementation. ERP related certifications a plusRelational database concepts incl. SQL queriesSAP Business One platform a plusBatchmaster: Item Master, Formulations (incl. Labels) components a plusCrystal Reports or other reporting/BI/dashboarding toolsBasic level expertise in programming languages, preferably VB, HTML, ASP, jscript, .netIntegration techniques working with Infor M3 and other systemsProficient with MS Office product suite (including advanced Excel functions and macros)Strong analytical and problem-solving skillsDemonstrated ability to build collaborative and team-oriented relationship’sDemonstrated ability to learn quickly, meet business process needs, and document and visualize business requirementsAbility to adapt to changing business processes, technologies, and environmentsService orientation to assist others with understanding technical problems and business issuesExcellent communication, interpersonal, organizational, and problem-solving skillsSelf-motivated and a bias for actionEmployee Benefits 
 We offer a comprehensive, flexible employee benefits package that includes medical and dental coverage, life insurance, an employer-matched 401(K) plan, vacation and PTO time, discretionary bonus and of course CANDY! 
 Job Type: Full-time",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DRw19DhQjI6sD_qeXyqD17LofsX-DkZitjWxzuEqLfP118AH_R_YQ7kc_3DvdEvTQYeSpQkOP6s1T_e0Oh9eycyDq63mDSIH_C-R9VSGPC-FsJxnL0WtvkNq5JYjp2Hfon111-Zuwk1SpJZulfVZ3DzzxqmXfnfAdq6hPg6P5ID0SeasCCO5d3tQL7vxwyRdMCLeqIWpcj5DaaZkVBOSuhIDgXZn8Z0OcvSDJwhO92zuKsVPCEYsMpSFnGzUe3Gu_D9ERRQF1oDlcs89TuYRuAsqi5lz_CwUirBCrK_03ZA0en7hbR8NihPDCpCkHrRxL0AqzADrYPWZ2qkZH6Xhdfi5lqSKbylFnPl1IJE2BIacreSJQfGuRK80mzzlLApZrNQkoToNi1BzS3BxziHWSbpvEMo173iN2-43pz3aKlYy6p-gNokIf7QviSmfEu3f9Q3WVNyp3Qfg==&p=2&fvj=1&vjs=3
MUFG,"Jersey City, NJ",Business Operation Analyst ,28,," 
 Discover your opportunity with Mitsubishi UFJ Financial Group (MUFG), the 5th largest financial group in the world with total assets of over $2.4 trillion (as ranked by SNL Financial, April 2016) and 140,000 colleagues in nearly 50 countries. In the U.S., we’re 13,000 strong, working together to positively impact every customer, organization, and community we serve. We achieve this by delivering on our values, putting people first, fostering long-term relationships built on honesty and mutual understanding, and inspiring the best in each other. This is all part of our inclusive, high-performing culture supported by Total Rewards that include our cash balance pension plan. Join a team that’s working to fulfill its vision to be the world’s most trusted financial group.<br/>

Job Summary:
The Business Solutions group integrates product, systems, and project management expertise to execute the bank’s operations strategic plans. The group is comprised of six product focused teams, including: Deposit, Loans/Loan facilities, Treasury, Accounting, Trade Finance, and Money Transfer/Customer File. In addition to supporting production, Business Solutions provides requirements gathering analysis, user testing support, and project management functions within operations related system projects. Business Solutions provides support within the Americas region, including U.S. West Coast, U.S. East Coast, Canada and Latin America. The Analyst in this position will be responsible for carrying out tasks i projects relating to Loans and Credit facilities. This position reports to the team leader and members of Loans Team.<br/>

Major Responsibilities:
Identify and solve business production issues of loans and credit facilities, collaborating with multiple departments both of the operation users (front, middle and back office) and the technology teams of the bank across the regions.
Support project management tasks from both operations and system standpoints, by gathering and documenting requirements as well as by supporting user test planning and training with the relevant business departments.
Work closely with business stakeholders to carry out the project tasks including creating user training documents and operation procedures.
Create and document workflow structures and assist organizing user testing
Create test case documents based on business requirements.
Execute test cases with and on behalf of users and analyze test results.<br/>
<br/>
<br/>
Qualifications:<br/>
<br/>
Additional Information:
Undergraduate in finance, economics, risk management, business administration
Must have + 1-2 years of business analysis experience related to loan processing for a major financial institution.
Knowledge of processing commercial loan products and credit facilities with basic knowledge of accounting entries or general banking operations knowledge.
Hands-on experience of operations of corporate loans and credit documents is a plus.
Microsoft Office Suite proficiency (MS Word, Excel, PowerPoint, and Outlook).
Proficiency in SQL, Business Objects, or database inquiry tools a plus.
Strong interpersonal and communication skills to include listening, verbal and written skills.
Excellent critical thinking, organizational and time management skills with attention to detail.
Self-starter with the ability to synthesize ambiguous information and develop creative solutions.
Ability to proactively take an initiative to work efficiently and effectively on team-oriented projects or independently with little supervision.
Must have strong commitments to assigned duties.
Must possess individual initiative, self-discipline and integrity, leadership qualities.
Experience of working on team-related projects within their related majors or externally via extracurricular activities.<br/>
The above statements are intended to describe the general nature and level of work being performed. They are not intended to be construed as an exhaustive list of all responsibilities duties and skills required of personnel so classified.<br/>
<br/>
We are proud to be an Equal Opportunity / Affirmative Action Employer and committed to leveraging the diverse backgrounds, perspectives, and experience of our workforce to create opportunities for our colleagues and our business. We do not discriminate in employment decisions on the basis of any protected category.<br/>
<br/>
A conviction is not an absolute bar to employment. Factors such as the age of the offense, evidence of rehabilitation, seriousness of violation, and job relatedness are considered in all employment decisions. Additionally, it's the bank's policy to only inquire into a candidate's criminal history after an offer has been made. Federal law prohibits banks from employing individuals who have been convicted of, or received a pretrial diversion for, certain offenses. 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DmIoLEfx3e5FKWdzPrCZVymN6nI1W4eX3Ta9yHxbrh7UB1RyiPkA29aaN--MBJrtkuQqfXZie0xslUmRj3cGK6X2z7JSCbJdJ56oEvpT56uz8UjoomwjUi2_deP_BciGfUJo1HApCgmiT0K_vTuvuLc16PYwvggcL7Y9ZulxS4c7wGHStSPbWuJw2Ncv0u9XX9DO7hq89EXI2w-qN5IKI5Q4fGtENKW1qpOlaCDusygc8PjbfyBAJx2ruY9wfMPAZvDN2CMeFbaJx_4EWBDjvGLFcXyC55Zs6TsuHfAa9qanow-pf8lk3eCpzb-pN63je4juiV9NT5zeRNOAl63hDROipNntxWyS-ipFO481be18rMUH6IqHuzpptkLhJADOXmzQ5oceNBf7aT1mQxLh7WZH4jo8gLc4-DSjLI91Zy26hZdJKMzzsYs-OFasokiA_cWVSbnSmG6jlmNJ88PPtPWuNs8mM4ANraUkqEHBQWz8ojleAmMFTmseZNbsfe2mCDF70MKOd2U2PUFz1wmD3-DKFRH7YSwa2l6UzqYoVzam2KD9wjr3n4Nh4EghzEZIAAff4HlV6n0EZGhJXjB709umKe9SZy6tF8wtxUAhDkVC8WDtbZomtTfTaktzfYkCGpRVDJmioYikpsar4B2LNK&p=3&fvj=0&vjs=3
Trinity Place Department Store,"New York, NY 10006",Senior Business Analyst ,11,"$60,000 - $70,000 a year"," 
 Requirements: 
 Bachelors or higher degree in Business Administration, Marketing or related. 
 At least one year experience. 
 Daily job duties<br/>1. Prepare sales analysis report on a weekly basis. Find out the relationship between sales performance and merchandising on the sales floors; suggest product placement base on sales reports.<br/>2. Perform ROI analysis on products and submit buying suggestions based on ROI report.<br/>3. Perform employee performance analysis based on sales performance and suggest improvements and conduct training.<br/>4. Gather and analyze customer data; prepare forms for other employees for this purpose. 
 5. Research and suggest advertising and marketing plans and implement the same once approved. Perform ROI analysis on advertising, marketing expenditure and make improvement plan. (average 2 days per week) 
 6. Responsible for POS &amp; inventory system study and manual preparation and training (1 day per week for 2-3 months) 
 Job Type: Full-time 
 Salary: $60,000.00 to $70,000.00 /year 
 Experience: 
 Relevant: 1 year (Required)Business Analyst: 3 years (Preferred) 
 Education: 
 Bachelor's (Required) 
 Work authorization: 
 United States (Required) 
 Required travel: 
 25% (Preferred) 
 Work Location: 
 One location",https://www.indeed.com/company/Trinity-Place-Department-Store/jobs/Senior-Business-Analyst-e8dcdcc376d9cbce?fccid=0e80f6b3cdb21972&vjs=3
Intercontinental Exchange,"New York, NY 10022",Business Analyst ,Today,," 
  
 The Business Analyst will join a team of Business Analysts to support the Evaluated Pricing business at ICE Data Services. The Business Analyst will contribute to support systems that evaluate over 1mm securitized debt issues each day. The individual will collaborate with cross-functional groups (Development, QA, Product Management, and Quantitative) to elicit requirements on projects related to the Structured Pricing Systems. The Business Analyst works with evaluators to detail enhancements within time constraints. Further, the Business Analyst provides documentation and testing on projects with minimal supervision.<br/>

Responsibilities
Elicit, analyze, communicate and validate requirements for business processes from users
Understand complex business problems and opportunities in the context of the requirements and help recommend solutions that enable the organization to achieve its goals
Capture and document current or new business products and recommend improvements and efficiencies
Work individually and within a team setting to deliver requirements on time and within scope
Present approved requirements to Business, Development and Quality Assurance in walkthrough meetings
Serve as a subject matter expert for development and stakeholders in the assigned product space
Formulate and develop reports (Excel, SQL) that expedite requirement analysis or testing of large and complex projects
Internal client support of questions regarding system functionality and data anomalies
Mitigate project risk by formulating testing strategies and assist users and developers in testing of key deliverables
Adhere to best practices with regard to business analysis based on the group’s standards
Knowledge and Experience
2+ years of experience as a Business Analyst leveraging formal Business Analysis methods (particularly Use Cases) to elicit, analyze, communicate and validate requirements
Strong oral and written communication skills; Strong analytical skills
Energetic, motivated, with a strong work ethic, willing to take on challenging tasks
Working knowledge of SQL and Excel
Basic understanding of Fixed Income. TBA, MBS, ABS, CMO bonds is a plus. Experience with Intex is a plus
Understanding of Software Development Life Cycle (SDLC). Some knowledge &amp; experience using both Waterfall &amp; Agile development methodologies
General technical background required (understanding of principals and key practices in the areas of application programming, database and system design)
An Advanced degree is a plus
Experience with JIRA, Sharepoint and ServiceNow a plus<br/>


Intercontinental Exchange, Inc. is an Equal Opportunity and Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, gender identity, national origin or ancestry, age, disability or veteran status, or other protected status. 
 
 
 <br/> 
 Additional Information
Job Type: Standard
Schedule: Full-time",https://www.indeed.com/rc/clk?jk=3d6400a88a582eec&fccid=306f81e1483f7d82&vjs=3
Payments and Cards Network,"New York, NY",Implementation Manager/Business Analyst (NY/NJ) ,Today,"$100,000 - $120,000 a year"," 
 Job Overview

Our client, an award-winning marketing and transactional solutions company, is seeking for an Implementation Manager to join the digital solutions team. This role will entail working directly with clients to drive new customer implementations, leveraging the most advanced technology.<br/>

Responsibilities and Duties

Partner with sales team on client engagement to assess business needs and construct solution plan
Gather requirements for client’s business needs and translate to technical requirements
Write technical requirements and business specifications for client implementations
Collaborate with clients and key internal stakeholders to establish framework and map project implementation
Define project requirements by identifying project milestones, phases and elements
Work alongside quality assurance team in testing efforts
Ensure timely custom project delivery and reports
Create standard operating procedures
Provide customer product support and training<br/>


Qualifications:

2+ years of implementation experience as a BA/PM
Experience in the payments and fintech space
Bachelor’s degree in related area preferred
Demonstrated success in developing and leading projects in a B2B setting

<br/>
8189",https://www.indeed.com/rc/clk?jk=246a531311f92b4e&fccid=5a78611f060e9f51&vjs=3
Torch Technology,"New York, NY 10011",Business Operations Analyst ,13,"$55,000 - $65,000 a year"," 
 About Us 
 Torch is a Bessemer Ventures Backed startup that has raised $11M+ and is targeting the $100+ billion office-based healthcare supply industry, starting with dental practices. We are optimizing practices' supply ordering and helping them secure the best prices. Our founding team has engineering and business experience at Blackstone, SmartAsset, Dropbox, and Datadog, from schools including Harvard, MIT and UVA. 
 Your Role 
 We are looking for a committed, hands-on Business Operations Analyst to manage day-to-day customer operations and strategy. As an analyst, you’ll be understanding customer needs in depth and developing foundational processes that will allow us to scale Torch to thousands of practices. 
 We expect most successful candidates will have: 
 Undergraduate degree0-2 years of professional experienceA “can do” attitude with a focus on customer empathy and serviceStrong critical thinking and analytical capabilitiesAttention to detail and ability to understand and organize complex workflowsHands-on collaborator that works well in teamsA passion for understanding and solving user problemsPassion for healthcare - interest in office-based healthcare (e.g., dental)Interest in technology and software 
 Job Type: Full-time 
 Salary: $55,000.00 to $65,000.00 /year 
 Education: 
 Bachelor's (Required) 
 Additional Compensation: 
 Bonuses 
 Work Location: 
 One location 
 Benefits: 
 Health insuranceDental insuranceRetirement planPaid time offFlexible scheduleParental leave",https://www.indeed.com/company/Torch-Dental/jobs/Business-Operation-Analyst-78665918885d2901?fccid=1f35b6af4ad4b0d6&vjs=3
Cyber Tech Group,"Brooklyn, NY",Business Analyst ,30+,"$65,000 a year"," 
  
 Department: Project Management
Project Location(s): Brooklyn, NY, US
Education: Bachelor's Degree
Compensation: 65K per annum
<h4 class=""jobSectionHeader"">Responsibilities
Candidates can look forward to regular client contact, a role in business development and proposal writing/methodology creation, and a

Assisting senior consultants;
Providing legal and scholarly research;
Creating reports &amp; Gathering Data
Analyzing Data and understanding results
Arranging client coordination
<h4 class=""jobSectionHeader"">Skills/Experience
Limited experience at consultancy preferred;
Great interpersonal communication skills;
Keen eye for spotting data trends;
Great analytical skills;
A keen grasp of information technology;
Professional demeanor;
Personal accountability and strong work ethic;
Professional, able to interact with vendors/clients;
Positive, “can do” attitude. 
 ",https://www.indeed.com/rc/clk?jk=38131a2e0b45424c&fccid=6534136b629111eb&vjs=3
2U,"Brooklyn, NY","Business Analyst II, Academic Product ",1,," 
 2U is a SaaS-based education technology company that enables leading colleges and universities to deliver higher education to qualified students anywhere. Our Academic Product is growing and we are expanding to not only meet the needs of our university partners, faculty and students, but to surpass their expectations in providing a next generation learning platform.
 
 <br/> 
 <br/> 
 
We are looking for an experienced Business Analyst who is interested in contributing to our business as a whole in creating the best possible digital technology space for students and faculty. Qualified candidates will have experience as a Business Analyst or analogous role, strong domain knowledge of the Education Technology market, and fluency with Agile development practices.
 
 <br/> 
 <br/> 
 
 
 Key Responsibilities Include: 
 <br/> 
 
Logistics and Management
 
 <br/> 
 <br/> 
 
 
 
Provide operational guidance to software engineers to eliminate blockers and translate the stakeholder needs to actionable prioritized requirements.
Work closely with software engineers to provide collective comprehension of the project scope, objectives, success metrics and priority based on the influence of the product team.
Monitor bug queues to validate maintenance requests and prioritize urgent fixes while providing communication to team members and any potential mitigation strategies to those impacted.
Own, track and improve team workflow process in order to identify and improve upon efficiencies in software development, business analysis and operational functions.
Own, coordinate and manage release plans for all development, which includes the compliance with security and auditing protocols.
Contribute in cross-team collaboration efforts that will have user-facing and internal impacts.
Work closely with Product Managers to help execute on the product vision set by them and the goals of the business.
Collaborate with user experience (UX) designers to translate the business needs into tangible functional changes that can be solved through software.
 
 
Documentation and Testing
 
 <br/> 
 <br/> 
 
 
 
Own and maintain all user stories and ensure they have clear and measurable success criteria.
Develop and maintain strategies, plans, scripts and cases for user acceptance testing.
Validate all development work prior to release by confirming acceptance criteria and overall functionality.
Experience in acceptance criteria testing as well as functional user acceptance testing with business users.
Own and maintain all training materials utilized for internal teams with regard to the communication and expectations of the functionality
 
 
Success Metrics and Communication
 
 <br/> 
 <br/> 
 
 
 
Work with multiple teams that may be impacted by or dependent on decisions, milestones or deployments owned by your team.
Maintain the role as the Subject Matter Expert (SME) on the product suite and share knowledge across teams regarding current and future functionality.
 
 
 
 Key Skills that are Nice-to-haves: 
 <br/> 
 
 
 
1 - 3 years experience in Business Analysis or Product Owner
Experience in the Education Technology industry is a strong plus
Experience with managing and maintaining Jira, Slack, Aha!, Pivotal Tracker configurations is a strong plus.
Strong written and verbal communication skills.
Familiar with Agile software development, methodologies and practices.
Thrive in an environment that is creative and thoughtful
 
 
 
 About 2U Inc. (NASDAQ: 
  TWOU)
 
 <br/> 
 <br/> 
 
Eliminating the back row in higher education is not just a metaphor–it's our mission. For more than a decade, 2U, Inc., a global leader in education technology, has been a trusted partner and brand steward of great universities. We build, deliver, and support more than 250 digital and in-person educational offerings, including graduate degrees, professional certificates, Trilogy-powered boot camps, and GetSmarter short courses. Together with our partners, 2U has positively transformed the lives of more than 150,000 students and lifelong learners. To learn more, visit 2U.com. #NoBackRow
 
 <br/> 
 <br/> 
 
2U Diversity and Inclusion Statement
 
 <br/> 
 <br/> 
 
At 2U, we are committed to creating and sustaining a culture that embodies diverse walks of life, ideas, genders, ages, races, cultures, sexual orientations, abilities and other unique qualities of our employees. We strive to offer a workplace where every employee feels empowered by the ways in which we are different, as well as the ways in which we are the same.
 
 <br/> 
 <br/> 
 
Why It's Great to Work at 2U
 
 <br/> 
 <br/> 
 
2U offers a high-energy work environment that's both challenging and fun. We work hard, but our offices are casual and social places. We wear jeans to work and fuel brainstorming sessions with snacks and seltzer.
 
 <br/> 
 <br/> 
 
Benefits
 
 <br/> 
 <br/> 
 
 
 2U offers a comprehensive benefits package: 
 <br/> 
 
 
 
Medical, dental, and vision coverage
Life insurance, disability and 401(k)
Unlimited snacks and drinks
Tuition reimbursement program
Generous paid leave policies including unlimited PTO for your vacation, personal, or sick days
Additional time off benefits include:
time off to volunteer for non-profit organizations
parental leave after 9 months of employment
holidays that include a winter break from Christmas through New Year and more!
 
 
 
 Note: 
  The above statements are intended to describe the general nature and level of work performed by individuals assigned to this position, and are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required. All employees may be required to perform duties outside of their normal responsibilities from time to time, as needed.
 
 <br/> 
 <br/> 
 
2U is an equal opportunity employer that does not discriminate against applicants or employees and ensures equal employment opportunity for all persons regardless of their race, creed, color, religion, sex, sexual orientation, pregnancy, national origin, age, marital status, disability, citizenship, military or veterans' status, or any other classifications protected by applicable federal, state or local laws. 2U's equal opportunity policy applies to all terms and conditions of employment, including but not limited to recruiting, hiring, training, promotion, job benefits, pay and dismissal.",https://www.indeed.com/rc/clk?jk=7c56d5c4877ee3a3&fccid=8f236bae1b36b1dc&vjs=3
