company,location,title,post_date,salary,description,url
Digitalogy,"New York, NY",Data Scientist ,5,$50 - $80 an hour," 
 What you will do

Responsible for assisting with the development of our state-of-the-art, advanced analytical machine-learning-based software framework that can ingest, structure and model large amounts of data in different formats and from different sources. Capable of helping with the design of systems that can grow and maintain competitive advantage. Able to learn, assist and when needed take initiative on various modeling assignments.

<h3 class=""jobSectionHeader"">Qualifications:
Experience with Python
Knowledge of some of the following: numpy, scipy, pandas, scikit-learn
Knowledge of basic statistics and data analysis
Experience with open source software for data ingestion and data processing
Ability to both follow and take lead, depending on the situation
Academic or industry examples of machine learning models previously built
Hands on work with unclean, semi-structured or unstructured data sets preferred
Experience working in teams of analysts, data engineers, statisticians, and data scientists is highly preferred
Experience in analytics (a.k.a. decision sciences) in the financial industry; in particular, for credit and marketing of unsecured lending products (development of credit risk models, valuation models, credit policy) preferred
Superb analytical, math, coding, and data background
Innovative mindset—thinks beyond the status quo
Profiling, cross-platform adaptively, are preferred",https://www.indeed.com/rc/clk?jk=83e3f665b22e5695&fccid=f01127702f08b4dc&vjs=3
81qd,"New York, NY 10017",Data Scientist Intern ,3,," 
 81qd – Data Scientist Intern 
 81qd is the industry-leading provider of opinion leader science and medical-marketing intelligence services. With an objective, scientific approach, superior medical and business expertise, and a deep understanding of our clients’ competitive landscape, we offer not just information but guidance. In doing so, we help our clients optimize the clinical and commercial potential of their brands. 
 http://www.81qd.com/ 
 We are seeking a Data Scientist Intern to join our team. The Data Scientist is responsible for the data science antecedents that support machine learning, deep learning, &amp; statistical modeling, as well support for studies needed to meet strategic R&amp;D objectives: 
 Claims data query execution and designMachine learning feature engineering and designRapid Application Development (RAD) &amp; tactical programming/database supportStrategic machine learning pipeline design &amp; automationClient ad hoc and scheduled repeat deliverables support 
 Requirements: 
 A Master’s Degree (at or near completion), preferably in Business Analytics or other related field.Strong technical oral and written communication skills.Ability to work in the New York office 5 days a week. 
 Job Type: Internship 
 Location: 
 New York, NY (Required) 
 Work authorization: 
 United States (Required)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B8NUZbSwcbsGjRz9NKP_Pf_h5LjvFz1n6h4VAW5uOX7KW2TBr-hBMhEH-x6BeWcjAKQjG7P-NU3irsHArDlOS6Dbj8aAdtP0aZabNPlwKxPoXSYqb8ojhyc4DMo4sCSmZjwj4SHAf2htcgMtcEwJDBDYuiWcZwhQGOzN0TjnfNWgC6tc--1RKb7_EQTvXDeNTZStl35XcBaNxqmzCdPf_qGzRwh_ZgTnpNA0vxj0i3LXJSA-4xK4lKGRX6c8S1s583-bfUDJI8wt7s-PAP9kIei21b9k_x_Mbmri-6KtaC_hosdqh0WmAo_HoAvJawy82ye0Y_HLswamCGPKvbCjlzOf_GwtJVBcs4dQ-1bnDocS6AEbsL42ov64ZTPWvQAqK4JnrsIa-VyjsrFbCdsh2CbeAKPQAMags2rhJ9t-buSW6HbhNgil4j_SPpvb_jz3w=&p=0&fvj=1&vjs=3
Liberty Mutual Insurance,"New York, NY 10001","Associate Underwriter, Data Analysis Rating Team, IronPro ",12,," 
 Launch your Underwriting Career at Liberty Mutual Insurance - A Fortune 100 Company
The Data Analysis Rating Team (DART) Associate applies understanding of risk evaluation on new and renewal business; gathers, organizes and enters information into pricing models and performs the initial analysis of exposure, loss and coverage for the underwriter. Supports the underwriter and agent/broker with highly responsive service by managing the workflow from clearance through policy issuance and file documentation. Coordinates service requests in a timely manner. This role is reserved for proficient and productive employees who have consistently demonstrated ability to apply thorough understanding of specialty lines underwriting practices to underwrite less complex accounts, assist with the handling of the most complex account work and act as a resource to less experienced coworkers.<br/>

Selected candidates must work onsite from our NYC office.
 Responsibilities:
Deconstructs submissions by identifying, gathering and entering information into systems, pricing tools and models; flagging referral triggers, and initiating/managing requests to internal/external service providers (e.g., inspections, claims, compliance).
Gathers, analyzes and ensures the accuracy of pricing and proposal information (rating and pricing tool output, proposal language, coverage forms and endorsements, financial and legal agreements and offer/ disclosure /election forms) used by the underwriter to complete the coverage review, hazard analysis, pricing strategy and proposal.
Within limited letter of authority, may complete the underwriting process from clearance to binding and renewal.
Provides customer service to brokers and agents to facilitate the processing of business; answers questions, resolves problems on topics such as policy transactions, billing, and service needs.
Executes post-sale account management workflow, including initiation of billing, policy issuance, acquisition of account agreements and file documentation.
Initiates pre-renewal communications via conditional/non-renewal notice draft when necessary.
Supports the underwriter with ongoing service, renewal planning and endorsements.
Act as a resource, mentor or subject matter expert for less experienced coworkers within or outside of the team.
Qualifications:
Proficiency in MS Office programs Word, Excel and Outlook required.
Proven track record of performance in underwriting or other support roles.
Knowledge of specialty property/casualty pricing models, coverages, endorsements, forms, cancellation/conditional renewal requirements, terms, processes and internal service departments.
Basic knowledge of specialty lines products and contract language including regulatory and policy differences among applicable states, admitted/non-admitted.
Ability to perform work accurately, timely and with minimal supervision.
Capabilities include critical thinking/problem solving, decision making, customer focus, detail orientation, written/verbal communications, organization, adaptability, courtesy, dependability and ability to learn/apply new information quickly and accurately.
Knowledge, skills and capabilities typically acquired through 3 or more years of related work experience
Benefits:
We value your hard work, integrity and commitment to positive change. In return for your service, it’s our privilege to offer you benefits and rewards that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits<br/>

Overview:<br/>

At Liberty Mutual, we give motivated, accomplished professionals the opportunity to help us redefine what insurance means; to work for a global leader with a deep sense of humanity and a focus on improving and protecting everyday lives. We create an inspired, collaborative environment, where people can take ownership of their work; push breakthrough ideas; and feel confident that their contributions will be valued and their growth championed.<br/>

We’re dedicated to doing the right thing for our employees, because we know that their fulfillment and success leads us to great places. Life. Happiness. Innovation. Impact. Advancement. Whatever their pursuit, talented people find their path at Liberty Mutual. 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmt70adJ5mjPT4xW75YB97Ri_XpKFhw0jAik-N4no9M2EEqSqJISQiasKON6AuzMrWxxH0SnF66st8Df5Ix1dqwsmnuGUOtD36b4UeQ2Vc-ZJaeJ8rmf8n2-TbwXT8h7anZC--Wvb4vMQXUqLDy84w6_LjqIYINvjkLOfwY6W1wI9Fab9abnPElvpTPhA6jRg0Yyc2BlQvlwbxKvu6Gdy03i9mtqbCB0Bf7KgmNQYe8lkLIZXK2ig8csA_gtuckQK-lyjdG08J7ySL2UDvp4Wqaa98eRHl4wxXBILBExCdusLtvdgzI-ymJ8Fi3Y2nEAubOiihpxyAmSTF8PteRs3fohyF3c-C6DxBebve4aFUl2lqvehesJjzim6py_pp5d6yaEJ_hTLC0TCjyu8qd5znF3E15F613X4afgANukbYcmyVaYfjy-nnwLcD2tEclwUzTCirhngiNN4EhZobksNGqzwGK8pPxepsdiY3ikehFa7-XHr16OjurJr47fDY7k3FPxMmEFpicWT3HsGzj32_NFNFAEGcr-smsaeURnk7w6VtESu0DiKNGoDZXUI8s9G0j9MhwoXMVAbkMj6MQbwRadelmRjvMMrOYj8AdcjqBH210OouAnUSMnr0jAc6h2LfDzsF5SsYS6ozJGW0UxiF3iSrcCC8x41gDay4eUmROBAkOEkI20b2AAacz9A_gc_EC4KnnbrVaz92v6P3i929Qt-A4N8sP-RyGvQScqR_qp1GfSvLOaLYqfAui2vHAiRFnG8Pnp7oLgp3ZBKRIHX8i1JMGwZtJDpnrIE6eB51XqUjm9OAUp63wpo=&p=1&fvj=0&vjs=3
Northwell Health,"Manhasset, NY 11030",Research Scientist ,5,," 
 Job Description
Performs experimental studies in the Lab relating to specific research projects. Carries out clinical and research activities as directed.<br/>
<br/>
Responsibilities Include:<br/>
1. Performs investigative research and/or development work under the guidance of an Investigator, Associate Investigator or Assistant Investigator.<br/>
2. Responsible for the collection, analysis and interpretation of research data related to specific project.<br/>
3. May submit manuscripts and abstracts for publication/presentation.<br/>
4. Performs a variety of tasks, including but not limited to, correspondence, attending meetings, database maintenance, maintaining records, charts, etc.<br/>
5. Responsible for all other activities, clinical and administrative, as appropriate.<br/>
6. Supervises research staff; provides technical direction to research staff.<br/>
7. Performs related duties, as required.<br/>

Qualifications<br/>
Doctorate (M.D. or Ph.D.) Degree, required.Minimum of three (3) years of related work experience.May have authored/co-authored published articles and/or abstracts.Ability to communicate effectively.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AZWWK9Dkq8A_dUHCdj_uLeVWsWS91-0wEhlKVHwzSsOw7xC1BKEB1ncRoLH2Hc9K98FslbLm5ymRSeEEhpk2Ohqdj0c1tRRWnYP9GcnMkh7mva0zHdEVPWqJL3t79lUL88VK9tXdINzK59hI1LtS76kFTqobgQQre5xEjUuOQxqYmOAWBew4u7cfWwZlt5oksRn_FOYSlr6S4yQ5LaHCLUdf4H_tEdcPMIIq8PkOeHKofoUqi7hZZfa9lWWnUUJx64pAQoCX9L2tZ3G17qqgLGLNqVK7IarIDAaZgkSUa65xUNANGmFPq8cjsYkiNmm6W949F3IAnOiqFGbPoocgI1vqc3XRF87dFRW3SZXCTR4wWo-KztdmZR3Up3P0iUdnl7RVQGPZAtn0hjxjcVQh4-CLyoiin8b-kQjcgzaBHArfpDjNJJD8yd&p=2&fvj=0&vjs=3
Heartshare Human Services of NY,"Brooklyn, NY 11201","Program Analyst, Non profit, Department of Data Analysis and Accountability ",3,," 
 Program Analyst Job Description 
 HeartShare St. Vincent's Services is a non-profit agency serving individuals, children, and families living in New York City. The Department of Data Analysis and Accountability (DAA) is responsible for assisting the agency's diverse array of programs in using data to enhance the quality and effectiveness of services. Currently, DAA is looking for an energetic, thoughtful, self-starter to fill the open Program Analyst position. The ideal candidate will have a background in quality assurance and/or program evaluation, strong commitment to data-driven program improvement, and experience working within a non-profit organization. 
 Qualifications:  
 An interest in learning about community-based services for children and families.Bachelor's Degree.Experience conducting case file reviews.Proficiency in Microsoft Excel, Microsoft Word, and Microsoft PowerPoint.Experience managing spreadsheets.Strong organizational and time management skills.Strong oral and written communication.Willingness to travel to different sites required. 
 Responsibilities include but are not limited to: 
 Provide monthly reports summarizing program data.Conduct case file reviews to assess service utilization and case practice of agency programs.Assist program leadership develop data-driven strategies for program improvement. 
 Salary commensurate with experience. 
 Job Type: Full-time 
 Experience: 
 conduting case file reviews: 1 year (Required) 
 Education: 
 Bachelor's (Required) 
 Work authorization: 
 United States (Required) 
 Benefits: 
 Health insuranceDental insuranceVision insuranceRetirement planTuition reimbursementProfessional development assistancePaid time offParental leave",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cxt9maxzPYIhNnSQ9DPwxW3Xf3DfPtKScRU4V2q7L1pJrW7N7wEzHXz47sv74E59T4Soo3TdKY0L4FCdFH02oo-860a1NJz8cfo2CZGflHGtomrPfSekckveICh9lsMxzB2_SVzFh2E-GLdZHKPUC9_k9ddu0ruxFPJXJrREUiLuofhQ-XyHhBGZOw0_Q7UVLtc_j12nqqjV1W8-XwpCq98zhRObr2bP0-TZkyvLaPVVhT2YIk3Fvjdiox3cOz4SCOsIgbmmWQDcjcUmjexbV7r8KSibtUTPx1tIJqv1p-3x3660FaiG6K5EpHGU9s6o43-HEqNOuegG1obkoQexCHfOvX_WCsEeZk8pYVQeq1e3runuA0QjlOGNYvvEd4HPex2lDqtH_-dpqFbjWUv3RsjTSiAoWfNVB7NlUjkTdU_Bu4MdMiqeFV1QbwjxRLjg97NbCwSc5urPwh2y_qSHb3kPq0I2WwCAVaXZKvtJ61JvKRS1lxUV2WYasUbfFxAba-34n00LLx45lvL4UMfNFR&p=3&fvj=1&vjs=3
Memorial Sloan Kettering,"New York, NY 10017",Sr Strategic Consultant / Data Scientist (Patient Access) ,16,," 
 <h2 class=""jobSectionHeader"">Company Overview
At Memorial Sloan Kettering (MSK), we’re not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we’re driving excellence and improving outcomes.<br/>
<br/>
For the 28th year, MSK has been named a top hospital for cancer by U.S. News &amp; World Report. We are proud to be on Becker’s Healthcare list as one of the 150 Great Places to Work in Healthcare in 2018, as well as one of Glassdoor’s Employees’ Choice Best Place to Work for 2018. We’re treating cancer, one patient at a time. Join us and make a difference every day.<br/>

<h2 class=""jobSectionHeader"">Job Description
WHEN APPLYING: Please include (as a single PDF) both a resume and a cover letter; in the letter, we’d love to hear about the most impactful project you’ve worked on recently.<br/>

Strategy Analytics and Patient Access
The Strategy Analytics team (within the Department of Strategy &amp; Innovation) leverages data to shape strategic decisions at Memorial Sloan Kettering Cancer Center and solve problems that measurably impact the lives of our patients and staff. We were awarded the 2012 INFORMS Prize for “repeatedly applying the principles of advanced analytics and operations research / management science in pioneering, varied, novel, and lasting ways.” We encourage analysts’ technical and business skill development in a variety of ways, including conferences and external workshops, internal training and journal clubs, creating analytical tools and best practices, and developing our own in-house R package.<br/>

This position is part of the Embedded Analytics Program and has dual reporting to (1) the Senior Director of Patient Access for goal setting and project implementation and (2) the Analytics Manager for technical supervision and mentorship. Embedded Analytics allows our analysts to be a full member of an operational team to truly understand their needs and ensure sustainable implementation of work, while still being part of a diverse and energizing community of analytics experts.<br/>
The Patient Access Service (PAS) is the front-door for the majority of Memorial Sloan Kettering’s patients. A team of 70+ Care Advisors and nurses is charged with helping patients access MSK clinicians by collecting information about their medical history and treatments, identifying the right sub-specialist to provide expert care, and coordinating appointment logistics.<br/>

The Role and Projects
We are seeking a Senior Strategic Consultant / Data Scientist who will serve as the lead on projects crucial to ensuring MSK’s growth and allowing patients continued access to our clinicians’ expertise. This will involve defining and scoping analyses, collecting and managing data, performing statistical and mathematical modeling, developing new tools and systems, and disseminating actionable insights. This will be as part of a team of two, in partnership with the current Data Scientist embedded with the Patient Access Service.<br/>

You will:
Serve as an analytical thought partner to Patient Access leadership, especially the Senior Director, Clinical Director, and 8 front-line managers
Become deeply versed in the operational needs of Patient Access and own the strategic roadmap for iteratively developing analytical products in support of those needs
Manage individual analytical products and projects (both independently and in collaboration with the current Data Scientist) from ""question to answer"" including problem framing, data collection and validation, exploratory analysis, statistical modeling, visualization, synthesis, and ongoing maintenance of reusable tools
Effectively communicate actionable insights and see them through to implementation<br/>

Sample projects include:
Growth Planning and Strategy: PAS leadership collaborates closely with clinicians and administrators on how to grow and manage their services. How can we provide them additional data and insights to guide clinician recruitment and practice management?
Call Center Operations: Patient demand is variable and changing. How can we define optimal staffing and training policies so as to maximize service levels while maintaining staff satisfaction?
Patient Experience: How can we collect timely and relevant data about patients’ experience of becoming an MSK patient while being respectful of their time and emotional state? How can we surface insights from this data to improve PAS operations?<br/>

Qualifications
We are looking for an analytics professional who has both deep technical skills and a passion for applying them to real-world problems in partnership with non-technical stakeholders. Our successful analysts typically have the below qualifications:<br/>

You have a proven track record (4-7 years of experience) of using analytics and data science to impact key business decisions
You’re a strong consultant skilled at partnering with non-technical stakeholders to turn vague business problems into crisp analytical projects
You know how to choose the right technical approach for a question (from a statistical model to a dashboard and everything in between) and know that the simplest solution is often the best
You’re a storyteller, able to synthesize knowledge from a variety of sources and clearly communicate complex topics to non-technical audiences<br/>

You’ve conducted reproducible analyses using R, Python, or a similar language
You’ve built beautiful production-grade dashboards using Tableau or a similar BI tool
You’re deeply comfortable with relational databases and SQL
You have a solid understanding of common statistical methods (especially regression models and probability)<br/>

You’re curious and self-motivated, and you thrive when working autonomously. You know when to run with something and when to ask for help.
You have a bachelor’s degree in a quantitative field (e.g. statistics, economics, operations research, mathematics) or equivalent training, fellowship, or work experience<br/>

Nice-to-have qualifications (but definitely not requirements) would include a master’s degree and prior experience in healthcare or call center operations.<br/>

#LI-CC16
<h2 class=""jobSectionHeader"">Closing
MSK is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sexual orientation, national origin, age, religion, creed, disability, veteran status or any other factor which cannot lawfully be used as a basis for an employment decision.<br/>
Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment. 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADJRuK6ChiwKA-mDQcZewxwPXsbrQsc0mRFei-KJ6Xzxx8q1wZUJIQ4Zji5_OCzVBxpDL0MmfrEi3LYAHwmFYv68BV9tpDB3we9F7jTr0LR3rWM6otmHuboGaW964MdH4dyhG4tSTmfV8UNJrz55IP-4I7yF3a-j5gm3EUXL9ml2fNeFjH6mc_wv0CuyD4PFz7AhSa9N2Nw4IuFS_6DhmbwHmXBIUrcCS0-ZgP5OllHtGsjW4_F4Zl0x0NkJJmVzdbynO9Yj-kEB7Vv_b-HAbDRDSLC--m_EYExEVvMRxPnYUDCODO8XFn-doZG-VT_ZT4mHAC5ZYr841DNUWWuzqcoPwk8uHg8CRa44-uDlrLnAeu4p6hd3q3qNz5wFFyiv-_aBNkaEjRBW5NHB6x1mv1pSH_nxGQqodcsEFVnspF2L1ks_QisgdItbOkVtAz8-lsgw30zakOxHOl79LbYDEqQZSgI3lqFi0Qf8j2aZasb9J1qyGuKR6ZYmon5KuO3o7nTlcr8yJ-PaIpqVFvwyG5Egncrrjeunqmph93LcYPAjG4bIAICGf5GvAA2YBXH89PjGe5EtzKXxuUt_WNCRUU5IdR3_2XpXVxl5aBKW9tih1TOJUye_JC-EXL9DtM_2hXawZOg0tlxJEH-aQ7Zurncz9Ft4rP0y9i1ssrY1lGiZQZSmOqXCEVFAycwVQTtfIEfXCPJpAN_eUpuKIa8gwGsE2yR_-0OU_kcd5gZGgTEFM31_VRs6Fip_7XQJZ775-VebaU2alXgnDN2MKhF49XLU1mrKM9AZO-4FLechGDWXkWqX7fq67lbradRYApr0yqEBsULPexd580GICfgy-0idvqSZO4saWLu9tUDfgAYQnUiZby7EioiJiFbrIkZ_4=&p=4&fvj=0&vjs=3
TRANZACT,"Fort Lee, NJ 07024",Senior Data Scientist ,30+,," 
 How the Position Works 
 The Data Scientist reports to the VP of Data Science and Analytics and is responsible for gathering data, conducting analysis, building predictive algorithms and communicating findings to drive profitable growth and performance across Tranzact.The Data Scientist must have a strong grasp on the data structure, business needs, and statistical and predictive modeling.They must be comfortable gathering, manipulating, and utilizing large sets of data to solve business problems.Prior work experience in creating predictive models to be utilized in automating operations is a plus. 
 The specific responsibilities of the Sr. Data Scientist include; 
 Gathering data from various parts of the organization and third parties / online resourcesProcessing, cleaning, and verifying data integrity for analysisSelecting features, building and optimizing prediction models (classifications and regressions)Completing ad-hoc analysis and presenting results clearlyConceptualizing how prediction models can be utilized in an automated system 
 What you need to be successful 
 Bachelor’s Degree in a quantitative field (Computer Science, Engineering, Mathematics, Statistics, etc.)Minimum 5 years of experience building predictive algorithms in industryExcellent understanding of machine learning techniques and algorithms such as decision forests, logistic regression, k-means clustering, etc.Ability to communicate findings clearlyFluency with R or Python for statistical modeling and machine learningProficiency with a query language such as SQLExperience with data visualization tools (Tableau, Power BI, etc.)Expert in Microsoft ExcelCuriosity and ability to be objectiveStrong organizational skills including time and project managementThrives in a fast-paced environment that is constantly changing 
 What we would LOVE to see! 
 Masters or PhD in a quantitative field (Computer Science, Engineering, Mathematics, Statistics, etc.)Finance, Insurance, Call center, Marketing or Sales industry experienceExperience developing predictive models for business and implementing them in an automated fashionExperience working with unbalanced datasetsGood programming skills (C#, JavaScript, etc.)Experience managing or mentoring other data scientist is a plus 
 Job Type: Full-time 
 Experience: 
 building predictive algorithms: 3 years (Required) 
 Education: 
 Bachelor's (Required) 
 Work authorization: 
 United States (Required)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DmvEs89GDjygIsDT0FtjWiil-qnA5TS0Npqc8I6T5HHJq-H8v6LEvanJyZREkaRXOKC_kA2qkNGKKTT0HDpUPR3wWfg2dtfTLY8jP2_aWMKRQ59M7--pphqEvLIqc3eI3oLuSAa2AuYgcflyqm_cv4KjfnyzF9EyBrr7QV0i7906u16Gw9wm1kKijTBa3QNhmOPY8ND9iugyZZ3K013DAHVV6cWH1ScYYijME45JpNdqcx9t3YksfJmvo4YaQg7Utj4Zj-W5ut4nw4w_ExV-r4MShF8BUrJ925dfENFJZbWk8lmE0I9THiTUy5sRB0BoYXxcZeeD8lu-Xs5WkgHT-gYdOk2n3DYJW7Qms5inxqox1aI_TlQVHzgpxVgp_aeL_aTuyYNc8yn6Q_nRcR5TbSo021iusc7-BO6dbWmNGpcV-SCvzELun_u9deNh3_dmNlgufAhMLdiZrIdYnpupqz&p=5&fvj=1&vjs=3
Viacom,"New York, NY 10036",Jr. Data Scientist ,6,," 
 <h2 class=""jobSectionHeader"">Overview and Responsibilities
The Junior Data Science Engineer, Advanced Media Analytics will be responsible for supporting the build-out of new/alternate audience platforms across Viacom Media Networks. In this role, the individual will contribute to innovation in audience measurement, and help discover how VMN content is being consumed across platforms.<br/>

Identify, ingest, and enrich a wide range of structured and unstructured data into datasets for analysis
Learn to apply statistical and advanced techniques (e.g. segmentation, machine learning) to develop both prototypes and scalable (i.e. efficient, automated) data analyses
Conduct basic ad hoc analysis, building models, forecasting viewing behavior
Extensive code development, debugging, optimizing, and productionizing
Support the development of machine learning pipeline architecture
Help build out frameworks for quickly rolling out new data analysis for standalone data-driven products and services to support our network of media brands.
Be able to transform unstructured raw data in to formats suitable for modeling
Be able to work in teams and collaborate with stakeholders to define requirements
<h2 class=""jobSectionHeader"">Basic Qualifications
Bachelor’s or Master’s degree in a quantitative field
Knowledge of Python and/or R
Knowledge of algorithms for data mining, machine learning, and/or natural language processing
Possess some understanding of statistical procedures used in advanced analytics
Experience processing large amounts of structured and unstructured data using Spark, Hive or other Big Data technologies
Experience building scalable data models and performing complex relational database queries using SQL (Oracle, MySQL), etc.
<h2 class=""jobSectionHeader"">Additional Qualifications
Attention to detail and demonstrated ability to detect and resolve data/analytics quality issues
Outstanding verbal and written communication skills
Experienced user of data visualization tools (e.g. Tableau, matplotlib, ggplot2, etc.)",https://www.indeed.com/rc/clk?jk=1942a17d2bd166e1&fccid=ae0c894528aa6eee&vjs=3
Butterfly Network,"New York, NY",Data Scientist ,3,," 
 Job Description<br/>
<br/>
We are looking for a highly motivated and experienced data scientist to drive data-driven strategy and product decisions. You will be responsible for extracting actionable insights from the usage of our mobile, web and e-commerce apps as well from sales, marketing and manufacturing datasets. The ideal candidate will have experience understanding levers to improve engagement with SaaS products and with boosting conversion for e-commerce flows. The role is anticipated to grow quickly with the company’s success allowing the candidate to build a world-class team.
Responsibilities
Model lead and customer behavior to direct marketing and sales strategy, e.g. customer segmentation, predict Net Promoter Score, identification of potential churn risk and upsell opportunities.
Analyze e-commerce data to identify opportunities to improve conversion. Run A/B testing to test hypotheses and optimize e-commerce platform
Provide data to inform cloud and mobile app product roadmap. Segment users, design and surface key metrics (e.g user retention), analyze feature usage, identify associations between mobile and web usage,
Identify opportunities to improve customer support. Alert on emergent reliability issues based on support interactions, cluster patterns of failure e.g. using NLP, work with manufacturing team to predict issues based on self-test data
Build dashboards and presentations to surface insights to leadership
Make data accessible to the company as a whole with self-service tools and training 
 
 
 <br/> 
 
 
 Qualifications<br/>

Bachelor’s or higher degree in a quantitative field
3 + years of data science experience
Knowledge of statistics including hypothesis testing
Knowledge of supervised and unsupervised ML techniques for data science: clustering, association-rule mining, prediction, anomaly detection
Deep experience with Python data science ecosystem: pandas, numpy, scipy, Jupyter Notebooks/Labs
Advanced SQL user
Able to create compelling data visualizations, using Tableau or similar tooling
Able to manage projects with technical and non-technical stakeholders in a fast-paced environment
Knowledge of data model for source operational systems beneficial (Netsuite, Salesforce, Zendesk)
Knowledge of Git, Airflow and Google Cloud Platform tools beneficial<br/>
Additional Information<br/>
<br/>
In addition to working with colleagues and advisors who are the best and brightest in their fields on revolutionizing healthcare and helping to save lives, we offer great perks:
Fully funded medical insurance, dental, vision coverage
401K plan
Competitive salary and equity in the company
Free on-site meals, unlimited healthy snacks
Brand new office in Flatiron
Pre-tax commuter benefits
Butterfly Network is an equal opportunity employer regardless of race, color, ancestry, religion, gender, national origin, sexual orientation, age, citizenship, marital status, disability, or Veteran status.",https://www.indeed.com/rc/clk?jk=14bc4e97c18a1690&fccid=f34adc12ba09e47f&vjs=3
Celonis,"New York, NY 10036",Data Scientist ,2,," 
 Are you ready for a new challenge?
 
 <br/> 
 <br/> 
 
Celonis is the leader in business transformation software, turning process insights into action with The Celonis Intelligent Business Cloud, built on the process mining technology it pioneered. For Global 2000 companies, transforming to an intelligent enterprise has become a key strategic priority. Celonis disrupted what had previously been a manual, time-consuming and expensive consulting-driven approach to jump-start and operationalize change in transformation initiatives. Companies around the world including Siemens, L’Oreal, Uber, 3M, and BMW rely on Celonis technology to guide action and drive change to business processes, resulting in millions of dollars saved and an improved experience for their customers. Headquartered in Munich, Germany and New York, New York, Celonis has grown 5,000% in 4 years and 300% in the past year. Valuated at over $1Billion, Celonis received $27.6M Series A in June 2016 and $50M Series B funding in June 2018 from investors Accel and 83 North. Since opening its US headquarters in New York in September 2016 it has quickly added blue chip customers like Lockheed Martin, ExxonMobil, Honeywell, and Mars to its client roster. The US is the fastest growing region for Celonis and will soon exceed 50% of its total revenue. In addition to its offices in the UK, Netherlands, and Japan, Celonis is expanding US offices in New York, San Francisco, Raleigh, Ann Arbor, as well as Latin America.
 
 <br/> 
 <br/> 
 
RESPONSIBILITIES...
 
 <br/> 
 <br/> 
 
 
 
You will actively drive Celonis’ expansion and work in project teams to kick-start our customers’ process mining journey. You will make digital business processes transparent and harmonize our customers’ gigantic data flows by using our Celonis Process Mining Technology and by applying the most up-to-date extraction and transformation methods. You are involved in implementation projects with process data of varying degrees and complexity and for customers across industries.
After the successful evaluation and preparation of the process data, you connect the respective on-premise/ Cloud systems with our software. You extract and transform customers’ data and design process- and customer-specific analyses.
Over the course of our projects, you expertly handle our customers’ individual needs and actively participate in customer workshops.
 
 
REQUIREMENTS...
 
 <br/> 
 <br/> 
 
 
 
BA/BS (or MA/MS) in Computer Science/ Mathematics/ Physics or other related field
Relevant work experience in consulting or IT products with need of explanation
(2+ years) in the area of enterprise software sales, pre-sales, consulting or business development
You’ve got excellent analytical skills, you are always well structured and are known for being a quick learner
You have fun evaluating complex data, as well as supporting customers
You are excited about Big Data, Data Mining and Process Mining
 
 
",https://www.indeed.com/rc/clk?jk=755c879e19b03db1&fccid=45e3ffaf109af70e&vjs=3
