company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
Infosys,"Bellevue, Washington",Business Analyst,2019-08-01,"Experience in driving meetings/workshops with senior client executives, business leads & cross functional stakeholders and articulate ...",https://www.linkedin.com/jobs/view/business-analyst-at-infosys-1405733275?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"InfosysBellevue, Washington 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
  
 Basic Requirements• Bachelor’s degree or foreign equivalent required from an accredited institution. Will also consider three years of progressive experience in the specialty in lieu of every year of education.• At least 4 years of IT experience.Preferred • Extensive experience in below areas: o Strong knowledge in end to end mortgage finance lifecycle from Originations to Termination o Strong domain knowledge in auto motive finance / equipment leasing o End-to-End solution customization and Implementation experience in product or custom-built software• Work with Agile scrum team, to analyse the prioritized user stories to define the sprint scope• Understand interface / integration technologies and a good understanding of customers’ needs so they can be translated into requirements• Perform Functional Testing, Assist in System Integration Testing (SIT), & Support during UAT• Review SIT/UAT/BST test cases and conduct SIT along with tester• Drive business workshops to define requirements and elaborate functional specifications of an IT solution• Design Business User Stories, Use cases, Lead Functional Architecture, Re-engineer process models and Integrate disparate services for end to end solution delivery• Experience with industry standard COTS products in Auto Finance industry (e.g. White Clarke, Cassiopae, Fiserv, etc.)• Knowledge of Accounting concepts related to accruals, depreciation, Asset Based Accounting• Exposure to allied areas such as finance & treasury, risk & controlling and key financial reports• Complete understanding of requirements gathering in discussion with product owner• Experience in working across teams in consulting, software development, product support, quality assurance. • Experience in working in a global environment with multiple locations• Experience in driving meetings/workshops with senior client executives, business leads & cross functional stakeholders and articulate project documents lucidly • Excellent soft skills - written and verbal communication• Exposure to / knowledge of latest digital trends (big data, analytics, social media) & their impact on domain area• Ability to understand and use advance analysis methods in slightly complex client scenarios to ensure problem areas are identified and impact on the business is understood• Ability to work across project lifecycle, and adopt Agile practices• Demonstrated skill in a sales or pre sales role is a plus• Global exposure to a multi-cultural organization structure• Preferably should have an exposure to outsourcing and offshoring work models 
",Mid-Senior level,Full-time,"Engineering, Information Technology",Information Technology and Services
ThreeBridge Solutions,Greater Minneapolis-St. Paul Area,Business Analyst,2019-07-31,6-7 years of experience required: Business Analysis in Financial Services and/or Insurance Industry; demonstrated accomplishments in ...,https://www.linkedin.com/jobs/view/business-analyst-at-threebridge-solutions-1404942998?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"ThreeBridge SolutionsGreater Minneapolis-St. Paul Area 
NO VISA SPONSORSHIP AVAILABLE FOR THIS ROLE  
  
Liaison with key Business Stakeholders and IT in the analysis and delivery of enhancements, projects and products. Executes, with advanced ability, assessing and documenting business risks, creating business cases, identifying impacted stakeholders, developing communication plans, creating As Is/To Be process flows, facilitating and documenting gap analysis, and facilitating JAR sessions. Responsible, with expert ability, of multiple business requirement elicitation methods, assessing business impacts, writing clear, concise, and accurate business requirements, business requirement peer reviews, business requirement traceability to technical requirements, planning/coordination/ execution of User Acceptance Testing, production validation, training/SOP support, and project transition planning. Provides mentorship and guidance to other business analysts. Must possess expert knowledge level in one business line with an intermediate understanding of the other business lines.  
   
RESPONSIBILITIES  
   
REQUIREMENTS  
",Mid-Senior level,Contract,Management,Management Consulting
Optiontown,"Boston, Massachusetts",Business Analyst,2019-07-25,"Software Analysts will leverage their analytic, quantitative and technological skills to derive insights and solve problems. Collaborate ...",https://www.linkedin.com/jobs/view/business-analyst-at-optiontown-1393725993?position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"OptiontownBoston, Massachusetts 
Job Title: Software Analyst / Business Analyst  
Department: Product Design / Revenue Management  
Roles & Responsibilities:  
 Analysts are active participants in creating and delivering solutions for e-commerce products and project teams. Software Analysts will leverage their analytic, quantitative and technological skills to derive insights and solve problems. In particular, Software Analysts employ advanced analytic techniques to create advanced e-commerce front-ends.  
As a Software Analyst, your role will be multi-dimensional, such as:  
Prepare detailed functional requirements and create product requirement (PRDs) and other documents to support rapid development and effectively manage trade-offs between schedules versus customer benefits.  
Gain immediate responsibility for project deliverables.  
Design algorithms for enhancement of existing and future e-commerce products.  
Establish price intelligence, demand forecasting and competitive intelligence process for existing products.  
Leverage optimization techniques to guide clients and have competitive pricing.  
Work with other teams to manage operational issues of online products.  
Ensure Requirements and user flows are properly translated to live site and drive problem resolution during User Acceptance Testing.  
Rigorously monitor key performance metrics and coordinate with various teams to take corrective actions.  
Collaborate with technology team to develop a deep understanding of online products, identify gaps in core product functionality and help build right set of features and track adoption.  
Apply digital marketing techniques to increase reach of Optiontown products. Provide analytic s based insights to help marketing team optimize marketing goals. Engage in defining a strategic creative direction for product and marketing communications.  
  
Education - Bachelors Degree in any field  
Salary     - Base Salary + Revenue Based Bonus + Stock Options (best in the industry)  
Contact   - Send Resume and CoverLetter to hr@optiontown.com 
",Entry level,Full-time,"Analyst, Product Management, Strategy/Planning",Airlines/Aviation
"Four51, Inc.",Greater Minneapolis-St. Paul Area,Business Analyst,2019-07-22,"The ideal candidate will have: Four51 provides competitive marketplace salary compensation, profit sharing, and provides our employees ...",https://www.linkedin.com/jobs/view/business-analyst-at-four51-inc-1345805864?position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Four51, Inc.Greater Minneapolis-St. Paul Area 
Imagine sitting in the drivers’ seat, helping to accelerate digital transformation for some of the world’s most well-known brands.  
   
At Four51, you can.  
  
Inspired by the temperature at which paper burns (451°), Four51 is dedicated to shattering antiquated business processes and out-innovating the limitations of eCommerce.  
  
We develop true partnerships with our clients that allow us to deliver digital transformation through customizable and scalable eCommerce, order management and digital marketplace solutions that connect the unconnected and solve the impossible.  
  
We believe that by constantly re-imagining the boundaries of connectivity, speed and flexibility, we can connect our partners to their customers in ways they had only dreamed of, dramatically changing the economics of their businesses.  
  
JOB SUMMARY:  
  
Business Analysts at Four51 take on the most challenging and sophisticated problems in B2B and B2B2C eCommerce, and work alongside our customers and partners  - well-known brands including Starbucks, Chipotle, Aveda, Winmark and many more - to help develop solutions. As a Business Analyst, you understand our customers inside out, and you’re able to translate their realities to our developers to help imagine how eCommerce could transform the way they do business.  
  
As a Business Analyst, your day-to-day includes:  
  
QUALIFICATIONS:  
  
The ideal candidate will have:  
  
Four51 provides competitive marketplace salary compensation, profit sharing, and provides our employees with a challenging workplace team with smart, experienced individuals to help you grow and develop.  We offer a competitive benefits package including health and dental insurance, 401(k) with a match, life and disability insurance, paid time off, flexible workplace philosophy, state-of-the-art technology, and an outstanding workplace environment in the North Loop/Warehouse District downtown Minneapolis.  We will push you to become your best, and reward you for outstanding work.    
  
Four51 is an equal opportunity employer and does not discriminate with regard to race, color, national origin, age, religion, disability, gender, gender identity or expression, sexual orientation, pregnancy, genetic information, familial status, marital status, military status, or any other characteristics protected by federal, state, and local applicable fair employment practices laws. 
",Entry level,Full-time,Information Technology,Internet
Exelon,"Baltimore, MD, US",Business Analyst,2019-07-26,"G. , asset management, electric or gas operations, customer service, transmission and substation, distribution system operations, ...",https://www.linkedin.com/jobs/view/business-analyst-at-exelon-1395828149?position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"ExelonBaltimore, MD, US 
",Associate,Full-time,"Business Development, Sales","Construction, Oil & Energy, Utilities"
"Attain, LLC","Washington, D.C., DC, US",Business Analyst,2019-07-25,"What You Will Do. Must have good time management skills and ability to multi-task, able to adapt to new requirements and readjust as ...",https://www.linkedin.com/jobs/view/business-analyst-at-attain-llc-1394164602?position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Attain, LLCWashington, D.C., DC, US 
",Associate,Full-time,"Business Development, Sales","Information Technology and Services, Computer Software, Computer & Network Security"
HCA Healthcare,"Brentwood, TN, US",Business Analyst,2019-07-24,"Our mission at PSG is to practice the best medicine, produce superior patient experiences, achieve operational excellence and collaborate...",https://www.linkedin.com/jobs/view/business-analyst-at-hca-healthcare-1393239953?position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"HCA HealthcareBrentwood, TN, US 
",Not Applicable,Full-time,"Business Development, Sales",Hospital & Health Care
certified management group,"Stamford, CT, US",Business Analyst,2019-07-24,The Business Analyst is responsible for supporting the Convenience Selling (Account Executive) team and enabling them to achieve sales ...,https://www.linkedin.com/jobs/view/business-analyst-at-certified-management-group-1391783291?position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"certified management groupStamford, CT, US 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
",Associate,Full-time,"Business Development, Sales","Consumer Goods, Financial Services, Accounting"
Agiloft,"Salt Lake City, UT, US",Business Analyst,2019-07-23,"The ideal candidate must have solid critical thinking and problem-solving skills, strong business acumen, and excellent written and ...",https://www.linkedin.com/jobs/view/business-analyst-at-agiloft-1389930654?position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"AgiloftSalt Lake City, UT, US 
",Associate,Full-time,"Business Development, Sales","Information Technology and Services, Computer Software, Financial Services"
Winsor Group,"Farmingdale, NY, US",Business Analyst,2019-07-24,"Winsor Consult Group is looking for an enthusiastic, skilled Business Analyst to become an integral part of our reporting team in ...",https://www.linkedin.com/jobs/view/business-analyst-at-winsor-group-1391246173?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Winsor GroupFarmingdale, NY, US 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
",Associate,Full-time,"Business Development, Sales","Construction, Government Administration, Financial Services"
