company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
"TSR Consulting Services, Inc",Greater St. Louis Area,Business Intelligence Analyst,2019-07-31,"Experience identifying and analyzing technology performance measures, KPIs and metrics, developing and maintaining balanced scorecards ...",https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-tsr-consulting-services-inc-1404526686?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"TSR Consulting Services, IncGreater St. Louis Area 
 
  
",Associate,Contract,Accounting/Auditing,"Banking, Financial Services"
"The Brixton Group, Inc.","Charlotte, North Carolina Area",Business Intelligence Analyst,2019-07-31,U.S. Citizens and those authorized to work in the U.S. are encouraged to apply. Duration:  3-6 month Contract - Onsite to start then ...,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-the-brixton-group-inc-1404689632?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"The Brixton Group, Inc.Charlotte, North Carolina Area 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Duration:  3-6 month Contract - Onsite to start then remote  
Compensation:  Open   
  
*** U.S. Citizens and those authorized to work in the U.S. are encouraged to apply.  We are unable to sponsor at this time. ***  
  
Responsibilities: ***Healthcare IT preferred but not required***   
",Mid-Senior level,Full-time,Information Technology,"Information Technology and Services, Hospital & Health Care"
Samsung Electronics America,"Plano, TX, US",Director of Retail Business Intelligence and Analytics,2019-07-04,Currently seeking a Director of Retail Business Intelligence (BI) and Analytics to drive data-driven decision support for the Mobile ...,https://www.linkedin.com/jobs/view/director-of-retail-business-intelligence-and-analytics-at-samsung-electronics-america-1395150554?position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Samsung Electronics AmericaPlano, TX, US 
",Director,Full-time,"Sales, Business Development","Marketing and Advertising, Computer Software, Retail"
BlueVine,"Redwood City, CA, US",Head of Business Intelligence Analytics,2019-07-06,What We Look For. Expert level SQL with reporting table data modeling experience. This is an instrumental hire to ensure alignment on ...,https://www.linkedin.com/jobs/view/head-of-business-intelligence-analytics-at-bluevine-1405378060?position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"BlueVineRedwood City, CA, US 
",Director,Full-time,"Business Development, Sales","Computer Software, Internet, Financial Services"
Crisis Text Line,"New York City, NY, US","Business Intelligence Data Scientist, Community Team",2019-07-18,What You Will Be Doing. What you should have. Crisis Text Line is looking for a Business Intelligence Data Scientist to join our ...,https://www.linkedin.com/jobs/view/business-intelligence-data-scientist-community-team-at-crisis-text-line-1380165252?position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Crisis Text LineNew York City, NY, US 
",Entry level,Full-time,"Engineering, Information Technology","Marketing and Advertising, Computer Software, Internet"
The Salvation Army,"Hoffman Estates, IL, US",Business Intelligence and Strategic Planning Manager,2019-07-23,The Salvation Army has an Business Intelligence and Strategic Planning Manager position available for the ideal candidate. Looking for a ...,https://www.linkedin.com/jobs/view/business-intelligence-and-strategic-planning-manager-at-the-salvation-army-1389803993?position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"The Salvation ArmyHoffman Estates, IL, US 
",Associate,Full-time,"Business Development, Sales","Construction, Nonprofit Organization Management, Hospital & Health Care"
Esanda,"New Jersey, New Jersey, US",Head of Business Intelligence,2019-04-28,"Ideally, strong SQL skills and experience in relational databases e.g. Our Client, a hugely successful Brick and Mortar Casino Group, is ...",https://www.linkedin.com/jobs/view/head-of-business-intelligence-at-esanda-1283107171?position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"EsandaNew Jersey, New Jersey, US 
",Director,Full-time,"Business Development, Sales","Marketing and Advertising, Computer Software, Internet"
Bank of the West,"San Ramon, CA, US",Head of Retail Business Intelligence & Network Strategy,2019-01-25,"Yes, we’re a bank, but as the bank for a changing world, we are continually seeking to improve the ways we help our customers, while ...",https://www.linkedin.com/jobs/view/head-of-retail-business-intelligence-network-strategy-at-bank-of-the-west-1087020749?position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Bank of the WestSan Ramon, CA, US 
",Not Applicable,Full-time,Accounting/Auditing,"Banking, Financial Services"
Pluto TV,"West Hollywood, CA, US","Technical Program Manager, Business Intelligence (BI)",2019-07-16,We believe the right individual will have the following skills and experience in order to be successful in this role: Qualities / ...,https://www.linkedin.com/jobs/view/technical-program-manager-business-intelligence-bi-at-pluto-tv-1374877803?position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Pluto TVWest Hollywood, CA, US 
",Mid-Senior level,Full-time,"Project Management, Information Technology","Online Media, Computer Software, Internet"
Oportun,"San Carlos, CA, US",Senior Technical Product Manager - Data Management & Business Intelligence,2019-07-14,A Little About You…. Ideal candidate is someone who began his/her career in Data Management/Business Intelligence and migrated into ...,https://www.linkedin.com/jobs/view/senior-technical-product-manager-data-management-business-intelligence-at-oportun-1353719479?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"OportunSan Carlos, CA, US 
",Associate,Full-time,"Product Management, Marketing","Information Technology and Services, Computer Software, Financial Services"
Jobs @ TheJobNetwork,"Plano, TX, US",Director of Retail Business Intelligence and Analytics,2019-08-02,Currently seeking a Director of Retail Business Intelligence (BI) and Analytics to drive data-driven decision support for the Mobile ...,https://www.linkedin.com/jobs/view/director-of-retail-business-intelligence-and-analytics-at-jobs-%40-thejobnetwork-1406644876?position=11&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Jobs @ TheJobNetworkPlano, TX, US 
",Director,Full-time,"Sales, Business Development",Information Technology and Services
ACG Advisors (UK) LLP,"Pittsburgh, PA, US",Head of Business Intelligence,2019-07-25,The **Head of Business Intelligence**is responsible for the data integrity and daily administration of the firm’s portfolio data and ...,https://www.linkedin.com/jobs/view/head-of-business-intelligence-at-acg-advisors-uk-llp-1394290222?position=12&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"ACG Advisors (UK) LLPPittsburgh, PA, US 
",Director,Full-time,"Business Development, Sales",Information Technology and Services
"Nexstar Media Group, Inc.","New York City, NY, US","Vice President, Business Intelligence",2019-07-20,"The ideal candidate will be a highly motivated, passionate leader from a data-driven environment that operates equally as effectively in ...",https://www.linkedin.com/jobs/view/vice-president-business-intelligence-at-nexstar-media-group-inc-1389950795?position=13&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Nexstar Media Group, Inc.New York City, NY, US 
",Executive,Full-time,"Business Development, Sales",Broadcast Media
Lahey Hospital & Medical Center,"Burlington, MA, US","Director, Market Analytics & Business Intelligence",2019-07-16,"The Director of Market Analytics & Intelligence (DMA&I) reports to and assists the SVP, Strategic Planning & Business Development (SVP SP...",https://www.linkedin.com/jobs/view/director-market-analytics-business-intelligence-at-lahey-hospital-medical-center-1405806995?position=14&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Lahey Hospital & Medical CenterBurlington, MA, US 
",Director,Full-time,"Business Development, Sales","Nonprofit Organization Management, Health, Wellness and Fitness, Hospital & Health Care"
Beth Israel Lahey Health,"Burlington, MA, US","Director, Market Analytics & Business Intelligence",2019-07-18,"The Director of Market Analytics & Intelligence (DMA&I) reports to and assists the SVP, Strategic Planning & Business Development (SVP SP...",https://www.linkedin.com/jobs/view/director-market-analytics-business-intelligence-at-beth-israel-lahey-health-1379039362?position=15&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Beth Israel Lahey HealthBurlington, MA, US 
",Director,Full-time,"Business Development, Sales","Health, Wellness and Fitness, Medical Practice, Hospital & Health Care"
"Abacus Group, LLC","New York City, NY, US","VP, Business Intelligence",2019-08-01,6+ years of IT Finance experience from another financial services firm. Work with divisional admin to ensure proper HR data is available ...,https://www.linkedin.com/jobs/view/vp-business-intelligence-at-abacus-group-llc-1395306873?position=16&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Abacus Group, LLCNew York City, NY, US 
",Director,Full-time,"Finance, Accounting/Auditing",Financial Services
