company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
Blue River Technology,"Sunnyvale, California",Machine Learning Scientist,2019-07-26,"Excellent brainstorming, creative thinking, mathematical analysis, and communication skills. Strong skills in Python, Tensorflow. Extra: ...",https://www.linkedin.com/jobs/view/machine-learning-scientist-at-blue-river-technology-1380884294?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Blue River TechnologySunnyvale, California 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Blue River Technology is building the next generation of smart agriculture equipment. We're introducing See & Spray technology, enabling a world in which every plant counts. Using computer vision and artificial intelligence, our smart machines can detect, identify, and make management decisions about every single plant in the field. These machines help farmers to improve profitability, protects the environment by reducing pesticide use by 90%, and captures valuable plant-by-plant data.Acquired by John Deere in 2017 Blue River Technology as an independently-run subsidiary. Through our partnership with Deere, Blue River has expanded rapidly and together both companies see many opportunities to apply advanced computer vision, machine learning, and robotics technologies to other areas in agriculture beyond spraying. Based in Sunnyvale, CA Blue River Technology is at the heart of Silicon Valley. Our team members make up a diverse environment of folks who share the same passion for computer vision, machine learning, systems software, autonomous vehicles and precision agriculture. Our working environment is fast paced and highly collaborative, and employees are excited to use their talents to improve food production and protect the environment.     
  
 
Qualifications  
Education  
",Associate,Full-time,Engineering,"Machinery, Computer Software, Farming"
Edelman Financial Engines,"Sunnyvale, California",Machine Learning Scientist,2019-07-16,"2] The Top 40 Independent Advisory Firm Ranking issued by Barron’s is qualitative and quantitative, including assets managed, the size ...",https://www.linkedin.com/jobs/view/machine-learning-scientist-at-edelman-financial-engines-1332333772?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Edelman Financial EnginesSunnyvale, California 
If you are passionate about Machine Learning and keen to apply these technologies to the Financial Industry, come join us at Edelman Financial Engines (EFE) — America’s largest financial planning and investment management company. We have an immediate opening for a Machine Learning Scientist. Established upon Nobel Prize-winning economics theory and powered by cutting-edge technologies, EFE has been serving more than one million American families to achieve their financial goals. Working in this role and equipped with a vast amount of high-quality data, you have exciting opportunities to innovate our services and help further grow our business with Machine Learning technologies.  
   
RESPONSIBILITIES  
QUALIFICATIONS  
PREFERRED QUALIFICATIONS  
   
   
   
   
About Edelman Financial Engines  
Since 1986, Edelman Financial Engines has been committed to always acting in best interest of our clients.  We were founded on the belief that all American investors – not just the wealthy – deserve access to personalized, comprehensive financial planning and investment advice.  Today, we are America’s top independent financial planning and investment advisor, recognized by both InvestmentNews[1] and Barron’s[2] with 180+ planner offices across the country and entrusted by over 1.1 million clients to manage over $200 billion in assets.   Our unique approach to serving clients combines our advanced methodology and proprietary technology with the attention of a dedicated planner. Every client’s situation and goals are unique, and the powerful fusion of high-tech and high-touch allows Edelman Financial Engines to deliver the personal plan and financial confidence that everyone deserves.  
   
   
For more information, visit www.edelmanfinancialengines.com and www.financialengines.com.  
   
©2018 Edelman Financial Engines™, LLC All rights reserved. All advisory services provided by Financial Engines Advisors L.L.C. Financial Engines Advisors does not guarantee future results.  
[1] Ranking and status for 2017. For independence methodology and ranking, see InvestmentNews Center (http://data.investmentnews.com/ria/);  
[2] The Top 40 Independent Advisory Firm Ranking issued by Barron’s is qualitative and quantitative, including assets managed, the size and experience of teams, and the regulatory records of the advisers and firms. Firms elect to participate, but do not pay to be included in the ranking. Investor returns/experience are not considered. 2018 ranking refers to Edelman Financial Services (EFS), which combined its advisory business in its entirety with Financial Engines Advisors L.L.C. (FEA) in November 2018. For the same survey, FEA received a precombination ranking of twelfth.  
  
",Mid-Senior level,Full-time,Engineering,Financial Services
"GenapSys, Inc.","Redwood City, California",Machine Learning Engineer/Scientist,2019-08-02,"Demonstrated hands-on experience with development of Deep Learning models, various Neural Network concepts, classification algorithms ...",https://www.linkedin.com/jobs/view/machine-learning-engineer-scientist-at-genapsys-inc-1406570657?position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"GenapSys, Inc.Redwood City, California 
 
Machine Learning Engineer/Scientist at GenapSys, Inc.   
Redwood City, CA 94063  
  
At GenapSys we are working to power the world of healthcare and diagnostics with advanced DNA sequencing technology. Our proprietary technology integrates advanced electronics, molecular biology, fluidics and data analytics and machine learning to dramatically reduce cost of ownership and operating expenses for DNA and RNA sequencing.  
Our team brings together an incredibly diverse and multidisciplinary set of backgrounds and skills – from electrical and mechanical engineers, to physicists, chemists, microfluidic engineers, molecular biologists, bioinformaticians, mathematicians and more. Together we will advance scientific and medical knowledge and improve human health through transformative DNA sequencing technologies.  
Machine learning approaches are at the core of GenapSys's methods for generating high quality DNA sequencing data. As a machine learning engineer, you will join forces in the development of cutting-edge machine learning methods that solve key problems in the DNA sequencing, base calling, and variant calling processes. You will work closely with a cross-functional team of life scientists, bioengineers, and data scientists to identify areas where machine learning can make a difference, to conceptualize and develop biological datasets using cutting edge, high throughput platforms, and to analyze these data sets using the best machine learning methods, applied at scale.  
You will be joining a fast-paced startup which is getting ready to launch its first product with ample opportunity to grow. A lot can change in this exciting phase, providing many opportunities for significant impact. You will work closely with a very talented team, learn a broad range of skills, and help shape GenapSys’s strategic direction, and outcomes. Join us, and help make a difference!  
About You  
MS, or Ph.D. in computer science, statistics, mathematics, physics, engineering, or equivalent practical experience  
Expertise in Python and with version control practices and tools, especially Git/Github    
Demonstrated ability to write high-quality, production-ready code (readable, well-tested, with well-designed APIs)  
1- 4  years of real-world work experience in software development for high-end machine learning algorithms  
Significant experience with Tensorflow  
Demonstrated prior experience with time series data analysis  
Demonstrated hands-on experience with development of Deep Learning models, various Neural Network concepts, classification algorithms that go beyond putting together of existing code, and to apply troubleshooting and problem-solving skills to complex issues  
Ability to communicate effectively and collaborate with people of diverse backgrounds and job functions  
A genuine passion for making a difference in the world!  
Nice to Have  
Experience with biological data (DNA sequences, RNAseq, proteomics, microscopy images, etc.)  
Proficiency in Linux environment (including shell scripting), experience with database languages (e.g., SQL, No-SQL)  
Familiarity with cloud computing services (AWS or GCP)  
Experience with scalable machine learning, including the application to large datasets  
What we offer:  
An amazing mission: Enabling everyone to decode the living world!  
Competitive compensation and stock options  
Competitive benefits: medical, dental and vision benefits for employees and dependents, fully sponsored life, short and long-term disability insurance, and 401(k) retirement savings plan.  
Free daily catered gourmet lunches and snacks  
Weekly fancy High Tea and happy hours    
Free complex onsite gym membership  
Casual, but high-performing work environment  
  
A diverse and inclusive workplace where we learn from each other is an integral part of GenapSys' culture. We actively welcome people of different backgrounds, experiences, abilities, and perspectives. We are an equal opportunity employer and a great place to work. Join us and help us achieve our mission!  
Note to Recruiters and Placement Agencies:  
  
Genapsys does not accept unsolicited agency resumes. Please do not forward unsolicited agency resumes to our website or to any Genapsys employee. Genapsys will not pay fees to any third party agency or firm and will not be responsible for any agency fees associated with unsolicited resumes. Unsolicited resumes received will be considered the property of Genapsys. 
",Director,Part-time,"Engineering, Science, Information Technology","Biotechnology, Pharmaceuticals, Medical Devices"
Jobs @ TheJobNetwork,"San Diego, CA, US",Machine Learning Software Scientist,2019-08-02,"Dvlp, implmt & anlyz algrthms trgting autnmous robot lrnng, bhvng & prfrmng tsks in thry real wrld. Sought by Brain Corporation in San ...",https://www.linkedin.com/jobs/view/machine-learning-software-scientist-at-jobs-%40-thejobnetwork-1406518263?position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Jobs @ TheJobNetworkSan Diego, CA, US 
",Associate,Full-time,Other,Research
Kintai Therapeutics,"Cambridge, MA, US",Machine Learning Scientist,2019-07-16,"Significant research experience in machine learning, including demonstrated ability to develop novel methods and apply them to noisy, ...",https://www.linkedin.com/jobs/view/machine-learning-scientist-at-kintai-therapeutics-1374880379?position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Kintai TherapeuticsCambridge, MA, US 
",Associate,Full-time,Other,Biotechnology
Salk Institute for Biological Studies,"La Jolla, CA, US",Machine Learning Scientist,2019-07-17,We seek an experienced Machine Learning Scientist to help us build data-driven biological models of neural and behavioral activity. The ...,https://www.linkedin.com/jobs/view/machine-learning-scientist-at-salk-institute-for-biological-studies-1377010596?position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Salk Institute for Biological StudiesLa Jolla, CA, US 
",Associate,Full-time,Other,"Nonprofit Organization Management, Higher Education, Research"
Dun & Bradstreet,"Short Hills, New Jersey",Machine Learning Scientist,2019-07-31,"Strong programming skills and modeling experience utilizing Python, R and/ or SAS, Spark, PySpark. Strong SQL skills and experience ...",https://www.linkedin.com/jobs/view/machine-learning-scientist-at-dun-bradstreet-1404615037?position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Dun & BradstreetShort Hills, New Jersey 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Why We Work at Dun & Bradstreet  
We are at a transformational moment in our company journey - and we’re so excited about it. Each day, we are finding new ways to strengthen our award-winning culture, and to accelerate creativity, innovation and growth. Our purpose is to help customers improve business performance with Dun & Bradstreet’s Data Cloud and Live Business Identity, and we’re wildly passionate and committed to this purpose. So, if you’re looking to make an immediate impact at a company that welcomes bold and diverse thinking, come join us!  
​   
As a Dir/Sr Consult, Predictive Analyticsin the Advanced Analytic Services Team, you will be required to have the following background education and experience and the ability to fulfill the following essential responsibilities.  We also list preferred qualifications that are not required but would be beneficial.    
  
Basic Requirements  
   
Essential Responsibilities  
   
Preferred Qualifications  
   
Dun & Bradstreet is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, creed, sex, age, national origin, citizenship status, disability status, sexual orientation, gender identity or expression, pregnancy, genetic information, protected military and veteran status, ancestry, marital status, medical condition (cancer and genetic characteristics) or any other characteristic protected by law.  
We are committed to Equal Employment Opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with Dun & Bradstreet and need special assistance or an accommodation to use our website or to apply for a position, please send an e-mail with your request to TalentAcquisitionTeam@dnb.com. Determination on requests for reasonable accommodation are made on a case-by-case basis. 
",Mid-Senior level,Full-time,Other,Information Services
PeopleTec,"Huntsville, AL, US",Machine Learning Scientist,2019-06-16,Required Skills/Experience Strong problem-solving skills with an emphasis on applied machine learning Adept at using large data sets to ...,https://www.linkedin.com/jobs/view/machine-learning-scientist-at-peopletec-1327018224?position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"PeopleTecHuntsville, AL, US 
",Associate,Full-time,Other,"Defense & Space, Aviation & Aerospace, Research"
Freenome,"South San Francisco, CA, US",Machine Learning Scientist,2019-07-29,"With the combination of Freenome’s datasets, cross-functional technical expertise, and mission to uncover the biological truth, we seek ...",https://www.linkedin.com/jobs/view/machine-learning-scientist-at-freenome-1401947536?position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"FreenomeSouth San Francisco, CA, US 
",Associate,Full-time,Other,"Computer Software, Research, Biotechnology"
Revionics,"Austin, TX, US",Machine Learning Scientist,2019-07-29,The Machine Learning Scientist is responsible for designing and supporting Revionics’ analytical pricing software. Hands-on data ...,https://www.linkedin.com/jobs/view/machine-learning-scientist-at-revionics-1401692227?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"RevionicsAustin, TX, US 
",Mid-Senior level,Full-time,Other,"Information Technology and Services, Computer Software, Retail"
