company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
"Oriental Trading Company, A Berkshire Hathaway Company","Omaha, NE, US",Statistical Modeler,2019-07-27,"Experience in marketing analysis related to direct marketing, financial services or other service sector preferred. Experience with ...",https://www.linkedin.com/jobs/view/statistical-modeler-at-oriental-trading-company-a-berkshire-hathaway-company-1385114626?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Oriental Trading Company, A Berkshire Hathaway CompanyOmaha, NE, US 
",Entry level,Full-time,"Design, Art/Creative, Information Technology","Consumer Goods, Retail, Financial Services"
Booz Allen Hamilton,"Columbia, MD, US",Mathematical Modeler/Analyst,2019-07-25,"You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared ...",https://www.linkedin.com/jobs/view/mathematical-modeler-analyst-at-booz-allen-hamilton-1393358722?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Booz Allen HamiltonColumbia, MD, US 
",Entry level,Full-time,"Design, Art/Creative, Information Technology","Information Technology and Services, Defense & Space, Computer Software"
Thompson Technologies,"Atlanta, GA, US",Mathematical/Statistical Modeler,2019-06-21,What You Will Do. Strong experience performing research/data analysis with a strong focus on statistical and mathematical modeling. We ...,https://www.linkedin.com/jobs/view/mathematical-statistical-modeler-at-thompson-technologies-1347108131?position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Thompson TechnologiesAtlanta, GA, US 
",Entry level,Full-time,"Design, Art/Creative, Information Technology",Information Technology and Services
"OTC Direct, Inc","Omaha, NE, US",Statistical Modeler,2019-08-04,"Experience in marketing analysis related to direct marketing, financial services or other service sector preferred. Here is what you need...",https://www.linkedin.com/jobs/view/statistical-modeler-at-otc-direct-inc-1411860386?position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"OTC Direct, IncOmaha, NE, US 
",Entry level,Full-time,"Design, Art/Creative, Information Technology","Building Materials, Wholesale, Retail"
Equifax,"Skokie, IL, US",Senior Statistical Modeler,2019-08-02,"Experience in applying statistical techniques to large scale, cross-sectional data sets to create solutions to business problems. ...",https://www.linkedin.com/jobs/view/senior-statistical-modeler-at-equifax-1408597400?position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"EquifaxSkokie, IL, US 
The Senior Statistical Modeler will be involved with a wide range of projects within PayNetâs Analytics group including: 
 
 
The Senior Statistical Modeler will be an important team member on many such projects, in some cases being primarily responsible for the analysis, and in other cases providing more technical data mining support to other team members.  The Senior Statistical Modeler will also need to be able to interact directly with client lenders, generally large sophisticated financial institutions, to explain findings and ensure data quality.  The Senior Statistical Modeler may sometimes need to serve as the Analytics groupâs liaison with the I.T. Department, which programs new models into PayNetâs systems. 
 
This position provides extensive opportunity for the right individual to be creative, grow, learn new things, and advance professionally.  Intelligence, dedication, and the ability to work in an unstructured environment are the keys to success in this position.  
    
Requirements 
 
 
Primary Location: 
 
 
 
 
Function: 
 
 
Schedule: 
",Mid-Senior level,Full-time,Information Technology,"Information Technology and Services, Computer Software, Financial Services"
Fortress Investment Group,"New York, New York",Predictive Analytics Modeler,2019-08-02,"The predictive analytics model developer will combine strong data analysis, quantitative finance, communication and collaborative skills ...",https://www.linkedin.com/jobs/view/predictive-analytics-modeler-at-fortress-investment-group-1345821054?position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Fortress Investment GroupNew York, New York 
About NewRez  
Founded in 2008, NewRez (originally named New Penn Financial) brings a unique combination of mortgage expertise, financial strength, and product innovation capabilities to the lending table. We're dedicated to delivering exceptional lending options with an easy application process to both our customers and strategic business-to-business partnerships.  
   
With offices across the country, including our Philadelphia area headquarters, each of our 2,200 employees goes the extra mile to redefine the standard of excellence in the mortgage industry - all while keeping your best interests in mind. This is because we believe the lending business isn't about financial transactions. It's about people.  
  
NewRez LLC is a wholly-owned subsidiary of New Residential Investment Corp., a publicly traded residential mortgage REIT that is externally managed by an affiliate of Fortress Investment Group LLC.  
  
About Fortress  
Fortress Investment Group, LLC is a leading, highly diversified global investment manager with approximately $39.2 billion of assets under management as of March 31, 201. Founded in 1988, Fortress manages assets on behalf of over 1,750 institutional clients and private investors worldwide across a range of credit and real estate, private equity and permanent capital investment strategies. Investment performance is our cornerstone -we strive to generate strong risk adjusted returns for our investors over the long term. For additional information on Fortress, please visit www.fortress.com.  
  
About The Position  
The predictive analytics model developer will combine strong data analysis, quantitative finance, communication and collaborative skills to help build a high-performance retention analytics platform for mortgage loan portfolio management.  
   
Responsibilities  
   
Qualifications  
",Associate,Full-time,"Finance, Analyst, Information Technology","Financial Services, Investment Management, Real Estate"
Jobs Interviewing Now from MJH,"Minneapolis, MN, US",Statistical Modeler - RELX Group,2019-07-28,"With over 40 years of expertise, we are the trusted data analytics provider for organizations seeking actionable insights to manage risks...",https://www.linkedin.com/jobs/view/statistical-modeler-relx-group-at-jobs-interviewing-now-from-mjh-1406426303?position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Jobs Interviewing Now from MJHMinneapolis, MN, US 
",Entry level,Full-time,"Design, Art/Creative, Information Technology",Human Resources
The Oakleaf Group,"Washington, D.C., DC, US",Quantitative Modeler I,2019-04-27,In this position the ideal candidate will work to solve complex “hot topic” issues currently faced by the financial services industry. ...,https://www.linkedin.com/jobs/view/quantitative-modeler-i-at-the-oakleaf-group-1284637058?position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"The Oakleaf GroupWashington, D.C., DC, US 
",Entry level,Full-time,"Design, Art/Creative, Information Technology","Information Technology and Services, Computer Software, Financial Services"
Sterling National Bank,"Yonkers, New York",Risk Modeler,2019-07-15,Sterling National Bank is looking for a Risk Modeler for the organization’s Model Risk Management Division. Experience in Financial ...,https://www.linkedin.com/jobs/view/risk-modeler-at-sterling-national-bank-1333834289?position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Sterling National BankYonkers, New York 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
 
Sterling National Bank is looking for a Risk Modeler for the organization’s Model Risk Management Division.  In this position:  
   
You will ensure and monitor compliance with regulatory requirements and guidance as well as the bank’s Model Risk policy and procedures. You will work on various functions including model inventory management, model validation, model monitoring, model risk assessment, model risk reporting, and compliance support.  
   
Very Strong Compensation (up to $105,000)  
PLUS Profit Sharing, 401k, Plus Benefits, up to $300,000 of free life insurance, Free Masters Education Reimbursement available,  and enjoy WORKING FROM HOME 2-3 days a week!  
   
**All candidates must be US Citizen or Green Card only  
   
JOB RESPONSIBILITIES  
Core Job Responsibilities/Key Activities/Elements:  
2.           Model monitoring and change management  
3.           Assist in managing the model validation process  
4.           Model issues follow up and resolution.  
5.           Risk management of the non-model tools  
6.           Model risk reporting and compliance support  
   
Experience in Financial Services in the areas of RISK and Modeling tools (R, SAS, OR  Python) Required.  
   
Sterling National Bank is on Forbes’ list of Best Banks in America.  
   
What do WE bring to the table?  
   
Sterling offers you a chance to grow your career and offers you the ability to move into other areas of banking as you go. We promote from within and take pride in the fact that people actually DON'T MIND coming to work; it's a very comfortable environment with lots of flexibility-- And you can work from Home!   
  
If you are interested and qualified we can set-up an interview at your convenience. 
",Associate,Full-time,Other,Banking
Fannie Mae,"Washington, D.C., DC, US",Quantitative Modeler,2019-08-01,"Courses, training or research must have included work with data preparation and working with large datasets (SAS/Matlab); strong economic...",https://www.linkedin.com/jobs/view/quantitative-modeler-at-fannie-mae-1406046493?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Fannie MaeWashington, D.C., DC, US 
",Entry level,Full-time,"Design, Art/Creative, Information Technology",Financial Services
