company,location,title,post_date,salary,description,url
Noom Inc.,"New York, NY 10001",Academic Statistician ,29,," 
 At Noom, we use scientifically proven methods to help our users create healthier lifestyles, and manage important conditions like Type-II Diabetes, Obesity, and Hypertension. With over 1000 employees worldwide, we employ a global workforce that changes the lives of hundreds of thousands of people every day. 
 We are looking for an Academic Statistician to join our organization and help Noom’s Research Team apply and interpret advanced statistics and solve problems that require making sophisticated decisions based on patterns in all kinds of data for studies, grants proposals, and publications. 
 What You'll Like About Us  
 We work on problems that affect the lives of real people. Our users depend on us to make positive changes to their health and their lives.We base our work on scientifically-proven, peer-reviewed methodologies that are designed by medical professionals.We are a data-driven company through and through.We offer a generous budget for personal development expenses like training courses, conferences, and books.You'll get three weeks' paid vacation and a flexible work policy.Delicious (and nutritious) daily lunches and snacks prepared by Sam, our NYC office on-site chef. 
 What We'll Like About You 
 You have extensive knowledge of different types of mathematical and statistical models (Maximum Likelihood Estimates and/or Complier Average Causal Effect Modeling, Mixed Linear Models, Latent Class Analysis, Partial Least Squares regression, non-parametric testing, etc.).You rock R, Mplus, SAS, and SPSS and/or others.You’ve worked with academic researchers before and understand trial protocol methodology, manuscript methods, data cleaning, and statistical analysis.You are extremely organized and attentive to detail (corrects and detects errors up to the third decimal).You have great critical thinking and problem-solving skills.You are awesome at prioritizing work: you quickly jump on statistical problems that may prevent a researcher from working efficiently.You are someone who is self-motivated and able to juggle multiple projects under tight deadlines.You have strong communication skills and an encouraging, team-focused attitude, and an ability to explain statistical underpinnings to non-technical folks.5+ years of experience, or just someone we would kick ourselves if we didn't hire.Ph.D. in statistics or related field is a plus. 
 Job Type: Full-time",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CTxeckkshV_qNgr-yNuagKfX03aAeBqs32sUcG_UJIPKJ4CEtneYPCOeKdEw2S_cAsYSTFXOTYa8lT3tmcThF1bAP1qp12Cv6eOsShiAHpX4BxxsdaMh9vSaMjDhYUnu0wpgrmuJpeLXGgcM1Ml5Hl8dHMUj4IBapgsOre6_i-si2HB6DEm_9tyD5sD8nH9PBoXiW0egb_fOqawgimAt0i2M-bhgmxgyFXxCRGn1E5FnwMQtVmU9fjJl8HDdA3W0eJG9toOLYqBqnabDdEUAnvyzwvam492NIVdmTlVzA9yYes8jCrqwqECWsFASBxyb0qmjTIql9FvVwGZVdB8BK--L-tGPvQf5okOC45gzjsJNjMGNkMZyWX2YNu3t9DJ6ZBCMvIbnEvwd5Oo_OCT3eD&p=0&fvj=1&vjs=3
Transport Learning,"New York, NY 10014",Data Science/Machine learning engineer at an EdTech startup ,30+,"$70,000 - $100,000 a year"," 
 Job description: <br/>- Using Tensorflow Lite, implement data collection methods, processing, and storage (principally facial features, pupil size, ambient sound, and ambient light). 
 - Clean data for pattern/signal detection. 
 - Train data against known stimuli. 
 - Create models to predict user reactions (for example, facial features and pupil size). 
 Experience: <br/>Minimum 2+ years<br/>(Must have references.) 
 Expert in:  
 Python<br/>Azure 
 Familiar with:  
 OpenCV<br/>TensorFlow Lite 
 Keras 
 Qualities:  
 Learns quickly<br/>Attention to detail<br/>Creative problem solver<br/>Delvers on time 
 Interview Process 
 Phone interview 
 In-person interview 
 Job Type: Full-time 
 Salary: $70,000.00 to $100,000.00 /year 
 Experience: 
 machine learning: 2 years (Required) 
 Location: 
 New York, NY (Required) 
 Work authorization: 
 United States (Required)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_nvrFZn-GLrGUcGLIXBPEt_uU6fXCjMaLhA5SlwFsfFm15RaETMw__agHVZsIr8BVAB8W7sW0jw3zrG1b_ug4jmynqrkmriJxURl_ZopeffA2qkawlApixCb-2gTQMwmnCS1T6JLtI6RR4ZqSjpYOryXzAnFmm0bMIt9GKhptnvWCy68J4u36ss_sTS3TPdZRiinN-KjcYazqC8AQ6FCBfnqB6TF7RYNQ8ywXpxvD0_N47wbw1TkXWQiBM_z4jjq_rl_1Qw7quGGo6csQX6PBFdmZ8ufbQdwF-NXqKwaxvNOc22EdBn310LHMzSzwQwjyGZFFyzyDoiXSENCg1zlEIRV7Q0AXXiywVwGw5qoS_MfgmHSRP2TSShNvr_A_QzgTZce0mj-45AvA5I6s-LQhDqbaOdCZYiExF3ssy2Exl38XqAJeRBaX6VRLij7RLnpS8YIwLswapngMPMkNBmbCkLfQOeL2vuSgOhuuNWfu38kuiSNl4Ags&p=1&fvj=1&vjs=3
NT Concepts,United States,"Data Scientist (Ft. Worth, TX) ",30+,," 
 <h2 class=""jobSectionHeader"">Overview
Who We Are
We’re NT Concepts, a leading provider of business and technology solutions for the intelligence and national security communities! Our team of engineers, subject matter experts, and data scientists provide experienced, high-quality Information Technology (IT) and cybersecurity engineering and innovation support. We do that by working with some complex clients on their hardest challenges. Clients with massive, complex data sets. So we get to keep learning, building, and keeping our skills sharp. And since life’s too short to spend with difficult people, we hire team members that not only like to solve problems, but that we like so hang out with. That's important.<br/>
<h2 class=""jobSectionHeader"">Responsibilities
And… Why We’re Both Here - This “Job” Thing
Here it is: we have some opportunities. And we’d like to get to know some more amazing people, that might want to talk about that. People like you. Since you’re reading this, and the title’s “data scientist,” we’re thinking you might be a little interested. Very cool.<br/>

We love people who dream big, find data fascinating, and understand that’s it’s not just about data: it’s about the science behind it, and how you can use it to solve real-world problems. We've got some tricky time-series data on this particular project and are looking for creative minds in the deep learning space to tackle it. (Also, if you happen to have some level of talent at, say kick-ball or giant Jenga: bonus points).
<h2 class=""jobSectionHeader"">Qualifications
Who You Are
Okay, beyond the basics (you solve problems, and are generally nice), we’re looking for a few skills. Less concerned with the specific technologies (great scientists can learn new tech as it emerges), more about horsepower.. That said, here are a couple bullets, things we look for:<br/>

Data science is a dynamic and evolving profession – we’re looking for people who love to learn and find unique solutions without being micro-managed: you’ll have the freedom to try new things, test solutions and technologies, and tell us when there’s a better path.
You know your way around a cloud console and have handled some pretty large volumes of data (time-series a plus!).
You are familiar with a few machine learning frameworks, like TensorFlow or PyTorch.
You've got experience with deep learning.
Maybe you have used enterprise products in the past for high throughput data ingestion and analysis.
Ultimately, we need someone who knows their way around data modeling, information extraction, time-series forecasting, machine learning algorithms, statistical analysis, or applied mathematics.
We realize that data scientists are a diverse breed and we are excited to hear how your unique combination of skills might apply to our current problem sets<br/>

Required:
Secret clearance required, higher is a plus
Bachelor's degree in a technical field<br/>

#CJ
#JT",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKx1m2p5CCoXg3Bu2KUaqCWaiUoXTSTyVPW-IgtqR1lpbWtuRx3zAAtVug-BZNPDbLEaQ5EXJmR-h-X5x5P3wWMVzxwy62Y97v4q2vNJp9HH0m3Hm5MB5P6t6Tt7tyFg4dMJJKSm_tOQJVxaxB1Yh7-YIZ0SweIM9Oy8yPM571I01_PM-mQYQjpiCAJSZAQgms--xeYzmkF4l_EqvJgIdP_PJWUES4Wpr1qYsFS2uowHX4l5mkm4lTDSeC-WCEwRW3INkFXgiXFfPr90lFt3RIjitSwNJ3LmlCOs9_jMHNLmeCgCyUcFDBBijtm_guf0YF4COLpoQ5yz2yMCu-HvWAvAB2VNioHCXgKe-61_1Frq9rX4mAFK-sM74BRxvJSIMbDhrGiFMesoYOoGPCYXBUNLjk03E32iPqHCK9Rcx8WvnW4XZnrvLoD6MDXN9vSFi-msRFMb-KwREu0XXKcqTxyStDnToThyH1vaUb7eL3xcyMl00cEWrBvGcHGusy-T8ufdWNfUOMDaREvqHtPwzBTnQLhgo8riyfDGVaoDcAI4ai7Eao-5bHgJ8J0zOVi0t2DfNQF1WRdaox0Iz2NJT63K0UXmRkrLHhjIgnFhGyc-mr5Nbr7ZE9-7KyzzwLuFzLgLnuLayNyL4JZuQ_nm8-8S9kT2JOY-hbEn8pcEknew==&p=2&fvj=0&vjs=3
Spotify,"New York, NY 10011","Data Scientist, Forecasting ",1,," 
 We seek an exceptional Data Scientist to join our Forecasting team in New York. This individual will contribute to the development of cutting-edge models to predict Spotify’s future user growth and content consumption. The output of your models will serve as the basis for the company’s financial forecast as well as provide context for business performance to both internal and external stakeholders. Your work will also help the team create a time series forecasting infrastructure that can be leveraged throughout the company. Above all, you will be at the nexus of data science and business at one of the most innovative companies in the world.

In addition to possessing strong technical background of their own, the ideal candidate will be a natural communicator who is able to explain complex statistical frameworks to business and engineering teams in both New York and Stockholm. We also have a strong preference for candidates with experience in analyzing and forecasting time series. Accompanying this broad set of responsibilities is exposure to many functional areas, as well as senior management, across Spotify.

What you’ll do

Support the production of Spotify’s public-facing user growth estimates on a quarterly basis.
Develop scalable solutions for forecasting Spotify’s growth and work closely with Data Engineering to put your solutions into practice.
Consult with functional analytics teams tasked with building predictive frameworks for their discrete business units.
Visualize time series data in intuitive ways for a non-technical audience.
Contribute to a machine learning framework to measure and predict Spotify user lifetime value metrics.
Support Finance leadership with research on key business initiatives and challenges.
Who you are

Degree in Computer Science/Engineering, Mathematics, Statistics, Economics, Econometrics, or another quantitative field.
Minimum 3 (5+ preferred) years of relevant experience, particularly in forecasting time series using Python, SQL, Scala, and/or R.
Experience with feature engineering for machine learning models.
Knowledge of Google BigQuery and Java/Scala is a plus.
Comfort operating independently in a fast-paced work environment.
We believe that everyone should enjoy their job, so we live by a work hard, play hard ethos. Spotify is a positive, fun, high-energy work environment that you’ve always wanted to be part of! 
 ",https://www.indeed.com/rc/clk?jk=41922d3ad138c2db&fccid=fe404d18bb9eef1e&vjs=3
Viacom,"New York, NY 10036",Jr. Data Scientist ,2,," 
 <h2 class=""jobSectionHeader"">Overview and Responsibilities
The Junior Data Science Engineer, Advanced Media Analytics will be responsible for supporting the build-out of new/alternate audience platforms across Viacom Media Networks. In this role, the individual will contribute to innovation in audience measurement, and help discover how VMN content is being consumed across platforms.<br/>

Identify, ingest, and enrich a wide range of structured and unstructured data into datasets for analysis
Learn to apply statistical and advanced techniques (e.g. segmentation, machine learning) to develop both prototypes and scalable (i.e. efficient, automated) data analyses
Conduct basic ad hoc analysis, building models, forecasting viewing behavior
Extensive code development, debugging, optimizing, and productionizing
Support the development of machine learning pipeline architecture
Help build out frameworks for quickly rolling out new data analysis for standalone data-driven products and services to support our network of media brands.
Be able to transform unstructured raw data in to formats suitable for modeling
Be able to work in teams and collaborate with stakeholders to define requirements
<h2 class=""jobSectionHeader"">Basic Qualifications
Bachelor’s or Master’s degree in a quantitative field
Knowledge of Python and/or R
Knowledge of algorithms for data mining, machine learning, and/or natural language processing
Possess some understanding of statistical procedures used in advanced analytics
Experience processing large amounts of structured and unstructured data using Spark, Hive or other Big Data technologies
Experience building scalable data models and performing complex relational database queries using SQL (Oracle, MySQL), etc.
<h2 class=""jobSectionHeader"">Additional Qualifications
Attention to detail and demonstrated ability to detect and resolve data/analytics quality issues
Outstanding verbal and written communication skills
Experienced user of data visualization tools (e.g. Tableau, matplotlib, ggplot2, etc.)",https://www.indeed.com/rc/clk?jk=1942a17d2bd166e1&fccid=ae0c894528aa6eee&vjs=3
WeWork,"New York, NY",Junior Data Scientist ,1,," 
 About the Role:

The Talent Reporting &amp; Analytics team provides people analytics that empowers leaders to make timely, informed, and future-focused business decisions. The team is responsible for development and delivery of Talent operational reporting; development, management, and support of surveys and assessments for all Talent process areas; and definition, development, and support of analytics supporting Talent.

Job Responsibilities:

Partner directly with the Talent Strategy &amp; Operations to support any reporting requirements needs for projects, measuring or analysis
Build, develop &amp; design dashboards to support Talent Metrics &amp; KPIs.
Ad hoc data analysis &amp; reporting for Talent programs and projects.
Weekly reporting on hiring and headcount stats within the organization.
Integrates multiple systems and data sets to build large and complex data sets and make them usable (e.g., transforming and cleaning data, working incomplete data sources, implementing and validating quality procedures).
Conducts scalable data research and off and ultimately on the cloud.
Implements automated processes for efficiently producing scale models.
Liaises and collaborates with other COEs, Business Advisor organizations and Core Talent Services on the whole analytics lifecycle (conceptualization, data collection, analysis, and recommendations) or when subject matter expertise is required
Develops compelling, logically structured presentations (including story-telling of research/analytics findings) that will be shared at the Talent and business leadership level
Requirements:

Undergraduate degree (4 years) in Computer Science, Statistics, Applied Math or related field. Master's degree preferred.
Use a broad range of analytical skills to discover, mine, and analyze data to precisely reflect the organization’s or client’s needs and improving deliverable quality through verification and validation of results
Ability to work independently and manage multiple task assignments
Skilled at communicating with a cross-functional team regarding deliverables, schedules, and issues
Creative problem-solving skills related to team, project, and cross-functional issues
Ability to maneuver in a matrix environment, leverage indirect reporting resources, and work well in ambiguous situation",https://www.indeed.com/rc/clk?jk=ddc8b8c2019b0a0b&fccid=e76dadb9a0d8a2cf&vjs=3
Spotify,"New York, NY 10011","Data Scientist,Creator Marketplace – all levels ",30+,," 
 Creator Marketplace is the home for Spotify’s music industry products, such as Spotify for Artists, Spotify Label Analytics and Spotify Publisher Analytics.

The Creator Product Insights Team is a thriving insights community of 20+ Data Scientists and User Researchers who blend their skills to help us shape the future of the Creator Marketplace by defining the next generation of music industry products.

We are looking for a Data Scientists – Associate to Senior level to help us continue to develop our music industry products, and develop best-in-class expression and promotion tools for Creators and their teams by exploring the following questions: How do we help artists stand out? How do we help them grow and reach new audiences? How do we help them connect with their fans?
Our mission is to turn terabytes of data into insights and get a deep understanding of the world of music and their creators. You will study user behaviour, evaluate strategic initiatives and experiment with new features.

Together, we’ll come up with exciting and effective ways to help artists succeed. You’ll join us to craft a strategy rooted firmly in data, that delivers on a future vision for the music industry through effective planning, behavioral analysis, experimentation, optimization. You’ll pair with user researchers, product and design to understand the performance of products and their impact on the market.
<h2 class=""jobSectionHeader"">
What you’ll do
Work closely with cross-functional teams of data scientists, product managers, designers and engineers who are passionate about Spotify’s success
Develop a deep understanding of how product and platforms influence user behaviour
Be a strategic partner to product development teams, making and give recommendations when needed
<h2 class=""jobSectionHeader"">Who you are
You know how to scope and solve loosely defined problems and come up with actionable insights to guide product development decisions
You have a deep understanding of statistics and experience working with real-world data, as well as a strong business sense
You have 4+ years of relevant experience, with a degree in statistics, mathematics, computer science, economics, psychology or another quantitative discipline
You have the technical competence to perform advanced analytics: coding skills (such as Python or Scala), experience with analytics tools (Pandas, R, SPSS or SQL) and experience performing analysis with large datasets
You possess statistical competence (such as regression modelling, a/b testing, significance testing etc)
<h3 class=""jobSectionHeader"">It is a plus if you
have demonstrated experience with hands-on statistical modelling and possess knowledge about machine learning (such as predictive modelling, decision trees, classification models, clustering techniques)
We’re looking for Data Scientists to join us at multiple levels. We will have an open discussion throughout the interview process about assessing which level and platform you fall within at Spotify. 
 ",https://www.indeed.com/rc/clk?jk=7152f1574b417810&fccid=fe404d18bb9eef1e&vjs=3
Digitalogy,"New York, NY",Data Scientist ,1,$50 - $80 an hour," 
 What you will do

Responsible for assisting with the development of our state-of-the-art, advanced analytical machine-learning-based software framework that can ingest, structure and model large amounts of data in different formats and from different sources. Capable of helping with the design of systems that can grow and maintain competitive advantage. Able to learn, assist and when needed take initiative on various modeling assignments.

<h3 class=""jobSectionHeader"">Qualifications:
Experience with Python
Knowledge of some of the following: numpy, scipy, pandas, scikit-learn
Knowledge of basic statistics and data analysis
Experience with open source software for data ingestion and data processing
Ability to both follow and take lead, depending on the situation
Academic or industry examples of machine learning models previously built
Hands on work with unclean, semi-structured or unstructured data sets preferred
Experience working in teams of analysts, data engineers, statisticians, and data scientists is highly preferred
Experience in analytics (a.k.a. decision sciences) in the financial industry; in particular, for credit and marketing of unsecured lending products (development of credit risk models, valuation models, credit policy) preferred
Superb analytical, math, coding, and data background
Innovative mindset—thinks beyond the status quo
Profiling, cross-platform adaptively, are preferred",https://www.indeed.com/rc/clk?jk=83e3f665b22e5695&fccid=f01127702f08b4dc&vjs=3
American Express,"New York, NY",Data Scientist ,2,," 
 As a Data Scientist, you will be part of a team responsible for development and execution of world class forecasting and planning models. These techniques will be accomplished with regular utilization of decision science, as well as analyzing and communicating various demand components while partnering to identify optimization opportunities. Primary business functions supported are: Global New Accounts, Global Credit and Fraud Network. Additional support may be required for other Global Services Group functions. The Data Scientist must demonstrate outstanding thought leadership, collaboration and partnership with multiple functional teams including; Risk Management, Finance, Operations, MIS, Contact &amp; Capacity Management and Technology partners while effectively supporting long and short term forecasting accuracy, and day to day oversight of the global demand environment.<br/>

Responsibilities include:
Development and maintenance of forecasting models for Global New Accounts, Global Credit and Fraud Network
Leverage existing and identify new data sources to perform complex modeling and decomposition strategies to generate insights and influence stakeholders
Develop, interrogate, question and validate data modeling inputs and outputs
Manage in a Global 24x7 environment with the potential for planning and executing in crisis/contingency plan situations
Establish and maintain strong relationships with Business partners, ensuring regular communication and insights on Plan execution
Manage relationships with a diverse, cross-functional and remotely located teams to successfully achieve goals<h4 class=""jobSectionHeader"">
Qualifications
Bachelor’s degree or equivalent in Computer Science, Engineering, Mathematics, Statistics, Operations Research, or a related field
Strong working knowledge of forecasting and planning models/methodologies
Demonstrated applied experience with R, Python, SQL or SAS programming is required
Proven track record of working on different Machine Learning projects; high positions in Kaggle and other machine learning competitions are preferred
Statistical modeling and forecasting, and application of quantitative and research methods are required
Demonstrated ability to synthesize large data sets into actionable insights
Demonstrated experience driving results in matrixed and global organization
Demonstrated thought leadership along with strong analytical and problem solving skills with high degree of finance acumen and/or mathematical aptitude
At least 2 years’ experience supporting reporting and analytics
Strong understanding of contact center management a plus
Employment eligibility to work with American Express in the U.S. is required as the company will not pursue visa sponsorship for these positions.<br/>
ReqID: 19014069<br/>
Schedule (Full-Time/Part-Time): Full-time<br/>
Date Posted: Jul 29, 2019, 8:19:09 PM",https://www.indeed.com/rc/clk?jk=31fffecf454ffea3&fccid=f057e04c37cca134&vjs=3
Facebook,"New York, NY 10017","Data Scientist, Analytics, Intern ",5,," 
 Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started.
Are you passionate about Facebook’s product, analytics and technology? The Analytics team is looking for fast-moving analytics candidates and data junkies who want to make an impact. Candidates will help own analytics for a particular product or business at Facebook and work with product managers and engineers to translate the analysis into meaningful impact to the business. Please note that candidates will have a general interview and then we will make a determination of actual team assignments.
RESPONSIBILITIES
Perform large-scale data analysis to extract useful business insights
Identify actionable insights, suggest recommendations and influence the direction of the business by communicating results to cross-functional groups
Work closely with a Product Manager and Engineering team to proactively create rule and manage decisions
Classify leads so that the teams work on the most valuable cases
Suggest improvements in the tools and techniques to help scale the team
MINIMUM QUALIFICATIONS
Currently has, or is in the process of obtaining, a Bachelors, Masters or PhD degree in Computer Science, Applied Mathematics, Statistics, Economics, or related technical field
Experience in solving analytical problems using quantitative approaches (or equivalent)
Experience with SQL or other programming languages (Python, Java, and/or C++)
Development experience in at least one scripting language (PHP, Perl, Python, etc.)
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment
PREFERRED QUALIFICATIONS
Intent to return to degree-program after the completion of the internship
Curious, self-driven, analytical and excited to play with data
Ability to thrive in a fast paced work environment
Facebook is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com.",https://www.indeed.com/rc/clk?jk=1eb7e96ae99c871d&fccid=1639254ea84748b5&vjs=3
