company,location,title,post_date,salary,description,url,role
Noom Inc.,"New York, NY",Data Engineer ,30+,," 
 At Noom, we use scientifically proven methods to help our users create healthier lifestyles, and manage important conditions like Type-II Diabetes, Obesity, and Hypertension. Our Engineering team is at the forefront of this challenge, solving complex technical problems that center around habits, behavior, and lifestyle. 
 We are looking for a Data Engineer to join our Data team and help us improve and maintain our Data Warehouse. If you like to work with billions of rows of data and be at the center of data-driven decisions, we’ll love working with you. 
 What You’ll Like About Us 
 We work on problems that affect the lives of real people. Our users depend on us to make positive changes to their health and their lives.We base our work on scientifically-proven, peer-reviewed methodologies that are designed by medical professionalsWe’re a respectful, diverse, and dynamic environment in which Engineering is a first-class citizen, and where you’ll be able to work on a variety of interesting problems that affect the lives of real people.We offer a generous budget for personal development expenses like training courses, conferences, and books.You’ll get three weeks’ paid vacation and a flexible work policy that is remote- and family-friendly (about 50% of our engineering team is fully remote). We worry about results, not time spent in seats.Delicious (and nutritious) daily lunches and snacks prepared by Sam, our NYC office on-site chef. 
 What We’ll Like About You 
 You have experience dealing with data at scale, processing and transforming hundreds of millions of data points per day.You have first-rate SQL skills, but you are aware of its limits. You know when to use it, and when it’s better to find a different solution.You are familiar with ETL tools and problems. We use Airflow, Redshift, Glue, and many other systems.You’re used to work alongside data analysts and data scientists to help them prepare complex datasets that can be used to solve difficult problems. 
 Job Type: Full-time",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CTxeckkshV_qNgr-yNuagKfX03aAeBqs32sUcG_UJIPCopPaQjc4KKFFfo8lQb5ONFzpN85zdeT-KTG2vfCLyCBdjdtFAFzp5F6jb8I_fhD7EGKeSa0G31fhTXHP97gfrhpYMsPz1CKXfWXcXl6akp6W6bVEoUScQfXFMcEiEV6mauMwiiDDEAUuFzWVqPMT7zbUsxMotBhG4wJmZD9dDFGAYomWyur1Y5ni3evRuf_3WLQVAqC3GvGFhsIJUUYl4TRO5ZtDq6Vmv3GiPSlWQo0vwecyjAYRwLWZTZKlFeIELru9nT0g-MPVGTheclY8LNLhNk1cZSKWKgGivHG8NQcTGEFG-vXtCKrfbdRTsXCI1-GbeOPpC75bgEYFvXWrRghtLbEw-lPEzjgf2nAU-L&p=0&fvj=1&vjs=3,Data Scientist
Strategic Financial Solutions,"New York, NY 10018",Lead Data Scientist ,18,," 
 Overview
Do you love numbers and finding the story in the numbers? Does the thought of tackling a complex data issue make you smile? Have you got a knack for solving problems? Do you want to help drive the results of a multi-million dollar business? If you have answered “yes” to these questions, the Lead Data Scientist position at Strategic Financial Solutions may be the right fit for you.<br/>

Strategic is looking for an experienced Data Science leader with extensive machine learning experience to join our Data Science Team, which already produces cutting-edge models for predictive and prescriptive analytics. The person in this role would be responsible for leading a focused team conducting data analysis and developing predictive models leveraging data science and machine learning to solve various business use cases, including marketing intelligence, customer segmentation, and predictive models for operations. We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company and external data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.<br/>

Responsibilities
Work with stakeholders to identify opportunities for leveraging company data to drive business analytics solutions.
Research and develop statistical learning models for data analysis
Communicate results and ideas to key decision makers
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Present information using data visualization techniques
Collaborate with sales, marketing and senior executive teams
Qualifications
~5-8 years of relevant experience
Graduate degree in Statistics, Data Science, Applied Math, Operations Research, or Computer Science.
Strong problem-solving skills with an emphasis on sales and marketing predictive analytics.
Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Experience using business intelligence tools (e.g. PowerBI, Tableau) and data frameworks (e.g. Hadoop)
About Strategic:
Strategic Financial Solutions is a leading consumer finance company that specializes in helping people that have too much credit card debt. We were recently named the 21st Best Company to Work for in New York by Best Companies to Work For and have been certified as a Great Place to Work 4 times. Additional honors include being named, two times, as one of the 50 fastest growing companies in New York City and to the prestigious Inc. 500 list as one of the 500 fastest growing companies in the United States.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJV66PMW1vfRBroK9Xo9q-fe_BYhfQZJW05MGq2kEzW_qMfNPbXz6GHViJDwdk1kKc_r-47FdSGQBsscuTXzJkiz6lWsTZfnbiD2_-S2mJccjT1vrsNue5RZG-cQHkCTVjUvuYMN_4FEZ_H9tg5Zpk9nSHECNF6f9BPfzJl_YNrSFdIDns8tQB3VhMN0VLfV31SlCaym_sdQJ2BrqwpJX8GSW9KWdSPH6LWcjmY1GEPzyNdWCav-GEt0eLtzci121BBHzq8pvNrR58vChCDzVnp1Qnl17zEj1jXLnM04izHhypVXeQr8Ao2WEt8w98TWUKrlAPwekPwhqq84KFZrDaIH1yWupE3kr_oTTgxGad9JPG0LdHvWlv-zSF6tuGNK-BDLT0SndCtsvwJbcIU_2yxugnRHFKFos51KO9kxH53YV_zndpX9OIdRk4Vg4FBgN2N_mlYRho8foSYMCIa1XuVQP_LnNM1NAMNDiSicnpxNsoeYkMt_2yqNgYlQRqvEY76MZHUVBpwQWwryLvsTNEJRJAM8kJXDW1L2BMdmLR8XjcxLyKnqITHNOYyxdza0bMEjFcBOSqCxkg5V5hRwAgCNgjf0qJIV8670_n6Vv-Kjy3BDKFsHYX&p=1&fvj=0&vjs=3,Data Scientist
Averity,"New York, NY","Manager, Data Science ",12,"$175,000 - $225,000 a year"," 
 We are one of the world's premiere travel technology companies, and we are hiring a Manager of Data Science to manage a small data science team. If you would like to work for a great company with amazing career potential, then this is the position for you. 
 What's the Job? 
 As the Manager of Data Science for our team, your main focus will be working on our advanced pricing algorithm. We work with over 2.5 million rules, and our algorithm helps generate $3 billion in revenue. You will be working with a small team overseeing further development of this model. Further, you will be working cross-functionally with a number of other teams across the company including Platform Engineering, Infrastructure, and Technology. 
 This is a hands-on role, so you should still be very experienced with machine learning algorithms and model development using Python and/or R. We are a very technical environment, so you should be looking for a role where you can utilize and continue to hone your technical and engineering skills. 
 Compensation? 
 $175,000 - $225,000 
 Very competitive bonus that has been paid every year 
 Generous PTO allocation 
 Full Benefits (Medical, Vision, Dental) 
 Who are we? 
 We are a household name in the travel and tourism space. Our company has been in business for over 20 years and is publicly traded. We have been offering discount travel since internet booking has been around. Our technology has been on the cutting edge for decades, and we continue to grow our company. 
 Desired Background? 
 Advanced machine learning experience building models in Python and/or R 
 It would be best if you have management or mentorship experience of other data scientists 
 Master's or PhD in a technical field 
 What Makes This Role Unique?  
 This is a great opportunity to work for a large, well-known technology company. We offer amazing path for upward mobility and growth potential. We are also a fun work environment that focuses on culture and happiness at our workplace. 
 Job Type: Full-time 
 Salary: $175,000.00 to $225,000.00 /year 
 Experience: 
 relevant: 1 year (Preferred)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DaqLoIGYbn5Lqe37Jn8hZ99RqUAC2d_AL-tR18DHYTQIrTKMlae1xkkl_VgT2Shu2sPcIh-CgxBOO5dm8ISo6P2Lz-ScfHC_jrdyRO0EditcxGiiiC-dydQNybr7d8h-uJ3QJ0xsG5Sl8sRf_mfviXPxPgrhv7SbKDRhWu7zCAHYbmK5yxMVLxKQP79A9Hg9pA0j_qPHKZe_bAq-QbZ397C3T5B57g16nq_57g5Lr07fNTv2evXaA6TTD9x9eVDUv3NvszqB0qtkQwRH8Kf0PrH8lsaK0cCa3g8mNPUIka3e4WsiQO9UnLAvi37D7lTj8v7hXH0gjKQ3F_6HUjumJz3rCKfNLve6BwCZUyzuGM67eOyI6wIUaUZ9Wb2LizoQiTFY4mgoLhh-JEM26iWEyUkDEGXKTCXb5CzntvZUtfsG61rF9dq8bpAwUAidUWGQQskjAkJ5192g==&p=2&fvj=1&vjs=3,Data Scientist
Lenmar Consulting,"Woodcliff Lake, NJ",Medical Data Scientist ,0,$75 an hour," 
 Medical Data Scientist 
 Must have at least 2 years of clinical data review experience in Clinical Research, review protocol and CRF designs. Adequate knowledge of ICH guidelines. 
 Abstracts all necessary information from Safety Data and recognize data discrepancies in Clinical Database. Performs reconciliation of safety report and clinical patient profile. Post queries for relevant information from safety report to be added in the clinical database. May require narrative writing for clinical data review profile. 
 Quantitative analysis - Performs a comprehensive review for the all SAE data but not limited to reported and coded terms. Completes brief description of clinical cases for clinical data review utilizing the autogenerated narratives. 
 Qualitative analysis - Ensures all relevant information is captured in clinical database and provides quality , clinically meaningful narratives. 
 Performs all duties according to company policy and regulations and guidance. Performs other duties assigned by the Director or Sr. Manager. No travel required. 
 QUALIFICATIONS:<br/>- Graduate of adequate health care related course and familiarity with medical terminologies.<br/>- Minimum of 1 year of AE/SAE data review in Clinical Research.<br/>- Strong knowledge of ICH guideline<br/>- Knowledge of INFORM, J -review is a plus and/or other Clinical trial Systems<br/>- Proficiency on all related regulations, GCP, and Good Clinical DM Practice<br/>- Computer proficiency<br/>- Expertise on use of Microsoft applications, e.g word document, power point, excel<br/>- Strong oral and written communication skills 
 Job Type: Contract 
 Salary: $75.00 /hour 
 Experience: 
 clinical research: 2 years (Required) 
 Education: 
 Bachelor's (Required) 
 Contract Length: 
 More than 1 year 
 Contract Renewal: 
 Likely 
 Full Time Opportunity: 
 Yes",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFemGR3Go9F8v2-GKl2JIsWfZgOhsTAVgyMzz65WEpTVND0fYu31fjCMGJJKBObDOSuFegvxC_ze8E0fPukwjFhSwM2U7AGrRu1g7xVdsM0mDbbrTIiC10BP_M1q8O7-RGXhIrKnpvagiwoYohHH__j_6fFLLvq_FQXpsQkpWwgQtRBTymyHUIx84-JGxXc_q_3xFUBd8b4g1Y3FQ9bFmQ0o0vTeyTxwZr66BBNkTrUOznrHu-Iy9S8F96-wIgGPy32Hyj5-YKKkbGYLS14PGuNX-F4LC3qq9B-4F-H2fUxAjDObuZ4M2FSOWL9xZ7rvUjVLRptubNjT5Xd-_5qRybEBsw3CISyY8CvNM47O3qQm5TJr2Ks953rVbqoDUoSxXl1APetkPnNQZ4kA6lInyOWs7IOjUSMWLL45pC0m6XWiehc1L__KkTOq5Z7UZtjPc0qxXbL4QUfw==&p=3&fvj=1&vjs=3,Data Scientist
Memorial Sloan Kettering,"New York, NY 10017",Sr Strategic Consultant / Data Scientist (Patient Access) ,16,," 
 <h2 class=""jobSectionHeader"">Company Overview
At Memorial Sloan Kettering (MSK), we’re not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we’re driving excellence and improving outcomes.<br/>
<br/>
For the 28th year, MSK has been named a top hospital for cancer by U.S. News &amp; World Report. We are proud to be on Becker’s Healthcare list as one of the 150 Great Places to Work in Healthcare in 2018, as well as one of Glassdoor’s Employees’ Choice Best Place to Work for 2018. We’re treating cancer, one patient at a time. Join us and make a difference every day.<br/>

<h2 class=""jobSectionHeader"">Job Description
WHEN APPLYING: Please include (as a single PDF) both a resume and a cover letter; in the letter, we’d love to hear about the most impactful project you’ve worked on recently.<br/>

Strategy Analytics and Patient Access
The Strategy Analytics team (within the Department of Strategy &amp; Innovation) leverages data to shape strategic decisions at Memorial Sloan Kettering Cancer Center and solve problems that measurably impact the lives of our patients and staff. We were awarded the 2012 INFORMS Prize for “repeatedly applying the principles of advanced analytics and operations research / management science in pioneering, varied, novel, and lasting ways.” We encourage analysts’ technical and business skill development in a variety of ways, including conferences and external workshops, internal training and journal clubs, creating analytical tools and best practices, and developing our own in-house R package.<br/>

This position is part of the Embedded Analytics Program and has dual reporting to (1) the Senior Director of Patient Access for goal setting and project implementation and (2) the Analytics Manager for technical supervision and mentorship. Embedded Analytics allows our analysts to be a full member of an operational team to truly understand their needs and ensure sustainable implementation of work, while still being part of a diverse and energizing community of analytics experts.<br/>
The Patient Access Service (PAS) is the front-door for the majority of Memorial Sloan Kettering’s patients. A team of 70+ Care Advisors and nurses is charged with helping patients access MSK clinicians by collecting information about their medical history and treatments, identifying the right sub-specialist to provide expert care, and coordinating appointment logistics.<br/>

The Role and Projects
We are seeking a Senior Strategic Consultant / Data Scientist who will serve as the lead on projects crucial to ensuring MSK’s growth and allowing patients continued access to our clinicians’ expertise. This will involve defining and scoping analyses, collecting and managing data, performing statistical and mathematical modeling, developing new tools and systems, and disseminating actionable insights. This will be as part of a team of two, in partnership with the current Data Scientist embedded with the Patient Access Service.<br/>

You will:
Serve as an analytical thought partner to Patient Access leadership, especially the Senior Director, Clinical Director, and 8 front-line managers
Become deeply versed in the operational needs of Patient Access and own the strategic roadmap for iteratively developing analytical products in support of those needs
Manage individual analytical products and projects (both independently and in collaboration with the current Data Scientist) from ""question to answer"" including problem framing, data collection and validation, exploratory analysis, statistical modeling, visualization, synthesis, and ongoing maintenance of reusable tools
Effectively communicate actionable insights and see them through to implementation<br/>

Sample projects include:
Growth Planning and Strategy: PAS leadership collaborates closely with clinicians and administrators on how to grow and manage their services. How can we provide them additional data and insights to guide clinician recruitment and practice management?
Call Center Operations: Patient demand is variable and changing. How can we define optimal staffing and training policies so as to maximize service levels while maintaining staff satisfaction?
Patient Experience: How can we collect timely and relevant data about patients’ experience of becoming an MSK patient while being respectful of their time and emotional state? How can we surface insights from this data to improve PAS operations?<br/>

Qualifications
We are looking for an analytics professional who has both deep technical skills and a passion for applying them to real-world problems in partnership with non-technical stakeholders. Our successful analysts typically have the below qualifications:<br/>

You have a proven track record (4-7 years of experience) of using analytics and data science to impact key business decisions
You’re a strong consultant skilled at partnering with non-technical stakeholders to turn vague business problems into crisp analytical projects
You know how to choose the right technical approach for a question (from a statistical model to a dashboard and everything in between) and know that the simplest solution is often the best
You’re a storyteller, able to synthesize knowledge from a variety of sources and clearly communicate complex topics to non-technical audiences<br/>

You’ve conducted reproducible analyses using R, Python, or a similar language
You’ve built beautiful production-grade dashboards using Tableau or a similar BI tool
You’re deeply comfortable with relational databases and SQL
You have a solid understanding of common statistical methods (especially regression models and probability)<br/>

You’re curious and self-motivated, and you thrive when working autonomously. You know when to run with something and when to ask for help.
You have a bachelor’s degree in a quantitative field (e.g. statistics, economics, operations research, mathematics) or equivalent training, fellowship, or work experience<br/>

Nice-to-have qualifications (but definitely not requirements) would include a master’s degree and prior experience in healthcare or call center operations.<br/>

#LI-CC16
<h2 class=""jobSectionHeader"">Closing
MSK is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sexual orientation, national origin, age, religion, creed, disability, veteran status or any other factor which cannot lawfully be used as a basis for an employment decision.<br/>
Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment. 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADJRuK6ChiwKA-mDQcZewxwPXsbrQsc0mRFei-KJ6Xzxx8q1wZUJIQ4Zji5_OCzVBxpDL0MmfrEi3LYAHwmFYv68BV9tpDB3we9F7jTr0LR3rWM6otmHuboGaW964MdH4dyhG4tSTmfUdRd7G2fuC-32mjseZQ9K0WiBz16hsOaXkaL3xe3gXGPLVTUybkiOF0ZnvJCd2w_fZiYsLIqldv9r86Mrg2qWB_wKIm1pFHSelw0RRoHvxWBCkaUKI2wCJU8CbXSHt9or95wjNg6VqN0Fa-OLYy3NT7afRlKaHAzgICDj7X7aJHi1PnowqO2ZF-_NTd8fOVscuH34ObB4L2CGahsJOqZxt0hexIgoH_GT6ma1BH5saJkeEjA5cNWaEIKbZNV0MdYfKyKWIE9uElDls12ycbLWpt0Z2wJorrDxBNJnwlEGD52XeNERSFvkwRgLiQpQxMi0jncK1Byq3UilxVSse9E1NcjumWujeFIU0wuM5tknqvU9zIsU6tMKRprnxYE5n5N_z5_Fx0p9yXmcnLAFVqozznTgoqXrnl54X1Itc0m16rvn0mTQsKq6f6KMTct0ntWjjUZ2lx94DuJnGtx9ZJ581mYR0dv6sE0GOBdcjUkkWjtwMmuXPaSgykTam477whfAhG_qvFplCbfrjknEYpw8Jhp6B030s-tZhwa6JeuU-R5u8Sm0c8Yqo4YYMZOz5rJrBeiDpbq9h8_NSDU9hDFDLX1wNbiObOV0GL5QKZAGe5VR88ItFSsLQNEej7V9-pOEdhRSyx1kQ-qy6fZ811ki9xMPNikeErD2yx38fw85Fn4qaijiptCMzuyJz0eGVSfY2LI-6mD0qPnLcFuXpKXUWJilJ8cRe0iiPF0PqSRB-wGWmD_ECQRhI=&p=4&fvj=0&vjs=3,Data Scientist
Digitalogy,"New York, NY",Data Scientist ,5,$50 - $80 an hour," 
 What you will do

Responsible for assisting with the development of our state-of-the-art, advanced analytical machine-learning-based software framework that can ingest, structure and model large amounts of data in different formats and from different sources. Capable of helping with the design of systems that can grow and maintain competitive advantage. Able to learn, assist and when needed take initiative on various modeling assignments.

<h3 class=""jobSectionHeader"">Qualifications:
Experience with Python
Knowledge of some of the following: numpy, scipy, pandas, scikit-learn
Knowledge of basic statistics and data analysis
Experience with open source software for data ingestion and data processing
Ability to both follow and take lead, depending on the situation
Academic or industry examples of machine learning models previously built
Hands on work with unclean, semi-structured or unstructured data sets preferred
Experience working in teams of analysts, data engineers, statisticians, and data scientists is highly preferred
Experience in analytics (a.k.a. decision sciences) in the financial industry; in particular, for credit and marketing of unsecured lending products (development of credit risk models, valuation models, credit policy) preferred
Superb analytical, math, coding, and data background
Innovative mindset—thinks beyond the status quo
Profiling, cross-platform adaptively, are preferred",https://www.indeed.com/rc/clk?jk=83e3f665b22e5695&fccid=f01127702f08b4dc&vjs=3,Data Scientist
Viacom,"New York, NY 10036",Jr. Data Scientist ,7,," 
 <h2 class=""jobSectionHeader"">Overview and Responsibilities
The Junior Data Science Engineer, Advanced Media Analytics will be responsible for supporting the build-out of new/alternate audience platforms across Viacom Media Networks. In this role, the individual will contribute to innovation in audience measurement, and help discover how VMN content is being consumed across platforms.<br/>

Identify, ingest, and enrich a wide range of structured and unstructured data into datasets for analysis
Learn to apply statistical and advanced techniques (e.g. segmentation, machine learning) to develop both prototypes and scalable (i.e. efficient, automated) data analyses
Conduct basic ad hoc analysis, building models, forecasting viewing behavior
Extensive code development, debugging, optimizing, and productionizing
Support the development of machine learning pipeline architecture
Help build out frameworks for quickly rolling out new data analysis for standalone data-driven products and services to support our network of media brands.
Be able to transform unstructured raw data in to formats suitable for modeling
Be able to work in teams and collaborate with stakeholders to define requirements
<h2 class=""jobSectionHeader"">Basic Qualifications
Bachelor’s or Master’s degree in a quantitative field
Knowledge of Python and/or R
Knowledge of algorithms for data mining, machine learning, and/or natural language processing
Possess some understanding of statistical procedures used in advanced analytics
Experience processing large amounts of structured and unstructured data using Spark, Hive or other Big Data technologies
Experience building scalable data models and performing complex relational database queries using SQL (Oracle, MySQL), etc.
<h2 class=""jobSectionHeader"">Additional Qualifications
Attention to detail and demonstrated ability to detect and resolve data/analytics quality issues
Outstanding verbal and written communication skills
Experienced user of data visualization tools (e.g. Tableau, matplotlib, ggplot2, etc.)",https://www.indeed.com/rc/clk?jk=1942a17d2bd166e1&fccid=ae0c894528aa6eee&vjs=3,Data Scientist
Butterfly Network,"New York, NY",Data Scientist ,3,," 
 Job Description<br/>
<br/>
We are looking for a highly motivated and experienced data scientist to drive data-driven strategy and product decisions. You will be responsible for extracting actionable insights from the usage of our mobile, web and e-commerce apps as well from sales, marketing and manufacturing datasets. The ideal candidate will have experience understanding levers to improve engagement with SaaS products and with boosting conversion for e-commerce flows. The role is anticipated to grow quickly with the company’s success allowing the candidate to build a world-class team.
Responsibilities
Model lead and customer behavior to direct marketing and sales strategy, e.g. customer segmentation, predict Net Promoter Score, identification of potential churn risk and upsell opportunities.
Analyze e-commerce data to identify opportunities to improve conversion. Run A/B testing to test hypotheses and optimize e-commerce platform
Provide data to inform cloud and mobile app product roadmap. Segment users, design and surface key metrics (e.g user retention), analyze feature usage, identify associations between mobile and web usage,
Identify opportunities to improve customer support. Alert on emergent reliability issues based on support interactions, cluster patterns of failure e.g. using NLP, work with manufacturing team to predict issues based on self-test data
Build dashboards and presentations to surface insights to leadership
Make data accessible to the company as a whole with self-service tools and training 
 
 
 <br/> 
 
 
 Qualifications<br/>

Bachelor’s or higher degree in a quantitative field
3 + years of data science experience
Knowledge of statistics including hypothesis testing
Knowledge of supervised and unsupervised ML techniques for data science: clustering, association-rule mining, prediction, anomaly detection
Deep experience with Python data science ecosystem: pandas, numpy, scipy, Jupyter Notebooks/Labs
Advanced SQL user
Able to create compelling data visualizations, using Tableau or similar tooling
Able to manage projects with technical and non-technical stakeholders in a fast-paced environment
Knowledge of data model for source operational systems beneficial (Netsuite, Salesforce, Zendesk)
Knowledge of Git, Airflow and Google Cloud Platform tools beneficial<br/>
Additional Information<br/>
<br/>
In addition to working with colleagues and advisors who are the best and brightest in their fields on revolutionizing healthcare and helping to save lives, we offer great perks:
Fully funded medical insurance, dental, vision coverage
401K plan
Competitive salary and equity in the company
Free on-site meals, unlimited healthy snacks
Brand new office in Flatiron
Pre-tax commuter benefits
Butterfly Network is an equal opportunity employer regardless of race, color, ancestry, religion, gender, national origin, sexual orientation, age, citizenship, marital status, disability, or Veteran status.",https://www.indeed.com/rc/clk?jk=14bc4e97c18a1690&fccid=f34adc12ba09e47f&vjs=3,Data Scientist
Celonis,"New York, NY 10036",Data Scientist ,2,," 
 Are you ready for a new challenge?
 
 <br/> 
 <br/> 
 
Celonis is the leader in business transformation software, turning process insights into action with The Celonis Intelligent Business Cloud, built on the process mining technology it pioneered. For Global 2000 companies, transforming to an intelligent enterprise has become a key strategic priority. Celonis disrupted what had previously been a manual, time-consuming and expensive consulting-driven approach to jump-start and operationalize change in transformation initiatives. Companies around the world including Siemens, L’Oreal, Uber, 3M, and BMW rely on Celonis technology to guide action and drive change to business processes, resulting in millions of dollars saved and an improved experience for their customers. Headquartered in Munich, Germany and New York, New York, Celonis has grown 5,000% in 4 years and 300% in the past year. Valuated at over $1Billion, Celonis received $27.6M Series A in June 2016 and $50M Series B funding in June 2018 from investors Accel and 83 North. Since opening its US headquarters in New York in September 2016 it has quickly added blue chip customers like Lockheed Martin, ExxonMobil, Honeywell, and Mars to its client roster. The US is the fastest growing region for Celonis and will soon exceed 50% of its total revenue. In addition to its offices in the UK, Netherlands, and Japan, Celonis is expanding US offices in New York, San Francisco, Raleigh, Ann Arbor, as well as Latin America.
 
 <br/> 
 <br/> 
 
RESPONSIBILITIES...
 
 <br/> 
 <br/> 
 
 
 
You will actively drive Celonis’ expansion and work in project teams to kick-start our customers’ process mining journey. You will make digital business processes transparent and harmonize our customers’ gigantic data flows by using our Celonis Process Mining Technology and by applying the most up-to-date extraction and transformation methods. You are involved in implementation projects with process data of varying degrees and complexity and for customers across industries.
After the successful evaluation and preparation of the process data, you connect the respective on-premise/ Cloud systems with our software. You extract and transform customers’ data and design process- and customer-specific analyses.
Over the course of our projects, you expertly handle our customers’ individual needs and actively participate in customer workshops.
 
 
REQUIREMENTS...
 
 <br/> 
 <br/> 
 
 
 
BA/BS (or MA/MS) in Computer Science/ Mathematics/ Physics or other related field
Relevant work experience in consulting or IT products with need of explanation
(2+ years) in the area of enterprise software sales, pre-sales, consulting or business development
You’ve got excellent analytical skills, you are always well structured and are known for being a quick learner
You have fun evaluating complex data, as well as supporting customers
You are excited about Big Data, Data Mining and Process Mining
 
 
",https://www.indeed.com/rc/clk?jk=755c879e19b03db1&fccid=45e3ffaf109af70e&vjs=3,Data Scientist
Macy's,"New York, NY 10001",Associate Data Scientist ,14,," 
 Job Overview:<br/>


As part of the Supply Chain group, the Associate Data Scientist will develop innovative analytical approaches to merchandising, supply chain, customer, and pricing strategies. The Associate Data Scientist will perform technical analyses to forecast demand, understand customer preferences, simulate business outcomes, and optimize inventory investments. The Associate Data Scientist will develop persuasive interactive visualizations to influence high-impact business decisions. Perform other duties as assigned.<br/>


Essential Functions:

Answer complex business questions by applying structured problem solving and performing technical analyses.
Support the development of classification, forecasting, simulation, optimization, and summarization applications.
Work closely with cross functional teams to draw insights from data and analysis.
Create compelling interactive visualizations and presentations to enhance decision making capabilities throughout the company.
Regular, dependable attendance &amp; punctuality.
Qualifications:<br/>


Education/Experience:
B.S. or M.S. (preferred) in relevant technical field such as Applied Mathematics, Computer Science, Engineering, Physics, or Economics.
Communication Skills:
Ability to communicate complex quantitative analyses in a clear, precise, and actionable manner.
Mathematical Skills:

Basic math functions such as addition, subtraction, multiplication, division, and analytical skills.
Reasoning Ability:

Must be able to work independently with minimal supervision and make sound decisions.
Physical Demands:

This position involves regular walking, standing, sitting for extended periods of time, hearing, and talking.
May occasionally involve stooping, kneeling, or crouching.
May involve close vision, color vision, depth perception, focus adjustment, and viewing computer monitor for extended periods of time.
Involves manual dexterity for using keyboard, mouse, and other office equipment.
May involve moving or lifting items under 10 pounds.
Other Skills:

Strong passion for answering complex business questions using structured problem solving and rigorous data analysis.
Familiarity with analytical tools such as SAS, R, Matlab, or STATA or scripting languages such as Python, Perl, or PHP.
Familiarity with relational databases and SQL and experience working with large data sets and distributed computing tools such as Hadoop, Map/Reduce, Hive, etc.
Familiarity with visualization tools such as Tableau or Spotfire.
Work Hours:

Ability to work a flexible schedule based on department and company needs.
This job description is not all inclusive. In addition, Macy's, Inc. reserves the right to amend this job description at any time. Macy’s, Inc. is an Equal Opportunity Employer, committed to a diverse and inclusive work environment. 
 ",https://www.indeed.com/rc/clk?jk=126152117b65ee20&fccid=6df24d87c9f05a07&vjs=3,Data Scientist
