company,location,title,post_date,salary,description,url
EnergyWatch LLC.,"New York, NY 10001",Intermediate Level Excel Data Analyst ,15,"$35,000 - $40,000 a year"," 
 What you'll do: 
 Onboard new clients from a data acquisition perspectiveCompile, process, extract, and verify utility data from various sourcesCommunicate with utility companies and energy suppliers to resolve billing issuesEfficiently and accurately enter, manage, and manipulate data in our databaseReview audit results from utility invoices and determine next steps 
 Who you are: 
 Proficient with Microsoft Excel (This will be tested)Experience with utility data and invoices a plusDetail-oriented and organizedEager to learnExcellent oral and written communicatorAble to handle deadlines, high stress situations, and effectively resolve conflictsTeam PlayerFluent in EnglishEligible to work in the USfull-time 
 About EnergyWatch:  
 EnergyWatch is an entrepreneurial, private equity backed New York City-based provider of energy management services and technology to large commercial and corporate real estate, retail portfolios, and industrial energy consumers. The Company’s established, well-regarded solutions are anchored by its proprietary, cloud-based software tool, which helps consumers reduce energy expenses, simplify energy reporting, and measure and verify performance. By combining various streams of utility, weather, commodity market, metering, and building data in our integrated energy management platform, we provide data-driven services that save time and money, reduce risks, and identify cost saving opportunities. 
 Job Type: Full-time 
 Salary: $35,000.00 to $40,000.00 /year 
 Experience: 
 Data Entry: 1 year (Preferred)Relevant: 1 year (Preferred)customer service: 1 year (Preferred) 
 Work authorization: 
 United States (Preferred) 
 Work Location: 
 One location 
 Benefits: 
 Health insuranceDental insuranceVision insuranceRetirement planPaid time off",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DfEB53RXvwC4PmZucvkms1wW3Q6_ndkmbBV6oet_aQ8nj23TkRZr2cSBi_oyPcEqc6kyu6Fdy86zWJFQ_ryYcbXKIxCRdmY4I8KNH0RMlGL-7BKQt7sZhT5JFBAhs53LWpp8Bh8Hx511F1YTDwC_D_VgXtLJAPEVMYuin7dN0VPqH6mQBCBRVla4CPOd3BExp2X565RSawwJ-_aGSDJV1UE4BN48NFpgnEK2PseyyAMZ4sbJ4SDFnHKC9Z7VLJE2Q2Hmzh6zhMxEz2_ofqvuL6ELYetaqRjpDBGAEcO_VMvA-UOC9QV9r_aE_d93t6NKMGpSdE7FgWwyWVyTIO0ZzEBI-AcLURI00DdVMVstegyI03lkb0spy87Io0AFI1ft7I6ifhJeefo9JTyjrW3V7OS_1RW21N8REZX4aRiDkPCz-JX-yoTNZblhmw1e9Z0xh8HvhypDd6NMgnVse0cet0&p=0&fvj=1&vjs=3
Advance Care Alliance of NY,"New York, NY",Clinical Data Analyst ,16,," 
 <h2 class=""jobSectionHeader"">Overview<br/>
Advance Care Alliance is an exciting Start-Up Care Coordination Organization providing community-based services and support to people with Intellectual and Developmental Disabilities throughout NYC, Long Island &amp; the Lower Hudson Valley.
Since ACANY began operating within the last year, we have grown to nearly 1000 employees and expect to grow to over 1200 employees by the end of summer! We are experiencing exponential growth which creates career advancement opportunities for our employees!
We offer:
Enhanced Salary Rates!
Generous PTO
A work laptop &amp; cell phone for your use!
A “refreshing”, high-energy, dynamic culture
Mileage reimbursement
 Flex Spending – Medical, Dependent Care, Commuter &amp; Parking
Open door business model where your voice is heard
Comprehensive and Generous Employee Benefits
Room for Advancement and Professional Development
Employee Referral Program
Work/life balance – for real!
Leadership who truly care<br/>
<h2 class=""jobSectionHeader"">Responsibilities
The Clinical Data Analyst is tasked with creating, generating, and analyzing statistical reports to track and measure various clinical functions as well as maintaining databases to provide leadership with data driven evidence in support of strategic decisions. The Clinical Data Analysist will also be responsible for providing ad hoc reports as required by requests from leadership and/or regulatory authorities. This position sits within the Quality Assurance Department, reporting to the Director of HIT and Analytics.
Utilize Excel and other tools to build reports and data visualizations using electronic health record system data;
Collect data from multiple sources and create reports for management review;
Design reports for use by program managers, internal and external stakeholders;
Analyze program data and prepare date trend reports drawing from multiple sources;
Ensure that ACA's HIT platform is being used as effectively as possible to improve individual outcomes and CCO operations;
Performs other duties as may be assigned by the Director of HIT &amp; Analytics or Agency Leadership.
<h2 class=""jobSectionHeader"">Qualifications
Qualifications:
Bachelor’s degree in healthcare / health administration or a related field; Master’s degree preferred.
One or more years’ experience extracting and cleaning data from electronic health record systems, or other similarly complex production systems.
Information management skills needed to work with basic database, develop reports, identify trends, and present information to employees and management staff;
Ability to effectively manage time to meet multiple, competing demands and priorities.
Must have outstanding analytical and follow-up skills, as well as excellent attention to detail.
Proficiency in Microsoft Word, Excel, Access, and Power Point required.
Familiarity with a BI platform such as PowerBI or Tableau.
Experience in a healthcare setting strongly preferred, specifically with Electronic Health Records (EHRs) or Clinical Information Systems.
Competencies:
Demonstrated analytical, problem-solving, and research skills to assess, synthesize, and present information in a clear and concise manner and ability to develop and implement strategies accordingly.
Excel expertise.
Familiarity and interest in the landscape of healthcare quality improvement and population health management.
Willingness and ability to learn new systems and tools, as needed.
Must be able to interact with executives, and all levels of staff, in a highly professional manner.Ability to use discretion and maintain the confidentiality of information obtained in conduct of work.<br/>

ACANY is a 501(c)(3) organization that has been designation as a Care Coordination Organization/Health Home (CCO) from New York State. CCO is a care management model for people with I/DD that combines Medicaid Service Coordination (MSC) of home- and community-based services (HCBS) with integrated care management of a person’s medical and behavioral health needs. ACANY supports 25,000+ people in its program and draws Care Managers from 100+ member organizations spanning New York City, Long Island, and the Lower Hudson Valley. 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_LyahXYDBK3W56w_mU0rhhi0L0q2hkmBZ1Cgj165dbcmOiSv67a69AMatlcAf8Nq6bygzdMHqxU6ILjpQZj1AyRLAW72oOhHPGBA1jLYVHJ32mfQz4W83JeARCyZdYJi9XOGjH2LN8AO21QaYBFVDq5noD6KFlw-UgQSsT8rQzJxyKLTIMIU1vTeQLoi-oVk7rwvDbDGyfAZCiKws4BkyY5_sAJkxOtjibbtySX8zZznCYtAPqbor_wFj56S_LWefti4oQBl9HpEdp3XAKRKINZX7IcGFXfAnJ9RgeWnPjxfkP5Wr57DgiC-fIW-HzWJQDjvyRVd0JGzBdC5Q2aOWk_cRxcCAXttbPp_hfqFM-HULsQgH8tgeJBmSbLpyu3uRs5J_C-L6bNOnXgD-0WG-P5PPSHEcZAKQm4nm3D_bOZABwRQRM8TUw9q8VI2eU-Jcw48xRIBKEUopxZuPIKBIrnD7zBTbkgeVGVN4pYm_xwvdwiWy4Gfdnx_Cb5-keMGm2SqIUzKo2jDo9sOR4oz1hE102Pq_qrBP8JMG4HJknC0018EGYAQomutB7FZFSPqhWMboyjoaOHREmu48B9rzdaucPzSouwXqYsZh0WwsOCrHOcoyk_nO&p=1&fvj=0&vjs=3
Northpointe Staffing,"Montvale, NJ",Business Analyst ,0,," 
 Business Analyst will be responsible working with internal teams to ensure understanding and adherence to business process improvement and to ensure that proper controls are in place for risk mitigation that can be managed through applications and systems. 
 Responsibilities Include: 
 Work with technology, business process owners and vendors to define and document business requirements 
 Identify and define technology solutions that improve process efficiencies 
 Maintain communication and work with Business Process Management Leaders and Project Managers to ensure that project deliverables and milestones are met. 
 Support Risk Management Applications Team projects and initiatives 
 Prepare project report 
 Conduct reviews for scope, business justification and business requirements 
 Qualifications: 8 – 10 years Business Analyst experience. Prior experience working with Risk Management Applications Preferred. Strong communication and analytical skills a must. Ability to work independently as was as part of a team. 
 Job Type: Temporary 
 Experience: 
 business analyst: 8 years (Preferred) 
 Education: 
 Bachelor's (Preferred)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AWtFlgNcYtFiNg6J9y-W-kxbePP5kVx6kwWW2nTRfOFVFH6MWeV5VnFciNuHOmzCNM8I7ToQALPyfvmR65LrHPQzfAJxVjWTkbHfurDsl48fsz1aEjsdvKKoLQUZ8cAxmv2__Ib4gmG37jyorA-9Q-mA6KwGGZap-PQggf3U_n2PJQvtKNGoF5oxsm6zErYTwEQnNTKnw7QMygABOEUn59OwGSWMN6FNE_bgH6rz9KTUlHh4Ne2phH5k-iI7WWrUFsTuHNTovuYOUS9zZ0Sv7Mtl57Ph2F5FtlSyadu98DcqHUd3d6sd0bVg_j_wKo5v2S49_eCUwhZmhDZokS_jegUO4Q25fmXgWDSpJSvOMWoX6O2Fsap6h8Y3RL42SYE49osbFZW0snJ7ioQiYL3tyazFmj6SbMe96yvCjF1TgdxrCXsO36MLD2NJ5022b5v5M=&p=2&fvj=1&vjs=3
The New York Times,"New York, NY 10036","Analyst, Data & Insights, Advertising ",0,," 
  
 Seeking analytical talent to turn passion for data and support of world-class journalism into tools and insights. The analyst collaborates with internal ad sales, ad ops, ad tech, and product teams to deliver strategic analyses and recommendations, build tools that demonstrate the unique value of the NYT to advertisers, conduct experiments, and accurately measure ad performance and effectiveness. This position requires a strategic and tactical viewpoint, strong problem solving skills and a deep sense of curiosity.
Responsibilities:
Collaborate with internal stakeholders to understand the business and develop data driven insights that are both strategic and operational
Collaborate with data science and tech to bring to life new targeting and insight tools
Democratize data and insights through skillful data structuring and use of visualization tools
Participate in and sometimes lead all phases of analytic work: from problem definition to representation of results
Formulate insights, championing them and driving them into action
Minimum Qualifications:
Degree in an analytical field such as economics, stats/mathematics, or computer science or 1+ years experience in an analytical role
Strong skills in SQL
Strong communication and presentation skills – written, visual, and verbal
Excellent analytical reasoning and problem-solving skills
A collaborative mindset and sense of curiosity is essential<br/>
Desired Qualifications:
Experience with Python or R
Experience with visualization tools like Tableau, Chartio or Looker
Familiarity with Google BigQuery or other big data environments
Experience applying statistics to business problems
Experience with DMP and DFP data
On the job experience partnering with or working for an advertiser
Benefits and Perks:
Support our original, independent and reported journalism.
We provide great health, dental, vision and life insurance for employees and their families
We support responsible retirement planning with a generous 401(k) company match.
We offer a great parental leave.
We are committed to career development and ongoing learning supported by a formal mentoring program as well as $8,000 annually for tuition reimbursement.
We have frequent panel discussions and talks by newsmakers and industry leaders.
Join a community committed to the richness of diversity, experiences and talents in the world we cover, supported by a variety of employee resource groups.
#LI-HM1<br/>

The New York Times is committed to a diverse and inclusive workforce, one that reflects the varied global community we serve. Our journalism and the products we build in the service of that journalism greatly benefit from a range of perspectives, which can only come from diversity of all types, across our ranks, at all levels of the organization. Achieving true diversity and inclusion is the right thing to do. It is also the smart thing for our business. So we strongly encourage women, veterans, people with disabilities, people of color and gender nonconforming candidates to apply.
<h3 class=""jobSectionHeader"">The New York Times Company is an Equal Opportunity Employer and does not discriminate on the basis of an individual's sex, age, race, color, creed, national origin, alienage, religion, marital status, pregnancy, sexual orientation or affectional preference, gender identity and expression, disability, genetic trait or predisposition, carrier status, citizenship, veteran or military status and other personal characteristics protected by law. All applications will receive consideration for employment without regard to legally protected characteristics.",https://www.indeed.com/rc/clk?jk=51a5cb8e210b1e7d&fccid=1b50fcfb150b1b48&vjs=3
AT&T,"New York, NY",Associate Data Analyst ,7,," 
 <h2 class=""jobSectionHeader"">Description
Associate Data Analysts are the creative thought leaders responsible for leveraging data to maximize performance for our most strategic clients and our product as a whole. We partner closely with the Account Management, Services, Product, Data Science, and Engineering teams to study client and product performance data, identify areas for improvement, and implement enhancements to drive success on our platform. Our team is focused on tool-building and teaching others so that we can scale analytical capabilities across Xandr. This role is perfect for someone who has a quantitatively-oriented degree, commercial work experience, a passion for mathematics, analytics, and coding, and a strong desire to use data to inspire success for our customers.<br/>
<br/>
About the team:<br/>
The core mission of the Analytics organization is to drive strategy and execution across the company using data to inform and empower our partners. Whether we’re working with client-facing field teams or internal decision makers, we aim to meet any reporting, analytics, visualization and story-telling needs they may have. Beyond our data capabilities, our team acts as consultants for our partners, breaking down every request to ensure that the analytical insights we’re providing will truly help achieve our partners’ goals. Our toolkit includes elements of theory – probability models, statistics, machine learning, game theory – as well as practical tools and techniques for manipulating and exploring vast quantities of data. Depending on the exact role, we work closely with Production Engineers, Product Managers, Operations, Account Managers, Services, Marketing, and sometimes directly with clients to create novel features, systems, and analyses. We love that our contributions further Xandr’s position as a pioneer and thought-leader in the AdTech industry, but at the end of the day, we measure our efforts based on the impact and value we create for our clients and internal teammates.<br/>
<br/>
About the job:<br/>
Become an expert in Real Time Bidding (RTB) buying and selling strategies, optimization &amp; yield management algorithms, and data visualizationWork closely with internal teammates and our largest clients to provide Return on Investment (ROI)-focused insights and recommendationsAnalyze and problem solve client performance issuesDesign and execute A/B tests to assess the impact of potential buying strategy, optimization technique, or product releasePartner with Data Science, Product and Engineering teams to roll out and monitor success of new algorithms and product linesDemonstrate thought leadership in digital media analytics and optimizationHelp build our Analytics practice by developing training materials, customer facing assets and internal resourcesProvide feedback and share knowledge with other teams across the company<br/>
<h2 class=""jobSectionHeader"">
Qualifications1-3 years of relevant analytics work experience and a quantitatively-oriented degreeExperience working with extremely large datasets in a fast-paced, entrepreneurial and fluid start-up environmentStrong analytical and problem-solving skills with a demonstrable passion to dig into terabytes of data and quickly construct toolsExperience with data visualization and using data to tell a storyMastery of MS Excel; experience with relational databases, SQL and Python (NumPy, SciPy, Pandas)Proven excellence at formulating, understanding, and solving complex, non-routine problemsOutstanding organization and presentation skillsStrong written and verbal communication skills<br/>
More about you:<br/>
You are passionate about a culture of learning and teaching. You love challenging yourself to constantly improve, and sharing your knowledge to empower othersYou like to take risks when looking for novel solutions to complex problems. If faced with roadblocks, you continue to reach higher to make greatness happenYou care about solving big, systemic problems. You look beyond the surface to understand root causes so that you can build long-term solutions for the whole ecosystemYou believe in not only serving customers, but also empowering them by providing knowledge and tools",https://www.indeed.com/rc/clk?jk=8989f5a5a7b3f42a&fccid=25b5166547bbf543&vjs=3
ClipperData LLC,"Manhattan, NY",Data Analyst Intern ,2,$15 an hour," 
 ClipperData is an innovative data company founded in 2013 that provides transparency to the energy sector with granular, real-time information on crude and petroleum product waterborne shipments, and proprietary monitors, domestically and globally. Our clients include diverse market participants across the energy, logistics, and financial sectors. We are headquartered in New York City, with satellite offices in London, Singapore and other US cities. 
 clipperdata.com 
 The quantitative team is currently looking for interns to assist with some general data works for some of our company's proprietary products. The intern(s) would be responsible for coming into the office in Flatiron most weekdays. 
 I'm looking for someones who 
 is honest, reliable, and clever in a general way.have close attention to detail, responsibility, and an interest in learning about markets. 
 experiences with handling data in either Excel or other software would be helpful.read this before applying. 
 Job Types: Part-time, Internship 
 Job Types: Full-time, Part-time, Internship 
 Salary: $15.00 /hour 
 Experience: 
 relevant: 1 year (Preferred)",https://www.indeed.com/company/ClipperData-LLC/jobs/Data-Analyst-Intern-73f33c06b896f1d7?fccid=e79ceacf1d1c7048&vjs=3
"IQlogg, Inc","Brooklyn, NY",Pharma Data Analyst ( Entry Level) ,7,," 
 This position requires strong analytical, problem-solving, and communication skills with keen attention to detail. Additionally, the problems and tool-set are quite varied, and the candidate should take the initiative to attack new challenges and learn new skills. This person must be well organized and flexible. 
 RESPONSIBILITIES:  
 Work with client case teams to identify their needs and jointly develop solutions through leveraging all available analytic and visualization optionsConduct regular consultations with clientsProvides regular status updates regarding assigned tasksEnsures successful completion of work, timeliness of deliverable, and quality controlBuild experience in all available analysis and visualization software. 
 Qualifications 
 EDUCATION &amp; EXPERIENCE 
 Bachelor’s/Masters degree in Computer Science or equivalent; 0-2 years of experience using analytics tools, methods, and visualization softwareSignificant experience in one or more of the following tools is required:Tableau SoftwareDatabase (SQL Server, Oracle, PostgreSQL, MySQL)Programming and/or scripting (Python, R, Java)Understanding of database, ETL, and analytics tools and conceptsMust be able to work independently and prioritize work effectively, as well as to function as an effective team member in a local and virtual team development environmentStrong analytical and problem-solving skills with unsurpassed attention to detailExcellent communication (written and verbal) skillsSQL experience is plus.Previous Pharma Experience is a plus. 
 Job Types: Full-time, Contract",https://www.indeed.com/company/IQLOGG-INC/jobs/Pharma-Data-Analyst-0257179b991c878e?fccid=f322d57b14164caa&vjs=3
Montefiore Medical Center,"Bronx, NY 10467",DATA ANALYST ,23,," 
 Creates, generates and analyzes statistical reports to track and measure various clinical functions. Troubleshoots hardware and software problems, maintains databases, and provides standing and ad hoc reports as required.<br/>

Department: Neurosurgery Bargaining Unit: Non Union Campus: MOSES Employment Status: Regular Full-Time Address: 3316 Rochambeau Ave, Bronx<br/>
Shift: Day Scheduled Hours: 8:30 AM-5 PM Req ID: 102992<br/>

Montefiore is an equal employment opportunity employer. Montefiore will recruit, hire, train, transfer, promote, layoff and discharge associates in all job classifications without regard to their race, color, religion, creed, national origin, alienage or citizenship status, age, gender, actual or presumed disability, history of disability, sexual orientation, gender identity, gender expression, genetic predisposition or carrier status, pregnancy, military status, marital status, or partnership status, or any other characteristic protected by law.<br/>

N/A",https://www.indeed.com/rc/clk?jk=e4f6da636347618c&fccid=d1e1c9b793a7214a&vjs=3
OC10 Inc.,"New York, NY",Business Analyst / Data Analyst (Entry,14,$30 - $35 an hour," 
 Job description || Business analyst || Data analyst 
 Hi, 
 This is Shiva and I’m a Senior Technical Recruiter at OC10. 
 Hope you are doing great. 
 Currently, we are looking for a Business Analyst as well as Data Analyst. Please have a look at the following job description and let me know if your experience and skills match the requirements that we have. 
 Role: Business analyst 
 The candidate should be ready to relocate anywhere in the USA. 
 Requirements:  
 Bachelor’s Degree in an appropriate field of study or equivalent work experienceMicrosoft Access and/or SQL experience strongly preferredAbility to impact operations and effect change without being confrontationalDetail-oriented, analytical and inquisitiveAbility to work independently and with othersExtremely organized with strong time-management skills 
 Business Analyst top skills &amp; proficiencies:  
 Software DesignAnalysisTeamworkSoftware MaintenanceProcess ImprovementMicrosoft Access and/or SQL experienceBig Picture ThinkingWork Well Under PressureCommunicationProblem SolvingCritical Thinking 
 Benefits which we offer:  
 Health insuranceDental insuranceVisionary InsuranceVISA Sponsorship 
 Interested candidate can directly apply to this job by filling this form- https://airtable.com/shrOKq9541UTFsGCY 
 (Note: Please mention Shiva Thakur as a point of contact) 
 Shiva Thakur 
 Senior IT recruiter 
 Contact number: +1 (979) 200-4185 
 Office detail: - 
 0C10 Inc. 
 www.oc10.com 
 615 S College St, Charlotte, NC 28202 
 Contact Detail:  
 Shiva Thakur 
 Contact No: +1 (979) 200-4185 
 Job Type: Full-time 
 Salary: $30.00 to $35.00 /hour",https://www.indeed.com/company/OC10-Inc./jobs/Business-Analyst-18eb22825f5f3874?fccid=3b760780a91e6e3e&vjs=3
The New York Times,"New York, NY 10036","Analyst, Data Platforms ",7,," 
  
 The New York Times is committed to producing the world’s most reliable and highest quality journalism. Our ability to do so relies on a talented team of expert analysts who help NYT learn from a tremendous abundance of data, unique to this company. The Times seeks a Data Analyst to join our growing Data &amp; Insights Group, which is responsible for data analytics, data science and data governance for all New York Times offerings, including the newspaper and NYTimes.com .
The successful candidate will enable other analysts to generate insights and reporting from a variety of data sources, as well as enable marketers and operations professionals to target audiences for cross-channel communications, by creating and supporting automated, production-grade data products using SQL and other tools, both independently and in partnership with data engineers.
What You’ll Do:
Design data models to support a variety of reporting, analytics, and targeting use cases
Implement production-grade SQL ETL pipelines to automate data products
Validate datasets, writing test queries and documenting bugs
Create system and user documentation for data products
Elicit and document requirements for data products and targeting/analytics projects from business, operations, and analytics partners, working closely with them to understand their objectives, challenges and opportunities
Generate insights from first-party data to help drive subscription and retention
Consult on experiment design for A/B and multivariate tests; implement tests and analyze results
Document and communicate findings and insights to stakeholders across the company
Design, build and automate dashboards
Who You Are:
1-3 years work experience in data analytics or data engineering
1+ years work experience manipulating data using code is required
Strong analytic SQL skills
Python or R experience a plus
Familiarity with data exploration / data visualization tools like Tableau, Chartio, etc.
1+ years experience with data products development preferred
Familiarity with ETL processes
Experience creating clean, purpose-built datasets for targeting, analytics, and/or reporting
Technical writing experience
Excellent analytical reasoning competencies and problem-solving skills
Experience applying statistics to business problems (especially A/B test designs)
Degree in an analytical field such as economics, stats/mathematics, or computer science is desired
Strong written and verbal communications skills
Benefits and Perks:
We provide competitive health, dental, vision and life insurance for employees and their families
We support responsible retirement planning with a generous 401(k) company match
We offer a competitive parental leave
We are committed to career development and ongoing learning, and provide employees $8,000 annually for tuition reimbursement
We have frequent panel discussions and talks by a wide variety of newsmakers and industry leaders
Join a community committed to the richness of diversity, experiences and talents in the world we cover, supported by a variety of employee resource groups
#LI-HM1
The New York Times is committed to a diverse and inclusive workforce, one that reflects the varied global community we serve. Our journalism and the products we build in the service of that journalism greatly benefit from a range of perspectives, which can only come from diversity of all types, across our ranks, at all levels of the organization. Achieving true diversity and inclusion is the right thing to do. It is also the smart thing for our business. So we strongly encourage women, veterans, people with disabilities, people of color and gender nonconforming candidates to apply.
<h3 class=""jobSectionHeader"">The New York Times Company is an Equal Opportunity Employer and does not discriminate on the basis of an individual's sex, age, race, color, creed, national origin, alienage, religion, marital status, pregnancy, sexual orientation or affectional preference, gender identity and expression, disability, genetic trait or predisposition, carrier status, citizenship, veteran or military status and other personal characteristics protected by law. All applications will receive consideration for employment without regard to legally protected characteristics.",https://www.indeed.com/rc/clk?jk=8e163073290a457e&fccid=1b50fcfb150b1b48&vjs=3
