company,location,title,post_date,salary,description,url
"MoneyLion, Inc","New York, NY",Risk Data Scientist ,30+,," 
 Risk Data Scientist, NYC 
 Position Summary:<br/>MoneyLion is looking for a Risk data scientist to work on applying modern machine learning techniques to develop and enhance our credit risk models. This entails understanding and leveraging our various internal and external data sets in consumer credit, retail financial data and more to create predictive credit decisioning models. 
 Responsibilities:<br/>Build probabilistic credit models to predict outcomes based on historical data.<br/>Train and test the various machine learning techniques on data sets to investigate credence to hypotheses on different business challenges.Work with engineering team members to deploy high performing candidate models to production. Work with members of different business divisions to generate ideas on how to use data to make processes more efficient or improve economics.Formulate decisioning schedule to ensure predictions will not derail critical business metrics. Identify, monitor, and measure model performance over time. Develop dashboards to visualize findings in precise and meaningful ways. 
 Requirements:<br/>Undergraduate in Math, Computer Science, Statistics, or related technical field.<br/>Strong mathematical, statistical, and programming background.<br/>Must have hands on experience in machine learning, predictive analytics, and statistical<br/>modeling. 
 Proficiency in R, Python (Jupyter, Pandas, Numpy, sklearn, etc.), and SQL. Ability formulate novel solutions to problems, communicate thought process clearly, and think<br/>within the context of larger business needs and targets. 
 Desired:<br/>Advanced degree in Math, Computer Science, Statistics, or related technical field.<br/>2+ years of industry experience in predictive analytics and/or statistical modeling role.<br/>Experience building machine learning models using traditional and alternative consumer credit<br/>risk data. 
 MoneyLion is committed to equal employment opportunities for all employees. Inside our<br/>company, every decision we make regarding our employees is based on merit, competence, and performance, completely free of discrimination. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. Within that team, no one will feel more “other” than anyone else. We realize the full promise of diversity and want you to bring your whole self to work every single day. 
 Job Type: Full-time 
 Work authorization: 
 United States (Required) 
 Work Location: 
 One location 
 Benefits offered: 
 Paid time offParental leaveHealth insuranceDental insuranceHealthcare spending or reimbursement accounts such as HSAs or FSAsOther types of insuranceRetirement benefits or accountsChild Care benefitsGym memberships or discountsCommuting/travel assistanceEmployee discountsFlexible schedulesWorkplace perks such as food/coffee and flexible work schedulesOthers",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_rZL2UnsRRQ5IEESYTvegzrIx9kTngi-PYMeLf2GFfFQlhSQxrL2LlUiawnz1ryCJXO3WjlcKFI7mcmChLsORWlWUcgwWxghXXvDrs2epCOYQ-shPLaLOVBU8c42uYQEUE2MXlpkaBDTPlOjXlIc1M-zddAbXGOk1keyHSdFzwUax41ZY1oYgE-w2eAY-3btBpwTaW8GZyLNT4vJVsrcKnRo18b3kRKFcnidnHM85PNXZV92yQg_K96q2zna7iww0g3N0UuHClTUy5VZd8ZelVP2ldycpvx4E0NgmkQ-ZHFwya6drTZO1RduV7x7Z33DexGOhO2EY93v9g9IE5gSd5bFfXzLK-OPT2pw5jB5NCxADW_2WIBnnoWHL6lKKBtMOdfGMU4LiIJisdw34IxwNJdcICMhk10P8_B89qQp0B5eXocjqhZovNou_N7xRoZMs21cxJjY1Cw==&p=0&fvj=1&vjs=3
Transport Learning,"New York, NY 10014",Data Science/Machine learning engineer at an EdTech startup ,30+,"$70,000 - $100,000 a year"," 
 Job description: <br/>- Using Tensorflow Lite, implement data collection methods, processing, and storage (principally facial features, pupil size, ambient sound, and ambient light). 
 - Clean data for pattern/signal detection. 
 - Train data against known stimuli. 
 - Create models to predict user reactions (for example, facial features and pupil size). 
 Experience: <br/>Minimum 2+ years<br/>(Must have references.) 
 Expert in:  
 Python<br/>Azure 
 Familiar with:  
 OpenCV<br/>TensorFlow Lite 
 Keras 
 Qualities:  
 Learns quickly<br/>Attention to detail<br/>Creative problem solver<br/>Delvers on time 
 Interview Process 
 Phone interview 
 In-person interview 
 Job Type: Full-time 
 Salary: $70,000.00 to $100,000.00 /year 
 Experience: 
 machine learning: 2 years (Required) 
 Location: 
 New York, NY (Required) 
 Work authorization: 
 United States (Required)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_nvrFZn-GLrGUcGLIXBPEt_uU6fXCjMaLhA5SlwFsfFm15RaETMw__agHVZsIr8BVAB8W7sW0jw3zrG1b_ug4jmynqrkmriJxURl_ZopeffA2qkawlApixCb-2gTQMwmnCS1T6JLtI6RR4ZqSjpYOAvF_BzQIa8yPYDAO862wOaJN7rQEnZpxaUlIyr26tlgZmtm3PUyckYkOfbZIJo0XMxN8kPybi4F5qLNKeomThMUsyFgsf9D66DHM7158gdTXsXtdNNsen5BCA6vSTuiwhsKM4cTwnlKB6YqzrErr326xsWrt2DlS_zreFkakHGlypjmkbhjgRFHLohRFpacr78otAAmK7cD2KibCl3K0QUeshID4EtXdQaz_qBwd5CRSoC9gjjIr8MjOPjgs68Yss5FyKwdsrL_KkLq_C07Ja73MNriH036A1BfPOKOyBhhRyiJVHZLd60IDNG58tRPz4vrnzj_d5h2ijnL5a534Drq6IEMKUepL&p=1&fvj=1&vjs=3
Sensory Spectrum Inc,"New Providence, NJ 07974",Senior Sensory Scientist ,20,," 
 Sensory Spectrum is seeking a Full Time Senior Sensory Scientist (Senior Project Manager) for our Consulting team in our headquarters office in New Providence, New Jersey. 
 Who are we? 
 Sensory Spectrum is a globally recognized consulting firm that specializes in understanding the product sensory experience – what does a product look, feel, taste, and smell like? What are the impacts of sensory experiences on consumers’ perception? Do consumers like a product, how much do they like it, and what benefits do they associate with it? These are the types of questions we deal with each day. Our approach is based on strong scientific principles and links advanced sensory methods with consumer research using the latest statistical analysis procedures to provide solutions which result in confident decision making. 
 Sensory Spectrum works with a diverse set of clients ranging from small startups to large multi-national corporations. These clients represent a wide range of product categories. If it can be evaluated with the 5 senses, we have studied it. Working at Sensory Spectrum is always challenging, diverse, and rewarding. 
 About Our Career Opportunity  
 Due to our ongoing growth, we are seeking a full time Senior Project Manager to join our Consulting team. 
 The Role 
 We are looking for an experienced sensory professional with strong communication and time-management skills to join our team of Sensory Consultants. Primary responsibilities include building and nurturing relationships with key clients, by providing flawless sensory and consumer project design and execution, by sharing content and insights that influence decision-making, and by offering guidance, training and ongoing consulting. This is a leadership role in our client relationship group. 
 Responsibilities may also include managing a small team of Sensory Analysts and/or Project Managers, and owning the primary responsibility for the development of these direct reports. The ability to lead, design and deliver sensory and consumer projects independently, work collaboratively with both internal technical groups and external vendors, and manage project-based teams is critical for success in this role. 
 Specific Accountability Include:  
 o Act as the primary contact and account manager for new and existing clients. Build and grow the relationship. 
 o Independently assess clients’ needs and leverage technical expertise and thought leadership to develop compelling proposals and research designs. 
 o Ensure proper planning, execution, reporting for multiple projects/programs concurrently, with focus on quality and meeting timelines. 
 o Project work may include sensory and/or consumer work, data analysis/mining, trainings/workshops, consulting retainers, and more. 
 o Projects may vary in complexity, the ability to handle multifaceted / multistep projects is critical to success in this role. 
 o Work in collaboration with internal technical teams and external vendors as needed to identify needed resources, assign project responsibilities and manage the project team, to ensure proper execution within the agreed upon timeline and with strong focus on quality. 
 o Deliver high quality presentations with compelling findings and robust recommendations against objectives, to ensure clients are deeply satisfied. 
 o Work with the finance department internally to ensure accurate and timely client billing. 
 Assignments may require a combination of presence at the site of execution either at Sensory Spectrum or at external facilities (e.g., to observe or moderate research). Some consulting assignments may also require presence at a client site for extended periods of time. Expect up to ~25-30% domestic travel per year. 
 In addition to client management responsibilities, the Senior Project Manager is encouraged to develop or leverage existing high-level expertise in support of at least one product category/industry (foods &amp; beverages, personal &amp; home care products…) and/or technical area (descriptive analysis, qualitative or quantitative consumer research, data analysis…), with the intent to take a leadership role in that area as a Subject Matter Expert (SME). As such, the Senior Sensory Scientist / Senior Project Manager in the role of SME, will be responsible for leading initiatives designed to disseminate knowledge/expertise internally and externally, build efficiency in the assigned program, enhance quality, enhance existing services and/or develop new services. 
 Reasonable Accommodations Statement  
 To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. Reasonable Accommodations may be made to enable qualified individuals with disabilities to perform the essential functions. 
 POSITION QUALIFICATIONS  
 Essential Skills and Experience 
 Excellent interpersonal skills, including skills in client management and account developmentProject managementExcellent organizational, planning and prioritization skillsWritten and oral communication skills, including public speakingExperience managing / leading diverse teamsPassion for Sensory and Consumer Evaluation, with Functional Technical Competency in Sensory Evaluation techniques, including:Functional knowledge of lexicons and techniques used to describe multiple consumer product categoriesDescriptive analysis techniques, data analysis, interpretation, and reportingConsumer research techniques, data analysis, interpretation, and reportingComplex research techniques, including DOE, DOL, Consumer Qual/QuantAbility and willingness to evaluate multiple food, beverage, and personal care products on a daily basisAnalytical skills, including data analysis and data interpretation and reporting for multiple categories and complex research techniquesTraining skillsAbility to travel domestically 25% - 30% yearly (inclusive of overnight stays) 
 Competencies Required 
 CommunicationListening and integration of feedbackPriority setting and time managementOrganization and planningProblem solvingAbility to excel in a fast-paced and dynamic work environment 
 BACKGROUND 
 Bachelor’s degree in Food Science or related discipline. Master’s or PhD degree is preferred.4 -8 years of sensory experience with a focus on descriptive analysis and/or consumer research. 
 SKILLS &amp; ABILITIES 
 Computer Skills  
 Microsoft Office Suite (Word, Excel, PowerPoint, Outlook) 
 Experience with data collection software is desirable. 
 Experience with SAS and other statistical software is desirable. 
 The Company has reviewed this job posting to ensure that most essential functions and basic duties have been included. This posting is not intended to be construed as an exhaustive list of all functions, responsibilities, skills and abilities. A detailed job description will be provided during the interview process. 
 Relocation Available: No 
 COMPANY OFFERINGS 
 Sensory Spectrum offers comprehensive benefits package and a dynamic, team oriented, and fun environment. Offerings include paid time off, 12 paid holidays, medical, dental and vision insurance, company paid life insurance, short and long term disability plans, voluntary Life and AD&amp;D plans, flexible spending accounts (FSA), 401k and a profit sharing plan as well as a business casual work environment. Compensation and title contingent upon experience. 
 __________________________________ 
 APPLICATION PROCESS 
 If you are interested in applying for this position, please submit a resume and cover letter via email with “SPMNJ” in the subject line. 
 Due to the number of applications that we receive, we regret we can only contact select candidates. 
 We are unable to sponsor applicants for work visas 
 No recruiters or agencies please. 
 Sensory Spectrum is an Equal Opportunity Employer. 
 Job Type: Full-time 
 Experience: 
 Relevant: 1 year (Preferred) 
 Education: 
 Master's (Preferred) 
 Location: 
 New Providence, NJ (Preferred) 
 Work authorization: 
 United States (Preferred) 
 Additional Compensation: 
 Bonuses 
 Benefits: 
 Health insuranceDental insuranceVision insurancePaid time off 
 This Company Describes Its Culture as: 
 People-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeDetail-oriented -- quality and precision-focused 
 Schedule: 
 Monday to Friday",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CN6udAv79cq5emRxU8DWgbzq2VTI93bhu9-4Z8NS_6f04iFl9ZCWEH98u7Zs8p-w8SE0m_KcpW1XNQm5VRs1GxyC-PhyQ-qWYnu34_sELJz9aPNs9P6klb-z8g8VBgnEwUFvj0sqLcRA2bTELlU1S3AhdV4ghiSuBwP-ANhXd0ewyLVaSg7lX5bQd2IObvb4ijvRWMyrHkR8STRsUBBPY_FoY6aDMb0jhshdATRZfSozOUbxngYjPqEM0Phpvd8UvZhha5Q7Ya3MhFtFwCR9Yo1BSVVFPnhM53Jia93pFJmZI-H4VD0j-CNVEODElTsF1IXg6WAO-jYDyG9pu2a_V1XpFRBYRxY_0DMBjuFnbGao3kbbjSx4gqHYu7JGhVq-9B3f7RX8eRT209CZNq3TdHHzZF9U6ctMJcBlPV_AlmSucfB1lgtbxXWUq-b5z-b5SvjFvmEZorDA==&p=2&fvj=1&vjs=3
recruitcloud.io,"Jersey City, NJ 07310",Data Engineer ,Today,"$100,000 - $150,000 a year"," 
 We are looking mid-level Data Engineers who are interested in building Big Data platforms which enable machine learning and advanced analytics capabilities. You will work with an advanced cloud based infrastructure handle large volumes of data and integrate our platform with a range of internal and external systems. You will work with the top Data Scientists to build the next generation of sports betting engines. 
 What you have done: 
 You have worked in small focused scrum teams delivering events driven integrations across multiple teams.You're experienced in working within an integration environment with testers to ensure end to end performance and resilience SLA’s can be achieved.You have worked along side with Data Science and Machine Learning teams to build applications 
 Required skills : 
 PythonSQLSnowflake or AWS RedshiftELT or ETLData warehouse Reporting tools 
 Nice to have / deal closer : 
 Scala 
 Functional programmingCloud ( AWS, Azure, BlueMix)Apache Spark / Hadoop 
 Job Type: Full-time 
 Salary: $100,000.00 to $150,000.00 /year 
 Experience: 
 Data Warehouse: 4 years (Preferred)Scala: 1 year (Preferred)Cloud Computing: 1 year (Preferred)SQL: 4 years (Required)Python: 2 years (Required)ETL: 4 years (Required)ELT: 2 years (Preferred) 
 Work authorization: 
 United States (Required) 
 Additional Compensation: 
 Bonuses 
 Work Location: 
 One location 
 Benefits: 
 Health insuranceDental insuranceVision insuranceRetirement planPaid time off 
 Schedule: 
 Monday to Friday",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AlGepknJdB7O5XWYrDYiDV7qnJNMIaTAKgMYEbOhi4gMHEu0uUeOSxyqxkiGUcGVIHNMrfhcQ-Nn8H-FW66KW2OqklykaRzUgVqn2ECctzCMQaMFmbzgOvG_au8wNh0TQm9A5By4B8tgev9yOzgt8y8c7_2CkXV8Np9jiX3GmNFtHrxTP6fhFhw4NtsgSafsxOfKrbjPokzRg2ueNBGNptl2MvEOeW4JG1xy4b6ZKADqeHfKUjclP9yjE5qZUNVvoEgtdqCn-1Dr38y5KK18KQJImLtO1IVqyBml15YX4H3P69Rb0bXdMQE_W0su34pbMQfke38pL6X4iE5PZuO6pMvPsxjQGZdmQ8EMssjXvopHp82YoExF64At7el9QOBYOC7ewFHRb8OHHqPNrOJca-5ghreX568RdvAQHt_PLjpg_HWoxRhWvhjPzBqRYiFLsvHoOl_h5JNQ==&p=3&fvj=1&vjs=3
Success Academy Charter Schools,"New York, NY",Experienced Middle School Science Teacher (Grades 5,30+,," 
 As the fastest growing, highest-performing charter school network in New York State, Success Academy has reimagined public education. Nationally recognized for achieving outstanding academic results for students from all backgrounds and zip codes, we have created an innovative K-12 school model that is preparing current and future generations of children with the subject mastery and skills to succeed in college and life. We now need a results-driven, experienced Middle School Science Teacher to join our school community.

Success Academy has a science program like none other in the country. Beginning in kindergarten, scholars receive hands-on, inquiry-based science five days a week with a dedicated science teacher. Success Academy scientists conduct experiments and discuss observations, data, and results in the same way true scientists do. Our method of science instruction not only ignites a passion for science early in life, but it also provides scholars with the critical thinking skills necessary to tackle any problem.

At Success Academy, we incorporate the three main disciplines of science - Life, Physical and Earth - into each year's curriculum. On any given day, a scholar might dissect a squid, program a robot, or conduct scratch tests to identify minerals!

Key responsibilities include:
Building a classroom culture in which students love science and take pleasure in discovering diverse strategies to solve science problems;Teaching students through an inquiry-based curriculum that focuses on the dual tenets of logic and reasoning;Developing strong relationships with parents and students to create investment in school culture and academics;Skillfully orchestrating problem solving through multiple representations, meaningful mathematical discourse, and productive struggle;Collaborating to develop a model of excellence in middle school science education; andTraining with colleagues and school leaders to receive targeted, in-the-moment feedback on instruction, as well as unparalleled support and professional development.

Successful candidates should also have the following experiences and characteristics. They:
Have 1+ years of lead teaching experience, with a proven record of propelling student intellectual growth;Hold a Bachelor’s degree with an outstanding record of academic achievement and leadership;Are a person of high moral character; andAre passionate about science and learning.

Success Academy Charter Schools is an equal opportunity employer and actively encourages applications from people of all backgrounds. Compensation is competitive and commensurate with experience. Success Academy offers a full benefits program and opportunities for professional growth. 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CWqIDsbw9ZmFSrJLdutrNcLAPZGXzd06g-BCO5YJFupjBrQd9TPabSPlhBH_IUmfbeRrjj_bQEaliKxoDpVmuouGPx4kQ_c3enj-F82pH7_NQLtPoLqCvaUKIqR0J6qv9GkSL3jk59Yd0I9ZOKc1jJgkaPsprZs2f6LqctUTRKCLgQar7xpD_nSEo_th3GQOTfqQC7aeOCLWixgrx8HEIULxTM484x5iW54HAdDnOKxdi30Z17-4Tax8aldNfId16UVciEkPFbzKFHQM1NC62zQa9uskLVMo2x_oMeS2unGZiZzYSGFOmEQNQTUtpMvUroXU_4rEcMPcVEBk9zQ1F0EvD5nG8qulZXgSbQzOznwgXy_DMmiWDeVzQz2oXCbwAIUhwt_1V1p3fBM4ieqiex8maDNWAuyzAS0bbGzymSKKMcQqnGwSirnvmh5a2N4Chjb3tnObneqTnbzM-Phako2thaPaciUy_WCW6HUiudPdLws2rYDXz3KM6Ht9oSHG8LVYKCfgGGdfIRDECMEli0ZX8f2HOVTZYjWXvfDautnTiuqoSDEi7aCwo5UUshT_ensarsuo7smrnYDZjNPzvMUwp6AId2JB9maTaakULBIvAkiqwz-ReSvH-goC8ABj8eErUTdSRYPrL0IbLGCh_5HhOWbKak3dfQKpU8I4BVPVJSc2PfGpi_RBa6JgIQ6Negx5HlU87kWqG5tvSnzNNxG0aEL5r0zYu2VdT_RxFHh-boqLZGSTPKYMPQYDqBW5sSfmHGMcvbYg==&p=4&fvj=0&vjs=3
Epic Pharma LLC,"Springfield Gardens, NY 11413",ARD SCIENTIST ,30+,," 
 Epic Pharma is a generic pharmaceutical company located in Laurelton, NY. We are dedicated to developing and manufacturing generic prescription drugs in a variety of therapeutic categories in tablet, capsule and powder forms, with a focus on hard to manufacture orally administered drugs in immediate release, sustained release and delayed release forms. We are conveniently located in Laurelton, New York, within easy commute of the greater New York metro area and close to the Long Island Railroad and NYC bus service. 
 *Analytical Research and Development Scientist Level 1<br/>Analytical Research &amp; Development Associate* 
 Several positions are available in the ARD Lab, requiring analyses of raw materials, in-process and solid dosage units. Bachelor’s degree in Chemistry or related science field and a 1 - 3 years lab experience, preferably in a pharmaceutical environment with solid dosage forms, is required. 
 Candidates with at least 1 year of QC (Quality Control) experience also welcome to apply! 
 Other requirements include: 
 * Thorough understanding of cGMPs, specifically as they apply to a Pharmaceutical environment. 
 * Use and troubleshooot analytical instruments and software. 
 * Good handle on chromatographic techniques a must! 
 * TLC, Atomic absorption, IC experience. 
 * Wet chemistry experience preferred 
 * Assay, dissolution and validation experience preferred 
 * Product characterization. 
 In addition the above for Associate level, the Level 1 Candidate must also know:<br/>* Method development &amp; validation<br/>* Data review<br/>* Draft method validation/verification protocols and reports 
 * All Candidates must be able to work effectively in a team in a quality oriented laboratory environment to meet company objectives and commitments. 
 * All Candidates should have strong written and verbal communication skills and a good command of the English language. 
 * All Candidates must demonstrate good safety practices at all times, including appropriate use of protective equipment. 
 Epic Pharma is an equal opportunity employer and offers a competitive starting salary and benefits package, including medical/dental/vision and 401k. 
 All candidates must be authorized to work legally in the United States on a full-time basis for ANY EMPLOYER WITHOUT SPONSORSHIP! 
 Job Type: Full-time 
 Experience: 
 Laboratory: 2 years (Preferred)Quality Control: 3 years (Preferred)Assays: 1 year (Preferred) 
 Education: 
 Bachelor's (Required) 
 Language: 
 English (Required) 
 Additional Compensation: 
 Bonuses 
 Benefits offered: 
 Paid time offHealth insuranceDental insuranceOther types of insuranceRetirement benefits or accountsEmployee discountsWorkplace perks such as food/coffee and flexible work schedulesOthers",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AU30dPKPjeAsC1b4E2Y4yMNGCv1vKAB7C-pGGEcz3CLECm1aecncH6Qgd09PHdcIG4etrW_SnFqNaoBn_V0yvBxZ5fU0XZuT2vSdCWXoW84RwMoaomv_MgHkfeyvH_7qikGZBJosDaU5tIUa4IW6wU_nnDgOaRCxlHXrnptAhBgF539ehrBdHi6QuNNg8oeAkHC_4PL4FnXK3aAcv5kkCRyqnLSOu8_yzMKOaR_7QjQyI9-HztMZLI2smkjAGzZAGRI9hZ0RP2IN3FrwCYwVIw27TCGMZoxCXMi3va4TVKgfTbZwKSaLDAMegXlwyiU9PM8_PG5RI9SD4dCgz5Gz2zlOVy34nUJ5yMsgPkvCVPAOl8vKt-p17aq15WDmJRn_MuBi1hbZwB3Xkn7vsDUdptPMgISwe-GlQAhamJOlzs9mRP3lnMlpm3HNi4Di8uDs4=&p=5&fvj=1&vjs=3
Spotify,"New York, NY 10011","Data Scientist, Forecasting ",1,," 
 We seek an exceptional Data Scientist to join our Forecasting team in New York. This individual will contribute to the development of cutting-edge models to predict Spotify’s future user growth and content consumption. The output of your models will serve as the basis for the company’s financial forecast as well as provide context for business performance to both internal and external stakeholders. Your work will also help the team create a time series forecasting infrastructure that can be leveraged throughout the company. Above all, you will be at the nexus of data science and business at one of the most innovative companies in the world.

In addition to possessing strong technical background of their own, the ideal candidate will be a natural communicator who is able to explain complex statistical frameworks to business and engineering teams in both New York and Stockholm. We also have a strong preference for candidates with experience in analyzing and forecasting time series. Accompanying this broad set of responsibilities is exposure to many functional areas, as well as senior management, across Spotify.

What you’ll do

Support the production of Spotify’s public-facing user growth estimates on a quarterly basis.
Develop scalable solutions for forecasting Spotify’s growth and work closely with Data Engineering to put your solutions into practice.
Consult with functional analytics teams tasked with building predictive frameworks for their discrete business units.
Visualize time series data in intuitive ways for a non-technical audience.
Contribute to a machine learning framework to measure and predict Spotify user lifetime value metrics.
Support Finance leadership with research on key business initiatives and challenges.
Who you are

Degree in Computer Science/Engineering, Mathematics, Statistics, Economics, Econometrics, or another quantitative field.
Minimum 3 (5+ preferred) years of relevant experience, particularly in forecasting time series using Python, SQL, Scala, and/or R.
Experience with feature engineering for machine learning models.
Knowledge of Google BigQuery and Java/Scala is a plus.
Comfort operating independently in a fast-paced work environment.
We believe that everyone should enjoy their job, so we live by a work hard, play hard ethos. Spotify is a positive, fun, high-energy work environment that you’ve always wanted to be part of! 
 ",https://www.indeed.com/rc/clk?jk=41922d3ad138c2db&fccid=fe404d18bb9eef1e&vjs=3
Viacom,"New York, NY 10036",Jr. Data Scientist ,2,," 
 <h2 class=""jobSectionHeader"">Overview and Responsibilities
The Junior Data Science Engineer, Advanced Media Analytics will be responsible for supporting the build-out of new/alternate audience platforms across Viacom Media Networks. In this role, the individual will contribute to innovation in audience measurement, and help discover how VMN content is being consumed across platforms.<br/>

Identify, ingest, and enrich a wide range of structured and unstructured data into datasets for analysis
Learn to apply statistical and advanced techniques (e.g. segmentation, machine learning) to develop both prototypes and scalable (i.e. efficient, automated) data analyses
Conduct basic ad hoc analysis, building models, forecasting viewing behavior
Extensive code development, debugging, optimizing, and productionizing
Support the development of machine learning pipeline architecture
Help build out frameworks for quickly rolling out new data analysis for standalone data-driven products and services to support our network of media brands.
Be able to transform unstructured raw data in to formats suitable for modeling
Be able to work in teams and collaborate with stakeholders to define requirements
<h2 class=""jobSectionHeader"">Basic Qualifications
Bachelor’s or Master’s degree in a quantitative field
Knowledge of Python and/or R
Knowledge of algorithms for data mining, machine learning, and/or natural language processing
Possess some understanding of statistical procedures used in advanced analytics
Experience processing large amounts of structured and unstructured data using Spark, Hive or other Big Data technologies
Experience building scalable data models and performing complex relational database queries using SQL (Oracle, MySQL), etc.
<h2 class=""jobSectionHeader"">Additional Qualifications
Attention to detail and demonstrated ability to detect and resolve data/analytics quality issues
Outstanding verbal and written communication skills
Experienced user of data visualization tools (e.g. Tableau, matplotlib, ggplot2, etc.)",https://www.indeed.com/rc/clk?jk=1942a17d2bd166e1&fccid=ae0c894528aa6eee&vjs=3
WeWork,"New York, NY",Junior Data Scientist ,1,," 
 About the Role:

The Talent Reporting &amp; Analytics team provides people analytics that empowers leaders to make timely, informed, and future-focused business decisions. The team is responsible for development and delivery of Talent operational reporting; development, management, and support of surveys and assessments for all Talent process areas; and definition, development, and support of analytics supporting Talent.

Job Responsibilities:

Partner directly with the Talent Strategy &amp; Operations to support any reporting requirements needs for projects, measuring or analysis
Build, develop &amp; design dashboards to support Talent Metrics &amp; KPIs.
Ad hoc data analysis &amp; reporting for Talent programs and projects.
Weekly reporting on hiring and headcount stats within the organization.
Integrates multiple systems and data sets to build large and complex data sets and make them usable (e.g., transforming and cleaning data, working incomplete data sources, implementing and validating quality procedures).
Conducts scalable data research and off and ultimately on the cloud.
Implements automated processes for efficiently producing scale models.
Liaises and collaborates with other COEs, Business Advisor organizations and Core Talent Services on the whole analytics lifecycle (conceptualization, data collection, analysis, and recommendations) or when subject matter expertise is required
Develops compelling, logically structured presentations (including story-telling of research/analytics findings) that will be shared at the Talent and business leadership level
Requirements:

Undergraduate degree (4 years) in Computer Science, Statistics, Applied Math or related field. Master's degree preferred.
Use a broad range of analytical skills to discover, mine, and analyze data to precisely reflect the organization’s or client’s needs and improving deliverable quality through verification and validation of results
Ability to work independently and manage multiple task assignments
Skilled at communicating with a cross-functional team regarding deliverables, schedules, and issues
Creative problem-solving skills related to team, project, and cross-functional issues
Ability to maneuver in a matrix environment, leverage indirect reporting resources, and work well in ambiguous situation",https://www.indeed.com/rc/clk?jk=ddc8b8c2019b0a0b&fccid=e76dadb9a0d8a2cf&vjs=3
Spotify,"New York, NY 10011","Data Scientist,Creator Marketplace – all levels ",30+,," 
 Creator Marketplace is the home for Spotify’s music industry products, such as Spotify for Artists, Spotify Label Analytics and Spotify Publisher Analytics.

The Creator Product Insights Team is a thriving insights community of 20+ Data Scientists and User Researchers who blend their skills to help us shape the future of the Creator Marketplace by defining the next generation of music industry products.

We are looking for a Data Scientists – Associate to Senior level to help us continue to develop our music industry products, and develop best-in-class expression and promotion tools for Creators and their teams by exploring the following questions: How do we help artists stand out? How do we help them grow and reach new audiences? How do we help them connect with their fans?
Our mission is to turn terabytes of data into insights and get a deep understanding of the world of music and their creators. You will study user behaviour, evaluate strategic initiatives and experiment with new features.

Together, we’ll come up with exciting and effective ways to help artists succeed. You’ll join us to craft a strategy rooted firmly in data, that delivers on a future vision for the music industry through effective planning, behavioral analysis, experimentation, optimization. You’ll pair with user researchers, product and design to understand the performance of products and their impact on the market.
<h2 class=""jobSectionHeader"">
What you’ll do
Work closely with cross-functional teams of data scientists, product managers, designers and engineers who are passionate about Spotify’s success
Develop a deep understanding of how product and platforms influence user behaviour
Be a strategic partner to product development teams, making and give recommendations when needed
<h2 class=""jobSectionHeader"">Who you are
You know how to scope and solve loosely defined problems and come up with actionable insights to guide product development decisions
You have a deep understanding of statistics and experience working with real-world data, as well as a strong business sense
You have 4+ years of relevant experience, with a degree in statistics, mathematics, computer science, economics, psychology or another quantitative discipline
You have the technical competence to perform advanced analytics: coding skills (such as Python or Scala), experience with analytics tools (Pandas, R, SPSS or SQL) and experience performing analysis with large datasets
You possess statistical competence (such as regression modelling, a/b testing, significance testing etc)
<h3 class=""jobSectionHeader"">It is a plus if you
have demonstrated experience with hands-on statistical modelling and possess knowledge about machine learning (such as predictive modelling, decision trees, classification models, clustering techniques)
We’re looking for Data Scientists to join us at multiple levels. We will have an open discussion throughout the interview process about assessing which level and platform you fall within at Spotify. 
 ",https://www.indeed.com/rc/clk?jk=7152f1574b417810&fccid=fe404d18bb9eef1e&vjs=3
