company,location,title,post_date,salary,description,url
Memorial Sloan Kettering,"New York, NY 10017",Machine Learning Engineer ,30+,," 
 <h2 class=""jobSectionHeader"">Company Overview
At Memorial Sloan Kettering (MSK), we’re not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we’re driving excellence and improving outcomes.<br/>
<br/>
For the 28th year, MSK has been named a top hospital for cancer by U.S. News &amp; World Report. We are proud to be on Becker’s Healthcare list as one of the 150 Great Places to Work in Healthcare in 2018, as well as one of Glassdoor’s Employees’ Choice Best Place to Work for 2018. We’re treating cancer, one patient at a time. Join us and make a difference every day.
<h2 class=""jobSectionHeader"">Job Description
The Team
MSK Data Products is a multidisciplinary team of designers, software engineers and data scientists working inside MSK. Our mission is to transform how technology and data are used to prevent, control and ultimately cure cancer. We operate at the complex and fast-moving intersection of medicine and technology, and build software around the needs of some of the world’s leading doctors and researchers.
We are looking to recruit an expert data scientist. As a member of our team, you will play an integral role in the development of data analysis pipelines that use advanced computational methods to extract actionable insight from troves of clinical, genomic, financial and operational data - collected at our institution over 20+ years. These computational pipelines will power software products that help doctors and researchers find, visualize, and make the best use of complex medical and scientific data.<h2 class=""jobSectionHeader"">
You Are
An experienced machine learning practitioner with a consistent track record of developing and applying advanced computational techniques to solve complex problems
Able to creatively combine existing computational methods, and, when necessary, develop new ones to best analyze various types of data
Capable of consulting and collaborating on projects involving interdisciplinary team members<h2 class=""jobSectionHeader"">
You need
Phd. in Computer Science, Mathematics or related STEM field with 2+ years of research experience or MS in related quantitative field with 3-5 years of industry experience.
Deep knowledge of advanced machine learning methodologies such as: deep learning, graphical models, natural language processing, etc
Programming experience in Python, Scala or C++ and deep learning frameworks such as TensorFlow or Torch
Experience with SQL and NoSQL databases
Experience building quantitative models and also coding them into production<br/>

#LI-POSTST
<h2 class=""jobSectionHeader"">Closing
MSK is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sexual orientation, national origin, age, religion, creed, disability, veteran status or any other factor which cannot lawfully be used as a basis for an employment decision.<br/>
Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment. 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADJRuK6ChiwKA-mDQcZewxwPXsbrQsc0mRFei-KJ6Xzxx8q1wZUJIQ4Zji5_OCzVBG2J6N3SpToPtwxtMjykg7jfURQsIpIDb7XHJkmNzET4M50oHqV-xigh4MjaT40mkslNj_hfmiYknF23tUOKmxi38xPjDVC9E1ibEKF5RoTUlMSU-0RacsXDvMym1vKRKN9hLwBLhv_qKhNIY6Cmtq3Bo2Iee4Q4Vr3zZ7x47RJh_WiCY6_TofS0NaujxWF-z5f7H4bba5wGXxiTN2kSdDLA3iKQp3Mqhwy2qDtZx0D5li5RxwXJfiE8Z3vS-9QBxRDOa300CfXhVGcBXgFPEF1Px4yJcG7k22uksg_5UAusMo3uLGIalMbM84f8VN8te_FlI8bjE2MBXQieQTok6U7QmQ6YWBsQctiV2uA5nGZeUegzob4XAZQ6EdL1Mjf47Q9nfS0TvrfPPB6OH5AxbiNRMLgefXpFlykhnBpBh94ex_CKj5I41II2A-JSa24j3wvmurUGmvxRm98e8y1LZU592dZ-Vo_pChbC0N5tOwJr-s_I7kNCbxGwEOQig_-EnDALSvcKIVpfBrPKDutH4q7_C-4XVeoDl2n2zjL4fwFp3lg69qtzJaJJWuM90tNVALCoBCvXteMMmh4OoHwyi6i57GFLcoRxSYa0Hbp4XsaKL_kniAnD9w2nARDEvaPQq_V7HhDu9fyn3QaWQEuWERn69CU-ctyT90HNdrFnWLETc82s_JjIST2dmFWL94Fsq_7zdwEUy0tLlkd8zt_yRn8XO4g0rF6uyIM4KFMSZp5ju3aW0rQ90GyO1OrD0PQ11TRwv7mYCI66CzoR-gEv7-0KD2RnYK_0I=&p=0&fvj=0&vjs=3
Memorial Sloan Kettering,"New York, NY 10017","Machine Learning Scientist, Digital & Computational Pathology ",30+,," 
 <h2 class=""jobSectionHeader"">Company Overview
At Memorial Sloan Kettering (MSK), we’re not only changing the way we treat cancer, but also the way the world thinks about it. By working together and pushing forward with innovation and discovery, we’re driving excellence and improving outcomes.<br/>
<br/>
For the 28th year, MSK has been named a top hospital for cancer by U.S. News &amp; World Report. We are proud to be on Becker’s Healthcare list as one of the 150 Great Places to Work in Healthcare in 2018, as well as one of Glassdoor’s Employees’ Choice Best Place to Work for 2018. We’re treating cancer, one patient at a time. Join us and make a difference every day.<br/>

<h2 class=""jobSectionHeader"">Job Description
Are you passionate about contributing meaningfully to battling cancer? Then join us here at MSK, where we can provide you with the opportunity to make a difference with your career. We believe this is a very exciting opportunity for someone who has the right skillset and drive to make an impact to support our mission here.<br/>

Machine learning and deep learning are changing how cancer patients are diagnosed and treated in modern hospitals. Computational Pathology leverages large-scale machine learning on high performance compute infrastructure to transform pathology from a qualitative to quantitative science. You will work in an exciting interdisciplinary environment with the potential to directly affect medical research, cancer care and patients lives.<br/>

For our computational pathology group, we are looking for a Machine Learning Scientist who will lead in the development, training and testing of Machine Learning. You will aid in the clinical assessment and understanding of cancer. The massive amount of digital pathology image data we see at MSKCC provides a rare opportunity within the field of computer vision and cancer research for conventional and unconventional modeling with clinical relevance, such as (semi-)supervised, weakly supervised and unsupervised machine learning methods.<br/>
<h1 class=""jobSectionHeader"">
Memorial Sloan Kettering Researchers Report Milestone in Use of Artificial Intelligence in Pathology<br/>
<h2 class=""jobSectionHeader"">
You Will:
Work and collaborate with a diverse team of machine learning experts, software engineers and medical doctors to build a new generation of artificial intelligence in cancer detection and treatment
Employ statistical methodologies on high volumes of data to tackle novel problems.
Build software and craft actionable insights.
Work at a high level of complexity in relation to image data, deep learning, and/or computational pathology and know statistical programming languages including but not limited to: R, Python, &amp; Matlab.
Have the opportunity to demonstrate a modern compute cluster with hundreds of GPU’s and the largest cluster of DGX nodes in the field.
Does your background match what we are seeking?<h2 class=""jobSectionHeader"">
Required Skills:
Doctorate in Computer Science with an emphasis on Machine Learning or Computer Vision.
An outstanding publication history in machine learning and/or computational pathology which includes a track record with established machine learning conferences, e.g., MICCAI, CVPR, ICML, etc.
Strong knowledge and background in machine learning, deep learning, computer vision and/or medical imaging, preferably in the pathology domain.
Experience in high performance computing (HPC).
Ability to excel working both independently and within a team, possessing a collaborative research mindset allowing them to work comfortably together with pathologists, AI researchers (same field and other fields), and computer scientists.
Ability to offer mentorship and guidance to others.<h2 class=""jobSectionHeader"">
Desired Skills:
Interest in the independent development and testing of hypotheses and creative in finding both conventional and unconventional solutions, e.g., you don’t stop with the outcome of a model, but also make interpretations and connect results with business needs.
Savvy at seeking deeper questions and exploring new approaches
Interest in medical data analysis
Maintains and improves professional growth and development through participation in scientific and technical discussions, workshops, and seminars to keep current with developments in web technology and computational tools
#LI-POST
<h2 class=""jobSectionHeader"">Closing
MSK is an equal opportunity and affirmative action employer committed to diversity and inclusion in all aspects of recruiting and employment. All qualified individuals are encouraged to apply and will receive consideration without regard to race, color, gender, gender identity or expression, sexual orientation, national origin, age, religion, creed, disability, veteran status or any other factor which cannot lawfully be used as a basis for an employment decision.<br/>
Federal law requires employers to provide reasonable accommodation to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job or to perform your job. Examples of reasonable accommodation include making a change to the application process or work procedures, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment. 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADJRuK6ChiwKA-mDQcZewxwPXsbrQsc0mRFei-KJ6Xz265o2ChdCsaqsR5gOeSuKb2fxFi5n4NGXbACQ173y2y5CG_V3Ug6zPgsesDY6iEELEoxjYpATFAjXop4UWxwvQ_UvjB-a_RRXMmqqI0K6xVnQwP_Zoc79YAIK_TALOokLjmc9mLnXQGRBp8TErQabAd0GYuwQ1zSchaw8GdWBZS3BfKSscbSJ2reRsv4yxHAFbgACiPjlNvhqAKpH0Ob1Egopr_dXxN_Hd2tZQ7dyWE0zJDgeaFq_y3X7HIWAUc_3aXq9IfZyx8xFk_xeAea-uw5O62IcqI7ngHOPEIB9OrYjWwiQXpxyH57cjpIPdJ6D0gj3gkK0C6XuSBOCydSH_WalVKTWn71zGpRagpefAe7anMymz7ROcKuaPItvIeGDsG1lriAsjonWRPNCVK7xmQPNbtYi2WWAZjfQSweYJMZdMsjPtx3q2F6IVoMtje4fDqpPRPFbUszryyWGFai8DbVg1U-xI0iEGz8n1fxg7cIKvjLN9htBk9T7H1Zpl5WN53TYM_BbcZT0zgPzYEbf7N54vQfYvYKaXRIwPVA2comqZp6KXmHTioGAWwmumLC_BKStHrFOl42hnCSDYApuOcufvuCiAcuyy2aaD-VFt3QVMIw1-ejwnY7qb4MbQhmg__fSAG60mAG9zVfeBYGMGdiaVQPTw8SDHBU4HZFh18IUqCeA7qhsLvPvO2vOw0zG4-8ZJZhVIRlVr5rfRmNl8jM5w5OWyMhE2dwW5XChICepxZBB1gLxgnlGISOJrrAkk8c9o1frjSwN2oNQxEMOEYyZU6PsvvbJv0lGk2YQWH6jm_GycVmR7rFh_WbgjcQBcznoiUiyskAP-ZWvb__8Kok4K5FJl9rn6ePBWJWrZk&p=1&fvj=0&vjs=3
"MoneyLion, Inc","New York, NY",Risk Data Scientist ,30+,," 
 Risk Data Scientist, NYC 
 Position Summary:<br/>MoneyLion is looking for a Risk data scientist to work on applying modern machine learning techniques to develop and enhance our credit risk models. This entails understanding and leveraging our various internal and external data sets in consumer credit, retail financial data and more to create predictive credit decisioning models. 
 Responsibilities:<br/>Build probabilistic credit models to predict outcomes based on historical data.<br/>Train and test the various machine learning techniques on data sets to investigate credence to hypotheses on different business challenges.Work with engineering team members to deploy high performing candidate models to production. Work with members of different business divisions to generate ideas on how to use data to make processes more efficient or improve economics.Formulate decisioning schedule to ensure predictions will not derail critical business metrics. Identify, monitor, and measure model performance over time. Develop dashboards to visualize findings in precise and meaningful ways. 
 Requirements:<br/>Undergraduate in Math, Computer Science, Statistics, or related technical field.<br/>Strong mathematical, statistical, and programming background.<br/>Must have hands on experience in machine learning, predictive analytics, and statistical<br/>modeling. 
 Proficiency in R, Python (Jupyter, Pandas, Numpy, sklearn, etc.), and SQL. Ability formulate novel solutions to problems, communicate thought process clearly, and think<br/>within the context of larger business needs and targets. 
 Desired:<br/>Advanced degree in Math, Computer Science, Statistics, or related technical field.<br/>2+ years of industry experience in predictive analytics and/or statistical modeling role.<br/>Experience building machine learning models using traditional and alternative consumer credit<br/>risk data. 
 MoneyLion is committed to equal employment opportunities for all employees. Inside our<br/>company, every decision we make regarding our employees is based on merit, competence, and performance, completely free of discrimination. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. Within that team, no one will feel more “other” than anyone else. We realize the full promise of diversity and want you to bring your whole self to work every single day. 
 Job Type: Full-time 
 Work authorization: 
 United States (Required) 
 Work Location: 
 One location 
 Benefits offered: 
 Paid time offParental leaveHealth insuranceDental insuranceHealthcare spending or reimbursement accounts such as HSAs or FSAsOther types of insuranceRetirement benefits or accountsChild Care benefitsGym memberships or discountsCommuting/travel assistanceEmployee discountsFlexible schedulesWorkplace perks such as food/coffee and flexible work schedulesOthers",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_rZL2UnsRRQ5IEESYTvegzrIx9kTngi-PYMeLf2GFfFQlhSQxrL2LlUiawnz1ryCJXO3WjlcKFI7mcmChLsORWlWUcgwWxghXXvDrs2epCOYQ-shPLaLOVBU8c42uYQEUE2MXlpkaBDTPlOjXlIc1F0DxasSd56_bQJjumdaLbm1SYJwMZOOBim3sL2ekZ1yP2prO9E8yImUhk_R5ZgI3-MPYYJH3EzPEFxRXXgGHl-ophb_NZrzPUqJFwybnqyuBNwjJvghYR2AI3i1RTlkRm-g4ouqocrEqE6hhGGbrJ0pzbznPnkhW6UPCcPvHHMfmiVeksV6VZVOn6f_NnAQI643708V7bXItYpuZ-yx-V45TU9OO-JovFNm8JM0yFRW2ErVb1RdGJUBGXQtm-Ftra2LySoKE9o0gnPHdWSesX6JWi_RQXE2-lQVQtTPCbmZMuf0coZY1pIxvZA0i9dQnYdkpc4ITmxo=&p=2&fvj=1&vjs=3
Moody's Corporation,"New York, NY",Machine Learning /NLP,30+,," 
 Role/Responsibilities : 
 As a Machine Learning / NLP - Research Scientist / Engineer in the Machine Learning team, you will drive algorithmic improvements in Moody's Analytic’s core machine learning and AI-driven products, that have a transformative impact across multiple MA units by enabling new automation capabilities, and improving efficiency and performance across multiple business lines. You’ll leverage your expertise and experience to propose and lead initiatives in problems like supervised and unsupervised learning, classification, predictive modeling, risk modeling , sentiment analysis, relation extraction, text summarization, entity recognition, information retrieval, and natural language generation as well as designs for the next iterations of our product lines, using ML, deep learning, and NLP.<br/>The Machine Learning / NLP- Research Scientist will be a core member of the Machine Learning team within the Moody's Analytics Accelerator (formerly known as the Emerging Business Unit ). The ML team is a highly visible team working across multiple business lines that is key to the Moody’s Analytics’ (MA) long-term growth strategy using AI and ML. 
 Responsibilities 
 Do research on emerging machine learning, deep learning and NLP solutions applied to natural language (text) and unstructured data and be conversant with the latest developments in these fields.Enable new capabilities in document understanding and knowledge extraction from text using state-of-art deep learning techniques and frameworks.Deliver custom, highly scalable deep learning, and NLP solutions through prototyping, POC, and quantitative metrics.Propose and develop new systems for evaluating model accuracy and building better-annotated training corpora by developing data collection and annotation processes.Discuss, suggest, and brainstorm new advanced technology solutions with team members.Explain complex models to non-experts, in layperson terminology to clients, stakeholders, and managers, while also being able to discuss intricacies of complex algorithms with experts in the field.Prepare reports, presentations, for internal and external stakeholders, and as applicable, publish in conferences and peer-reviewed journals. 
 Required Qualifications : 
 Ph.D. or MS in computer science, statistics, machine learning, or other quantitative fields.5+ years of applied R&amp;D experience (as a PhD student, or post-doc) or professional experience (research staff in a university or industry) developing and deploying data and algorithm-driven software products.Strong programming skills (8+ years of programming experience) in Python, Java, R, or Scala.In-depth knowledge of NLP and machine learning libraries such as SpaCy, NLTK, Stanford NLP, Numpy, and Scikit-learn.Experience with specialized NLP tasks such as sentiment analysis, relation extraction, summarization, entity recognition, document classification, and knowledge base generation.Publications in top-tier venues in the field of Machine Learning, Deep Learning, NLP or Computational Linguistics.Hands-on working experience with deep learning and Big Data frameworks such as TensorFlow, Keras, PyTorch, Caffe, Fast.ai, MXNet, Spark, or Hadoop.Experience beyond using open source tools as-is, and writing custom code on top of, or in addition to, existing open source frameworks. 
 Job Type: Full-time 
 Experience: 
 Machine Learning: 5 years (Preferred)National Language Processing: 1 year (Preferred) 
 Education: 
 Doctorate (Preferred) 
 Benefits offered: 
 Paid time offOthersHealth insurance",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DJ41dufiW9-_d3VmOZHcpuez4e0Bu4X9T9KlT8_BkKDTCpIQbqk84Vut8YIlTyJcPGBLvQMqio0EThKLY0JCPMn_1sZWt6hCu8SwmUK5Urir6Ixd6JjuTEXWF00SZRXdoYHKiWxfq7qgmC6o0B34-UgwDCr395dAZazBFrB2OYTjQC1k9s5cxiPANKIvb3_Dfo-ipQYvIM3yhogzcWua3IpGuM4NEeHlrKGpoirXam6drxyThlb3glNd8ROOX_liCdWekJHhKHQ5iuf5dMVOoXEXEgRDBLN2-0M_cDevlVHC6T70e1a3a5RzLbw2lGqVwzoQIMe9qkGqprxm_yqfHA7HhXSmdbf-LtiKahh6KhMI4AxxsUjFi-emSqiFhIOGaWqEE9HHB4PReLXK9Xvm2dHuINavLLxdbF-A7RiwxciVmw02FwzsOaeQnTb0QE5QlfPYP8uG1AWBP5c5mmafzWvSJultUuSfGyKJ9b3Tx80YhvMfm07vPqUroqNa5QJ4c=&p=3&fvj=1&vjs=3
Data Capital Management (DCM),"New York, NY",Machine Learning Scientist ,,," 
 Description:
The Machine Learning Scientist will join a growing group of specialists, researchers and software engineers who have a passion for leveraging new technologies and methods to solve complex problems and deliver excellent risk-adjusted returns on behalf of our clients and our families.
If you are an expert in Machine Learning and believe in Achievement, Data-Driven Logic, Passion, Humility and Accountability we invite you to consider joining our team!<br/>


Responsibilities:

Leverage artificial intelligence, an advanced technology platform and our large and growing library of structured and unstructured historical and real-time data feeds to:
Identify, analyze and explain relationships in the world
Develop, test and deploy systematic trade strategies<br/>


Qualifications:

Financial services experience is not required
Masters or Ph.D. in a STEM field with excellent analytical skills to self-assess robustness and other statistical metrics of machine learning models
Expertise in one or more of the following fields: NLP, Neural Networks, Deep Learning, Bayesian Analysis, Decision Trees, Image Recognition, etc.
Strong Python and SQL skills; experience with TensorFlow is a plus
Strong communication skills to explain insights and methods",https://www.indeed.com/rc/clk?jk=923e7c975877dc0f&fccid=c1f0f9f741315d61&vjs=3
Twitter,"New York, NY",Machine Learning Engineer ,2,," 
  
 Are you an engineer who’s interested in tackling very challenging adversarial problems and passionate about defending online users against abuse, spam, and manipulation? Do you love working on challenging problems that require a multi-disciplinary approach, creative solutions, and rapid product iterations? Will you be proud to work on a real-time, scalable system that serves millions of users daily? If so, you should join us.

Who We Are

The Health ML engineering team is responsible for building scalable detection systems that keep spam, manipulation, and abuse at bay. We use ML and relevance techniques to make Twitter safer and to limit the spread of misinformation on the platform. Our team works across the product to detect abusive and spammy users and content, increase action on bad actors, drive changes in user behavior, and detect and remediate accounts that are violating the terms of service on Twitter.

We develop, maintain, and contribute to several machine learning models and systems, including:

Models that detect unwanted interactions
Models to prioritize human review of accounts violating Twitter's policies to more quickly take action and limit their damage
Detection of bots that misuse the platform or spread misinformation
Detection of repeat abusive offenders who create new accounts after being suspended
Real-time rule engines and clustering systems to identify and action on clusters of bad actors at scale
What You’ll Do

Although you will work on cutting-edge problems, this position is not a pure research position. You will participate in the engineering life-cycle at Twitter, including designing distributed systems, writing production code and data pipelines, conducting code reviews and working alongside our infrastructure and reliability teams. You’ll apply data science, machine learning, and/or graph analysis techniques to a variety of modeling and relevance problems involving users, their social graph, their tweets, and their behavior.

Who You Are

You’re a relevance engineer, applied data scientist, or machine-learning engineer who wants to work on exciting algorithmic and deep infrastructure issues to improve the health of the public conversation on Twitter. You’re experienced at solving large scale relevance problems and comfortable doing incremental quality work while building brand new systems to enable future improvements.

You are knowledgeable in one or more of the following: machine learning (including deep learning), information retrieval, recommendation systems, social network analysis.
You are a strong technical advocate with a background in Java, C++, or Scala, and Python.
You strive to find the right balance between moving fast to deliver quality improvements to users and accumulating technical debt that drags down productivity.
You have a collaborative working style with a strong focus on disciplined execution and results.
You like to ground decisions in data and reasoning and solve root causes of problems rather than surface issues.
You are adept at communicating relevant information clearly and concisely.
You look ahead to identify opportunities and thrive in a culture of innovation.<br/>


Here’s all the legal good stuff:

We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran, genetic information, marital status or any other legally protected status.

San Francisco applicants: Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records. 
 ",https://www.indeed.com/rc/clk?jk=425a487ad9defcd7&fccid=7a3824693ee1074b&vjs=3
7N,"New York, NY",Machine Learning Engineer ,18,," 
 Do you want to change the ways of secure interactions between humans and computers? 
 
 
 <br/> 
 <h4 class=""jobSectionHeader"">Machine Learning Engineer
On behalf of a client we are looking for a Machine Learning Engineer who wants to be a part of developing a new enterprise solution that will change the ways of secure interactions between humans and computers. You will join a team of Software Developers and Engineers who work closely with scientists.
<h4 class=""jobSectionHeader"">Responsibilities
You will be working on an enterprise SaaS solution. Your daily work will be a mix of data science and applying new deep learning techniques from image, video, and voice processing research to behavioral data. The role is involved in everything from preprocessing, feature extraction, modeling, testing, evaluating, productizing, and to some extent deploying. You will also be involved in the pipelining and automation of the algorithms.
<h4 class=""jobSectionHeader"">Qualifications
Machine Learning fundamentals. i.e. algorithms, math and statistics
Python programming skills
Experience with deep learning and deep learning frameworks
Experience with feature learning
Experience with template matching and statistical machine learning
Experience with data science, data cleaning and data processing",https://www.indeed.com/rc/clk?jk=d1e29f17027c21e1&fccid=050cf6e1fc6835a8&vjs=3
Spotify,"New York, NY 10011","Data Scientist, Music Analytics ",2,," 
 We are looking for an extraordinary Data Scientist to join the band and build core analytics to support our Music organization. The Music organization is responsible for editorial music recommendations, programming of music content on the Spotify app, relationships with the music industry, artist marketing, and live events.

Spotify’s mission is to unlock the potential of human creativity—by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by it. You will help us achieve this mission, and above all, you will be at the nexus of data science and business at one of the most innovative companies in the world.
<h2 class=""jobSectionHeader"">
What you’ll do
Support leadership with research on key business initiatives and challenges.
Perform analyses on large sets of data to extract actionable insights that will drive decisions, with a particular focus on editorial curation and Spotify’s key music brands.
Engineer novel data sets and features that shed new light on the dynamics of music listening.
Define success measures and build tools that predict and track performance of strategic projects.
Communicate data-driven insights and recommendations to non-technical audiences, through clear visualisations and presentations.
<h2 class=""jobSectionHeader"">Who you are
You are a natural communicator, who focuses just as much on the delivery and the “so what” of your insights, as you do on the technical craft of extracting them.
You are comfortable building and maintaining relationships with senior management, as well as team members around the world.
You are capable of tackling very loosely defined problems, and comfortable leading and owning a research agenda for long term analytics projects.
You are passionate about music and popular culture in general. Previous experience in music, media, entertainment, or tech industries is a plus.
What you bring

Degree in Computer Science/Engineering, Mathematics, Statistics, Economics, or another quantitative field; advanced degree is desirable.
2+ years (5+ years for senior role) of relevant experience analyzing complex data with SQL, Python, and/or R.
Modeling and statistical knowledge is a strong preference. Feature engineering for machine learning models is a real plus.
Experience with visualisations and dashboarding (e.g., Tableau or similar BI software) is a strong preference.
Experience creating and scheduling datasets is highly valued. Knowledge of Google BigQuery and Java/Scala is a plus. 
 ",https://www.indeed.com/rc/clk?jk=033b1e4550a09410&fccid=fe404d18bb9eef1e&vjs=3
MLB.com,"New York, NY",Machine Learning Engineer ,6,," 
 Position: 
  Machine Learning Engineer, Baseball Data
 
 <br/> 
 <br/> 
 
 
 Reports to: 
  Director, Software Engineering, Baseball Data
 
 <br/> 
 <br/> 
 
Major League Baseball's Technology team is renowned for creating experiences that baseball fans love.
 
 <br/> 
 <br/> 
 
We're looking for an expert in Machine Learning to create the code powering Major League Baseball. The Baseball Data team is tasked with analyzing the data captured on the field. With the launch of Statcast in 2015, MLB began tracking ball and player movements for each and every play. This role will involve combining our various data sources with video in near real-time to further our understanding of what is happening on the field.
 
 <br/> 
 <br/> 
 
This position offers the opportunity to collaborate with other world-class engineers, data scientists, product developers, and designers; contribute to award-winning and complex apps and systems; influence the innovation of products used by millions globally; and work in a highly collaborative, results-oriented, team environment.
 
 <br/> 
 <br/> 
 
Using bleeding edge technology, our software is consumed by fans, broadcasters, stadiums, MLB Clubs and the league itself. We are looking for Engineers that are passionate about building new technologies for the baseball industry, and this role will help usher in the next generation of experiences for fans of all ages!
 
 <br/> 
 <br/> 
 
 
 Core Responsibilities: 
 <br/> 
 
 
 
Brainstorm, discuss, and drive new advanced technology solutions for MLB products
Build scalable machine learning algorithms
Influence the innovation of products used by millions of users worldwide
Present and explain complex models to non-technical stakeholders
Introduce technologies you feel passionate about
 
 
Qualifications
 
 <br/> 
 <br/> 
 
 
 
Masters or PhD in Computer Science with a focus in machine learning
3+ years experience working with machine learning
Deep knowledge of machine learning and statistical predictive modeling
Experience with numpy, pandas, and scikit Python libraries
Real-world application experience implementing CNNs, or RNNs/LSTMs
Deep Learning Tools – Tensorflow, Theano, Caffe, etc.
 
 
",https://www.indeed.com/rc/clk?jk=a675d15afa608421&fccid=bc1c9d9d782c6b91&vjs=3
AETNA,"New York, NY 10016",Data Scientist ,2,," 
 Description:<br/>
Participates in the development, validation and delivery of algorithms, statistical models and reporting tools. Solves moderately complex analytical problems.62970<br/>
<br/>
Fundamental Components:<br/>
Develops, validates and executes algorithms and predictive models to investigate problems, detect patterns and recommend solutions. Explores, examines and interprets large volumes of data in various forms. Performs analyses of structured and unstructured data to solve moderately complex business problems. utilizing advanced statistical techniques and mathematical analyses. Develops data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs. Uses data visualization techniques to effectively communicate analytical results and support business decisions. Creates and evaluates the data needs of assigned projects and assures the integrity of the data. Explores existing data and recommends additional sources of data for improvements. Documents projects including business objectives, data gathering and processing, detailed set of results and analytical metrics.<br/>
<br/>
Background Experience:<br/>
Demonstrates good written and verbal communication skills. Able to present information to various audiences.Effectively resolves problems and roadblocks as they occur.Demonstrates proficiency in several areas of data modeling, machine learning algorithms, statistical analysis, data engineering and data visualization.Ability to work with large data sets from multiple data sources.3 years of relevant programming or analytic experience. Masters degree preferred.Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science, Business Analytics, Economics, Physics, Engineering, or related discipline.<br/>
<br/>
Potential Telework Position:<br/>
No<br/>
<br/>
Percent of Travel Required:<br/>
0 - 10%<br/>
<br/>
EEO Statement:<br/>
Aetna is an Equal Opportunity, Affirmative Action Employer<br/>
<br/>
Benefit Eligibility:<br/>
Benefit eligibility may vary by position. Click here to review the benefits associated with this position.<br/>
<br/>
Candidate Privacy Information:<br/>
Aetna takes our candidate's data privacy seriously. At no time will any Aetna recruiter or employee request any financial or personal information (Social Security Number, Credit card information for direct deposit, etc.) from you via e-mail. Any requests for information will be discussed prior and will be conducted through a secure website provided by the recruiter. Should you be asked for such information, please notify us immediately.",https://www.indeed.com/rc/clk?jk=555f9323d80cfcfb&fccid=7077d7e88049c02a&vjs=3
