company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
"York Solutions, LLC","Roseville, CA, US",Business Process Modeler -Roseville,2019-07-24,Experience evaluating an As-Is state and determiningrecommending process improvement changes to get To-be future state Has understanding ...,https://www.linkedin.com/jobs/view/business-process-modeler-roseville-at-york-solutions-llc-1395788957?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"York Solutions, LLCRoseville, CA, US 
",Entry level,Full-time,"Design, Art/Creative, Information Technology","Information Technology and Services, Computer Software, Computer & Network Security"
Capital One,"McLean, VA, US",Principal Quantitative Modeler - (PPNR / Time-Series),2019-07-17,"Still founder-led by Chairman and Chief Executive Officer Richard Fairbank, Capital One is on a mission to help our customers succeed by ...",https://www.linkedin.com/jobs/view/principal-quantitative-modeler-ppnr-time-series-at-capital-one-1174640492?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Capital OneMcLean, VA, US 
",Associate,Full-time,"Design, Art/Creative, Information Technology","Banking, Financial Services, Investment Banking"
PSF Mechanical Inc.,"Seattle, WA, US",Mechanical Design Modeler,2019-07-25,"Compensation: Hourly; we offer competitive wages based on skills and experience, excellent benefits package including: Paid Time Off (PTO...",https://www.linkedin.com/jobs/view/mechanical-design-modeler-at-psf-mechanical-inc-1394120210?position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"PSF Mechanical Inc.Seattle, WA, US 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
",Entry level,Full-time,"Design, Art/Creative, Information Technology","Construction, Staffing and Recruiting, Financial Services"
Big Ladder Software,"Denver, CO, US",EnergyPlus Modeler/Programmer - Denver,2019-07-22,"Minimum Qualifications To be considered for the job, you should be able to demonstrate the following minimum qualifications: Minimum two ...",https://www.linkedin.com/jobs/view/energyplus-modeler-programmer-denver-at-big-ladder-software-1390544156?position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Big Ladder SoftwareDenver, CO, US 
",Entry level,Full-time,"Design, Art/Creative, Information Technology","Architecture & Planning, Computer Software, Management Consulting"
OTC Direct Inc,"Omaha, NE, US",Statistical Modeler,2019-07-28,"Experience in marketing analysis related to direct marketing, financial services or other service sector preferred. Experience with ...",https://www.linkedin.com/jobs/view/statistical-modeler-at-otc-direct-inc-1401316083?position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"OTC Direct IncOmaha, NE, US 
",Entry level,Full-time,"Design, Art/Creative, Information Technology",Information Technology and Services
"Clear Resolution Consulting, LLC","Comfort Inn Arlington Blvd / DC Gateway, VA, US",Appian Modeler,2019-08-01,"Here at ASET Partners we are looking for a highly skilled, exceptionally motivated Appian Modeler to support a Department of Homeland ...",https://www.linkedin.com/jobs/view/appian-modeler-at-clear-resolution-consulting-llc-1406348022?position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Clear Resolution Consulting, LLCComfort Inn Arlington Blvd / DC Gateway, VA, US 
",Entry level,Full-time,"Design, Art/Creative, Information Technology","Information Technology and Services, Defense & Space, Computer Software"
MITRE,"McLean, VA, US",Complex Systems Modeler,2019-06-19,"The Model-Based Analytics Department is seeking a motivated, creative Complex Systems Modeler to apply cutting edge tools and techniques ...",https://www.linkedin.com/jobs/view/complex-systems-modeler-at-mitre-1372319283?position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"MITREMcLean, VA, US 
",Entry level,Full-time,"Design, Art/Creative, Information Technology","Information Technology and Services, Defense & Space, Computer Software"
Vprecruiter,"Wilmington, DE, US",CCB-Risk-Card Portfolio Profitability Modeler-Associate,2019-07-31,"Communication skills must be strong, with an ability and demonstrated experience in clearly presented analytical findings. We are looking...",https://www.linkedin.com/jobs/view/ccb-risk-card-portfolio-profitability-modeler-associate-at-vprecruiter-1404506991?position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"VprecruiterWilmington, DE, US 
",Entry level,Full-time,"Design, Art/Creative, Information Technology","Information Technology and Services, Defense & Space, Aviation & Aerospace"
Discover Corporation Ltd,"Riverwoods, IL, US",Modeler - P204741,2019-07-26,"Leverages extensive, deep technical knowledge and leadership skills to drive the development of data-science solutions, and implements ...",https://www.linkedin.com/jobs/view/modeler-p204741-at-discover-corporation-ltd-1395264475?position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Discover Corporation LtdRiverwoods, IL, US 
",Entry level,Full-time,"Design, Art/Creative, Information Technology","Information Technology and Services, Computer Software, Financial Services"
"AmTrust Financial Services, Inc.","Jersey City, NJ, US",Capital Modeler,2019-07-31,Amtrust is looking for a capital modeler in our capital management team. Strong background in Statistics and excellent analytic skills. ...,https://www.linkedin.com/jobs/view/capital-modeler-at-amtrust-financial-services-inc-1404321891?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"AmTrust Financial Services, Inc.Jersey City, NJ, US 
 
",Not Applicable,Full-time,"Design, Art/Creative, Information Technology",Insurance
