company,location,title,post_date,url,full_desc,seniority_level,employment_type,job_function,industries,search_role,search_city
Thermo Fisher Scientific,"South San Francisco, CA",Data Scientist,2020-09-26,https://www.linkedin.com/jobs/view/data-scientist-at-thermo-fisher-scientific-2176580133?refId=3ca3ad34-4a49-4a2c-8eb1-2a7e240ef628&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Thermo Fisher Scientific Inc. is the world leader in serving science, with annual revenue exceeding $25 billion. Our Mission is to enable our customers to make the world healthier, cleaner and safer. Whether our customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies or increasing productivity in their laboratories, we are here to support them.How will you make an impact?You will be a part of the fast-growing field of Clinical Diagnostics developing algorithms for molecular diagnostics based on real-time PCR technologies. Your interaction and collaboration with a talented team of assay, reagents, software, hardware designers and manufacturing will revolutionize healthcare through high throughput diagnostic systems. Thermo Fisher Scientific Inc. has played a pivotal role in the COVID-19 pandemic with the TaqPath COVID-19 Combo Kit for testing SARS-CoV-2. We continue to innovate and provide new solutions for the pandemic and we need your talent to help save lives.What will you do? Organize and data mine clinical data to assess the performance of clinical tests Work closely with scientists and engineers with data analysis & experimental design Develop software and analysis pipelines for data mining large datasets and auto generation of reports Develop classification algorithms and model data Perform root cause analysis Collaborate and communicate with various teams and business unitsHow will you get here?EducationBachelor’s degree in Molecular Biology, Biology, Chemistry, Applied Mathematics, Physics, Electrical Engineering, Computational Biology, Biostatistics, Bioinformatics, Computer Science or related discipline; postgraduate degree (Master’s, PhD) is highly preferredExperience 3+ years of product development experience (biotechnology industry preferred) Strong hands on data analysis, modeling, and classifiers experience Data structures and common methods in data transformation Pattern recognition and predictive modeling skills Excellent programming skills in C++, Java and Python Experience utilizing Matlab, JMP, R, or SPSSKnowledge, Skills, Abilities Understanding of clinical trial design and evaluation Knowledge in Molecular Biology and Clinical Diagnostics Strong understanding of qPCR and amplification curve data Prior experience with US-FDA 510k product development/submission, 21 CFR Part 11, and ISO 13485 is highly preferred Ability to present and communicate data analysis results to non-experts Ability to work independently and in a team environmentOur global team of more than 75,000 colleagues delivers an unrivaled combination of innovative technologies, purchasing convenience and pharmaceutical services through our industry-leading brands, including Thermo Scientific, Applied Biosystems, Invitrogen, Fisher Scientific, Unity Lab Services and Patheon. For more information, please visit www.thermofisher.com.Apply today! http://jobs.thermofisher.comShow moreShow less 
",Not Applicable,Full-time,Science,"Pharmaceuticals, Biotechnology",Data Scientist,"San Francisco, California"
Google,"San Francisco, CA","Data Scientist, Engineering",2020-07-31,https://www.linkedin.com/jobs/view/data-scientist-engineering-at-google-1991614243?refId=3ca3ad34-4a49-4a2c-8eb1-2a7e240ef628&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Note: By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; San Bruno, CA, USA; Seattle, WA, USA; San Francisco, CA, USAMinimum Qualifications Master's degree in a quantitative discipline (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering) or equivalent practical experience. 2 years of work experience in data analysis related field. Experience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages (e.g., SQL) Preferred Qualifications PhD degree in a quantitative discipline. 4 years of relevant work experience, including expertise with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods. Applied experience with machine learning on large datasets. Experience articulating and translating business questions and using statistical techniques to arrive at an answer using available data. Demonstrated leadership and self-direction. Willingness to both teach others and learn new techniques. Demonstrated skills in selecting the right statistical tools given a data analysis problem. Effective written and verbal communication skills. About The JobAs a Data Scientist, you will evaluate and improve Google's products. You will collaborate with a multi-disciplinary team of engineers and analysts on a wide range of problems. This position will bring scientific rigor and statistical methods to the challenges of product creation, development and improvement with an appreciation for the behaviors of the end user.Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, data scientists not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.Responsibilities Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations. Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive knowledge of Google data structures and metrics, advocating for changes where needed for product development. Interact cross-functionally, making business recommendations (e.g., cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information. Research and develop analysis, forecasting, and optimization methods to improve the quality of Google's user facing products. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form .Show moreShow less 
",Not Applicable,Full-time,"Engineering, Information Technology","Information Services, Internet",Data Scientist,"San Francisco, California"
Evernote,"Redwood City, CA","Data Scientist, Analytics",2020-10-07,https://www.linkedin.com/jobs/view/data-scientist-analytics-at-evernote-2172505510?refId=3ca3ad34-4a49-4a2c-8eb1-2a7e240ef628&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"About The TeamThe Evernote Analytics team is responsible for providing data insights that inform and influence our product and business decisions. We are looking for data scientists who are passionate about using data to solve interesting or challenging problems, to shape the future of what we build at Evernote. The ideal candidate will have a background in a quantitative or technical field, will have experience working with complex data sets, and will have experience in data-driven decision making. You are intellectually curious, focused on results, and have demonstrated success in using analytics to drive the understanding, development, and success of product or marketing initiatives.What You Will Do Apply your expertise in quantitative analysis, data mining, and data visualization to see beyond the numbers, understand how our users interact and engage with Evernote, and draw actionable insights Partner closely with product, engineering and marketing teams to solve problems and identify trends and opportunities Lead the definition of product and business success metrics, collaborate with working teams to ensure correct data tracking instrumentation for measurement Build reports and dashboards to monitor KPIs (Key Performance Indicators), understand drivers of KPI changes Help set up experiments, analyze and interpret results Effectively communicate insights and recommendations to stakeholders Design and implement predictive models to improve engagement, conversion, and retention Lead ongoing decisions concerning data collection, test/study design and data analyses What You Have Done Bachelors or Masters in Computer Science, Statistics, Math, Finance, or other quantitative field 3+ years experience doing quantitative analysis Experience in querying and manipulating large data sets using data querying languages (e.g. SQL), scripting languages (e.g. Python), or statistical/mathematical software (e.g. R, SAS, Matlab) Experience with designing and deploying compelling dashboards using business intelligence tools (e.g. Tableau) Knowledge in applied statistics (e.g. hypothesis testing, regressions, predictive modelings) or experimentation (e.g. A/B testing) in an industry setting Ability to translate complex data into actionable insights for a non-technical audience Who You Are Strong problem solving and analytical skills Driven self-starter with good attention to detail Willingness to learn new technologies, tools and approaches to problem solving Excellent communication and presentation skills Experience working within the tech sector preferred We are committed to an inclusive and diverse Evernote. We believe that different perspectives lead to better ideas, and better ideas allow us to better understand the needs and interests of our diverse, global Evernote Community. We welcome people of different backgrounds, experiences, abilities and perspectives and are an equal opportunity employer.California privacy notice: Read our privacy policy for job applicants hereShow moreShow less 
",Entry level,Full-time,"Engineering, Information Technology","Information Technology and Services, Computer Software, Internet",Data Scientist,"San Francisco, California"
Facebook,"San Francisco, CA","Data Scientist, Analytics",2020-10-07,https://www.linkedin.com/jobs/view/data-scientist-analytics-at-facebook-2192674666?refId=3ca3ad34-4a49-4a2c-8eb1-2a7e240ef628&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.We’re looking for Data Scientists to work on our core and business products (ex. Instagram, Messaging, Growth, Engagement, Ads) to help shape the future of what we build at Facebook. You will enjoy working with one of the richest data sets in the world, cutting edge technology, and the ability to see your insights turned into real products on a regular basis. The perfect candidate will have a background in a quantitative or technical field, will have experience working with large data sets, and will have some experience in data-driven decision making. You are focused on results, a self-starter, and have demonstrated success in using analytics to drive the understanding, growth, and success of a product.Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business productsPartner with Product and Engineering teams to solve problems and identify trends and opportunitiesInform, influence, support, and execute our product decisions and product launchesThe Data Scientist Analytics role has work across the following four areas:Product Operations: Forecasting and setting product team goals, designing and evaluating experiments, monitoring key product metrics, understanding root causes of changes in metrics, building and analyzing dashboards and reports, building key data sets to empower operational and exploratory analysis, and evaluating and defining metricsExploratory Analysis: proposing what to build in the next roadmap, understanding ecosystems, user behaviors, and long-term trends, identifying new levers to help move key metric, and building models of user behaviors for analysis or to power production systemsProduct Leadership: influencing product teams through presentation of data-based recommendations, communicating state of business, experiment results, etc. to product teams and spreading best practices to analytics and product teamsData Infrastructure: working in Hadoop and Hive primarily, sometimes MySQL, Oracle, and Vertica, and automating analyses and authoring pipelines via SQL and Python based ETL framework2+ years’ experience doing quantitative analysis within a large-scale company or fast-paced environmentBA/BS in Computer Science, Math, Physics, Engineering, Statistics or other technical fieldExperience in SQL or other programming languagesDevelopment experience in any scripting language (PHP, Python, Perl, etc.)Experience communicating the results of analyses with product and leadership teams to influence the strategy of the productKnowledge of statistics (e.g. hypothesis testing, regressions)Experience manipulating data sets through statistical software (e.g. R, SAS) or other methodsAdvanced degreesExperience with distributed computing (Hive/Hadoop)Experience working within the tech sector preferredFacebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com.Show moreShow less 
",Associate,Full-time,Information Technology,Internet,Data Scientist,"San Francisco, California"
Alt,"San Francisco, CA",Data Scientist,2020-10-08,https://www.linkedin.com/jobs/view/data-scientist-at-alt-2193757408?refId=3ca3ad34-4a49-4a2c-8eb1-2a7e240ef628&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"DescriptionAlt's mission is to increase the transparency and liquidity of alternative assets. For investors who are looking for a trusted system of record, Alt is a platform that allows you to research, manage, insure, and leverage your portfolio. Whether it's sports cards, shoes, watches, or art, Alt will automatically value your assets, secure your portfolio and help you invest intelligently.As a data scientist at Alt, you will help build out Alt Value, our valuation product that will give our users transparency on the value of their portfolio, and is also a core piece of multiple other product lines in Alt. We are very early in the building phase so you will be instrumental in laying the foundation at Alt and will have the opportunity to shape the product and culture from the beginning.Responsibilities Building, iterating and owning Alt's valuation models Leveraging data science, statistics and market domain expertise to create data and model driven solutions for our customers Providing data products that are crucial to the success of our business Partner with product to understand customer requirements and prioritize model features Help build and define the valuation team at Alt from the ground up Requirements 3+ years of experience working with Data Science Experience with machine learning models and technologies, such as Scikit-Learn and TensorFlow Experience in technologies such as AWS, Python, Airflow, and SQL Product-oriented mindset Excellent communication skills Benefits Healthcare benefits, including HSA, for you and your dependent(s) 401K Unlimited vacation policy Paid parental leave Ground floor opportunity as an early member of the Alt team; you'll directly shape the direction of our companyShow moreShow less 
",Entry level,Full-time,"Engineering, Information Technology",Financial Services,Data Scientist,"San Francisco, California"
Shipt,"San Francisco, CA",Data Scientist - Operations Research,2020-10-09,https://www.linkedin.com/jobs/view/data-scientist-operations-research-at-shipt-2196322000?refId=3ca3ad34-4a49-4a2c-8eb1-2a7e240ef628&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"At Shipt, we are transforming the grocery shopping experience and giving time back to consumers. Our friendly shoppers handpick fresh groceries and household essentials, then deliver them to your door in as little as one hour.Shipt is growing and we are searching for a Data Scientist, Ops Research to join our team! In this role, you’ll help build the next generation of processes and algorithms to optimize our fulfillment capability.The data science team builds data driven solutions using machine learning and operations research techniques. Our solutions include predictive models, complex reporting, and quantitative research. Our ideal candidate will be data-driven, intellectually curious, and a clear communicator with experience building machine learning models.What You’ll GainYou will get experience working with a cross-disciplinary team shipping real-world products to our customers around the nation. You will also receive hands-on mentorship from your friendly teammates on topics ranging from design to career adviceYour ResponsibilitiesGain a deep understanding of Shipt’s operational problems and the data available / required to solve them.Curate operational datasets that act as the source of truth for business critical analytics and operational algorithms.Apply modeling, optimization, forecasting, simulation techniques to complex multi-sided marketplace problems with quickly-changing dynamics. Collaborate with external teams to build dashboards and self-service tools to empower people to use data to make decisions. Help increase the speed and confidence at which Shipt can make and execute on data-driven decisions through clear and concise technical communication.RequirementsAt least 2 years of experience with machine learning, predictive modeling, and/or optimization techniques.Demonstrated high degree of proficiency in Python.Demonstrated high degree of proficiency with SQL.Experience with a data visualization tool (Tableau, Chartio, Looker, Spotfire, Power BI, etc).Comfortable giving verbal presentations and communicating with technologies like Zoom and Slack.Nice to HavesExperience with cloud computing platforms like AWS, GCP, or Azure. Experience with software engineering practices and technologies like system design, unit testing, and version control. Familiarity with on-demand and multi-sided marketplaces. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction recordsShow moreShow less 
",Entry level,Full-time,"Engineering, Information Technology","Marketing and Advertising, Computer Software, Internet",Data Scientist,"San Francisco, California"
Airbnb,"San Francisco, CA","Staff Data Scientist, Analytics - Guest Store",2020-10-08,https://www.linkedin.com/jobs/view/staff-data-scientist-analytics-guest-store-at-airbnb-2172550486?refId=3ca3ad34-4a49-4a2c-8eb1-2a7e240ef628&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Airbnb is one of the world’s largest marketplaces for unique, authentic places to stay and things to do, offering over 7 million accommodations and 40,000 handcrafted activities, all powered by local hosts. An economic empowerment engine, Airbnb has helped millions of hospitality entrepreneurs monetize their spaces and their passions while keeping the financial benefits of tourism in their own communities. With more than half a billion guest arrivals to date, and accessible in 62 languages across 220 countries and regions, Airbnb promotes people-to-people connection, community and trust around the world.About The TeamAirbnb is a global platform that connects travelers and hosts from over 81,000 cities. Our mission is to enable a world where anyone can belong anywhere. Using data to help ensure a world class experience for our users is critical to our mission.We are looking for talented Data Scientists to join our Guest Store Data Science team. Working alongside other team members to dig deep into Airbnb's marketplace data, you will help translate complex findings and results into a compelling narrative about this highly strategic, fast-growing market. In this role, you will have tremendous upwards exposure as the Data Science team’s mouthpiece to senior business partners. If you’re passionate about leveraging data to drive business and product decisions, we want to hear from you.Guest Store is responsible for the end to end guest experience on the Airbnb platform and directly develops the homepage, search, booking and pre-trip experience. You will join the analytics data science team, which is responsible for understanding who our guests are, how they use our product, and how we can better serve them.ResponsibilitiesYou will work closely with product teams, cross-functional partners, and other data scientists across the guest experience to drive strategy and product changes through insights. Your initial focus areas: Surfacing strategic guest and travel trends from our data, including how use cases and preferences are evolving Developing a state-of-the-art understanding of navigation and conversion paths, as well as product frictions in the experience.  Partnering cross-functionally to build an easy booking experience and fun planning product for our guest community Minimum Qualifications 8+ years of relevant industry experience Outstanding verbal, written and leadership communication Expert in analyzing data using SQL and tools such as Python or R Proven ability to succeed in both collaborative and independent work environments Preferred Qualifications Experience developing business strategy or building products Experience with experiment design and interpretation Experience building data pipelines in tools such as Airflow Preference for Python or R Experience with technical mentorship of other data scientists Benefits Stock $2,000 yearly employee travel coupon Competitive salary Paid time off Medical, dental, & vision insurance Life & disability coverage 401K Flexible Spending Accounts Apple equipment Daily breakfast, lunch, and dinner We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability statusShow moreShow less 
",Not Applicable,Full-time,"Research, Science, Engineering","Hospitality, Internet, Leisure, Travel & Tourism",Data Scientist,"San Francisco, California"
Stitch Fix,"San Francisco, CA",Data Scientist - Operations,2020-10-08,https://www.linkedin.com/jobs/view/data-scientist-operations-at-stitch-fix-2173718748?refId=3ca3ad34-4a49-4a2c-8eb1-2a7e240ef628&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"About The TeamIn this role you will use Operations Research, Data Science methods and tools to plan and optimize operations at Stitch Fix. You will build algorithmic solutions to solve business problems around demand and capacity planning, personalized allocation, logistics and warehouse operations - all with the goal to support client satisfaction and company growth.You're Excited About This Opportunity Because You Will… Perform analyses and build frameworks / solutions to deliver insights for operational decisions Co-lead the design of cross-functional business processes that leverages what humans and algorithms respectively do best Maintain and improve algorithmic capabilities in areas such as capacity planning, allocation and warehouse operations Define, build, and deploy algorithmic capabilities that span multiple functions within the business Identify and estimate trade-offs between business objectives, such as efficiency, cost, and customer satisfaction. Design, implement, and analyze A/B tests We're Excited About You Because You Have… 2+ years of experience supporting operational roles (demand planning, supply planning, capacity management, operations) A Ph.D. or Masters degree in Statistics, Biostatistics, Marketing, Econometrics, Mathematics, or other quantitative fields Experience writing code (Python preferred) in production environments where you have learned industry practices such as unit testing and code reviews. The ability to quickly and iteratively prototype analyses and algorithms A deep understanding business processes, and have experience working with people with different backgrounds, priorities, and responsibilities The ability to explain complex concepts well and move decisions forward in collaboration with your business partners An inquisitive nature, and you scrutinize functional efforts through the lens of constantly improving the client experience and the business Why You'll Love Working at Stitch Fix We are a group of people who are bright, kind and motivated by challenges. You can be your authentic self here, and are empowered to encourage others to do the same!  We are a successful, fast-growing company at the forefront of tech and fashion, redefining retail for the next generation We are a technologically and data-driven business We are committed to our clients and connected through our vision of “Transforming the way people find what they love” We love solving problems, thinking creatively and trying new things We believe in autonomy & taking initiative We are challenged, developed and have meaningful impact We take what we do seriously. We don't take ourselves seriously We have a smart, experienced leadership team that wants to do it right & is open to new ideas We offer competitive compensation packages and comprehensive health benefits You will be proud to say that you work for Stitch Fix and will know that the work you do brings joy to our clients every day About Stitch FixStitch Fix is redefining retail shopping using a unique blend of art and science to deliver a deeply personalized service to our customers. This novel juxtaposition—at once analytic and artistic, technical and adventurous—attracts an extraordinary collection of talented people who are both thinkers and doers. Our diverse workforce has catalyzed enormous company growth over the past three years in terms of customer satisfaction and service efficacy. We’d love for you to help us carry on the trend.Please Review Stitch Fix's Recruiting Privacy Policy Herehttps://www.stitchfix.com/privacy/usrecruitingprivacyShow moreShow less 
",Entry level,Full-time,"Research, Analyst, Information Technology","Apparel & Fashion, Internet, Retail",Data Scientist,"San Francisco, California"
Global Fishing Watch,"Oakland, CA",Data Scientist,2020-10-08,https://www.linkedin.com/jobs/view/data-scientist-at-global-fishing-watch-2193753511?refId=3ca3ad34-4a49-4a2c-8eb1-2a7e240ef628&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"General SummaryGlobal Fishing Watch (GFW) is an independent, international non-profit organization that advances the sustainability and stewardship of the ocean by offering, for free, data and near real-time tracking of commercial fishing activity.GFW processes a global database of vessel GPS positions, several terabytes in size, and applies machine learning models that infer each vessel's type and size as well as when they are likely fishing. GFW is now developing new models, both on these GPS positions and on satellite imagery, to fully reveal activity in the world's oceans. These models include object detection from global feeds of satellite radar and optical imagery, and models that infer, based on vessel behavior, illegal activity and unreported catch. We believe that these new models have the potential to dramatically change the way we monitor and manage the world's oceans.The PositionForced labor in fisheries is increasingly recognized as a human rights crisis. Until recently, its extent was poorly understood and no tools existed for systematically detecting forced labor risk on individual fishing vessels on a global scale. Working closely with the GFW technical teams and GFW's research partners, the data scientist will refine our current vessel-level behavioral model to predict fishing vessels that have a higher risk of using forced labor and will develop new models. The position represents an exciting opportunity to apply modern ML to big data problems in a field where it has been little used to date. Unlike traditional supervised learning this problem is an example of ""positive-unlabeled (PU)"" learning (because we don't know which vessels do not use forced labor), requiring less straightforward approaches and presenting interesting challenges. The existing model has been applied to a small training set, and working with global partners we are currently identifying additional labeled data. The successful candidate will refine the models as new data are acquired and subsequent model predictions will be tested in the field through our network of partners.Skilled use of R or Python (current model is implemented in R) is needed, as is some experience with SQL and knowledge of machine learning techniques. A successful candidate does not need to demonstrate all of the skills required for this job, but does have to show an aptitude for learning such skills on the job. We have many successful data scientists who started with limited modeling experience. The ideal candidate will be excited about working with global data and will have a high aptitude for learning new techniques. Global Fishing Watch values working quickly, innovating, and working collaboratively. Our entire team works remotely, so the ideal candidate will be able to manage their own time and be effective with limited daily oversight. Finally, we are passionate about producing research and datasets that will make a difference in how we manage the world's oceans.Job RequirementsTechnical skills Demonstrated skills with Python or R (with preference for R based on current model implementation) SQL experience Demonstrated abilities to process and interpret large datasets Knowledge of machine learning concepts and basic modeling The Required Team And Communication Skills Team player, willing to work, teach, learn with/to/from the GFW team Proactive mindset – enjoys and exhibits a high-degree of ownership of tasks and projects Comfortable working in a small but fast growing organization Excellent communication skills – in person, phone, and, most important, written Comfortable communicating with a wide range of individuals, including peers, juniors and senior level people, and government officials from multiple countries Intellectually curious, forward thinking, willing to suggest / try new technologies and creative approaches to problems Ability to work in a remote-only distributed team (in more than 5 different time zones) Helpful skills, but can be learned on the job Knowledge about marine science and human impacts on the ocean Location: GFW has a distributed workforce, with employees all over the world. This position will require the successful candidate to work closely with team members based in California and Buenos Aires. Working from Asian or European time zones can be acceptable if the candidate is willing to work outside of normal business hours.Responsible to: Research & Innovation DirectorSalary or Compensation: Commensurate with experience. GFW offers pension/retirement, health and other benefits commensurate with similar level GFW employees in the country of employment.Working Hours: GFW supports flexible working, so the pattern of hours may vary according to operational and personal needs. GFW works across different time zones and weekend work may be required on occasion. Periodic domestic and international travel will be required to meet with team members and for workshops. No overtime is payable.Travel: Currently suspended due to COVID-19. In person team meetings may occur once every few months.Holiday: Paid holiday/vacation commensurate with other, similar-level Global Fishing Watch employees/contracts in the country of employment.Equal opportunities: GFW is an equal opportunities employer and commitment to this process is expected.Show moreShow less 
",Entry level,Contract,"Engineering, Information Technology","Information Technology and Services, Nonprofit Organization Management, Financial Services",Data Scientist,"San Francisco, California"
Triplebyte,"San Francisco, CA",Data Scientist,2020-10-09,https://www.linkedin.com/jobs/view/data-scientist-at-triplebyte-2173763286?refId=3ca3ad34-4a49-4a2c-8eb1-2a7e240ef628&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"As a data scientist at Triplebyte, you’ll have the opportunity to work on a variety of challenges to help us scale. You'll be part of a small team, who are leveraging data to fix technical hiring. Your day to day, will include a mix of dataset acquisition, statistical modeling, exploratory data analysis, and software engineering. You’ll report directly to Triplebytes' Head of Machine Learning and will work alongside a team of 6-8 machine learning engineers and data scientists.Fields your work will touch on Psychometrics Recommender systems Time series analysis Survival analysis Bayesian inference Probabilistic programming This is an ideal role for a data scientist who wants the scope and responsibility to own features/products from the inception and research phase through to measuring real-world results.The salary range for this position is $145,000 - $225,000Show moreShow less 
",Associate,Full-time,Engineering,Computer Software,Data Scientist,"San Francisco, California"
