company,location,title,post_date,salary,description,url
Mulligan Security,"New York, NY 10001",Intelligence Analyst ,30+,$23 an hour," 
 <h2 class=""jobSectionHeader"">Overview
Mission Statement: The primary role of the Intelligence Analyst (IA) is to conduct comprehensive all source intelligence gathering and analysis concerning the global threat environment relative to the client’s geographic areas of concern. The Intelligence Analyst will monitor and assess trends in violent extremism, terrorism, and domestic criminal activity among others, framing them in the context of their impact on the client’s properties across the country and around the world.
The IA will be embedded in the NYPD’s Counterterrorism Bureau (NYPD CTB) Public-Private Partnership. They will liaise with other stakeholders gathering, sharing and disseminating intelligence to a wide-ranging audience.
This position is responsible for gathering and analyzing information from a variety of sources in order to determine significance and promptly inform senior management. Demonstrated analytical skills and the ability to work with large amounts of information are crucial. So too are attention to detail and an aptitude for producing concise briefing materials on a daily basis.
The role requires the ability to work independently with limited day-today supervision.<br/>
Work Hours: The person selected will work from 6:00 a.m. to 2:00 p.m. Monday through Friday. While infrequent, the IA may be asked to work additional hours.<br/>

We are looking to staff by Mid-July
<h2 class=""jobSectionHeader"">Responsibilities
Candidates must have the ability to:
Assess and communicate real-time analytic judgments regarding specific threats.
Gather, analyze and distill information from a wide variety of source material to prepare a daily intelligence briefing for senior management, security personnel and other stakeholders. This brief, which is distributed M-F by 7:00 am, must adhere to established analytic standards in being objective, independent, timely and based on all source material.
Prepare additional briefing materials, including a weekly executive brief and specific issue briefings.
Monitor and review daily incident reports to identify trends.
Determine the significance and reliability of incoming information.
Assist in preparing threat assessments for special events.
Participate in group meetings and present threat assessments to senior management.
Speak directly with supervisors and present findings to large groups.
Establish and maintain intelligence records, files and databases.
Share data and expertise with others.
Analyze large data sets for the purpose of drawing conclusions on necessary changes to the client’s security posture.
Handle multiple, time sensitive projects simultaneously while maintaining the highest analytical standards.
Assess the needs of the intelligence consumer and tailor briefing materials to those needs.
Maintain prompt communication with relevant stakeholders.
Utilize a variety of social media platforms for the purpose of conducting research and identifying threats.
<h2 class=""jobSectionHeader"">Qualifications
Knowledge/Skills/Abilities: Successful candidates will possess the following:
Strong interpersonal skills and the ability to work in a team atmosphere.
Demonstrated analytical thinking, writing and briefing skills. This will likely be through, for example, a combination of college coursework and past work experience.
Professional briefing and oral communication skills.
Excellent written communication skills as demonstrated through academic papers and previous briefing materials.
The ability to quickly become comfortable working with new computer systems in the context of a fast-paced office environment.
A familiarity with common computer programs, including Microsoft Office Suite.
A proven capacity to handle multiple projects simultaneously while maintaining direct contact with intelligence consumers.
Familiarity with global threats, including—but not limited to—violent extremism, terrorism, non-state armed groups, transnational criminal groups and domestic criminal activity.
Education: Successful candidates will have prior experience with or knowledge of Law Enforcement and coordinating with government entities, hold or be in the process of achieving a bachelor’s degree at minimum. A relevant writing sample should also be attached. This piece must be wholly the work of the author alone. Plagiarism will be cause for immediate dismissal from the recruitment process.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BNWW3PuY5lmTonJ3RBmuE0gW5mI9kmELgwZfygjQ2JGRWVHgM0BkBPyaHVJwef6DzFExi5_dTvTBz6yIMf7pUSZTZbErtPRwikdM0RMAST3g-O2tDjqu2GlQc8Q0oOkSj-7G9tDH0v0uPoirUCiBC3856eIdVLkcN4k8kPelXMR2WTxSivEks3p_y7I1v9IL57tMOpK0IR9h1s0jXHLxfx8QyeJvPiAtE6mVlCQ4gFwy90oZawIUE6Y_RkUFCnP5HewKEoNvaf77rVaxua0PlDPZBmMA9L_t9ihEmcyIwjhM1o44miq0KupamloAjNAgZLbhGsUCimZ2FQ4gkeQZj9w0qxLGJ2Z0HSwI6qr7SXIOgtOC3Lqb6bXHit84w3qD4J6WFqyPubwZ1Pu7qWLkZhp3B-9vY352xoCtQ30B_sd3yK01Tj2F5oXW_A67fq4Exe_BHsJ6cROuAOc23Wc3VssVtJ9qfT9akmRpqSHt9mQwgPFnC9kgm8r3Ez3kLZEBNVIRk0SOu-MTlKnavkGpRCj0FzxYRmQ9p0tNriwes7PdlOZFclvATlvsMSBvTTheViCxjf1Ag4632BrmeltP-7s_ucU64ElljSKuLWoGGkuKsKCRFSWwpfNFjtCD39spA=&p=0&fvj=0&vjs=3
Barclay Simpson US,"New York, NY",Threat Intelligence Analyst ,5,"$150,000 - $175,000 a year"," 
 Summary:
Barclay Simpsons Information and Cyber Security Recruitment team is currently partnered with a publicly traded financial services company to help bring on a Cyber Threat Intelligence Analyst. This individual will play a vital role in securing the perimeter of the teams cyber landscape. You will be responsible for engaging with government agencies and industry partners to interpret security threats and determine the impact they may have.<br/>

Responsibilities:<br/>

Identify and mange the integration of Indicators of Compromise (IOCs) with the companys platform to enhance detection and response efforts.
Collect, analyze, catalog, and assist in the deployment of indicators of compromise (IOCs) in partnership with the Incident Response Team to understand incidents and help refine response efforts.
Act as an in-house Threat Intel SME for day to day activities.
Operate and maintain controls related to Cyber Threat Intelligence, Endpoint Protection, SIEM, DLP, Vulnerability Management, etc.
Review and update security protocols to reflect best practice and mitigate current and emerging threats.
Assist in developing and presenting threat intelligence assessments and briefs.
Qualifications:<br/>

Bachelors degree required; higher education preferred
Financial Industry/Banking Experience Preferred.
Ability to discern patterns of complex threat actor behavior and communicate an understanding of current and developing threats.
Ability to communicate intelligence and analysis of cyber threats in various forms (written, production; briefings) for senior stake holders.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DoMOwJN-BdI4Akgptc1aTh2jmm6HGD0J9q1FEsir3uDx2cTY4-VBz7hvdYI4NMmipYgws7UJb1bULdejSOFpT8Fpz_aA-uy3aD_1HjH8jPPPu6U6Om7FDXH8EoCkHaHp_JGkIlXLj6Nfut7pFpOKZY7z9sjwyiJZPTftT1odR_rnP63LBvLOO_cSPUZI_x4bcIj0NvVz5cwWJLIcWy2ATbxkPB5bxRzI42dytSXv7ckMWmXjZyLSln2uUzxW_j0WoT3-Jzn6AU-AfiFQpq1HtG0EA_BLdN93rxy7KH0jdPbiidQrzz0ONu416QfkQbt9sC_ynS_2IFBLtfSnzJkxusc_Rv0HAdkQNr3QKSoRcStREaQHM2uQOm2_Ms6ve9AHTIf0iFuzjSpUPPAA_NSrosbV_LWrslKH1GxleU-va-XFxspuzr0eITMigYg1Pe8HFJe8MddlMKT4C0niJwKGDx0ErU5bNCRdihSzoWJqyHOWb5VysaYLXNGRW1Xq0aQeB1g2-KuVEG6BQzMmiG_cu27eTxPj3G-HjWzsZ65MSjwo_mpFsd48VO7X54y0DMUnopCL8zAjP3IHv_yCWw9-cu&p=1&fvj=0&vjs=3
xcutives2017,"New York, NY 10286",BI Business Analyst ,3,$50 an hour," 
 Hi, I am looking for BI Analyst with below details: 
  BI Analyst 2+ years hands-on experience with defining and documenting data and reporting requirements is required. writing SQL queries and procedures Hands-on experience with Cognos Analytics or similar product.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B62tv53oPHHyuE8JjuxoEKR0CMtGhE7CAGmv1PS7r9GHYz6g__hJfNAct9cjgAxxKfjTOdIpi9h5jT5Km_QGWIqDUpHSwfYfNl6TXDCmnWlISwCfrDCd2e_1B8MeuKwWtnuo3Q9RUUIdmkil9kqhGIDbwOYOvVoZz1cymulHxm1qtbeX7WJUlkjEu_uVpdaDXX8CEQiogyk2wkOugzNKhG-st24YMpPVgGeGbAVoqGSvQeoSujSzJHUUCEK8u3BHFoWxTBJZKblBYDPBIvc8ZAhWVGRP89SDCOdE4_VUXHotK0JMJhY-QaDRQ5b56jIPvU5JRiBAncoi6jtcsq54L93CxAbfo3lnUzdEeEFA1YGo7ZF8yYBvhsb_WuA1us0SrkpyaggqleNf3IkQImN6tGivha0YE554-1I_ABcOhJzS4mRHaT6bvjETPE_yvoUHNTt4ctDu7idcXSUkt9S8hppOYCDl7yNHn1qpYCpgax1YANfytP8CpbTx_QMivbeAnvbB0kstilTDt2OkEjuUtoLYTVciQ3aLGdGxAqB9M8TNyb7dwSxsrO7RWZn9j6BCAUnaYUkJlcmvAZ605PIC4kpZDJQY0is7QvT6TFZ5uVQH_Di4MJhfxlqVhue1GP1NgKO4bAHV3EtnUuyH3Fx1QeIcbZx1_DvlG7MQTKhV5HRM8hgZaHP4Vs8l04fVJd6O0rfiozF-b8OgQdM3wRT7XjsvUjyBITpNNL6gu8fC1bGg0LPhk4N7laSSMcps1AcZPzzYsLQsXZcw==&p=2&fvj=0&vjs=3
Statista,"New York, NY",Senior Sales Manager ,30+,," 
 Come be a part of our success story as an Account Executive! Since our founding 11 years ago, Statista has become one of the leading market research organizations worldwide. Year after year, we have consistently grown by 40%, and today our team is comprised of more than 550 employees from 45 different nations, working together to deliver our unrivaled data and marketing resource to industry leading clients. 
 From our metropolitan offices in New York City, London, Hamburg, Singapore, and Paris, we provide our partners with an innovative research tool that delivers best-in-class market research products in collaboration with companies like Google, Bloomberg, and ESPN. 
 Responsibilities: 
 Responsible for full cycle of inside B2B sales from prospecting to closeBecome an expert on Statista products and solutionsDevelop relationships and act as a thought leader to help our key clients make strategic business decisionsUse creative methods to individually drive sales across a wide list of key clients to acquire new business and grow existing accountsNegotiate and partner with clients to solve business needsUse your experience to develop and mentor a team of Account ManagersConsistently go above and beyond to exceed sales goals 
 Skills: 
 A four-year college degree is required3-4 years minimum direct sales experience, with sales of web analytics or business intelligence being key (Extra points for SaaS experience)Competitive, high-energy, and love personal victoryResilient, willing to learn, and have a hunger to do whatever it takes to succeedEmbrace challenges and can manage frequent telephone calls/emailsHave proven sales skills with the ability to close business and grow current clientsEager to advance professionally and welcome new responsibilities as you growExcited at the opportunity to be a part of a rapidly expanding business 
 Our Offer: 
 An opportunity to grow quickly with a young organizationAccess to leadership and mentorshipA sales team who likes to have fun and is always up for a challengeProfessional development and training across all levelsOut-of-office team events and opportunities to get to know your colleaguesGreat views of the East River, Ellis Island and NY Harbor from our Wall Street officeAn enjoyable company culture - snacks, music, games, Summer Fridays, and casual attire 
 Job Type: Full-time 
 Location: 
 New York, NY (Preferred) 
 Management: 
 Team Lead",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BrWmFKxctx-uHeXiWGFxZ4pvgMwrOCmXz1h0pxtoBYEu1ysUxBcj9JnY4zRojCpWJ4Kha7RFCusJhC91BnQZ02ksnBXa7u9ZQC3cno0xKPHB_FZI-IRCuzXwAgbzaGEKowyRy31HRErKzWTq6g2UEferBadbWl1cNEXkRCCTxCA5OyA_stZ3vS0Qaw_XMZL6tIDX1w1gGWvl-Fnyljcn4D4qK7Z6TcFFjA1L3nT49fEEcjaCOmsNFcs6ofExOIz7cAPjZTaJfhas2ZwUaG1U1cjg4t0LZ2WdVVpbZx_6NrMCgXQLWkf6Lkhd24zN_EYcGAt7fhifi6eOUIDq24eUpZxhhV74IpQWdWBNOSMIjQZYncelfmyFYU2vPZgYzVQOTj8UgOZzAT6Z8vp1DnPa8yjYoUBhgpf3pSd9b8vogF2IdCubKSY0AkUeQKQgjvpQPiqPZzNMOj2D-uiAokxViPSnN7P-Rg_TI=&p=3&fvj=1&vjs=3
General Assembly,"New York, NY",Business Intelligence Manager ,3,," 
 <h1 class=""jobSectionHeader"">Who are we?
Our vision is of a global community of individuals empowered to pursue the work they love. Our mission is to grow that community by transforming millions of thinkers into creators.

Since 2011, General Assembly has transformed tens of thousands of careers through pioneering, experiential education in today’s most in-demand skills. As featured in The Economist, Wired, and The New York Times, GA offers training in web development, data, design, business, and more, both online and at campuses around the world. Our global professional community boasts 40,000 full- and part-time alumni — and counting.

In addition to fostering career growth for individuals, GA helps employers cultivate top tech talent and spur innovation by transforming their teams through strategic learning. More than 21,000 employees at elite companies worldwide have honed their digital fluency with our corporate training programs. GA has also been recognized as one of Deloitte’s Technology Fast 500, and Fast Company has dubbed us leaders in World-Changing Ideas as well as the #1 Most Innovative Company in Education.
<h1 class=""jobSectionHeader"">
The Role
The Business Intelligence Manager deeply understands the needs of the organization and is well-versed in leveraging data infrastructure, analysts, and engineers to solve critical business problems. It’s the job of the BI Manager to bring insight to the organization.

One of GA’s seven work values is the mantra, “Always bring data to the conversation,” which reflects the important role that data plays in every decision. The Business Intelligence team is not only responsible for making sure that GA’s data infrastructure is user-friendly and accessible to employees across the organization, but also works closely with GA’s leadership team, providing them with data-driven insights that drive greater business performance.
The Business Intelligence team at GA is a small team with significant latitude to solve problems and build scalable solutions. For that reason, this position requires someone who is both a data leader as well as an individual contributor with excellent analytical skills. Additionally, candidates should have a wealth of experience implementing data-driven business solutions to draw from, be highly organized and thorough, be capable of tailoring communication to all levels of the organization from C-suite to engineers, and comfortable leading high-impact, high-visibility projects. Strong candidates will have experience adapting to the evolving needs of a high-growth B2C and B2B business and creating pragmatic and innovative solutions to complex business problems.

Our expectations for the role and your responsibilities are…
<h2 class=""jobSectionHeader"">
Expectations
5+ years of data analyst experience and proven success in managing data teams.
Confident with end to end data workflows: analysis, reporting, and presenting results in a compelling way.
Strong proficiency in SQL (Redshift / PostgreSQL preferred), both for ad-hoc analysis and data modeling for analytical reporting.
Able to demonstrate proficiency with Looker.
Comfortable presenting and engaging with cross-functional teams and leadership.
Strong organization skills and ability to prioritize competing initiatives.
Brings a vision for the development of a BI roadmap and the ability to coordinate with teams and stakeholders to execute that vision.
Excellent communication skills to both technical and non-technical audiences, including C-level executives.
Expected to act as a coach or mentor and provide guidance to the team. You maintain 1-1 meetings with your staff and have clearly defined development commitments for all.
<h2 class=""jobSectionHeader"">Responsibilities
Partner closely with leadership to develop actionable, measurable projects and programs that accelerate organizational growth, efficiency, and provide data-driven solutions that scale.
Lead a team of analysts and coordinate projects across multiple stakeholders for the Business Intelligence team, appropriately prioritizing amongst competing initiatives.
Build a strong internal network of experts and resources that can help drive effective change.
Responsible for defining, communicating and evangelizing the group Vision and Mission in alignment with the company's Vision and Mission.
Be a mentor and coach, fostering ownership, guiding personal growth, and constantly striving to raise the bar on delivery performance and quality.
<h1 class=""jobSectionHeader"">Benefits
Highly Competitive Salary
Generous parental leave
Annual Education Allowance
Gym Allowance
Apple MacBook Pro + External Monitor
<h1 class=""jobSectionHeader"">Who can apply?
You are living in or willing to self-relocate to...

New York City",https://www.indeed.com/rc/clk?jk=0d73e3f8035cd466&fccid=a4cd0efa7775ecd2&vjs=3
"Amazon Web Services, Inc.","New York, NY",Business Intelligence Engineer ,3,," 
 Relevant experience in business intelligence or business analyst role, including data warehousing and business intelligence tools, techniques and technology, or experience in analytics, business analysis or comparable consumer analytics solutions.Strong skills in accessing and using analytical tools (Excel, Databases, SQL).<br/>
For more information on Amazon Web Services please visit: http://aws.amazon.com/ Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation / Age 
 
 
 <br/> 
 
 
 Imagine if you could help shape the future of architecture, and go on a journey where few have tread before. AWS Well-Architected aims to help our customers develop technical expertise in AWS services, learn how to architect their cloud applications, and provide a great experience for customers and partners.<br/>
<br/>
AWS is one of Amazon’s fastest growing businesses. More than a million active customers, from Airbnb to SAP, use AWS Cloud solutions to deliver flexibility, scalability, and reliability. As a Business Intelligence Engineer at Amazon, your Primary responsibilities will be to analyze data and create a model to share insights with other AWS service teams, create automated processes and mechanisms to generate reports for the internal leadership to view and analyze, work with large datasets to pull additional data and aggregate that information into meaningful insights, run ad hoc reports on a need basis for various stakeholders. You will also be part of a team that is responsible for engineering data requirements for all new features and enhancements. 
 
 
 <br/> 
 
 
 Advanced analytical skills.Experience with Tableau or QuickSight.Experience with AWS storage and compute services.",https://www.indeed.com/rc/clk?jk=ac7119b8eb99df0d&fccid=fe2d21eef233e94a&vjs=3
The Madison Square Garden Company,"New York, NY 10121",Business Intelligence ,18,," 
 <h2 class=""jobSectionHeader"">Overview
The Madison Square Garden Company (MSG) is a world leader in live sports and entertainment experiences. The company presents or hosts a broad array of premier events in its diverse collection of iconic venues: New York’s Madison Square Garden, Hulu Theater at Madison Square Garden, Radio City Music Hall and Beacon Theatre; the Forum in Inglewood, CA; and The Chicago Theatre. Other MSG properties include legendary sports franchises: the New York Knicks (NBA) and the New York Rangers (NHL); two development league teams – the Westchester Knicks (NBAGL) and the Hartford Wolf Pack (AHL); and esports teams through Counter Logic Gaming, a leading North American esports organization, and Knicks Gaming, MSG’s NBA 2K League franchise. In addition, the Company features the popular original production – the Christmas Spectacular Starring the Radio City Rockettes – and through Boston Calling Events, produces New England’s preeminent Boston Calling Music Festival. Also under the MSG umbrella is TAO Group, a world-class hospitality group with globally-recognized entertainment dining and nightlife brands: Tao, Marquee, Lavo, Avenue, Beauty &amp; Essex and Vandal. More information is available at www.themadisonsquaregardencompany.com
<h2 class=""jobSectionHeader"">Role Summary
Tableau Zen Master, Tableau Jedi, Data Wizard, Data Rockstar… Do you fit any one (or more) of these descriptions? Do you get a thrill from scouring the Tableau Community to provide solutions to those in need? Do you want the challenge of building out top-of-the-line analytics solutions while helping set the foundation for rapid system development and designing the next generation of our customizable dashboard solution?<br/>
<br/>
The Insights and Analytics team of MSG seeks a Tableau Developer to join our team that has a diverse set of data-oriented skills. We partner with data engineers, and technical teams to develop scalable and efficient analytics solutions with data that spans all of MSG’s business units and includes metrics for the Knicks, Rangers, Rockettes, and concerts held in MSG venues.<br/>
<br/>
Given our ever-increasing pipeline of projects and solutions, we are looking for a Rockstar Tableau Developer. Rather than develop reports which only tell what happened, we seek to create stories with client data. Using Tableau, we take users on a journey through their data helping to highlight insights and opportunities. Our ideal candidate not only understands the technical side of Tableau, but passionate about the field of analytics where they can use their creativity to push past line graphs, bar charts and tables. A Rockstar knows how to innovate with parameters, floating worksheets/objects, multiple data sources. They will be able to contribute to and apply our UI/UX standards enabling a seamless analytics platform for our clients.
<br/>
<br/>
Tableau Developers interact with our business users, to uncover the “Why” for the analysis. They will know how to manage small projects and mentor Tableau users.
<br/>
<br/>
From a Tableau perspective, the individual should have in-depth knowledge and experience with working with large (300M+ row) data sets and how to design high performing dashboards. The individual suited for this role will have experience in managing/maintaining sites and projects for 50+ clients ensuring a consistent design, deployment, and maintenance process is followed. This role requires an expert in both design and understanding/implementing best practices related to data for Tableau 2018.x. They will have experience in migrating legacy (10.x) dashboards to a 2018.x environment and identifying opportunities to leverage the newer features of 2018.x. The candidate shall be an innovator for Tableau enabled UI/UX solutions—pushing the tool to its limits and advocating, with Tableau, for enhancements.<br/>
<h2 class=""jobSectionHeader"">Specific Functions/Activities Summary
MAIN DUTIES/FUNCTIONS:<br/>
Partner with business stakeholders to define their business intelligence needs and develop solutions for delivering against them
Design, build, maintain, and optimize data visualizations and other self-service tools to provide actionable insights that enhance business decision making
Set up tools and processes for effective data management.
Shape best practices in visualization to deliver an excellent end user experience
Leverage full range of Tableau platform technologies to design and implement production ready solutions and create advanced BI visualizations.
Partner with enterprise data architects to define data requirements of business intelligence visualizations and tools
Develop and provides documentation, training, and support for clients.
Champion utilization of business intelligence technology across functional roles throughout the organization
Manage portfolio of business intelligence projects to ensure delivery
Perform data analysis and identify business trends that can be turned into actionable insights
<h2 class=""jobSectionHeader"">Qualifications
REQUIREMENTS/QUALIFICATIONS:<br/>
Required Qualifications:
3+ years working with Tableau Software; up to date on the latest version and product capabilities, familiar with Tableau's JavaScript API.
3+ year of experience developing using the following technologies: Javascript, JQuery, CSS/CSS3 and HTML/HTML5, Bootstrap
2+ years experience in integrating data visualization tools successfully with Big data ecosystem
Strong spirit of innovation, self-starter, independent, and with ability to come up with solutions to meet business problems
Strong desire to learn new things and pass knowledge acquired onto others
Experience in implementation of end-to-end BI life-cycle projects including dimensional modeling, ETL/integration processes and metadata modeling
Must have experience in Agile reports delivery methodology
Must have deep understanding of data warehouse processes, dimensional modeling (star schema and snowflake schema) and ETL/Integration
Keen attention to detail with deep quantitative and analytical skills and demonstrated capacity to solve problems and enhance reporting
Strong relationship skills and ability to build alignment among customers and key stakeholders with demonstrated experience influencing without authority
Self-starter with ability to solve ambiguous/ open ended business challenges
Ability to work effectively in a fast paced, deadline driven, highly dynamic atmosphere and react quickly to changes and shifting priorities.
Data interfaces such as Web Services, REST API and XML<br/>
<h2 class=""jobSectionHeader"">Education
3 + years business intelligence experience.<br/>
Bachelor’s degree in Computer Science, Engineering or related field
<h2 class=""jobSectionHeader"">EEO Statement
At MSG we value diversity and are looking for extraordinary employees of all backgrounds! MSG is an Equal Opportunity Employer and provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, sexual and reproductive health choices, national origin, citizenship, age, genetic information, disability, or veteran status. In addition to federal law requirements, MSG complies with all applicable state and local laws governing nondiscrimination in all locations.",https://www.indeed.com/rc/clk?jk=ac69ae68891b1294&fccid=4d2b33d40412d480&vjs=3
Revlon,"New York, NY","Manager, Business Intelligence ",30+,," 
 Revlon has developed a long-standing reputation as a color authority and beauty trendsetter in the world of color cosmetics and hair care. Since its breakthrough launch of the first opaque nail enamel in 1932, Revlon has provided consumers with high quality product innovation, performance and sophisticated glamour. In 2016, Revlon acquired the iconic Elizabeth Arden Company and its portfolio of brands, including its leading designer, heritage and celebrity fragrances. Today, Revlon's diversified portfolio of brands is sold in approximately 150 countries around the world in most retail distribution channels, including prestige, salon, mass, and direct to consumer. Revlon is among the leading global beauty companies, with some of the world’s most iconic and desired brands and product offerings in color cosmetics, skin care, hair care, hair color and fragrances under brands such as Revlon, Revlon Professional, Elizabeth Arden, American Crew, Almay, Cutex, Mitchum, Elizabeth Taylor, Christina Aguilera, Britney Spears, Juicy Couture, Curve, Shawn Mendes and John Varvatos.

Essential Duties &amp; Responsibilities:

Own the data, analytics, and reporting to empower business verticals and build strategies.
Collaborate closely with all areas of the business (Product, SEO, Performance Marketing, Business Development, Social, Email, Sales, Marketing, Finance, Display/AdOps) to provide analysis and reporting
Utilize internal/external data sources to develop and maintain dynamic and scalable dashboards to track key performance metrics. Vertical businesses as well as specific sources of traffic, channels, or products.
Develop ROI business cases to support new and existing product development.
Flag trends and issues where relevant and offer data-backed recommendations
Ensure data integrity across all performance-based metrics, tracking and reporting.
Interpret and communicate information in a manner that can be comprehended by non-analytical audience.
Strong experience at writing SQL queries against complex databases for the purpose of data extraction
Additional Responsibilities:

Knowledge of the Internet landscape, including a comprehension of display advertising, lead-oriented/search-oriented (cost per click, cost per lead, cost per call) business models.
Ability to translate business questions into problems solvable using analytics tools, and enjoy converting the results of your analyses into visual stories tailored to the needs of the audience.
Strong written and verbal communication skills and have experience working on and communicating with fast-paced, dynamic teams.
Team-oriented, self-motivated, success-driven, roll-up-your-sleeves attitude
Experience &amp; Education:

Undergraduate or Master’s degree in a quantitative field (e.g. engineering, business, economics, finance, statistics, and analytics).
Experience:

7+ years’ experience in Business intelligence and analytics",https://www.indeed.com/rc/clk?jk=b81d121dd51a3550&fccid=576ff5b1dc003593&vjs=3
"DUFF AND PHELPS, LLC","New York, NY","Intern, Business Intelligence and Investigations ",1,," 
 Our professionals balance analytical skills, deep market insight and independence to deliver solid, defensible analysis and practical advice to our clients. As an organization, we think globally. We create transparency in an opaque world, and we encourage our people to do the same. That means when you take your place on our team, you’ll discover a supportive and collaborative work environment that empowers you to excel. If you’re ready to share your perspective with the world, then you can make a real impact here.
<br/>
Kroll, a division of Duff &amp; Phelps, consistently provides firms with the professional investigative consulting expertise necessary to resolve conflict through fact-finding and critical analysis. We have conducted thousands of investigations worldwide and have an unmatched track record of resolving disputes and working with in-house and outside counsel to successfully conduct and conclude internal or regulatory inquiries. Our experts help organizations with their critical fact finding when they need to conduct internal investigations or to examine allegations of wrongdoing. Whether or not actual misconduct is discovered, such inquiries, and their aftermath, can pose serious risks to companies and their stakeholders, damaging their reputation, disrupting their business operations and exposing them to government scrutiny, as well as to potential criminal, civil and regulatory liability. Kroll's investigative services and expertise have helped clients successfully resolve investigations promptly and with minimal business disruption.<br/>

RESPONSIBILITIES:<br/>

During the internship, students will be able to develop their research and analytical skills, with the opportunity to carry out the following tasks:
Financial modeling and analyses based on thorough knowledge of corporate finance principles and financial statements as well as strong mathematical skills
Carry out research by using databases, internet and public domain tools.
Collating and organizing large volumes of data.
Document and e-mail review and analysis.
Interrogation of financial and accounting data.
Providing administrative support to Case Managers including scanning, photocopying and filing.
Assist Case Managers in using Excel and PowerPoint to provide diagrammatic and pictorial explanations to present key findings and patterns identified in the investigation.
Communicate regularly with colleagues to inform of progress of case work, highlighting key issues where necessary.
Organize case files, maintain accurate research records and record all billable costs.
Provides additional administrative support to the team when requested.<br/>
REQUIREMENTS:<br/>
Currently pursuing Bachelor's or Master’s degree in Accounting, Finance, Economics, Statistics, Business Administration or Management (with a concentration in Accounting, Finance or Economics), International Relations/Affairs, Journalism, Global Affairs, Regional Studies, Political Science, Law or other related areas of study, a degree focused on complex problem solutions from an accredited university or college
Expected graduation date between December 2019 and September 2021
Minimum current cumulative GPA of 3.3
Excellent time management and organization skills
Ability to master new tasks and industries quickly
Demonstrated leadership experience and strong personal integrity
Ability to prioritize tasks, work on multiple assignments and manage rapidly changing assignments in a team environment
Demonstrated commitment to obtaining outstanding results
Strong writing and analytical skills and the ability to communicate clearly
Computer proficiency and ability to maximize applications such as Microsoft Word and Excel<br/>

In order to be considered for a position at Duff &amp; Phelps, you must formally apply via careers.duffandphelps.jobs<br/>

Duff &amp; Phelps is committed to providing equal opportunities in employment. We will not discriminate between applications for reason of gender, gender identity, race, religion, color, nationality, ethnic origin, sexual orientation, marital status, veteran status, age or disability. 
 ",https://www.indeed.com/rc/clk?jk=2de6941c6bfe1eab&fccid=2b6243d317042ea1&vjs=3
Hospital for Special Surgery,"New York, NY",Business Intelligence Developer ,30+,," 
 <h2 class=""jobSectionHeader"">Overview
Business Intelligence Developer
At Hospital for Special Surgery our clinicians and scientists collaborate to deliver the most innovative care. Our specialized focus on orthopedics and rheumatology enables us to help patients get back to what they need and love to do reliably and efficiently. Our patients are overwhelmingly satisfied with the care they receive at our facilities. When you join us, you will become part of this legacy of commitment to the most cutting-edge research and coordinated care.<br/>

Our ideal candidate must be happy to develop in SQL but more curious about the data itself and what questions its answering. We are looking for enthusiastic Report Writers who have a strong understanding of data pipelines, ready to work hard, and love what they do. They will work collaboratively across the organization with clinical and operational leaders to pull meaningful data from our Electronic Medical Record.<br/>

As a Report Writer You Will
Write SQL queries to generate reports from our Electronic Medical Record
Develop report specifications based on user requirements.
Work with engineering teams to enhance data delivery &amp; our self-service data tools
Work with a team of analysts and engineers who love to solve data problems
Your Technical Skills and Experience Qualifications
2+ years working with SQL Server
Certification in one or more of the Epic Clarity/Caboodle data models
2+ years of ETL (SSIS) experience
Experience with SAP tools, WebI and Universe Designer
2+ years of Report/Dashboard Visualization experience (e.g. Tableau)
Experience in healthcare a plus
About You
You are passionate about data and exploring new technologies
You are a critical thinker who loves solving difficult problems
You are flexible and a natural team player
Education and Certifications
MS/BS in Computer Science or related field
<h2 class=""jobSectionHeader"">Other Requirements
#LI-JL1",https://www.indeed.com/rc/clk?jk=83394810ec1b68d0&fccid=f15bfc513a14b84c&vjs=3
