company,location,title,post_date,salary,description,url
EnergyWatch LLC.,"New York, NY 10001",Intermediate Level Excel Data Analyst ,19,"$35,000 - $40,000 a year"," 
 What you'll do: 
 Onboard new clients from a data acquisition perspectiveCompile, process, extract, and verify utility data from various sourcesCommunicate with utility companies and energy suppliers to resolve billing issuesEfficiently and accurately enter, manage, and manipulate data in our databaseReview audit results from utility invoices and determine next steps 
 Who you are: 
 Proficient with Microsoft Excel (This will be tested)Experience with utility data and invoices a plusDetail-oriented and organizedEager to learnExcellent oral and written communicatorAble to handle deadlines, high stress situations, and effectively resolve conflictsTeam PlayerFluent in EnglishEligible to work in the USfull-time 
 About EnergyWatch:  
 EnergyWatch is an entrepreneurial, private equity backed New York City-based provider of energy management services and technology to large commercial and corporate real estate, retail portfolios, and industrial energy consumers. The Company’s established, well-regarded solutions are anchored by its proprietary, cloud-based software tool, which helps consumers reduce energy expenses, simplify energy reporting, and measure and verify performance. By combining various streams of utility, weather, commodity market, metering, and building data in our integrated energy management platform, we provide data-driven services that save time and money, reduce risks, and identify cost saving opportunities. 
 Job Type: Full-time 
 Salary: $35,000.00 to $40,000.00 /year 
 Experience: 
 Data Entry: 1 year (Preferred)Relevant: 1 year (Preferred)customer service: 1 year (Preferred) 
 Work authorization: 
 United States (Preferred) 
 Work Location: 
 One location 
 Benefits: 
 Health insuranceDental insuranceVision insuranceRetirement planPaid time off",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DfEB53RXvwC4PmZucvkms1wW3Q6_ndkmbBV6oet_aQ8nj23TkRZr2cSBi_oyPcEqc6kyu6Fdy86zWJFQ_ryYcbXKIxCRdmY4I8KNH0RMlGL-7BKQt7sZhT5JFBAhs53LWpp8Bh8Hx511F1YTDwC_D_ebWs0UJpKuoH2YiBeLFhE97ovsG9QWPqxw248YfRMb_kz953feRgP6zjiSw_BWob2u_QrXQin0-Y27JqJ0P998qRguRuhik0GuDxn8l5dy2RrjNMr_BuwZFkbJLxaxOcc6JAUdyHoDZgspgua9rTqNUGswL_CO0Rx4h1OuCeigFLnXc4Uw0KIYJfaQeDax8eK89Y3XVdgKv3ph64k6J8KqsrFSHhLD5K753JHmBFHnQmyO5PER2EPj0V6Bm2t4etrDDDc8xxXFwPKEaFR_GcD4sYSgG1yeSjepOmG0TfNb-etrSqtuobs5MUvuGpkujC&p=0&fvj=1&vjs=3
Institute of Culinary Education,"New York, NY 10010",DATA Analyst/Report Writer ,30+,," 
 POSITION SUMMARY:  
 ICE is seeking an experienced Data Analyst / Report Writer who will be responsible for developing and publishing new and existing reports as needed for ICE’s executive committee, the Marketing team and all business units while being a champion of process and data integrity. 
 Specific Job Responsibilities:  
 Develop and support ICE's reporting needs utilizing tools such as SQL Server Reporting, Crystal Reports, Excel and other reporting tools.Assist users in translating concepts and needs, such as reporting or processes, to written requirements, facilitate change, processes, reports, etc.Analyze data and processes to determine changes to existing reports or new reporting needs that will support business objectives and provide insight to the effectiveness of business initiatives.Acts as data integrity champion, ensuring that all business units enter, validate, use and define data consistently and to the common ICE definitionsAnalyze and model the business operation to create a complete picture of work-flows and technical requirements fulfilled by current applications, processes and data flow.Working with Senior Management, identify and define business problems and primary objectives.Lead business process re-engineering and continual data improvement efforts.Evaluate potential application and process change initiatives within the system architecture to ensure they meet business and data requirements.Adapt and keep current existing reports as business operations and reporting needs changeUnderstand our reporting standards and specifications 
 EXPERIENCE AND EDUCATIONAL REQUIREMENTS 
 Bachelor's degree in Management Information Systems, Computer Science, or equivalent degree/experience required.Five years of experience in a similar role analyzing and supporting business software needs, experience in Higher Education operations is preferred.Strong experience with the SQL language and reporting tools such as SSRS, Crystal Reports, etc.Strong experience with wide and complex databasesExperience with MS Excel, pivot tables and charts, and all MS Office tools.Excellent communication skills both written and verbal.Experienced presenting and interacting with all levels of the organization.Experience with Microsoft development platforms and protocols is a plusExperience with marketing data, digital marketing, leads and conversions, and tools such as Google Analytics are a strong plus. 
 To apply: 
 Forward resume and cover letter to hr @ ice.edu , in the subject line please include ‘Data Analyst/Report Writer’. 
 ABOUT ICE<br/>The Institute of Culinary Education (ICE) is one of the largest and most diverse culinary schools in the world with campuses in New York and Los Angeles. Established in 1975, ICE offers award-winning six to 13-month career training programs in Culinary Arts, Pastry &amp; Baking Arts, Health-Supportive Culinary Arts, Restaurant &amp; Culinary Management and Hotel &amp; Hospitality Management and continuing education programs in Artisan Bread Baking and the Art of Cake Decorating — with more than 14,000 successful alumni, many of whom are leaders in the industry. ICE also offers continuing education for culinary professionals, hosts more than 500 special events each year and is home to one of the world’s largest recreational cooking, baking and beverage programs with 26,000 students annually. ICE’s 74,000-square-foot, cutting edge campus in New York City and its new west coast campus in Los Angeles were designed for inspiration, creativity and community. Visit us at ice.edu, watch our videos on YouTube at https://www.youtube.com/iceculinary or join us on Twitter, Instagram and Facebook at @iceculinary to find your culinary voice™. 
 The Institute of Culinary Education is an equal opportunity employer. 
 Job Type: Full-time 
 Experience: 
 analyzing and supporting business software needs: 5 years (Required) 
 Education: 
 Bachelor's (Required) 
 Location: 
 New York, NY (Required) 
 Work authorization: 
 United States (Required) 
 Work Location: 
 One location 
 Benefits offered: 
 Paid time offParental leaveHealth insuranceDental insuranceHealthcare spending or reimbursement accounts such as HSAs or FSAsOther types of insuranceRetirement benefits or accountsEducation assistance or tuition reimbursementEmployee discountsWorkplace perks such as food/coffee and flexible work schedules",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Barq9JvJoehJE64Xzw5c1-i0nydsE9PRubZY7GWS9B2oFtdduIgIkBU0EFG94ilAKkJj44JhutpqX6Lye2v076o7ElH294l-mLu7odAlrT-1H8glT5It12G8_eIoP6mIeCW73Q1L42-TN_MwVhCO__WTAM7DOJCpOSH60otfbZrNPfTJSr__mHCdSsDZqYFnTwua0hNewTy3fmKHRfIykd-Zmqg0xnIZhsEDSDpt6PsZdtoGdvpATx5LNj48zB3ZaA7xR1C6Rnyl8FkPLkqdRAlnTLNQvewDJQpIQYbTnzvdvK0P5uxmj2I-5YvvyYht1riuTRCJshhp0G9vptoXRPnILcorbNLOViRD-Uq2xDgkOWE5ZaiWaiBNW4jxtRUy7TE-G_F-qr9bix1FhjrM9THwDwa55B6aG9QWlEyeUaMcpKXqEd3ASt5PnUTN9ApFBq33sX5rv7BnWJH9dfOtSs&p=1&fvj=1&vjs=3
utiliVisor,"New York, NY 10018",Billing Analyst ,25,," 
 We are looking for an energetic, detail oriented person to join our firm. Our team of analysts is the backbone of our business, providing essential monthly utility billing/reporting and customer service to both our clients and their tenants. 
 The ideal candidate must have the ability to work independently with minimal oversight, advanced knowledge of Microsoft Office, excellent time management and organizational skills and strong verbal and written communication skills. 
 Description 
 Evaluate sub-metered usage to generate tenant invoicesAnalyze trends in meter data and identify anomaliesAudit and analyze utility billsInterpret tenant leases for accurate billingAnalyze and resolve billing discrepanciesInterpret utility rates and perform rate calculationsAssist clients with understanding their utility bills, rate classes and tariff structuresCollect and analyze field data related to energy usage and determine patterns of building use. 
 Job Type: Full-time 
 Experience: 
 Relevant: 1 year (Preferred) 
 Work authorization: 
 United States (Required)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ADB7AVVc5jJpt_jYIOlFc7GyVvxPDD5gGK-_IkGSo7679ItFrMC_1Lc1Lc7X0zV6lKQpV3yd4l-F2K_H6I4Dc5dCaYlyI-7S-HUMTD5HLfktsKNtV0Ua_CBTfpnJ_HU7-z2nYpDV9T9XDI9m0iUUbPOJCqsusRmhLd5jmdKB7XwkrZ12mP61xdia6fZAKEhf6zcmiWLds5skbfq1JUiqYiP9P5tFTXEYeOkuROpHP7E66WIfcTln2IdCr0VGaJXAx1hlSXYluBbKp5eOAzvEqQuhaSI1cx3xCLe4hPoV9K8vSnDcqTDpwFlbJCpeNjA7SKfTdlSIihndkzpNU7B2jvmOcUOeZ3n1I-SYpPZ3DwqQ15_nkgzqIdUywU8mVil6LKQGTAHJoJMbq7sNdd-MwYHpk0pLZU9QVSDoOkDstPEi5GCxOMyrS1jbCL0jcoC-Y=&p=2&fvj=1&vjs=3
BlueSwitch,"New York, NY 10006",Social Media Analyst ,6,"$40,000 - $50,000 a year"," 
 BlueSwitch is looking for a Social Media Analyst to add to our growing marketing department. We are looking for the right mix of content strategist, creative junkie, copywriter, and advertiser. The ideal candidate will be creative and self-motivated. Strong writing skills, a sharp editorial eye, and an understanding of digital media is a necessity. 
 As the Social Media Analyst, you will help to bring brands to life not only on social media, but other marketing campaigns providing a holistic strategy for clients. This position will drive our efforts at digital content creation, distribution and engagement across all channels with our marketing lead. 
 You will work with a team of enthusiastic ""doers"" and contribute to producing goal-oriented content and amplifying it through paid media. You will help target the right audience, analyze the data, and report on campaign results. 
 Key Accountabilities 
 Collaboratively develop and execute the creative vision and approach for content across all social/email channels under the leadership of our marketing directorIdentify design, community, and influencer trends and insights to inform the creation of content that will engage at scaleAbility to write social ad copy and provide creative recommendations based on current best practices per social channelKeep a close eye on social media content trends and integrate them into client campaigns and messaging when appropriateStay current with new social platform capabilities, ad units, guidelines and best practicesOrganize and contribute to internal brainstorm sessionsGenerate insight into client content and audience performance and provide recommendations for improvementContributing to and maintaining the social aspect of the marketing communications calendarProviding strategic guidance and actionable insights to serve all our digital audiences; increasing engagement, page views, sales and unique visitors/monthMonitor and report on Google Analytics and Social analytics tools on a weekly basis.Create trackable UTM links for Facebook, Pinterest and Instagram stories.Organize and schedule content calendarsStay up-to-date on new social media tools and best practices; monitor competitors and other social media leaders to see how they are using them to be the early adopter of technologies 
 Qualifications 
 2-4 years of experience executing and managing performance-based paid social media campaignsExcellent understanding of social media platforms, including their respective strengths, nuances, success metrics, and relevant demographicsMarketing sensibility (you know a good ad when you see it)Working knowledge of Facebook Ads Manager and Google AnalyticsStrong writing skills, including a capacity for SEO-friendly headlines and descriptionsExceptional project and analytical skills with experience in social and digital analytics (e.g. core metrics, google analytics, brand watch and social platform analytics)Self-starter and highly motivated; capable of working independently, yet collaboratively, within a fast-paced environmentHighly organized and able to multi-task, whilst maintaining clear and proactive flow of communication and ownership of tasksStrong communication skills with the ability to build and maintain good rapport with internal and international teams as well as external vendors and handle situations with confidence, tact, and resourcefulness.Highly engaged in social networking sitesAbility to meet tight deadlines and thrive under pressure, which may involve working evenings and weekendsCollaborative personality with strong communication skillsBig ideas and an anything is possible attitude 
 Job Type: Full-time 
 Salary: $40,000.00 to $50,000.00 /year 
 Experience: 
 relevant: 2 years (Required)Social Media Marketing: 2 years (Preferred) 
 Additional Compensation: 
 Bonuses 
 Work Location: 
 One location 
 Benefits: 
 Dental insuranceHealth insuranceVision insuranceRetirement planPaid time off",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CQYwBE61Ej-kGMwYCmRkBLmW0QU8NMAbkVVLXI4orkK1sm5Sv1KGQqmIV0wBd3_N74H2Y5H-mCWLcZZieQbxDcYwA3j498BIt1OnkWuuNoRsM4L7Ry0EAwYFd1_AdwBBr2FcqpNVSTcXiyjRut5A_raXGtURmy-zutCw535q5YduY7s7GKqE5l8tDMYOlGdGVuX5zIHUY_u1Mmpz33f6nA1ZeyQW1_gHwcWIk-BVad2NZ3B-wyjBt73AeVPr_YnR_Sm6eMlkT8S7NlKShKR7yErkXNwFKsYoltGB9LFUkPM6DBpFOELp_9yjH2tb8O6CCB2NfQwf8X8QtCwL8A5VcKVA56bbTFFs2KdG9tchKUO3VA633GrKMrN66icTcqG4OkMb2eO7ngbJ36kZjAD9srBWRRnm1H5sPlWwYnfh-0WS6XIvzywA0xJD9Z7nTWJBk=&p=3&fvj=1&vjs=3
KGS Technology Group Inc,"New York, NY",Entry Level Data Analyst ,3,"$55,000 - $65,000 a year"," 
 Job Summary<br/>Job Description: KGS Technology Group, Inc. is currently hiring ambitious individuals **(Experienced and Fresher’s) ** 
 Call @ 770-(838)-3970 
 At KGS, we want to listen, ask thorough questions, and follow up methodically. Our collaborative, relationship-focused approach uncovers unique client and workforce needs. 
 Designation: - Data Analyst<br/>Job Summary<br/>We are looking for a passionate Data Analyst to turn data into information, information into insight and insight into business decisions.<br/>You will conduct full lifecycle activities to include requirements analysis and design, develop analysis and reporting capabilities, and continuously monitor performance and quality control plans to identify improvements.<br/>Responsibilities and Duties<br/>We are seeking an entry level Data Analyst. 
 In this exciting role, you will be responsible for the following:Expert level proficiency with data analysis tools like SQL, ETL concept and knowledge of Excel.Technical background and solid programming experience.Fluency in data analysis and communication around data with advanced data visualization abilities using Power BI.Proven track record of using data to generate insight and drive business results.Statistics knowledge and hypothesis testing experience.Basic understanding of probability and statistical models (generative and descriptive models).Ability to run experiments scientifically and analyze results.Strong written and verbal communication skillsAbility to collaborate effectively across multiple teams and stakeholders, including analytics teams, development teams, product management and operations.Hands-on experience in using data to generate insight and drive business results. 
 Key Skills 
 Uses several techniques to solve complex problems where analysis of situations or data requires a review and analysis of several factors.  * May lead the implementation of tactical plans in support of strategic initiatives.  * Receives objectives and determines approach to achieving objectives.  * Accountable for the achievement of operational goals in at least one department or work area.  * Integrates customer/client needs and concerns with business issues.  * Serves as an advocate for client.  * Serves as a liaison on specific projects with other work areas.  * Influences, inspires or persuades others in order to accomplish work objectives. 
 Required Experience and Qualifications 
 Bachelor's degree or equivalent education and relevant experience.Possesses detailed knowledge of one technology or professional discipline, or basic knowledge of several areas.Experience working with data (customer data or databases). 
 Benefits 
 Health Insurance after completion of one year with the company.2 weeks paid vacation in a year after completion of one year with the company.Free On Job Support during the project.H1B Sponsorship visa for eligible consultants.Travel expenses will be covered for Face-to-Face interviews.Relocation expenses. 
 Job Types: Full-time, Contract 
 Salary: $55,000.00 to $65,000.00 /year 
 Experience: 
 relevant: 1 year (Preferred) 
 Education: 
 High school or equivalent (Preferred) 
 Location: 
 New York, NY (Preferred) 
 Work authorization: 
 United States (Preferred) 
 Full Time Opportunity: 
 Yes 
 Additional Compensation: 
 TipsBonusesOther forms 
 Work Location: 
 One locationMultiple locations 
 Benefits: 
 Health insuranceDental insuranceVision insuranceRelocation assistanceTuition reimbursementProfessional development assistance",https://www.indeed.com/company/KGS-Technology-Group-Inc/jobs/Entry-Level-Data-Analyst-ee056d3b186ba1ec?fccid=ce626fc72d7eb30c&vjs=3
"KGS Technology Group, Inc","New York, NY",Entry level/ Fresher Data analyst ,2,"$50,000 - $60,000 a year"," 
 Designation – Data Analyst 
 Why KGS Technology Group? 
 KGS Technology Group is one of the fast growing companies in IT consulting for fortune 500 clients. We cater to the application development and support services needs of our clients and offer them technology-driven business solutions that meet their goals and corporate objectives. KGS knows what is in more demand in the IT industry. In the wake of providing the best talent, we have meticulously designed our training programs in a way that they stand at par with the demand of the current market scenario. Our reach has been so wide that we are the preferred choice for our prime vendors. 
 Who is a data analyst? 
 A data analyst collects and stores data on sales numbers, market research, logistics, linguistics, or other behaviors. They bring technical expertise to ensure the quality and accuracy of that data, then process, design and present it in ways to help people, businesses, and organizations make better decisions. 
 Responsibilities you have to undertake:  
 Collecting and interpreting dataAnalyzing resultsReporting the results back to the relevant members of the businessIdentifying patterns and trends in data setsWorking alongside teams within the business or the management team to establish business needsDefining new data collection and analysis processesdesign and carry out surveys and analyze survey datamanipulate, analyze and interpret complex data sets relating to the employer's businessprepare reports for internal and external audiences using business analytics reporting toolscreate data dashboards, graphs and visualizationsprovide sector and competitor benchmarkingMine and analyze large datasets, draw valid inferences and present them successfully to management using a reporting tool. 
 Skills you will need to have:  
 Analytical skills: Data analysts work with large amounts of data, including: facts, figures, and number analysis. They need to see through the data and analyze it to find conclusions.Communication skills: Data analysts present their findings, and translate the data into understandable documents or reports. They need to write and speak clearly and be able to communicate complex ideas into easily understood terms.Critical thinking: Data analysts must look at the numbers, trends, and data in order to formulate conclusions.Attention to detail: Data is precise. Data analysts have to make sure they are attentive in their analysis to come to correct conclusions.Math skills: Data analysts require math skills to process numerical data.Technical skills/tools: There are many technical skills and computer programs that a data analyst must have in order to be proficient. A few of these include: SQL, XML, Javascript, R, Python, SAS, Hadoop, and other machine learning programs. 
 Benefits:  
 Competitive compensation.Excellent health, vision, and dental plans.Relocation Expenses.Education reimbursement programs available.Extensive product training and professional careerVisa sponsorship for the eligible candidates. 
 Job Types: Full-time, Part-time, Temporary, Internship, Contract 
 Salary: $50,000.00 to $60,000.00 /year 
 Education: 
 Master's (Preferred) 
 Benefits: 
 Health insuranceDental insuranceRelocation assistance","https://www.indeed.com/company/KGS-Technology-Group,-Inc/jobs/Entry-Level-370b43be58e62cb3?fccid=3997b26a850c1379&vjs=3"
Mount Sinai,"New York, NY",Data Analyst I ,13,," 
 Strength Through Diversity
Ground breaking science. Advancing medicine. Healing made personal.
Operating Room - #2503144
Data Analyst I - Operating Room - Full Time Days<br/>

Roles &amp; Responsibilities:<br/>

The Data Analyst I is responsible for implementing best information technology data management practices in an effort to improve and ensure quality, streamline data cleaning efforts and deliver analyzable databases within agreed upon project timelines.
Logs, reviews and charts data into Epic EMR system
Will work closely with supply chain and finance department regarding medical/ hospital billing
Generating reports from single and/or multiple systems
Collecting and interpreting data
Performs other duties as assigned
Requirements:
High School Diploma and/or GED required; Bachelor's Degree preferred
2-3 years database application/management experience, preferably in a large medical center or healthcare environment
Excellent analytical problem solving skills; Attention to detail and accuracy
Works productively amidst ambiguity and complexity
Experience with Microsoft Office a plus
Strength Through Diversity<br/>

The Mount Sinai Health System believes that diversity is a driver for excellence. We share a common devotion to delivering exceptional patient care. Yet we’re as diverse as the city we call home- culturally, ethically, in outlook and lifestyle. When you join us, you become a part of Mount Sinai’s unrivaled record of achievement, education and advancement as we revolutionize medicine together.<br/>

We work hard to acquire and retain the best people, and to create a welcoming, nurturing work environment where you can develop professionally. We share the belief that all employees, regardless of job title or expertise, can make an impact on quality patient care.<br/>

Explore more about this opportunity and how you can help us write a new chapter in our story!<br/>

Who We Are<br/>

Over 38,000 employees strong, the mission of the Mount Sinai Health System is to provide compassionate patient care with seamless coordination and to advance medicine through unrivaled education, research, and outreach in the many diverse communities we serve.<br/>

Formed in September 2013, The Mount Sinai Health System combines the excellence of the Icahn School of Medicine at Mount Sinai with seven premier hospital campuses, including Mount Sinai Beth Israel, Mount Sinai Beth Israel Brooklyn, The Mount Sinai Hospital, Mount Sinai Queens, Mount Sinai West (formerly Mount Sinai Roosevelt), Mount Sinai St. Luke’s, and New York Eye and Ear Infirmary of Mount Sinai.<br/>

The Mount Sinai Health System is an equal opportunity employer. We promote recognition and respect for individual and cultural differences, and we work to make our employees feel valued and appreciated, whatever their race, gender, background, or sexual orientation.<br/>

EOE Minorities/Women/Disabled/Veterans 
 ",https://www.indeed.com/rc/clk?jk=1df810439205c66b&fccid=c007936ceb766fe5&vjs=3
Citi,"New York, NY 10261","Finance, Full Time Analyst (North America ",6,," 
 You're the brains behind our work.<br/>
You’re ready to bring your knowledge from the classroom to the boardroom, and Citi wants to help you get there. Whether it’s honing your skills or building your network, we know that success can’t come without growth. Our programs equip you with the knowledge and training you need to play a valuable role on your team, and establish a long-term career here. At Citi, we value internal mobility, and career growth is not a question of if, but when. Citi is looking for Fll-Time Analysts to join Finance. As part of the Finance function, your work can make an immediate impact. The Financial Analyst (FA) Program is a two-year entry level leadership developmental rotational program which introduces college graduates to Citi Finance through diversified experiences. This Program offers a unique perspective providing development opportunities in Citi Finance while supporting various disciplines and businesses. Finance is comprised of various disciplines, including Controllers, Treasury, Financial Planning &amp; Analysis, Tax, Investor Relations, Capital Planning/Recovery &amp; Resolution Planning, and M&amp;A. Finance is: * The guardian and communicator of key financial information and controls for Citi, serving both an internal and external client base. * The driver of franchise-level decisions on capital planning, liquidity, budgeting, tax, strategic direction and policy management. * A critical business partner to each Global Product, Region and Discipline, providing the data and analysis to enable Citi's leaders to make sound decisions in support of the business' objectives.",https://www.indeed.com/rc/clk?jk=0ac6a9af12a172a8&fccid=5bcd1ef0a7f4fb99&vjs=3
New York Blood Center,"New York, NY",Data Analyst ,2,," 
 <h2 class=""jobSectionHeader"">Overview
At New York Blood Center, one of the most comprehensive blood centers in the world, our focus is on cultivating excellence by merging cutting-edge innovation with diligent customer service, groundbreaking research, and comprehensive program and service development. Join us as we work towards meeting and exceeding the growing needs of our diverse communities, further our lifesaving strategic goals in a rapidly changing environment, and expand our impact on the local, national, and global communities we serve.
<h2 class=""jobSectionHeader"">Responsibilities
As an integral member of our team, you will oversee the data analysis of core business data domains, including studying donor behavior, donations, deferrals, test results and medical questionnaires.
Responsibilities include:
Performing analyses on data
Conducting relevant research and documenting all findings
Working closely with cross-functional teams of analysts, product owners, marketers, designers, and others across the company who are passionate about data
Communicating data-driven insight and making recommendations to the Analytics team and key stakeholders
Documenting requirements and specifications
Handling other related functions as necessary
<h2 class=""jobSectionHeader"">Qualifications
Successful candidate will have a Bachelor’s Degree in Science, Computer Science, Statistics, Economics, Mathematics or related quantitative discipline, and possess 1 year of data analysis or related experience. The ability to perform analysis utilizing datasets, including basic technical competence with SQL, Python, Perl, Java, or R will be expected, as will the ability to identify and analyze problems and effectively develop/implement alternative solutions. Superior oral/written communication, decision-making, multitasking, PC, and organizational skills are all essential.<br/>

Unless otherwise specified, all posted opportunities are located in the New York or Greater Tri-State office locations",https://www.indeed.com/rc/clk?jk=8bc2cf0e38cf256b&fccid=13aa8b966306279f&vjs=3
ClipperData LLC,"Manhattan, NY",Data Analyst Intern ,6,$15 an hour," 
 ClipperData is an innovative data company founded in 2013 that provides transparency to the energy sector with granular, real-time information on crude and petroleum product waterborne shipments, and proprietary monitors, domestically and globally. Our clients include diverse market participants across the energy, logistics, and financial sectors. We are headquartered in New York City, with satellite offices in London, Singapore and other US cities. 
 clipperdata.com 
 The quantitative team is currently looking for interns to assist with some general data works for some of our company's proprietary products. The intern(s) would be responsible for coming into the office in Flatiron most weekdays. 
 I'm looking for someones who 
 is honest, reliable, and clever in a general way.have close attention to detail, responsibility, and an interest in learning about markets. 
 experiences with handling data in either Excel or other software would be helpful.read this before applying. 
 Job Types: Part-time, Internship 
 Job Types: Full-time, Part-time, Internship 
 Salary: $15.00 /hour 
 Experience: 
 relevant: 1 year (Preferred)",https://www.indeed.com/company/ClipperData-LLC/jobs/Data-Analyst-Intern-73f33c06b896f1d7?fccid=e79ceacf1d1c7048&vjs=3
