company,location,title,post_date,salary,description,url
WeWork,"New York, NY",Junior Data Scientist ,1,," 
 About the Role:

The Talent Reporting &amp; Analytics team provides people analytics that empowers leaders to make timely, informed, and future-focused business decisions. The team is responsible for development and delivery of Talent operational reporting; development, management, and support of surveys and assessments for all Talent process areas; and definition, development, and support of analytics supporting Talent.

Job Responsibilities:

Partner directly with the Talent Strategy &amp; Operations to support any reporting requirements needs for projects, measuring or analysis
Build, develop &amp; design dashboards to support Talent Metrics &amp; KPIs.
Ad hoc data analysis &amp; reporting for Talent programs and projects.
Weekly reporting on hiring and headcount stats within the organization.
Integrates multiple systems and data sets to build large and complex data sets and make them usable (e.g., transforming and cleaning data, working incomplete data sources, implementing and validating quality procedures).
Conducts scalable data research and off and ultimately on the cloud.
Implements automated processes for efficiently producing scale models.
Liaises and collaborates with other COEs, Business Advisor organizations and Core Talent Services on the whole analytics lifecycle (conceptualization, data collection, analysis, and recommendations) or when subject matter expertise is required
Develops compelling, logically structured presentations (including story-telling of research/analytics findings) that will be shared at the Talent and business leadership level
Requirements:

Undergraduate degree (4 years) in Computer Science, Statistics, Applied Math or related field. Master's degree preferred.
Use a broad range of analytical skills to discover, mine, and analyze data to precisely reflect the organization’s or client’s needs and improving deliverable quality through verification and validation of results
Ability to work independently and manage multiple task assignments
Skilled at communicating with a cross-functional team regarding deliverables, schedules, and issues
Creative problem-solving skills related to team, project, and cross-functional issues
Ability to maneuver in a matrix environment, leverage indirect reporting resources, and work well in ambiguous situation",https://www.indeed.com/rc/clk?jk=ddc8b8c2019b0a0b&fccid=e76dadb9a0d8a2cf&vjs=3
"MoneyLion, Inc","New York, NY",Risk Data Scientist ,30+,," 
 Risk Data Scientist, NYC 
 Position Summary:<br/>MoneyLion is looking for a Risk data scientist to work on applying modern machine learning techniques to develop and enhance our credit risk models. This entails understanding and leveraging our various internal and external data sets in consumer credit, retail financial data and more to create predictive credit decisioning models. 
 Responsibilities:<br/>Build probabilistic credit models to predict outcomes based on historical data.<br/>Train and test the various machine learning techniques on data sets to investigate credence to hypotheses on different business challenges.Work with engineering team members to deploy high performing candidate models to production. Work with members of different business divisions to generate ideas on how to use data to make processes more efficient or improve economics.Formulate decisioning schedule to ensure predictions will not derail critical business metrics. Identify, monitor, and measure model performance over time. Develop dashboards to visualize findings in precise and meaningful ways. 
 Requirements:<br/>Undergraduate in Math, Computer Science, Statistics, or related technical field.<br/>Strong mathematical, statistical, and programming background.<br/>Must have hands on experience in machine learning, predictive analytics, and statistical<br/>modeling. 
 Proficiency in R, Python (Jupyter, Pandas, Numpy, sklearn, etc.), and SQL. Ability formulate novel solutions to problems, communicate thought process clearly, and think<br/>within the context of larger business needs and targets. 
 Desired:<br/>Advanced degree in Math, Computer Science, Statistics, or related technical field.<br/>2+ years of industry experience in predictive analytics and/or statistical modeling role.<br/>Experience building machine learning models using traditional and alternative consumer credit<br/>risk data. 
 MoneyLion is committed to equal employment opportunities for all employees. Inside our<br/>company, every decision we make regarding our employees is based on merit, competence, and performance, completely free of discrimination. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. Within that team, no one will feel more “other” than anyone else. We realize the full promise of diversity and want you to bring your whole self to work every single day. 
 Job Type: Full-time 
 Work authorization: 
 United States (Required) 
 Work Location: 
 One location 
 Benefits offered: 
 Paid time offParental leaveHealth insuranceDental insuranceHealthcare spending or reimbursement accounts such as HSAs or FSAsOther types of insuranceRetirement benefits or accountsChild Care benefitsGym memberships or discountsCommuting/travel assistanceEmployee discountsFlexible schedulesWorkplace perks such as food/coffee and flexible work schedulesOthers",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_rZL2UnsRRQ5IEESYTvegzrIx9kTngi-PYMeLf2GFfFQlhSQxrL2LlUiawnz1ryCJXO3WjlcKFI7mcmChLsORWlWUcgwWxghXXvDrs2epCOYQ-shPLaLOVBU8c42uYQEUE2MXlpkaBDTPlOjXlIc1-xmg6GVpdT8ZB5xPbWsoPWZWRTO_zzy1DuaErbdpC9ydyLfnjGvrDxT_alfZfxTafCH2j6aK2e3Y6U9BeTEcNmw2gN3zFYx2-2VOQvFE-WVuxSN05pr70Uf6rsEdmTSceKMQCgfipLUX8MJGcyjOAB3D1k_MY78cxgD8yUTvt75WmIOdiuhTAKhFN1B8O50iOBF1mlUT1JYdZ0VWHqhQlakq4Uk6DbvnLWhArl3bOt8xjm8e4TGAaUOWk2YarIZj6JKlgaXUKmbIOISsBGsPRO9MptRLxEJ1ebKNETsRrsYjBfsK-A2k6Q==&p=0&fvj=1&vjs=3
Transport Learning,"New York, NY 10014",Data Science/Machine learning engineer at an EdTech startup ,30+,"$70,000 - $100,000 a year"," 
 Job description: <br/>- Using Tensorflow Lite, implement data collection methods, processing, and storage (principally facial features, pupil size, ambient sound, and ambient light). 
 - Clean data for pattern/signal detection. 
 - Train data against known stimuli. 
 - Create models to predict user reactions (for example, facial features and pupil size). 
 Experience: <br/>Minimum 2+ years<br/>(Must have references.) 
 Expert in:  
 Python<br/>Azure 
 Familiar with:  
 OpenCV<br/>TensorFlow Lite 
 Keras 
 Qualities:  
 Learns quickly<br/>Attention to detail<br/>Creative problem solver<br/>Delvers on time 
 Interview Process 
 Phone interview 
 In-person interview 
 Job Type: Full-time 
 Salary: $70,000.00 to $100,000.00 /year 
 Experience: 
 machine learning: 2 years (Required) 
 Location: 
 New York, NY (Required) 
 Work authorization: 
 United States (Required)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_nvrFZn-GLrGUcGLIXBPEt_uU6fXCjMaLhA5SlwFsfFm15RaETMw__agHVZsIr8BVAB8W7sW0jw3zrG1b_ug4jmynqrkmriJxURl_ZopeffA2qkawlApixCb-2gTQMwmnCS1T6JLtI6RR4ZqSjpYOzL2xGRHMQ7eF5L9cava_gcg2vatXkd2kdjEf5JwQfxdbPDbPwB8UQiOpo_8KmUb5r-6TDk3sPvOAz_25XTskXyldyR3NnIU0VdFdQnXvJf9efFVmajjD6eSZIx8hbxiayZGXyK5OgUKFTITB6gpwJf4hdkRKK3U06WQlp_xkAN-9CD3Qmjbr9zj8eNvNS8Hk58wKpNWvEoAYeL43p9dh3-L_CiC0BIyYW1tW4lpxjA8ufdIvh899jStD8EJPmzeAda4ylNLecP6fxr7a7I21kJ2T5FFATNI4QXI4ZB576K4FKa_MfLbglzaCu8MvmiIBwooZGGXNQ7PG78BY3vUPubi7OVgAHjjs&p=1&fvj=1&vjs=3
Success Academy Charter Schools,"New York, NY",Experienced Middle School Science Teacher (Grades 5,30+,," 
 As the fastest growing, highest-performing charter school network in New York State, Success Academy has reimagined public education. Nationally recognized for achieving outstanding academic results for students from all backgrounds and zip codes, we have created an innovative K-12 school model that is preparing current and future generations of children with the subject mastery and skills to succeed in college and life. We now need a results-driven, experienced Middle School Science Teacher to join our school community.

Success Academy has a science program like none other in the country. Beginning in kindergarten, scholars receive hands-on, inquiry-based science five days a week with a dedicated science teacher. Success Academy scientists conduct experiments and discuss observations, data, and results in the same way true scientists do. Our method of science instruction not only ignites a passion for science early in life, but it also provides scholars with the critical thinking skills necessary to tackle any problem.

At Success Academy, we incorporate the three main disciplines of science - Life, Physical and Earth - into each year's curriculum. On any given day, a scholar might dissect a squid, program a robot, or conduct scratch tests to identify minerals!

Key responsibilities include:
Building a classroom culture in which students love science and take pleasure in discovering diverse strategies to solve science problems;Teaching students through an inquiry-based curriculum that focuses on the dual tenets of logic and reasoning;Developing strong relationships with parents and students to create investment in school culture and academics;Skillfully orchestrating problem solving through multiple representations, meaningful mathematical discourse, and productive struggle;Collaborating to develop a model of excellence in middle school science education; andTraining with colleagues and school leaders to receive targeted, in-the-moment feedback on instruction, as well as unparalleled support and professional development.

Successful candidates should also have the following experiences and characteristics. They:
Have 1+ years of lead teaching experience, with a proven record of propelling student intellectual growth;Hold a Bachelor’s degree with an outstanding record of academic achievement and leadership;Are a person of high moral character; andAre passionate about science and learning.

Success Academy Charter Schools is an equal opportunity employer and actively encourages applications from people of all backgrounds. Compensation is competitive and commensurate with experience. Success Academy offers a full benefits program and opportunities for professional growth. 
 ",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CWqIDsbw9ZmFSrJLdutrNcLAPZGXzd06g-BCO5YJFupjBrQd9TPabSPlhBH_IUmfbeRrjj_bQEaliKxoDpVmuouGPx4kQ_c3enj-F82pH7_NQLtPoLqCvaUKIqR0J6qv9GkSL3jk59YZONUtcMnZez9VcIRbv9cwJHqgo9fV-tGql3ndQ8beHnL8DOxRvgpCtPJhC1QCfazurDo55hpBqBhCQSpj3Jc8uNI4sEyDgX1oxPl0Dk89KBE2maCcoN57G4mS_-nwroEeLHb2gaEqthLSZHXTQux0q7MAWk0trbY4-fM8nNNt7ZPGGKyGfxIxYo1KrJ6oox7V8EpIx9bDSF7O09bEyyH7G4B7WqGFI07z1s2sWc5OYThWnHCx4mvAspoNBBwO96voIorNlOKX4ySxagmn5FJPg1LMtG6KuOa6eDt9eWGXq_lwFLW9CnKChNpr_W_cYR6_rjHYQVkcWZlbQEJUyI1JTpJagKYi-NbbZW5BRx2RYeLMICzrUVPuxDO4nOHyzIqlmIomnlfB227ukxT78XaZJ2zPfDldKuNClV1VFTVi1UaFPrqE7b0Zyxng8eSjcJnnkOY9ljf6P8f-zoPkARDNSw2g7vzeGS-LQpglpRWMdlucJgvaDMtcXEV0Zy22Lf-seTZrpAnFsn1yYq1e3OVS0g_ieO1f1C917fbOwdF6_rHmoTR8ZELRblrVp6-WhQwUMZztwoEb3hctorcMgZvc6jk1AfCMzbIhjw20c1sGXQaKeHoekKRjXfHYVBwrNk5Q==&p=2&fvj=0&vjs=3
Celgene,"Berkeley Heights, NJ 07922",Sr. Principal Statistical Programmer ,30+,," 
 Req #: 1901386<br/>
Location: Berkeley Heights, New Jersey, United States<br/>
Job Category: Information Technology<br/>
Work Location: 300 Connell Dr 07922<br/>
Organization: Clinical Programming<br/>
Employee Status: Full-time<br/>
Job Type: Regular<br/>
Job Description<br/>
Responsibilities will include, but are not limited to, the following:<br/>

Provide programming input to CRF, SAP, analysis file specifications, and tables, figures, and listings (TFLs) shells.
Write SAS programs to generate derived analysis datasets, perform analysis, and TFLs.
Perform ad hoc flexible and rapid programming arising from questions generated from planned analyses and results.
Ensure consistency and adherence to standards within their therapeutic area.
Provide input to the design of the clinical trial database for proper data capture and to ensure data quality.
Create Data Definition Tables (DDT) and converting TFLs to the required format for eSubmission.
Convert, verify and integrate multiple sources of incoming data for the creation of analysis datasets.
Provide programming support for the preparation of integrated reports, submissions and post-submission activities.
Serve as the lead programmer in support of NDAs, sNDAs.
Contribute to the creation, maintenance, and validation of standards for programming tools, outputs and macros.
Provide training on departmental SOPs/WPs and standard programs.
Contribute to the creation of naming conventions and standards for the programming environment.
Routinely interface with cross-functional team members.
Influences other functions and represents as DOP technical expertise.
Represent as internal team leader who decides best course of action.
Coach and advise junior programmers to identify problems and solutions.
Oversee the services provided by CROs.
Skills/Knowledge Required:<br/>
Bachelor’s degree in life science, statistics, mathematics, computer science, or related field is required; Master’s degree is preferred.
9 plus years Pharmaceutical/CRO experience as a SAS Programmer supporting clinical trials for regulatory submissions with a Bachelor’s degree; or 8 plus years experience with a MS/MA degree.
Demonstrated proficiency in using SAS to produce derived analysis datasets and produce TFLs.
Thorough understanding of clinical data structures, relational database structures, and data exchange with alternate data formats.
Demonstrated skills in using additional software tools and applications (e.g. MS office, XML).
Demonstrated expertise in the handling and processing of upstream data, e.g., multiple data forms, workflow, eDC, SDTM.
Demonstrated expertise in providing outputs to meet downstream requirements, e.g., ADaM, Data Definition Table, e-submission.
In-depth understanding of regulatory, industry, and technology standards and requirements.
Good knowledge of statistical terminology, clinical tests, medical terminology, and protocol designs.
Demonstrated ability to work in a team environment with clinical team members.
Excellent planning and project management skills.
Good interpersonal, communication, writing and organizational skills.
Keep abreast of evolving regulatory, industry, and technology changes and demands, e.g., CDISC, SDTM, ADaM, eDC.
#LI-POST<br/>
<br/>

About Us<br/>
<br/>
COMMITTED TO IMPROVING THE LIVES OF PATIENTS WORLDWIDE<br/>
<br/>
At Celgene, we seek to deliver truly innovative and life-changing drugs for our patients. Our vision as a company is to build a major global biopharmaceutical corporation while focusing on the discovery, the development, and the commercialization of products for the treatment of cancer and other severe, immune, inflammatory conditions.<br/>
<br/>
""At Celgene, we seek to deliver truly innovative and life-changing drugs for our patients.""<br/>
<br/>
There are more than 300 clinical trials at major medical centers using compounds from Celgene. Investigational compounds are being studied for patients with incurable hematological and solid tumor cancers, including multiple myeloma, myelodysplastic syndromes, chronic lymphocytic leukemia (CLL), non-Hodgkin’s lymphoma (NHL), triple-negative breast cancer and pancreatic cancer. As committed as we are to clinical accomplishment, we are equally committed to patient support, which is a guiding principle at Celgene. We believe all who can benefit from our discoveries should have the opportunity to do so. Celgene puts patients first with industry-leading programs that provide information, support and access to our innovative therapies.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0_wdVw05Rg-1vuf2j6RM2dY94NQX8sGaXGtSuJTqhBb7TuLrihG7cTyvq1zwhIvxBUf1HEGQ0zrSnwTaeztmwnZvfrlvFpv8ykdLNzU3l-h-Gvn7heWiiD-iQnPQLAeL_ooYf4x4ehoTHATO9cUBfPf3hCb-nsySlLuClkss04XQpSPTJYDiXwEowh31Kqq7W4VPBw7CHEefNGQ6bmUlhwAhIneO0TLRBMCfpU2c9NFhNO4y_bE2HjtBPG12SAZkE2mlZEMF59cEbAQbZdEGzm5N_GOy-4qwDM26uo8c6oTw4e_rr-BDrwYpLCdvUmpbe2-SKdgPK_Hb8UWyfDlz87ebAkMo8vtfGqf8dHB4jIyz57HJzsHWNyyimtDY1hyFzB2cmTnQADiWEfbrLHb9wQb6KecDwOoLuVN3iQeBeIrpWLjf4MsRhkbMSzo3JLDBI4YVVu55J3eFjXblddK9fgZbJFOEgCthKjsE6OCKPcusKl48Fkcrsxc2uwSxsO2Gq43bnP6rTHf1Eg76u685Bt7g2i6mlhYjhWnaxpEpKXw==&p=3&fvj=0&vjs=3
Digitalogy,"New York, NY",Data Scientist ,1,$50 - $80 an hour," 
 What you will do

Responsible for assisting with the development of our state-of-the-art, advanced analytical machine-learning-based software framework that can ingest, structure and model large amounts of data in different formats and from different sources. Capable of helping with the design of systems that can grow and maintain competitive advantage. Able to learn, assist and when needed take initiative on various modeling assignments.

<h3 class=""jobSectionHeader"">Qualifications:
Experience with Python
Knowledge of some of the following: numpy, scipy, pandas, scikit-learn
Knowledge of basic statistics and data analysis
Experience with open source software for data ingestion and data processing
Ability to both follow and take lead, depending on the situation
Academic or industry examples of machine learning models previously built
Hands on work with unclean, semi-structured or unstructured data sets preferred
Experience working in teams of analysts, data engineers, statisticians, and data scientists is highly preferred
Experience in analytics (a.k.a. decision sciences) in the financial industry; in particular, for credit and marketing of unsecured lending products (development of credit risk models, valuation models, credit policy) preferred
Superb analytical, math, coding, and data background
Innovative mindset—thinks beyond the status quo
Profiling, cross-platform adaptively, are preferred",https://www.indeed.com/rc/clk?jk=83e3f665b22e5695&fccid=f01127702f08b4dc&vjs=3
Remedy Partners,"New York, NY",Junior Data Scientist ,Today,," 
 <h3 class=""jobSectionHeader"">Description
This role will report to our VP, Data Science.<br/>
<br/>
What will you do?
Understand business decisions that need to be supported by data e.g. risk of readmission to hospital
Identify relevant internal or external data sources for various business needs
Research the state of a problem and existing solutions then quickly summarize research
Help identify new business opportunities and value propositions from existing data
Utilize raw or aggregated data to build predictive models in SPARK, SQL, or Python
Ensure that all security procedures within their area of responsibility are carried out to achieve compliance with security policies and standards.
DS/ML stack:
Languages: Python, PySpark, SQL
Data Tools: Spark, AWS RedShift, AWS Athena, pandas, numpy, scipy, parquet
Modeling Tools: SparkML, scikit-learn, Tensorflow, Tensorflow-Serving, Keras (Tensorflow and Theano backend)
Algorithms: Classifications, Regressions, Neural Networks, Time series, Graphs
Visualization: Tableau or similar
Infrastructure: AWS (including S3, EMR, EC2, Lambda)
We are looking for someone with:
1+ year’s professional experience as a data scientist or machine learning engineer
1+ year’s professional experience working in quantitative computational role
1+ year’s professional experience working with big data and relational databases
Strong experience using machine learning and deep learning packages
Strong experience with data manipulation, analysis and visualization
Solid knowledge of advanced applied data science (machine learning, neural networks, etc.), mathematical modeling, computational, statistical, data mining techniques (regression, decision trees, clustering etc.), as well as dimensionality reduction techniques
Proven track record of fully understanding the scope, commitment to quality, and end-to-end ownership to meet upon agreed timelines.
Bachelors degree or greater in physics, applied mathematics, statistics or related field is required
Healthcare industry experience is a plus 
 ",https://www.indeed.com/rc/clk?jk=2646d9747e37d496&fccid=3f0ffcc867369bf0&vjs=3
Viacom,"New York, NY 10036",Jr. Data Scientist ,2,," 
 <h2 class=""jobSectionHeader"">Overview and Responsibilities
The Junior Data Science Engineer, Advanced Media Analytics will be responsible for supporting the build-out of new/alternate audience platforms across Viacom Media Networks. In this role, the individual will contribute to innovation in audience measurement, and help discover how VMN content is being consumed across platforms.<br/>

Identify, ingest, and enrich a wide range of structured and unstructured data into datasets for analysis
Learn to apply statistical and advanced techniques (e.g. segmentation, machine learning) to develop both prototypes and scalable (i.e. efficient, automated) data analyses
Conduct basic ad hoc analysis, building models, forecasting viewing behavior
Extensive code development, debugging, optimizing, and productionizing
Support the development of machine learning pipeline architecture
Help build out frameworks for quickly rolling out new data analysis for standalone data-driven products and services to support our network of media brands.
Be able to transform unstructured raw data in to formats suitable for modeling
Be able to work in teams and collaborate with stakeholders to define requirements
<h2 class=""jobSectionHeader"">Basic Qualifications
Bachelor’s or Master’s degree in a quantitative field
Knowledge of Python and/or R
Knowledge of algorithms for data mining, machine learning, and/or natural language processing
Possess some understanding of statistical procedures used in advanced analytics
Experience processing large amounts of structured and unstructured data using Spark, Hive or other Big Data technologies
Experience building scalable data models and performing complex relational database queries using SQL (Oracle, MySQL), etc.
<h2 class=""jobSectionHeader"">Additional Qualifications
Attention to detail and demonstrated ability to detect and resolve data/analytics quality issues
Outstanding verbal and written communication skills
Experienced user of data visualization tools (e.g. Tableau, matplotlib, ggplot2, etc.)",https://www.indeed.com/rc/clk?jk=1942a17d2bd166e1&fccid=ae0c894528aa6eee&vjs=3
"Remedy BPCI Partners, LLC.","New York, NY",Junior Data Scientist ,0,," 
 This role will report to our VP, Data Science.<br/>
<br/>
What will you do?
Understand business decisions that need to be supported by data e.g. risk of readmission to hospital
Identify relevant internal or external data sources for various business needs
Research the state of a problem and existing solutions then quickly summarize research
Help identify new business opportunities and value propositions from existing data
Utilize raw or aggregated data to build predictive models in SPARK, SQL, or Python
Ensure that all security procedures within their area of responsibility are carried out to achieve compliance with security policies and standards.
DS/ML stack:
Languages: Python, PySpark, SQL
Data Tools: Spark, AWS RedShift, AWS Athena, pandas, numpy, scipy, parquet
Modeling Tools: SparkML, scikit-learn, Tensorflow, Tensorflow-Serving, Keras (Tensorflow and Theano backend)
Algorithms: Classifications, Regressions, Neural Networks, Time series, Graphs
Visualization: Tableau or similar
Infrastructure: AWS (including S3, EMR, EC2, Lambda)
We are looking for someone with:
1+ year’s professional experience as a data scientist or machine learning engineer
1+ year’s professional experience working in quantitative computational role
1+ year’s professional experience working with big data and relational databases
Strong experience using machine learning and deep learning packages
Strong experience with data manipulation, analysis and visualization
Solid knowledge of advanced applied data science (machine learning, neural networks, etc.), mathematical modeling, computational, statistical, data mining techniques (regression, decision trees, clustering etc.), as well as dimensionality reduction techniques
Proven track record of fully understanding the scope, commitment to quality, and end-to-end ownership to meet upon agreed timelines.
Bachelors degree or greater in physics, applied mathematics, statistics or related field is required
Healthcare industry experience is a plus",https://www.indeed.com/rc/clk?jk=d19b36ecfcd4b8a7&fccid=9744e569304da4d3&vjs=3
Bank of America,"New York, NY 10038",Data Scientist ,11,," 
 Job Description:
Data Scientist
ResponsibilitiesManipulate and analyze large amounts of data to discover trends/patterns and draw meaningful insightsUse predictive modeling and statistical techniques to enable smarter business processesDevise and utilize algorithms and models to mine big data stores, perform data and error analysis to improve models, and clean and validate data for uniformity and accuracyCommunicate analytic solutions to stakeholders and implement improvements as needed to operational systemsCreate and maintain optimal data pipeline architectures
RequirementsExcellent understanding of machine learning techniques and algorithms and their real-world advantages/drawbacksKnowledge in applied statistics, such as distributions, statistical testing, regression, etc.Excellent scripting and programming skills such as R and Python. Familiarity with Scala, Java or C++ is an assetExperience using big data frameworks (e.g. Apache Hadoop, Apache Spark, etc.)Proficiency in using query languages such as SQL, Hive, Impala, etc.Experience building and optimizing ""big data"" data pipelines, architectures and data setsExperience with data visualization tools is a plus
Shift:
1st shift (United States of America)
Hours Per Week:
40",https://www.indeed.com/rc/clk?jk=0d06f35182f520d0&fccid=5bd99dfa21c8a490&vjs=3
