company,location,title,post_date,salary,description,url
"MoneyLion, Inc","New York, NY",Risk Data Scientist ,30+,," 
 Risk Data Scientist, NYC 
 Position Summary:<br/>MoneyLion is looking for a Risk data scientist to work on applying modern machine learning techniques to develop and enhance our credit risk models. This entails understanding and leveraging our various internal and external data sets in consumer credit, retail financial data and more to create predictive credit decisioning models. 
 Responsibilities:<br/>Build probabilistic credit models to predict outcomes based on historical data.<br/>Train and test the various machine learning techniques on data sets to investigate credence to hypotheses on different business challenges.Work with engineering team members to deploy high performing candidate models to production. Work with members of different business divisions to generate ideas on how to use data to make processes more efficient or improve economics.Formulate decisioning schedule to ensure predictions will not derail critical business metrics. Identify, monitor, and measure model performance over time. Develop dashboards to visualize findings in precise and meaningful ways. 
 Requirements:<br/>Undergraduate in Math, Computer Science, Statistics, or related technical field.<br/>Strong mathematical, statistical, and programming background.<br/>Must have hands on experience in machine learning, predictive analytics, and statistical<br/>modeling. 
 Proficiency in R, Python (Jupyter, Pandas, Numpy, sklearn, etc.), and SQL. Ability formulate novel solutions to problems, communicate thought process clearly, and think<br/>within the context of larger business needs and targets. 
 Desired:<br/>Advanced degree in Math, Computer Science, Statistics, or related technical field.<br/>2+ years of industry experience in predictive analytics and/or statistical modeling role.<br/>Experience building machine learning models using traditional and alternative consumer credit<br/>risk data. 
 MoneyLion is committed to equal employment opportunities for all employees. Inside our<br/>company, every decision we make regarding our employees is based on merit, competence, and performance, completely free of discrimination. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. Within that team, no one will feel more “other” than anyone else. We realize the full promise of diversity and want you to bring your whole self to work every single day. 
 Job Type: Full-time 
 Work authorization: 
 United States (Required) 
 Work Location: 
 One location 
 Benefits offered: 
 Paid time offParental leaveHealth insuranceDental insuranceHealthcare spending or reimbursement accounts such as HSAs or FSAsOther types of insuranceRetirement benefits or accountsChild Care benefitsGym memberships or discountsCommuting/travel assistanceEmployee discountsFlexible schedulesWorkplace perks such as food/coffee and flexible work schedulesOthers",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_rZL2UnsRRQ5IEESYTvegzrIx9kTngi-PYMeLf2GFfFQlhSQxrL2LlUiawnz1ryCJXO3WjlcKFI7mcmChLsORWlWUcgwWxghXXvDrs2epCOYQ-shPLaLOVBU8c42uYQEUE2MXlpkaBDTPlOjXlIc19Iz-aqjN5ucXqBNvFjvgjsaWJB6jQT1pgBaeMqys7JLGnfOAsUQlxWhgkUCuJW9bI5LfipKtlQyxnkKT5pnaXtf3d5V58Tq_EJ_YspjMJO3zZlMHnhc3T8bmCm5_7cQQabP73h8OTqsCc9VHxcNt1G8veWJWujdWqmBfTVW25QPP-ZQ6hgmUgxt2L0MguuT8iuZHg4TMSCrpv9tH91zmGWsZBkabBh8CXR_TfKG17f1LeAuu-r_WbQeuh2JzaGMy3-zVn0Dh0T85yrtciUeMItQq0j1yqgJ16U5u8QhSs1lAZ8FkSlsOR_Z1ch799wNd&p=0&fvj=1&vjs=3
NT Concepts,United States,"Data Scientist (Ft. Worth, TX) ",30+,," 
 <h2 class=""jobSectionHeader"">Overview
Who We Are
We’re NT Concepts, a leading provider of business and technology solutions for the intelligence and national security communities! Our team of engineers, subject matter experts, and data scientists provide experienced, high-quality Information Technology (IT) and cybersecurity engineering and innovation support. We do that by working with some complex clients on their hardest challenges. Clients with massive, complex data sets. So we get to keep learning, building, and keeping our skills sharp. And since life’s too short to spend with difficult people, we hire team members that not only like to solve problems, but that we like so hang out with. That's important.<br/>
<h2 class=""jobSectionHeader"">Responsibilities
And… Why We’re Both Here - This “Job” Thing
Here it is: we have some opportunities. And we’d like to get to know some more amazing people, that might want to talk about that. People like you. Since you’re reading this, and the title’s “data scientist,” we’re thinking you might be a little interested. Very cool.<br/>

We love people who dream big, find data fascinating, and understand that’s it’s not just about data: it’s about the science behind it, and how you can use it to solve real-world problems. We've got some tricky time-series data on this particular project and are looking for creative minds in the deep learning space to tackle it. (Also, if you happen to have some level of talent at, say kick-ball or giant Jenga: bonus points).
<h2 class=""jobSectionHeader"">Qualifications
Who You Are
Okay, beyond the basics (you solve problems, and are generally nice), we’re looking for a few skills. Less concerned with the specific technologies (great scientists can learn new tech as it emerges), more about horsepower.. That said, here are a couple bullets, things we look for:<br/>

Data science is a dynamic and evolving profession – we’re looking for people who love to learn and find unique solutions without being micro-managed: you’ll have the freedom to try new things, test solutions and technologies, and tell us when there’s a better path.
You know your way around a cloud console and have handled some pretty large volumes of data (time-series a plus!).
You are familiar with a few machine learning frameworks, like TensorFlow or PyTorch.
You've got experience with deep learning.
Maybe you have used enterprise products in the past for high throughput data ingestion and analysis.
Ultimately, we need someone who knows their way around data modeling, information extraction, time-series forecasting, machine learning algorithms, statistical analysis, or applied mathematics.
We realize that data scientists are a diverse breed and we are excited to hear how your unique combination of skills might apply to our current problem sets<br/>

Required:
Secret clearance required, higher is a plus
Bachelor's degree in a technical field<br/>

#CJ
#JT",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKx1m2p5CCoXg3Bu2KUaqCWaiUoXTSTyVPW-IgtqR1lpbWtuRx3zAAtVug-BZNPDbLEaQ5EXJmR-h-X5x5P3wWMVzxwy62Y97v4q2vNJp9HH0m3Hm5MB5P6t6Tt7tyFg4dMJJKSm_tOevb708FjP4ErBrqum-Cg-WgDUal6VbrIEa2l_X0VZ0hAnMbKBpE-9UIycdQqVDK1edq2j6oxcfFJzEjeEGgvc3lvRounUEJlqXepmSCpp874G-8UA6r-NISoHvkYpAiSFChNbvKwkzalYEXXJAOUlzPMVruFNjklOpP8oWOFl4DTrHQ1qUn6JSu2Q49kxCf3VrzUZe2fJTVb80IOskSGNtBZAbpTCXwvAKvH2rGTIdkf-m0gvNa7tcZggPEA6Pv9AwSERAjgigj4fyOBAKGvImZMM6BZUDvbT0jercThgsl39fZ0mF6B5BaQlJ_-5Y1NIoseNYdKX_Fhx8ETxwEHduNIigTmEKm-LmENIaDiXcWeYCXPtQcpLkPtANdy6SqmUtgjkq4vt5hseQ8aTyG8sKOgvySkotolFmdXg8blSw7azc_IV4GNiEm3MTueUWnC6Hu4Guk49wDH7sgv8-oTehkPWfgXsp_7RnhK0YvFQdZs7aPhLP_VMbIMbgOrD8MWHi6VWCyxC3-kXN8paIH_Z0437AZB2JAjq82W0JeqnXmCY_xCb0gZPg=&p=1&fvj=0&vjs=3
Pythian,United States,Cloud Data Architect ,30+,"$150,000 - $200,000 a year"," 
 Google Cloud Data Architect (Pre Sales) 
 United States | Remote | Work from Home 
 Why You? 
 Are you based in the United States? Are you a Cloud Solutions or Cloud Data Architect who likes to operate with a high degree of autonomy and have diverse responsibilities that require strong leadership, deep technology skills and a dedication to customer service? Do you have Big data and Data centric skills? Do you want to take part in the strategic planning of organization’s data estate with a focus of fulfilling business requirements around cost, scalability and flexibility of the platform? Can you draft technology roadmaps and document best practice gaps with precise steps of how to get there? Can you implement the details of the backlogs you have helped build? Do you demonstrate consistent best practices and deliver strong customer satisfaction? Do you enjoy pre sales? Can you demonstrate adoption of new technologies and frameworks through the development of proofs of concepts? 
 If you have a passion for solving complex problems and for pre sales then this could be the job for you! 
 What Will You Be Doing?  
 Collaborating with and supporting Pythian sales teams in the pre-sales &amp; account management process from the technical perspective, remotely and on-site (approx 75%).Defining solutions for current and future customers that efficiently address their needs. Leading through example and influence, as a master of applying technology solutions to solve business problems.Developing Proof of Concepts (PoC) in order to demonstrate feasibility and value to Pythian’s customers (approx 25%).Defining solutions for current and future customers that efficiently address their needs.Identifying then executing solutions with a commitment to excellent customer serviceCollaborating with others in refining solutions presented to customersConducting technical audits of existing architectures (Infrastructure, Performance, Security, Scalability and more) document best practices and recommendationsProviding component or site-wide performance optimizations and capacity planningRecommending best practices &amp; improvements to current operational processesCommunicating status and planning activities to customers and team membersParticipate in periodic overtime (occasionally on short notice) travelling up to approx 50%). 
 What Do We Need From You? 
 While we realise you might not have everything on the list to be the successful candidate for the Solutions Architect job you will likely have at least 10 years experience in a variety of positions in IT. The position requires specialized knowledge and experience in performing the following: 
 Undergraduate degree in computer science, computer engineering, information technology or related field or relevant experience.Systems design experienceUnderstanding and experience with Cloud architectures specifically: Google Cloud Platform (GCP), Microsoft Azure or Amazon Web Services (AWS)In-depth knowledge of popular database and data warehouse technologies from Microsoft, Amazon and/or Google (Big Data &amp; Conventional RDBMS), Microsoft Azure SQL Data Warehouse, Teradata, Redshift, BigQuery, Snowflake etc.Be fluent in a few languages, preferably Java and Python, and having familiarity with Scala and Go would be a plus.Proficient in SQL. (Experience with Hive and Impala would be great)Proven ability to work with software engineering teams and understand complex development systems, environments and patterns.Experience presenting to high level executives (VP’s, C Suite)Ability to travel and work across North America frequently (occasionally on short notice) up to 50% with some international travel also expected. 
 Nice-to-Haves: 
 Experience Architecting Big Data platforms using Apache Hadoop, Cloudera, Hortonworks and MapR distributions.Knowledge of real-time Hadoop query engines like Dremel, Cloudera Impala, Facebook Presto or Berkley Spark/Shark.Experience with BI platforms, reporting tools, data visualization products, ETL engines.Experience with any MPP (Oracle Exadata/DW, Teradata, Netezza, etc)Understanding of continuous delivery and deployment patterns and tools (Jenkins, Artifactory, Maven, etc)Prior experience working as/with Machine Learning Engineers, Data Engineers, or Data Scientists.A certification such as Google Cloud Professional Cloud Architect, Google Professional Data Engineer or related AWS Certified Solutions Architect / Big Data or Microsoft Azure ArchitectExperience or strong interest in people management, in a “player-coach” style of leadership longer term would be great. 
 What Do You Get in Return? 
 Competitive total rewards packageFlexible work environment: Why commute? Work remotely from your home, there’s no daily travel requirement to the office!Outstanding people: Collaborate with the industry’s top minds.Substantial training allowance: Hone your skills or learn new ones; participate in professional development days, attend conferences, become certified, whatever you like!Amazing time off: Start with a minimum 3 weeks vacation, 7 sick days, and 2 professional development days!Office Allowance: A device of your choosing and personalise your work environment!Fun, fun, fun: Blog during work hours; take a day off andvolunteerfor your favorite charity. 
 Why Pythian? 
 Established in 1997, Pythian is aglobalIT Data company based in Ottawa, Canada that specializes in designing, implementing, and managing systems that directly contribute to revenue and business success. We help companies adopt disruptive technologies such asadvanced analytics,big data,cloud,databases,DevOpsandinfrastructure managementto advance innovation and increase agility. We are focusing on product development leveraging new and exciting technology that will empower our customers through digital transformation. More than just a job we hire people who love what they do! As a Google Cloud Solutions Architect (Pre Sales) in North America, you will be part of our Customer Service Delivery team that is entrusted to manage our global client's mission critical systems as well as deploying cutting edge technology from blockchain to serverless and cloud databases, covering all modern data and infrastructure. They deliver first class personalized level of service to our clients across financial, educational, media, retail and many more. 
 Intrigued to see what a job is like at Pythian? Check us out@Pythianand#pythianlife. 
 Follow@PythianJobson Twitter and@loveyourdataon Instagram! 
 Not the right job for you? Check out what other great jobs Pythian has open in the United States or Canada in general and around the world!Pythian Careers 
 Disclaimers 
 Pythian is an equal opportunity employer and welcomes applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.The successful applicant will need to fulfill the requirements necessary to obtain a background check.All applicants must be legally authorized to work in the United States of America permanently– Pythian will not sponsor, or file petitions of any kind on behalf of, a foreign worker to become a U.S permanent resident based on a permanent job offer, or to otherwise obtain authorization to work in the U.S.No Recruitment agencies please 
 Job Type: Full-time 
 Salary: $150,000.00 to $200,000.00 /year 
 Experience: 
 cloud architecture: 3 years (Preferred)pre sales: 1 year (Preferred) 
 Work authorization: 
 United States (Required) 
 Benefits offered: 
 Paid time offParental leaveHealth insuranceDental insuranceRetirement benefits or accountsFlexible schedules",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A3x5MeI3VgY9l85xP96Hvk2pb-NQ2hDP1-Q9Gm9rc3qsCwPYilOH4ixpWJ6bxnmPMY1LW4ghvhGsLjeYEQ1ZW0cBA1JhUFRFdNxjJNsIfYWHcTM-9tCcKA-GS7YBaxczbN6ofSY7UIcZun4qtxJujDFsX1vgxXZEXLnNfspwQhIPnOHPgXfPJdqFUoibz7J9o9K1bltVVh6T83_ki5CSpvFFCdSQyUPwgJYmbq72DWHcM7w03x8c9DvQPxlntoa7m1Eg57SMMFnfYpoPvMooGLq7MaPRdp7tk8Bj97rhUzv1CHQAhyFk48pxyohOYjNt3kPJQLmIFxAbo4oox_3Bhwoza3vc4nu2U5T1h8_-90QOh6BZYhEnUImCfYjcSYCLYWiKBd0H-H9wjGVwkycCzjoHrnfogsGPvy995b90FjLw9JNrelWrOLxyC5f6zeoXqTOKh8ovQPlvDwyhSV4OBN&p=2&fvj=1&vjs=3
Butterfly Network,"New York, NY",Machine Learning Engineering Intern ,30+,," 
 Job Description<br/>
<br/>
Building “intelligence” into our software is the responsibility of the Deep Learning Team.
We’ve built a strong research team and are looking for talented Software Engineers, Data Scientists and Research Scientist interns. This role is best suited for engineers interested in learning about machine learning and building components of high-impact, life-saving systems.
Each internship will involve working alongside other research scientists, software engineers and a world-class clinical team to help develop a new suite of “intelligent” medical products.
Examples of Projects
Designing Algorithms for interpretation of machine learning models.
Real-time analytics systems that monitor the performance of models and annotations.
Optimizing speed and size of neural networks on mobile devices
Next generation distributed infrastructure for training machine learning models. 
 
 
 <br/> 
 
 
 Qualifications<br/>
<br/>
Minimum:
Working on CS undergraduate or graduate degree.
Familiarity with engineering best practices and design patterns.
Good to have:
Working on MS or Phd in computer vision, data science or machine learning.
Experience with machine learning infrastructure or models.<br/>
Additional Information<br/>
<br/>
All your information will be kept confidential according to EEO guidelines.",https://www.indeed.com/rc/clk?jk=6b045eff8e4ab71d&fccid=f34adc12ba09e47f&vjs=3
Remedy Partners,"New York, NY",Junior Data Scientist ,Today,," 
 <h3 class=""jobSectionHeader"">Description
This role will report to our VP, Data Science.<br/>
<br/>
What will you do?
Understand business decisions that need to be supported by data e.g. risk of readmission to hospital
Identify relevant internal or external data sources for various business needs
Research the state of a problem and existing solutions then quickly summarize research
Help identify new business opportunities and value propositions from existing data
Utilize raw or aggregated data to build predictive models in SPARK, SQL, or Python
Ensure that all security procedures within their area of responsibility are carried out to achieve compliance with security policies and standards.
DS/ML stack:
Languages: Python, PySpark, SQL
Data Tools: Spark, AWS RedShift, AWS Athena, pandas, numpy, scipy, parquet
Modeling Tools: SparkML, scikit-learn, Tensorflow, Tensorflow-Serving, Keras (Tensorflow and Theano backend)
Algorithms: Classifications, Regressions, Neural Networks, Time series, Graphs
Visualization: Tableau or similar
Infrastructure: AWS (including S3, EMR, EC2, Lambda)
We are looking for someone with:
1+ year’s professional experience as a data scientist or machine learning engineer
1+ year’s professional experience working in quantitative computational role
1+ year’s professional experience working with big data and relational databases
Strong experience using machine learning and deep learning packages
Strong experience with data manipulation, analysis and visualization
Solid knowledge of advanced applied data science (machine learning, neural networks, etc.), mathematical modeling, computational, statistical, data mining techniques (regression, decision trees, clustering etc.), as well as dimensionality reduction techniques
Proven track record of fully understanding the scope, commitment to quality, and end-to-end ownership to meet upon agreed timelines.
Bachelors degree or greater in physics, applied mathematics, statistics or related field is required
Healthcare industry experience is a plus 
 ",https://www.indeed.com/rc/clk?jk=2646d9747e37d496&fccid=3f0ffcc867369bf0&vjs=3
Spotify,"New York, NY 10011","Data Scientist, Forecasting ",1,," 
 We seek an exceptional Data Scientist to join our Forecasting team in New York. This individual will contribute to the development of cutting-edge models to predict Spotify’s future user growth and content consumption. The output of your models will serve as the basis for the company’s financial forecast as well as provide context for business performance to both internal and external stakeholders. Your work will also help the team create a time series forecasting infrastructure that can be leveraged throughout the company. Above all, you will be at the nexus of data science and business at one of the most innovative companies in the world.

In addition to possessing strong technical background of their own, the ideal candidate will be a natural communicator who is able to explain complex statistical frameworks to business and engineering teams in both New York and Stockholm. We also have a strong preference for candidates with experience in analyzing and forecasting time series. Accompanying this broad set of responsibilities is exposure to many functional areas, as well as senior management, across Spotify.

What you’ll do

Support the production of Spotify’s public-facing user growth estimates on a quarterly basis.
Develop scalable solutions for forecasting Spotify’s growth and work closely with Data Engineering to put your solutions into practice.
Consult with functional analytics teams tasked with building predictive frameworks for their discrete business units.
Visualize time series data in intuitive ways for a non-technical audience.
Contribute to a machine learning framework to measure and predict Spotify user lifetime value metrics.
Support Finance leadership with research on key business initiatives and challenges.
Who you are

Degree in Computer Science/Engineering, Mathematics, Statistics, Economics, Econometrics, or another quantitative field.
Minimum 3 (5+ preferred) years of relevant experience, particularly in forecasting time series using Python, SQL, Scala, and/or R.
Experience with feature engineering for machine learning models.
Knowledge of Google BigQuery and Java/Scala is a plus.
Comfort operating independently in a fast-paced work environment.
We believe that everyone should enjoy their job, so we live by a work hard, play hard ethos. Spotify is a positive, fun, high-energy work environment that you’ve always wanted to be part of! 
 ",https://www.indeed.com/rc/clk?jk=41922d3ad138c2db&fccid=fe404d18bb9eef1e&vjs=3
7N,"New York, NY",Machine Learning Engineer ,13,," 
 Do you want to change the ways of secure interactions between humans and computers? 
 
 
 <br/> 
 <h4 class=""jobSectionHeader"">Machine Learning Engineer
On behalf of a client we are looking for a Machine Learning Engineer who wants to be a part of developing a new enterprise solution that will change the ways of secure interactions between humans and computers. You will join a team of Software Developers and Engineers who work closely with scientists.
<h4 class=""jobSectionHeader"">Responsibilities
You will be working on an enterprise SaaS solution. Your daily work will be a mix of data science and applying new deep learning techniques from image, video, and voice processing research to behavioral data. The role is involved in everything from preprocessing, feature extraction, modeling, testing, evaluating, productizing, and to some extent deploying. You will also be involved in the pipelining and automation of the algorithms.
<h4 class=""jobSectionHeader"">Qualifications
Machine Learning fundamentals. i.e. algorithms, math and statistics
Python programming skills
Experience with deep learning and deep learning frameworks
Experience with feature learning
Experience with template matching and statistical machine learning
Experience with data science, data cleaning and data processing",https://www.indeed.com/rc/clk?jk=d1e29f17027c21e1&fccid=050cf6e1fc6835a8&vjs=3
MLB.com,"New York, NY",Machine Learning Engineer ,2,," 
 Position: 
  Machine Learning Engineer, Baseball Data
 
 <br/> 
 <br/> 
 
 
 Reports to: 
  Director, Software Engineering, Baseball Data
 
 <br/> 
 <br/> 
 
Major League Baseball's Technology team is renowned for creating experiences that baseball fans love.
 
 <br/> 
 <br/> 
 
We're looking for an expert in Machine Learning to create the code powering Major League Baseball. The Baseball Data team is tasked with analyzing the data captured on the field. With the launch of Statcast in 2015, MLB began tracking ball and player movements for each and every play. This role will involve combining our various data sources with video in near real-time to further our understanding of what is happening on the field.
 
 <br/> 
 <br/> 
 
This position offers the opportunity to collaborate with other world-class engineers, data scientists, product developers, and designers; contribute to award-winning and complex apps and systems; influence the innovation of products used by millions globally; and work in a highly collaborative, results-oriented, team environment.
 
 <br/> 
 <br/> 
 
Using bleeding edge technology, our software is consumed by fans, broadcasters, stadiums, MLB Clubs and the league itself. We are looking for Engineers that are passionate about building new technologies for the baseball industry, and this role will help usher in the next generation of experiences for fans of all ages!
 
 <br/> 
 <br/> 
 
 
 Core Responsibilities: 
 <br/> 
 
 
 
Brainstorm, discuss, and drive new advanced technology solutions for MLB products
Build scalable machine learning algorithms
Influence the innovation of products used by millions of users worldwide
Present and explain complex models to non-technical stakeholders
Introduce technologies you feel passionate about
 
 
Qualifications
 
 <br/> 
 <br/> 
 
 
 
Masters or PhD in Computer Science with a focus in machine learning
3+ years experience working with machine learning
Deep knowledge of machine learning and statistical predictive modeling
Experience with numpy, pandas, and scikit Python libraries
Real-world application experience implementing CNNs, or RNNs/LSTMs
Deep Learning Tools – Tensorflow, Theano, Caffe, etc.
 
 
",https://www.indeed.com/rc/clk?jk=a675d15afa608421&fccid=bc1c9d9d782c6b91&vjs=3
Compass,"New York, NY 10010",Machine Learning Scientist ,30+,," 
 Engineering ( https://www.compass.com/careers/departments/engineering/ )
 
 <br/> 
 <br/> 
 
Machine Learning Scientist
 
 <br/> 
 <br/> 
 
Compass is building the first modern end-to-end real estate platform by integrating agents, buyers and sellers through technology. Until Compass, no one has achieved the blend of the Natural Intelligence that hundreds of thousands of enterprising real estate agents bring to this market, with the ""Artificial Intelligence"" that cloud, mobile and AI technologies enable. We are building AI to empower AI - Artificial Intelligence to empower Agent Intelligence.
 
 <br/> 
 <br/> 
 
As one of the fastest growing technology companies of our generation, in an industry larger than any other, we have an opportunity and obligation to build a world-class engineering team and the operating platform that will transform real estate. In 2019 we will triple the size of our engineering team and are searching for creative and inspiring colleagues at all levels of the engineering organization. Seattle's vast talent pool and legacy of innovation make the city a perfect destination for our west coast team - come help craft the culture as we launch our new campus!
 
 <br/> 
 <br/> 
 
At Compass, our mission is to help everyone find their place in the world. This means we continually celebrate the diverse community different individuals cultivate. As an equal opportunity employer, we stay true to our mission by ensuring that our place can be anyone's place. Our entrepreneurship principles ( https://agents.compass.com/principles/ ) bind us together and inform how we tackle the tremendous challenges ahead.
 
 <br/> 
 <br/> 
 
About the Role
 
 <br/> 
 <br/> 
 
As an AI / Machine Learning Scientist at Compass, you will use your experience with state-of-the-art machine learning models and methods to improve every step of the real estate agent, buyer and seller experience at Compass. Leveraging the data-rich features of the real estate industry, you will build technology that analyzes listings and other relevant geospatial features, observes user behavior, ingests financial transaction data and builds models that predict the needs of Compass stakeholders at every step of their real estate journey.
 
 <br/> 
 <br/> 
 
 
 At Compass You Will: 
 <br/> 
 
 
 
Build, develop and scale our machine learning capabilities that powers data science and AI features
Be a domain expert on real estate technology and products and an empathetic partner to our customers
Operate in a scalable engineering culture that leverages modern principles of decoupled systems and automated CI/CD/testing/monitoring to drive efficiencies
 
 
 
 Minimum Qualifications: 
 <br/> 
 
 
 
Strong programming skills in one or more of the following: Python, Go, C++, and/or Java
Experience in one or more of the following areas: Search, RecSys, Natural Language Processing (NLP), Computer Vision (CV), Optimization, Time Series Forecasting and Data Mining.
Relevant work experience, including full time industry experience or as a researcher in a lab
Ability to design and execute research and experimentation agenda
 
 
 
 Preferred Qualifications: 
 <br/> 
 
 
 
PhD in Computer Science, related technical field or equivalent practical experience.
Contribution to research communities and/or efforts, including publishing papers at conferences and journals.
Machine Learning related degree or course certifications
 
 
At Compass, our mission is to help everyone find their place in the world. This means we continually celebrate the diverse community different individuals cultivate. As an equal opportunity employer, we stay true to our mission by ensuring that our place can be anyone's place.
 
 <br/> 
 <br/> 
 
Check out our Engineering blog ( https://medium.com/compass-true-north )!",https://www.indeed.com/rc/clk?jk=2b40e2fa9e0d1afc&fccid=90b343b030a5eabf&vjs=3
Moody's Analytics,"New York, NY",Machine Learning /NLP,,," 
 As a Machine Learning / NLP - Research Scientist / Engineer in the Machine Learning team, you will drive algorithmic improvements in Moody's Analytic’s core machine learning and AI-driven products, that have a transformative impact across multiple MA units by enabling new automation capabilities, and improving efficiency and performance across multiple business lines. You’ll leverage your expertise and experience to propose and lead initiatives in problems like supervised and unsupervised learning, classification, predictive modeling, risk modeling , sentiment analysis, relation extraction, text summarization, entity recognition, information retrieval, and natural language generation as well as designs for the next iterations of our product lines, using ML, deep learning, and NLP.<br/>
The Machine Learning / NLP- Research Scientist will be a core member of the Machine Learning team within the Moody's Analytics Accelerator (formerly known as the Emerging Business Unit ). The ML team is a highly visible team working across multiple business lines that is key to the Moody’s Analytics’ (MA) long-term growth strategy using AI and ML.<br/>
<br/>
Responsibilities<br/>

Do research on emerging machine learning, deep learning and NLP solutions applied to natural language (text) and unstructured data and be conversant with the latest developments in these fields.
Enable new capabilities in document understanding and knowledge extraction from text using state-of-art deep learning techniques and frameworks.
Deliver custom, highly scalable deep learning, and NLP solutions through prototyping, POC, and quantitative metrics.
Propose and develop new systems for evaluating model accuracy and building better-annotated training corpora by developing data collection and annotation processes.
Discuss, suggest, and brainstorm new advanced technology solutions with team members.
Explain complex models to non-experts, in layperson terminology to clients, stakeholders, and managers, while also being able to discuss intricacies of complex algorithms with experts in the field.
Prepare reports, presentations, for internal and external stakeholders, and as applicable, publish in conferences and peer-reviewed journals.
Qualifications
Ph.D. or MS in computer science, statistics, machine learning, or other quantitative fields.
5+ years of applied R&amp;D experience (as a PhD student, or post-doc) or professional experience (research staff in a university or industry) developing and deploying data and algorithm-driven software products.
Strong programming skills (8+ years of programming experience) in Python, Java, R, or Scala.
In-depth knowledge of NLP and machine learning libraries such as SpaCy, NLTK, Stanford NLP, Numpy, and Scikit-learn.
Experience with specialized NLP tasks such as sentiment analysis, relation extraction, summarization, entity recognition, document classification, and knowledge base generation.
Publications in top-tier venues in the field of Machine Learning, Deep Learning, NLP or Computational Linguistics.
Hands-on working experience with deep learning and Big Data frameworks such as TensorFlow, Keras, PyTorch, Caffe, Fast.ai, MXNet, Spark, or Hadoop.
Experience beyond using open source tools as-is, and writing custom code on top of, or in addition to, existing open source frameworks.
LOB/Department
Machine Learning – AI Team / Moody's Analytics Accelerator / Emerging Business Unit
Job Req ID16469BR
Entity
Moody's Analytics (MA)
Line of BusinessMA Accelerator (MAA)
Regular/Temporary
Regular
CityNew York
Job Category
Engineering &amp; Technology
Job Sub CategorySoftware Engineering
Experience Level
Experienced Hire
Working at Moody's
Moody's is an essential component of the global capital markets, providing credit ratings, research, tools and analysis that contribute to transparent and integrated financial markets. Moody's Corporation (NYSE: MCO) is the parent company of Moody's Investors Service, which provides credit ratings and research covering debt instruments and securities, and Moody's Analytics, which offers leading-edge software, advisory services and research for credit and economic analysis and financial risk management. The Corporation, which reported revenue of $4.4 billion in 2018, employs approximately 13,100 people worldwide and maintains a presence in 42 countries. Further information is available at www.moodys.com.
Entity
Moody’s Analytics provides financial intelligence and analytical tools supporting our clients’ growth, efficiency and risk management objectives. The combination of our unparalleled expertise in risk, expansive information resources, and innovative application of technology, helps today’s business leaders confidently navigate an evolving marketplace.
EEO Policy
Moody’s is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, gender, age, religion, national origin, citizen status, marital status, physical or mental disability, military or veteran status, sexual orientation, gender identity, gender expression, genetic information, or any other characteristic protected by law. Moody’s also provides reasonable accommodation to qualified individuals with disabilities in accordance with applicable laws. If you need to inquire about a reasonable accommodation, or need assistance with completing the application process, please email accommodations@moodys.com.. This contact information is for accommodation requests only, and cannot be used to inquire about the status of applications.<br/>
<br/>
For San Francisco positions, qualified applicants with criminal histories will be considered for employment consistent with the requirements of the San Francisco Fair Chance Ordinance. For New York City positions, qualified applicants with criminal histories will be considered for employment consistent with the requirements of the New York City Fair Chance Act. For all other applicants, qualified applicants with criminal histories will be considered for employment consistent with the requirements of applicable law.
<br/>
<br/>
Click here to view our full EEO policy statement. Click here for more information on your EEO rights under the law.
Securities Trading Policy (STP)
Candidates for Moody's Corporation may be asked to disclose securities holdings pursuant to Moody’s Policy for Securities Trading and the requirements of the position. Employment is contingent upon compliance with the Policy, including remediation of positions in those holdings as necessary.",https://www.indeed.com/rc/clk?jk=9dcd39f538426425&fccid=28eefc5b86560831&vjs=3
