company,location,title,post_date,salary,description,url
Bank of America,"New York, NY 10020",Consumer Behavior Modeler I ,1,," 
 Job Description:
The Team:
The importance and visibility of statistical modeling at Bank of America, while always large, is dramatically increasing. As such, the 100-person Consumer Behavior Modeling team has multiple newly opened positions. We are looking to hire excellent statisticians at all stages of their careers.The modeling team offers a compelling combination of professional opportunities. We work on some of the largest, most varied, and most important data in the world. The mathematical sophistication of our models ranges from direct and routine application of standard tools to advanced and even research-level approaches. Our scientific rigor is excellent. We write fully reproducible code and document our work with substantial formal scientific essays. We implement our models and track their performance with advanced multivariate SPC. We get the deepest satisfaction in seeing our models perform as we predicted. We continually train on the latest and most powerful tools.
We work across all products and across all the stages of the customer lifecycle. For example, our models:
Set credit limits for 12% of the country’s credit card debt
Evaluate the return on our hundred million dollar television advertising investment
Correct for the significant selection bias caused by having performance data on approved accounts only
Candidates who have deep skills in applied statistics and communicate with above-average effectiveness are cordially invited to apply.
Job Description:
Responsible for understanding, developing, and extending quantitative models and applications in support of risk, marketing, pricing, and operations.
Key Responsibilities:
Conduct all aspects of consumer behavior model development including problem formulation, stakeholder identification, model design, computer programming, data extraction, model estimation, model validation, model documentation, implementation, and monitoring.
Understand the deeper issues and independently structure problems.
Clearly communicate and champion options and tradeoffs with senior management.
Understand the core tradeoffs and biases in selecting a model development sample, and execute on data preparation by extracting and building datasets from complex data warehouses.
Design randomized experiments to gather data needed to build still better models.
Write efficient computer code using white space, comments, indentation, arrays, control blocks, and modularization.
Have a deep understanding of both classical and modern statistical methods and the ability to apply them in practice
Connect the use of the model with how it should be validated and monitored.
Produce high-quality written model documentation.
Design models that can be implemented given corporate constraints, and influence the development of even better platforms to support future models.
Manage work streams by breaking down complex projects into steps and communicating timelines to stakeholders.
Deliver high performing, fully functioning models.
Collaborate with multiple functional groups including risk strategy, model risk management, legal, compliance, and technology.
Required:
Advanced degree in statistics or related field, such as econometrics, engineering, applied mathematics, the applied sciences, or other heavily quantitative disciplines
Advanced programming skills
Deep expertise in modern statistical methods
Clear and concise oral and written communication
0 – 5 years directly relevant experience
Shift:
1st shift (United States of America)
Hours Per Week:
40",https://www.indeed.com/rc/clk?jk=81810a239b21a6c1&fccid=5bd99dfa21c8a490&vjs=3
,"New York, NY",PPNR Modeler ,30+,," 
  
 Your role
Are you great at aiding in design, building, implementing, and supporting quantitative models? Do find interest in forecasting key Pre-provision Net Revenue components for internal forecasting, capital stress testing and CCAR exercises? If so then you we are looking for you to:<br/>
Conduct econometric and statistical analysis of times seriesDesign quantitative models to forecast revenue for various businesses under different macroeconomic scenariosMaintain a clear documentation trail of approach and processMake sure consistency across models employed for forecasting and stress testingImprove model intelligence by liaising with internal and external resources
Your team
The Enhanced Prudential Standards program is charged with the responsibility to implement changes in the US organization to ensure compliance with the Federal Reserve requirements for the US operations of Foreign Banking organizations (the ""FBO Enhanced Prudential Standards""). This includes designing and implementing processes and tools to enable the UBS's US intermediate holding company to comply with the Comprehensive Capital Analyses and Review requirements (""CCAR"").<br/>
The PPNR Modeling Analyst will aid in the design, enhancement, and implementation of financial risk, valuation and forecast models, tools, and analytics.
Your expertise
You have:<br/>
– Bachelor's Degree in relevant subject area;<br/>
– Computer proficiency required in Excel, R, SAS; experience with Bloomberg, KMV is helpful; will learn numerous applications specific to the department;<br/>
–– Effective writing and oral presentation skills.
Your colleagues
About us
Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world.<br/>
<br/>
We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?
Join us
We're a truly global, collaborative and friendly group of people. Having a diverse, inclusive and respectful workplace is important to us. And we support your career development, internal mobility and work-life balance. If this sounds interesting, apply now.
Disclaimer / Policy Statements
UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce.",https://www.indeed.com/rc/clk?jk=7b7491ded9c95304&fccid=1c76c3a36f6c7557&vjs=3
UBS,"New York, NY",WMA Bank Modeler ,30+,," 
  
 Your role
Are you great at aiding in design, building, implementing, and supporting quantitative models? Do find interest in forecasting key Pre-provision Net Revenue components for internal forecasting, capital stress testing and CCAR exercises? If so then you we are looking for you to:<br/>
Conduct econometric and statistical analysis of times seriesDesign quantitative models to forecast revenue for various businesses under different macroeconomic scenariosMaintain a clear documentation trail of approach and processMake sure consistency across models employed for forecasting and stress testingImprove model intelligence by liaising with internal and external resources
Your team
The Enhanced Prudential Standards program is charged with the responsibility to implement changes in the US organization to ensure compliance with the Federal Reserve requirements for the US operations of Foreign Banking organizations (the ""FBO Enhanced Prudential Standards""). This includes designing and implementing processes and tools to enable the UBS's US intermediate holding company to comply with the Comprehensive Capital Analyses and Review requirements (""CCAR"").<br/>
The PPNR Modeling Analyst will aid in the design, enhancement, and implementation of financial risk, valuation and forecast models, tools, and analytics.
Your expertise
You have:<br/>
– Bachelor's Degree in relevant subject area;<br/>
– 4+ years working experience in corporate credit analysis<br/>
Experience in Financial services and CCAR is preferred but not required
– Computer proficiency required in Excel, R, SAS; experience with Bloomberg, KMV is helpful; will learn numerous applications specific to the department;<br/>
–– Effective writing and oral presentation skills.
Your colleagues
About us
Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world.<br/>
<br/>
We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?
Join us
We're a truly global, collaborative and friendly group of people. Having a diverse, inclusive and respectful workplace is important to us. And we support your career development, internal mobility and work-life balance. If this sounds interesting, apply now.
Disclaimer / Policy Statements
UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce.",https://www.indeed.com/rc/clk?jk=5250491e3c9fc836&fccid=1c76c3a36f6c7557&vjs=3
Fortress Investment Group LLC,"New York, NY 10019",Predictive Analytics Modeler ,9,," 
 About NewRez
With offices across the country, including our Philadelphia area headquarters, each of our 2,200 employees goes the extra mile to redefine the standard of excellence in the mortgage industry - all while keeping your best interests in mind. This is because we believe the lending business isn't about financial transactions. It's about people.<br/>
With offices across the country, including our Philadelphia area headquarters, each of our 2,200 employees goes the extra mile to redefine the standard of excellence in the mortgage industry - all while keeping your best interests in mind. This is because we believe the lending business isn't about financial transactions. It's about people.
NewRez LLC is a wholly-owned subsidiary of New Residential Investment Corp., a publicly traded residential mortgage REIT that is externally managed by an affiliate of Fortress Investment Group LLC.<br/>

About Fortress
Fortress Investment Group LLC is a leading, highly diversified global investment manager with approximately $39.2 billion of assets under management as of March 31, 2019. Founded in 1998, Fortress manages assets on behalf of over 1,750 institutional clients and private investors worldwide across a range of credit and real estate, private equity and permanent capital investment strategies. Investment performance is our cornerstone - we strive to generate strong risk adjusted returns for our investors over the long term. For additional information on Fortress, please visit www.fortress.com.<br/>

About The Position<br/>
The predictive analytics model developer will combine strong data analysis, quantitative finance, communication and collaborative skills to help build a high-performance retention analytics platform for mortgage loan portfolio management.<br/>

Responsibilities<br/>
Collaborate with a team of seasoned origination business intelligence experts and other senior origination, investment management and modelling personnel to create models for customer marketing and retention and pricing of mortgage assets
Perform exploratory data analysis and collateral surveillance to understand current retention management results, develop strategy, and identify patterns for new retention opportunities
Leverage large data analysis techniques to build models for customer outreach purposes
Analyze large nationwide mortgage data sets to identify lending trends and borrower performance metrics
Backtest, deliver and deploy models and model analytics to business users
Explain model analytics to business users and work with business to improve model capabilities
Qualifications<br/>
2-5 years of experience using Python, R, SQL, AWS to build econometric models
Advanced degree in a quantitative discipline such as financial engineering, math, science, quantitative economics.
Familiarity with U.S. housing market
Knowledge of customer retention modeling techniques
Familiarity with mortgage servicing rights, whole loans, and other consumer loan products
Familiarity with statistical regression techniques and predictive analytics methods
Excellent communication skills and ability to collaborate effectively with a team",https://www.indeed.com/rc/clk?jk=786c2f4493b13439&fccid=e49015e2ea56466f&vjs=3
Capital One - US,"New York, NY 10017",Principal Quantitative Modeler ,1,," 
 NYC 299 Park Avenue (22957), United States of America, New York, New York
 
 <br/> 
 <br/> 
 
At Capital One, we’re building a leading information-based technology company. Still founder-led by Chairman and Chief Executive Officer Richard Fairbank, Capital One is on a mission to help our customers succeed by bringing ingenuity, simplicity, and humanity to banking. We measure our efforts by the success our customers enjoy and the advocacy they exhibit. We are succeeding because they are succeeding.
 
 <br/> 
 <br/> 
 
Guided by our shared values, we thrive in an environment where collaboration and openness are valued. We believe that innovation is powered by perspective and that teamwork and respect for each other lead to superior results. We elevate each other and obsess about doing the right thing. Our associates serve with humility and a deep respect for their responsibility in helping our customers achieve their goals and realize their dreams. Together, we are on a quest to change banking for good.
 
 <br/> 
 <br/> 
 
Principal Quantitative Modeler
 
 <br/> 
 <br/> 
 
Capital One's Commercial Bank contains an approximately $100B (exposure) loan portfolio that has grown by virtue of several acquisitions. It is a Commercial Portfolio of C&I, CRE, Financial Institutions lending, and various other specialty lending. As one of its top initiatives, the bank is updating its suite of statistical loss forecasting models for a series of critical processes, such as CECL, Capital allocation, and Credit decisioning.
 
 <br/> 
 <br/> 
 
 
 Responsibilities and Skills: 
 <br/> 
 
Ownership of methodology development and parametrization of substantial components of Probability of Default, Loss Given Default, and Exposure at Default models in the wholesale portfolio risk suite , under the guidance of a senior manager
 
 <br/> 
 Understand technical issues in statistical modeling, including theoretical assumptions and methodology limitations, data pitfalls, model sensitivities, simulation approaches or scenario analyses for low-default portfolios, and applying these skills toward providing robust solutions to business problems
 
 <br/> 
 Communicate technical subject matter clearly and concisely in long-form writing of the model documentation and in short-form interactions in meetings with experts from various backgrounds, such as partner teams, senior management, model risk officers
 
 <br/> 
 Interface effectively with partner teams and business customers: understand the business needs, identify available data and its quality and governance, prepare analyses and draft materials for discussion of model component options and results, defend the theoretical robustness and practicality of the selected approach and outcome to oversight groups, support the implementation team, and conduct impact estimation
 
 <br/> 
 Identify opportunities to automate parts of model development and contribute to infrastructure, tool, or process improvement to enable efficiencies on the team
 
 <br/> 
 Balance several priorities at a time, for example contribute to re-calibration of one model while staying on top of business-as-usual processes such as annual reviews of model appropriateness, issue remediation, ad-hoc user questions, third party model audits, on another model, keeping their respective timelines in mind
 
 <br/> 
 Work on various ad hoc quantitative, modeling, and programming assignments using R or Python
 
 <br/> 
 <br/> 
 
 
 Basic Qualifications: 
 <br/> 
 
Bachelor’s Degree in Statistics, Econometrics, Mathematics, Financial Engineering, Operations Research, Engineering, Finance, Business, Technology or Physics
 
 <br/> 
 4 years’ experience in statistical or econometric modeling
 
 <br/> 
 <br/> 
 
 
 Preferred Qualifications: 
 <br/> 
 
Master’s Degree. in Financial Engineering, Statistics, Econometrics, Mathematics, Operations Research, or Physics
 
 <br/> 
 2-4 years of credit risk modeling experience for commercial bank, or portfolio risk modeling at an investment firm
 
 <br/> 
 Experience in underwriting, deal structuring, credit analysis, or investment portfolio management would be a plus
 
 <br/> 
 Professional qualifications (CFA, FRM, etc) would be a plus
 
 <br/> 
 <br/> 
 
Capital One will consider sponsoring a new qualified applicant for employment authorization for this position.",https://www.indeed.com/rc/clk?jk=d5d664212145f472&fccid=b85c5070c3d3d8c8&vjs=3
Credit Suisse,"New York, NY 10022",Quantitative Strategies Equity Derivatives Modeler ( ,30+,," 
 Quantitative Strategies Equity Derivatives Modeler (#133124)
United States-NY-New York | Full-time (FT) | Corporate Functions | Job ID 133124
Credit Suisse is a leading global wealth manager with strong investment banking capabilities. Headquartered in Zurich, Switzerland, we have a global reach with operations in about 50 countries and employ more than 45,000 people from over 150 different nations. Embodying entrepreneurial spirit, Credit Suisse delivers holistic financial solutions to our clients, including innovative products and specially tailored advice. Striving for quality and excellence in our work, we recognize and reward extraordinary performance among our employees, provide wide-ranging training and development opportunities, and benefit from a diverse range of perspectives to create value for our clients, shareholders and communities. We are Credit Suisse.
We Offer

Area Overview<br/>

The Quantitative Strategies Group at Credit Suisse is a modeling, analytics and trading risk group, whose mandate is to work as an integrated part of the trading team to develop and deliver: pricing models; risk analytics; trading tools for risk management, hedging, and relative value; management tools and techniques to optimize trading decisions across Global Markets portfolio risks and capital. The group is organized along business divisions and sits with the trading groups. The Quantitative Strategies Group reports to the Chief Risk officer.<br/>
<br/>
Responsibilities<br/>

The Quantitative Strategies group is looking for a modeler to work within the Equity Derivatives (EqD) team. The role will focus on model development and quantitative support for the Equity Derivatives business.<br/>

Credit Suisse maintains a Working Flexibility Policy, subject to the terms as set forth in the Credit Suisse United States Employment Handbook.
You Offer

Qualifications:
Advanced technical degree (Mathematics, Physics, Engineering, Computing, etc.) required.
You have strong quantitative and statistical modelling skills.
Strong C/C++ programming skills and standard Python knowledge desired. F# knowledge is a plus.
Exposure to and deep knowledge of financial and derivatives markets and Equities in particular desired.
You have the ability to work both independently and as part of a team.
You have excellent written and verbal communication and presentation skills.<br/>
Credit Suisse is an equal opportunity employer. Welcoming diversity gives us a competitive advantage in the global marketplace and drives our success. Credit Suisse complies with applicable federal, state, and local laws prohibiting discrimination in employment in every jurisdiction in which it maintains facilities. Subject to applicable law and regulatory requirements, Credit Suisse complies with state and local laws regarding considering for employment qualified individuals with criminal histories.",https://www.indeed.com/rc/clk?jk=8cfa1f0556473056&fccid=e127f4594cdf24f4&vjs=3
Morgan Stanley,"New York, NY",Mortgage Prepayment Modeling Strategist/Modeler ,14,," 
 Morgan Stanley Wealth Management Strategists and Modeling group is seeking an AVP level mortgage modeler for our mortgage model development team. The position covers conforming and non-conforming mortgage prepayment and default modeling, interest rate modeling and implementation. Desk Strategists (Strats) support revenue-generating activities and reside within our Wealth Management businesses, covering a wide range of financial products including bank deposits, mortgage lending, retail and margin lending, and investments. We have an opening for a qualified individual to join our fast paced work environment.New team member will collaborate with the banking business on pricing strategies, new product offerings and risk analysis. Strats will be responsible for the creation of product risk and valuation models, as well as on-demand tools to better identify market opportunities.Responsibilities include: •Determine requirements and create valuation and risk management models that feed the Firm’s books and records for the bank’s holdings.•Monitor and analyze the effectiveness of current valuation and risk models, and make enhancements as needed.•Develop and apply analytics using advanced mathematical, statistical, quantitative, or econometric techniques.•Collaborate with portfolio managers to analyze and advise on managing the risk of positions currently on the bank’s balance sheet as well as future growth.•Ensure compliance with regulatory requirements such as CCAR.
 
 <br/> 
 Skills required: 
  •Ph.D. degree in Statistics, Economics, Finance, Data Science, Mathematics, Physics, Engineering or other quantitative/computational field.•Strong hands-on technology skills are a core requirement (e.g., statistical packages such as SAS and R, and/or Python and C++ programming). •Experience with handling large datasets and performing data analytics.•Effective communication & collaboration skills are required.",https://www.indeed.com/rc/clk?jk=6f9aba0129fcbd20&fccid=0c39fb2c91742dcf&vjs=3
JP Morgan Chase,"New York, NY 10179",CIB ,6,," 
  
 Global Index Research Group (New York) – Analyst / Associate:<br/>

Description of the role
J.P. Morgan’s Global Index Research Group is expanding and is seeking to hire additional index product specialists, modelers, quantitative thinkers, problem solvers and index analysts across various levels (Analysts-to-EDs). We are looking for candidates interested in being part of our exciting new growth phase in Fixed Income Index Products. As the broader Index industry goes through substantial change, we are working to make J.P. Morgan the number one provider of these products and a first call for clients. Individuals with prior experience in the Index space preferably with a track record in fixed income index modeling, index management, analytical reasoning, and regularly delivering under tight deadlines are encouraged to apply. You will be part of a new business growth initiative with opportunities to: cultivate expertise in fixed income asset class; sharpen modeling skills; develop product management expertise; and contribute to market leading index creation and development.<br/>

This front-office role involves a firm understanding of bond analytics and index construction, as well as liaising with various internal teams. We are a dynamic, diverse team of professionals with a fantastic entrepreneurial culture, where opportunities include: being a part of new business initiatives; developing expertise in index management; creating and discussing models; interacting with stakeholders/clients (internal and external) on models, analytics, and index management. The role requires the individual to demonstrate a clear blend of skills from quantitative, analytical and programming to communication, problem solving, and teamwork. These skills must be blended together with a high level of attention to detail to ensure precise, accurate and timely delivery. This role demands a firm understanding of fixed income analytics, bond math and index construction, as well as liaising with various internal teams. Experience with portfolio construction or fixed income strategy type roles is a plus.<br/>

Global Index Research Group profile
J.P. Morgan’s Global Index Research is a central hub for fixed income indices within the Corporate and Investment bank, and is part of the Global Research organization. The group is a leading provider of indices across fixed income with a market leading presence in Emerging Market (EM) and Developed Market (DM) Indices, accounting for over 95% of the market with over $800 billion in assets tracking the various EM index products. The Global Index Research analysts are viewed as thought leaders in the Indexing lifecycle (from idea generation to launch) and liaise with clients in all stages of their investment cycle.<br/>
Overall, the index group is responsible for creating, managing and marketing J.P. Morgan proprietary indices and commercialization of research data for beta-access products (ETFs, custom indices, etc.). The group is also involved in collaborative research efforts with other J.P. Morgan research groups in producing thematic publications and marketing efforts around the underlying asset class (Emerging Markets, Global treasury markets, Corporates etc.). Our clients are some of the world’s largest asset managers, insurance and pension firms as well as sovereign wealth funds. The team has presence globally in New York, London and Mumbai.<br/>

Responsibilities of the candidate:<br/>

The team manages thousands of indices that cover global markets primarily in the fixed income space. Although the day-to-day operations are managed by a separate operations group (Calculation agent), this role requires oversight and involvement in operational aspect in order to maintain product integrity.
This role requires deep understanding of the product (rules, bonds, market structure, macroeconomics etc.) and oversight of the product to maintain product dependability and applicability.
The candidate would work with both internal and external clients to educate them on structural and tactical changes in the index products and the associated implications for the relevant markets resulting from these changes.
Building strong relationships with clients and our partners in Research, QR, Data Science, and Technology
This role would also involve data analysis, problem solving, scenario analysis, feasibility studies as well as front office responsibilities interfacing with clients.
Managing multiple high profile deliveries simultaneously through effective project management, supporting the plan and execution, collaborating with internal/external subject matter experts and product owners,<br/>

Qualifications
Minimum education and requirements: Bachelor's degree or equivalent in Finance, Mathematics, or related field (STEM).
Quantitative-finance or finance-technology related work experience is a must.
Strong quantitative problem solving skills and experience with application of numerical techniques to modelling. Programming skills in R or Python (or similar) is a plus.
Superb organizational skills, decisive priority management, strong teamwork ethic, ability to think locally &amp; execute globally with high social awareness.
Strong communication skills (both written and verbal). Experience interfacing with clients is a plus
Understanding of fixed income concepts, bond math, financial products, analytics, and an awareness of market events is a must
Knowledge and experience in statistical modeling, time series, stochastic calculus, probability theory and numerical methods is a plus
Data Science, Data management and Data visualization tools and techniques – a strong plus<br/>

The candidate will need to demonstrate a blend of technical and analytical skills with an equally placed importance place on communication and presentation. The candidate will be working on a daily basis with other team members in other regions, as well as clients located globally.<br/>
JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran.",https://www.indeed.com/rc/clk?jk=be36ea48ab7328c8&fccid=c46d0116f6e69eae&vjs=3
JP Morgan Chase,"New York, NY 10001",CCB ,30+,," 
 JPMorgan Chase &amp; Co. (NYSE: JPM) is a leading global financial services firm with assets of $2.6 trillion and operations worldwide. The firm is a leader in investment banking, financial services for consumers and small business, commercial banking, financial transaction processing, and asset management. A component of the Dow Jones Industrial Average, JPMorgan Chase &amp; Co. serves millions of consumers in the United States and many of the world’s most prominent corporate, institutional and government clients under its J.P. Morgan and Chase brands. Information about JPMorgan Chase &amp; Co. is available at www.jpmorganchase.com<br/>
Chase Consumer &amp; Community Banking (CCB) serves nearly 66 million consumers and 4 million small businesses with a broad range of financial services through our 137,000 employees. The Consumer &amp; Community Banking Business Modeling Center of Excellence is a newly formed unit in support of modeling needs for marketing, finance and operations. Our modelers work directly with each line of business, Consumer Banking, Business Banking, Auto Finance, Credit Card and Commerce Services, Chase Wealth Management and Home Lending, to build state-of-the-art models and tools to support business growth.<br/>
<br/>
We are an intellectually diverse team of economists, statisticians, engineers, and other analytics professionals, focused on quantitative modeling within CCB at JPMorgan Chase &amp; Co. The team answers complex and unique questions, utilizing cutting edge quantitative and computational techniques and leveraging one of the world’s largest repositories of consumer data. We work closely with our partners throughout JPMorgan Chase to assess and execute critical business decisions.
The position is located at either New York, NY or Columbus, OH<br/>
Responsibilities:
Apply critical thinking skills and perform advanced analytics with the goal of solving complex and multi-faceted business problems.
Generate deep insights through the analysis of data and understanding of business processes and turn them into actionable recommendations.
Perform advanced quantitative and statistical analysis of large datasets to identify trends, patterns, and correlations that can be used to improve business performance.
Know what type of algorithm to use and how to implement them
Build and deploy prototype solutions to demonstrate ideas and prove concepts.
Develop presentations to summarize and communicate key messages to senior management sponsors and colleagues.
Become a subject matter expert and trusted advisor in the analytics discipline.
Collaborate with others in the organization to develop new ideas and brainstorm potential solutions.
Actively contribute to the continuous learning mindset of the organization by bringing in new ideas and perspectives that stretch the thinking of the group
Qualifications:
Deep quantitative/programming background with a graduate degree (M.S., Ph.D.) in Statistics, Engineering, Computer Science, Mathematics, Operations Research, or Economics,
3+ years of related experience preferred
Hands-on experience with Machine Learning and Artificial Intelligence
Ability to write code and develop production-ready analytical applications
Significant experience working with very large scale (structured and unstructured) data
Expertise in at least one of the following: Python, R
Excellent written and oral communication skills to clearly present analytical findings and business recommendations. Highly motivated, productive, and teamwork oriented.
Good project management skills (clear goal setting, well-organized, detailed planning, and ability for tight-timeline deliverables).
Desired characteristics
Able to translate ambiguous business problems into a conceptual mathematical framework
Passionate about continuous learning and professional development
Deeply curious; creative and imaginative
Ability to influence and become a trusted advisor
Ability to convey complex concepts to non-technical audiences
Effective communication and presentation skills
Can work both independently and collaboratively",https://www.indeed.com/rc/clk?jk=f42d2cc4395b2b3e&fccid=c46d0116f6e69eae&vjs=3
"Media Storm, LLC","New York, NY 10013",Advanced Analytics Data Modeler ,30+,," 
 JubaPlus (a division of Media Storm/Water Cooler Group) New York, NY (SOHO)
Advanced Analytics Data Modeler Position Summary:
The Advanced Analytics Data Modeler will leverage technology and advanced analytical methods to develop applications, analyze, evaluate and discover new insights hidden in vast amounts of data, and help us make smarter decisions to deliver even better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building automating data collecting and reporting system integrated with our products.
Responsibilities:
The Advanced Analytics Data Modeler is responsible for statistical modeling and data mining on both structured and unstructured data to extract insights in a timely manner
Work with Market Analysts to refine the methodology, data collection and modelling
The Advanced Data Modeler will investigate and evaluate new datasets
Design and build robust and scalable solutions for structured and unstructured data conducive for business insights, reporting and analytics
The Advanced Data Modeler will use business intelligence tools and applications to deliver research findings to market teams
Develop software and websites to deliberate our analytic products
Requirements:
Hold an advanced degree in a quantitative, Computer Science or engineering discipline
1-3 years of relevant hands-on work experience
Demonstrated ability to conduct independent research utilizing large data sets
Solid understanding of data structures and databases in structured &amp; unstructured environments
Extensive knowledge with machine learning, statistical models and data mining tools.
Strong programming skills in Python or R preferred
Software and web application development experience preferred: Angular, PHP, Java, JavaScript
About Us:
JubaPlus provides Advanced Data and Analytics tools for data mining and predictive modeling to identify demand opportunities and create precise micro-segments. Based on these targets, JubaPlus optimizes the media channel mix and marketing budgets for the greatest efficiency. Currently JubaPlus augments efforts for WEtv, Sundance, Big Lots, AMC and WGN America.
Media Storm has deep roots in the entertainment industry, having helped 60 + network, cable and theatrical companies achieve unprecedented ratings, box office and brand awareness successes throughout our 15-year history. As entertainment media specialists we understand the environmental and cultural factors that drive awareness, develop preference and create action and apply the expertise to help iconic brands in hospitality, tourism, packaged goods, beverage, fashion retail, healthcare and the non-profit sector exceed sales, bookings and awareness goals every day.",https://www.indeed.com/rc/clk?jk=a0409d96486187ab&fccid=e0ccb12bb145acf5&vjs=3
