company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
"SIG SAUER, Inc.","Newington, NH, US",Business Analyst,2019-08-01,The tremendous growth of SIG SAUER has fueled outstanding opportunities for experienced professionals to join our team. 0-3 years of ...,https://www.linkedin.com/jobs/view/business-analyst-at-sig-sauer-inc-1405786414?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"SIG SAUER, Inc.Newington, NH, US 
",Associate,Full-time,"Business Development, Sales","Electrical/Electronic Manufacturing, Machinery, Mechanical or Industrial Engineering"
New Age Technologies,"Louisville, Kentucky Area",Business Analyst,2019-07-25,"Proven knowledge and experience with computer systems, applications, development, and testing methodologies as they relate to the ...",https://www.linkedin.com/jobs/view/business-analyst-at-new-age-technologies-1393718429?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"New Age TechnologiesLouisville, Kentucky Area 
    
This is a direct hire for A Business Analyst in Louisville, KY  
No Corp to Corp, H1B Visa, or Sponsorship provided:  
The ETO Business Analyst will work directly with business leads and project managers in support of Process Improvement/Enterprise Transformation efforts.The duties include Business Requirements Gathering, Process Mapping/Flow Diagrams, Project Documentation, Project Status Reporting, Assisting with Test Strategy and Testing execution, Meeting Facilitation, Assisting with Training as needed, Operational Readiness planning, change management, system implementation, and Project Communications.  
   
RESPONSIBILITIES:  
KNOWLEDGE & SKILLS REQUIRED:  
·         Microsoft Office Suite (Word, Excel, PowerPoint)  
·         Microsoft Visio  
·         Experience writing business requirements  
·         Experience testing systems  
·         Excellent Oral and Written Communication Skills  
  
   
·         2 years healthcare experience required  
·         2 years prior Project related experience required  
·         Revenue Cycle project/operational experience  
·         Lean Six Sigma Training  
·         Project Management Training  
   
  
We also have  a long term contract BA:  
No Corp to Corp, H1 B Visa or Sponsonship provided.  
  
Responsible for collecting, documenting, analyzing, verifying and communicating requirements for approved I/S projects to senior, consultant staff, manager, and project team members. May serve as Project Manager for projects that require up to 1040 hours of effort. Qualifications: Education: Bachelor's degree in related field or other equivalent degree or certification preferred. Licenses/Certification: Business Analyst or Project Management Professional certification preferred. Experience: • Minimum 4 years experience required in a clinical or financial setting, preferably in the Health Care industry. • Minimum 2 years experience in the following: project management, analysis, and Quality Assurance. • Preferred knowledge in implementation and systems installation. Essential Functions: • Researches and reviews of the projects’ scope in order to understand why the project has been initiated. • Demonstrates a high level of working knowledge with IS methodologies and processes (i.e. Project Life Cycle, System Development Life Cycle and IS Change Management process). • Gathers detailed requirements that completely define the project. • Documents and updates requirements; prepares and distributes RFPs and evaluates responses. • Creates high-level models and user prototype interfaces to identify and validate business processes and solutions when appropriate. • Communicates requirements with minimal direction and guidance. Acts as the liaison between the business experts and the project team members. • Facilitates business/functional requirement review, approval, and sign-off sessions. • Successfully justifies recommendations and results with estimated/actual costs and benefits. • Prepares and delivers effective presentations to upper management. • Identifies solutions to the development and technical team based on approved business and functional requirements. • Participates in technical requirements and design sessions. • Conducts and directs end-user testing responsibilities and tasks with minimal guidance from consultant staff, manager or project managers. • Verifies the technical solution meets the business requirements. • Responsible for maintaining the group Utility Desk as assigned by consultant staff and/or manager. • Administers communication activities with end-user training for system implementation. Knowledge/Skills/Abilities: • Proven knowledge and experience with computer systems, applications, development, and testing methodologies as they relate to the business areas being supported. • Successfully leads project teams with medium to large business initiatives. • Proven working knowledge of industry standard methodologies and best practices (i.e. Project Life Cycle and System Development Life Cycle). • Superior business knowledge of area being supported. • Highly skilled in incorporating successful interviewing, facilitation, and documentation techniques within a project. • Excellent facilitation skills with bringing multiple groups together to agree on project scope and build consensus. • High-level of knowledge, experience and success with writing and reviewing test cases. • Able to work independently with minimal direction and guidance from project lead, consultant staff and manager.  
  
",Mid-Senior level,Full-time,Information Technology,Information Technology and Services
The Bachrach Group,Greater New York City Area,Business Analyst,2019-07-19,Previous project management experience (at least 5+ person teams) in a tier 1 financial institutions. Experience with large-scale change ...,https://www.linkedin.com/jobs/view/business-analyst-at-the-bachrach-group-1341406213?position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"The Bachrach GroupGreater New York City Area 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
NYC   Long Term consulting    
  
No Third Parties  
  
Business Analyst LIBOR  
 Technical knowledge:   
   
Team Structure This role is a client facing.  You will be engaged as a BA/PM hybrid in the Global Banking workstream of the LIBOR Transition programs. You will be responsible for engaging stakeholders within the Global Banking business line and will report into a cross Lines of Business program manager 
",Mid-Senior level,Contract,"Analyst, Finance","Banking, Financial Services"
"The Green Technology Group, LLC","Lakewood, Colorado, United States",Business Analyst,2019-07-10,"As a TGTG employee, the Business Analyst will provide advisory and assistance support to the United States Bureau of Reclamations, Office...",https://www.linkedin.com/jobs/view/business-analyst-at-the-green-technology-group-llc-1367021379?position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"The Green Technology Group, LLCLakewood, Colorado, United States 
 
",Not Applicable,Full-time,NA,NA
Verizon,"Piscataway, NJ, US",Business Analyst,2019-07-28,"What We’re Looking For... Even Better If You Have. You’ve got excellent negotiation skills, and can work effectively with a variety of ...",https://www.linkedin.com/jobs/view/business-analyst-at-verizon-1399942211?position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"VerizonPiscataway, NJ, US 
",Director,Full-time,"Business Development, Sales","Telecommunications, Information Technology and Services, Computer & Network Security"
Engage Partners Inc.,"New York, New York",Business Analyst,2019-07-10,"   3-5 years of experience leveraging knowledge areas, competencies, and techniques described in the IIBA Business Analysis Body of ...",https://www.linkedin.com/jobs/view/business-analyst-at-engage-partners-inc-1367043250?position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Engage Partners Inc.New York, New York 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Business Analyst  
   
Summary:  
Under the supervision of the Manager of Business  Analysis, the Business Analyst II   
discovers, synthesizes, and analyzes information to  elicit business needs, document requirements, devise strategies and solutions,  and implement changes with the goal of improving business outcomes.   
   
Essential Duties and  Responsibilities:   
•       Collaborate with  enterprise stakeholders and end users to identify, understand and document  business and technical processes and requirements;   
•       Analyze and  prioritize current processes;  
•       Conduct gap  analyses;  
•       Develop business  cases, functional and non-functional requirements, feasibility studies and scope  solutions for new business processes and technical applications;   
•       Assess proposed  solutions to determine which fit the business need, identify gaps and  shortcomings in solutions and determine necessary workarounds and/or changes to  the solutions proposed;  
•       Create project  plans, manage scope, schedule and costs for the projects;  
•       Support  stakeholder use of existing technology solutions   
•       Coordinate with  the vendors and other partners to successfully deliver projects;   
•       Create test  plans, develop test cases, conduct and coordinate business acceptance and  regression testing;  
•       Assist in the  development of training materials and policy and procedure manuals;   
•       Perform tasks  after hours, on weekends, and as required by management/supervisory staff.    
   
Qualifications:  To perform this job  successfully, an individual must be able to perform each essential duty  satisfactorily.  The requirements listed below are representative of the  knowledge, skill, and/or ability required.    
•       3-5 years of solid and diverse work experience in IT, Healthcare and/or pension;   
•       Strong knowledge  of healthcare business processes is preferred;  
•       3-5 years  of experience leveraging knowledge areas, competencies, and techniques described  in the IIBA Business Analysis Body of Knowledge, BABOK.   
•       Experience with  Business Acceptance test  planning, test case development and test execution;   
•       Experience  working within project management practices described in the PMI Project  Management Body of Knowledge, PMBOK.   
•       Experience with  data analysis  
•       Excellent MS  office skills including Excel, Visio, PowerPoint and MS Project;   
   
Core Skills:   
•       Detail oriented  with excellent organization, analytical thinking, communication, and problem  solving skills;  
•       Ability to plan  and take initiatives to accomplish objectives in timely fashion;   
•       Understands the  Funds’ business environment;  
•       Ability to  prioritize work and meet deadlines;  
•       Ability to  establish and maintain effective working relationships with project team  members, supervisors, and employees from other departments.  
   
   
Education and/or Experience: Bachelor’s  degree in Computer Science, or a related discipline.  
  
Certificates, Licenses, Registrations:   Certification in Business Analysis Preferred  
  
",Mid-Senior level,Full-time,Information Technology,Hospital & Health Care
Daugherty Business Solutions,Greater St. Louis Area,Business Analyst,2019-07-19,"Ideal candidates for these positions have a strong desire to be effective leaders, want the opportunity to work across several key ...",https://www.linkedin.com/jobs/view/business-analyst-at-daugherty-business-solutions-1381753655?position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Daugherty Business SolutionsGreater St. Louis Area 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
No two client projects are the same. With every project comes the unique opportunity to problem solve and showcase your skills.  
  
Team Daugherty is looking to grow the Business Alignment practice in St. Louis. Potential roles may include: Business Analyst, Business Architect, Product Owner or User Interface Designer.  Ideal candidates for these positions have a strong desire to be effective leaders, want the opportunity to work across several key functional and technical areas, and want to work in all areas of management consulting, giving a greater opportunity to tackle complex challenges.  
  
Now, imagine yourself:  
  
Interest in joining our crew? Here are a few things that we look for:  
  
We offer members of Team Daugherty:  
 At Daugherty Business Solutions, we believe that a fusion of insight, talent, and technology makes companies run better. When you are a Daugherty employee, your job does not end when your contract is up. You stay on as an indispensable member of the team with career growth opportunities tailored to your interests and talents. Apply now and find out why working here satisfies the smart, the talented, and the curious. 
",Mid-Senior level,Full-time,"Information Technology, Consulting, Engineering","Information Technology and Services, Computer Software, Management Consulting"
Winsor Group,"Farmingdale, NY, US",Business Analyst,2019-07-24,"Winsor Consult Group is looking for an enthusiastic, skilled Business Analyst to become an integral part of our reporting team in ...",https://www.linkedin.com/jobs/view/business-analyst-at-winsor-group-1391246173?position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Winsor GroupFarmingdale, NY, US 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
",Associate,Full-time,"Business Development, Sales","Construction, Government Administration, Financial Services"
Baxter International Inc.,"Deerfield, IL, US",Business Analyst,2019-07-27,"We’re looking for team members who are motivated to learn, grow and innovate, while making a meaningful difference for millions of ...",https://www.linkedin.com/jobs/view/business-analyst-at-baxter-international-inc-1383695782?position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Baxter International Inc.Deerfield, IL, US 
",Associate,Full-time,"Business Development, Sales","Electrical/Electronic Manufacturing, Construction, Pharmaceuticals"
Cypress HCM,"New York, New York",Business Analyst,2019-08-02,"The Collaboration Business Analyst role is responsible for defining, analyzing, and documenting requirements, quality assurance testing, ...",https://www.linkedin.com/jobs/view/business-analyst-at-cypress-hcm-1368700846?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Cypress HCMNew York, New York 
Business Analyst, Collaboration  
   
The Collaboration Business Analyst role is responsible for defining, analyzing, and documenting requirements, quality assurance testing, and change management processes. This role will be responsible for leading the implementation and support of our Tech products, with a focus on collaboration platforms (Office 365, Zoom, Slack) and associated file migrations to cloud solutions.  
   
Responsibilities:  
   
Requirements:    
",Mid-Senior level,Contract,"Information Technology, Analyst","Online Media, Information Technology and Services, Entertainment"
