company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
"TSR Consulting Services, Inc",Greater St. Louis Area,Business Intelligence Analyst,2019-07-31,"Experience identifying and analyzing technology performance measures, KPIs and metrics, developing and maintaining balanced scorecards ...",https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-tsr-consulting-services-inc-1404526686?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"TSR Consulting Services, IncGreater St. Louis Area 
 
  
",Associate,Contract,Accounting/Auditing,"Banking, Financial Services"
VincentBenjamin,"Phoenix, Arizona Area",Business Intelligence System Analyst,2019-07-31,Our client in Scottsdale is currently looking for a BI Analyst! Understanding of data warehousing concepts and some experience with data ...,https://www.linkedin.com/jobs/view/business-intelligence-system-analyst-at-vincentbenjamin-1393454057?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"VincentBenjaminPhoenix, Arizona Area 
Our client in Scottsdale is currently looking for a BI Analyst!  
Responsibilities  
Competencies  
Required Education and Experience  
Preferred Education and Experience  
",Mid-Senior level,Contract,Information Technology,Information Technology and Services
Jobs @ TheJobNetwork,"San Ramon, CA, US",Head of Retail Business Intelligence & Network Strategy,2019-08-04,"Typically has broader practical experience across multiple professional disciplines within the organization, combining theory, past ...",https://www.linkedin.com/jobs/view/head-of-retail-business-intelligence-network-strategy-at-jobs-%40-thejobnetwork-1398737731?position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Jobs @ TheJobNetworkSan Ramon, CA, US 
",Director,Full-time,"Sales, Business Development",Information Technology and Services
Access Holdings,"Baltimore, Maryland",Corporate Development and Business Intelligence Associate,2019-08-02,Access Holdings is seeking an outstanding candidate to work directly with the Chief Operating Officer (COO) at one of our portfolio ...,https://www.linkedin.com/jobs/view/corporate-development-and-business-intelligence-associate-at-access-holdings-1407689069?position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Access HoldingsBaltimore, Maryland 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
 
Access Holdings Overview 
 
Access Holdings is a private investment firm which manages over $450 million of equity capital across several platforms. We proactively target essential service industries that benefit from favorable regulatory and demographic trends. We seek to create value over time through active management oversight and support of our portfolio team partners. 
 
Our investment criteria include: 
  
Position Description 
Access Holdings is seeking an outstanding candidate to work directly with the Chief Operating Officer (COO) at one of our portfolio companies. The Corporate Development and Business Intelligence Associate will be responsible for supporting the M&A activity for the enterprise, organizational analytics, ownership and effective utilization of delivery optimization tools, modeling and measuring the organization’s execution of synergies related to committed value creation with respect to service delivery, facilities, overhead, technology and processes.  
 
The role is accountable for creating, reporting, and facilitating the execution of solutions that deliver measured ROI enterprise-wide in functions of route optimization, service delivery, total labor management and product inventory management and distribution. The role supports key functions and executives in gathering information and reporting aligned to the performance scorecard and other key performance indicators as needed. While the role will report directly to the COO and will provide business intelligence support across the organization, the role will work closely with managing partners, principles, and associates at the PE firm, and should expect to receive direction from the COO, CFO and Head of M&A regularly.       
  
 
Education, Work Experience Requirements and/or Competencies:  
  
The position will be based in Baltimore, Maryland. 
 
Contact 
 
Please apply through LinkedIn or email your resume and cover letter to Recruiting@accessholdings.com. If emailing, please ensure to the Subject Line states ""Corporate Development and Business Intelligence Associate"" 
",Associate,Full-time,"Business Development, Finance, Analyst","Venture Capital & Private Equity, Consumer Services"
GreenSky®,"Atlanta, GA, US",Director of Business Planning & Corporate Intelligence,2019-08-03,"The ideal candidate must have significant (7-9 years) of FP&A, auditing, consulting and or consumer credit management experience. Problem...",https://www.linkedin.com/jobs/view/director-of-business-planning-corporate-intelligence-at-greensky%C2%AE-1410657883?position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"GreenSky®Atlanta, GA, US 
",Not Applicable,Temporary,"Business Development, Sales","Financial Services, Information Technology and Services"
FirstKey Homes,"Marietta, Georgia",Business Intelligence Manager,2019-08-02,Minimum 3 years’ experience leading a team of developers to achieve organizational goals. Experience using SQL and related services in ...,https://www.linkedin.com/jobs/view/business-intelligence-manager-at-firstkey-homes-1396788133?position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"FirstKey HomesMarietta, Georgia 
 
SUMMARY OF RESPONSIBILITIESThe Business Intelligence Manager will serve as a thought leader for conceptualizing and operationalizing business intelligence initiatives. This role will consult with business leaders to understand their line of business and provide solutions with their data and reporting needs. S/he will help departments with sourcing, aggregating, accessing and interpreting datato increase the effectiveness of decision making during a time of rapid organizational growth. Additionally, the Business Intelligence Manager will lead a small team of direct reports, resolve escalated issues and lead process improvement projects.  
ESSENTIAL DUTIES● Serve as a primary thought leader for all business intelligence initiatives. Assist in conceptualizing and definingstrategies as well as leading and coordinating efforts to operationalize concepts throughout the business.● Assess the current state of reporting, analytics and business intelligence in the assigned business area.● Collaborate with key stakeholders to understand gaps and areas of opportunity to establish models, data sets,marts, and the related reports, dashboards, and/or models.● Partner with departmental owners of business analytics and/or data to drive data and business intelligenceprovisioning towards a self-service model of consumption.● Build strong relationships with business leaders across the organization to understand overall reporting needs andlearn different lines of business. Assess departmental needs and consult on business intelligence data.● Partner with data architecture team and ensure that all data reporting aligns with established data architectureprocesses and standards.● Document, model and communicate data structures to the architecture team and other data resources.● Serve as subject matter expert for departmental reporting and dashboard creation.● Understand all departmental data contained within any data marts and source systems. Leverage data forreporting purposes and create new data marts, sets or cubes when necessary.● Regularly compile data, analyze data sets and visualize data to produce concise and actionable analytical reportsfor business leaders and stakeholders.● Perform ad-hoc analysis to find solutions for business inquiries.● Teach business leaders how to pull, analyze and interpret data. Instruct how to create dashboards to enable longterm self-service capabilities.● Lead efforts to resolve escalated issues by partnering and managing relationships with internal stakeholders andexternal agencies.● Analyze existing SQL server processes to identify gaps, opportunities and strengths. Identify and recommendsolutions for business intelligence capabilities to enhance FirstKey Homes data systems.● Establish processes to audit business intelligence solutions to ensure data integrity. Identify and introduce newindustry standards and techniques to enhance data integrity.● Train, develop and manage a team of business intelligence team members to achieve organizational goals. Coachand mentor direct reports to enhance skillsets and departmental capabilities.● This brief summary is not an all-inclusive description of job duties. Other job duties and responsibilities may alsobe assigned by the incumbent’s manager at any time based upon Company need.  
  
REQUIRED EDUCATION AND EXPERIENCE● Bachelor’s degree in Information Technology, Computer Science or equivalent work experience and/or education● Minimum 3 years’ experience leading a team of developers to achieve organizational goals.● Minimum 8 years’ experience supporting business intelligence initiatives● Minimum 10 years’ experience working in an information technology role● High proficiency with Microsoft Business Intelligence Stack (SQL Server, SSIS, SSAS, SSRS, PowerBI)● Experience with developing and maintaining data warehouses from multiple systems.● Demonstrated ability to document, maintain and reinforce departmental processes.● Proven ability to interface with business leaders to strategize and execute business intelligence solutionsPREFERRED EDUCATION AND EXPERIENCE● Experience using SQL and related services in the Azure cloud a plus● Experience mentoring and coaching team members● Experience working in property management, real estate or similar industry● Experience working in a fast pace, high-growth company 
",Associate,Full-time,Information Technology,Real Estate
Esanda,"New Jersey, New Jersey, US",Head of Business Intelligence,2019-04-28,"Ideally, strong SQL skills and experience in relational databases e.g. Our Client, a hugely successful Brick and Mortar Casino Group, is ...",https://www.linkedin.com/jobs/view/head-of-business-intelligence-at-esanda-1283107171?position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"EsandaNew Jersey, New Jersey, US 
",Director,Full-time,"Business Development, Sales","Marketing and Advertising, Computer Software, Internet"
CyberCoders,"San Jose, CA, US",Senior Director of Analytics & Business Intelligence,2019-08-04,What You Will Be Doing. Preferably 5+ years of experience in the lending space with a preference for experience in the Small. 10+ years ...,https://www.linkedin.com/jobs/view/senior-director-of-analytics-business-intelligence-at-cybercoders-1401210961?position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"CyberCodersSan Jose, CA, US 
",Mid-Senior level,Full-time,Information Technology,Financial Services
AXA US,"Hartford, CT, US",Senior Scientist Business Intelligence,2019-08-02,We’re looking for someone who has these abilities and skills: As we develop an enterprise-wide data and digital strategy that moves us ...,https://www.linkedin.com/jobs/view/senior-scientist-business-intelligence-at-axa-us-1397900698?position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"AXA USHartford, CT, US 
",Associate,Full-time,"Research, Analyst, Information Technology","Information Technology and Services, Insurance, Financial Services"
Bank of the West,"San Ramon, CA, US",Head of Retail Business Intelligence & Network Strategy,2019-01-25,"Yes, we’re a bank, but as the bank for a changing world, we are continually seeking to improve the ways we help our customers, while ...",https://www.linkedin.com/jobs/view/head-of-retail-business-intelligence-network-strategy-at-bank-of-the-west-1087020749?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Bank of the WestSan Ramon, CA, US 
",Not Applicable,Full-time,Accounting/Auditing,"Banking, Financial Services"
