company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
Horizon Investments,"Charlotte, North Carolina Area",Data Analyst,2019-08-02,"Horizon Investments is seeking a Data Analyst to join the firm at their Charlotte, NC home office. The Data Analyst is responsible for ...",https://www.linkedin.com/jobs/view/data-analyst-at-horizon-investments-1407358053?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Horizon InvestmentsCharlotte, North Carolina Area 
 
Horizon Investments is seeking a Data Analyst to join the firm at their Charlotte, NC home office. 
The Data Analyst is responsible for measuring the efficacy of various business functions and procuring actionable insights for consumption by executive management. This individual will be responsible for the collection, organization and analysis of data sourced from internal and external media with the goal of driving client behavior and business outcomes. The Data Analyst will collaborate with multiple business areas including Marketing, Sales, Technology and Investment Management. 
 
The Data Analyst will work on a variety of projects, both strategic and tactical, with the goal of developing Horizon’s capabilities to penetrate new markets and strengthen the network of existing investment advisor clients. The position will utilize data science techniques to accomplish these goals. 
 
Horizon provides unique opportunities for training and development within a modern asset management firm. Through the work as a Data Analyst and in collaboration with other departments, this individual will learn new technology, data analysis skills and an understating of the asset management business. 
 
Key Responsibilities 
 
Requirements 
 
Preferred Qualifications 
 
﻿ABOUT THE FIRM 
Horizon Investments is a registered investment adviser that offers goals-based investment strategies in the form of SMAs, model accounts, mutual funds, and wrap strategies to financial intermediaries. Horizon has approximately 60 employees and manages $6 billion as of March 2019. 
 
Horizon is fun, challenging, fast-paced and exciting. Our office environment is emblematic of a growing business. We believe that earnest face-to-face collaboration is often required to solve hard team challenges. We have a great office full of talented people! 
",Entry level,Full-time,"Information Technology, Analyst",Investment Management
"SBS Creatix, LLC",Greater St. Louis Area,Data Analyst,2019-07-29,"Looking for a data analyst who is able to analyze data, build SQL queries and create data visualizations that provide actionable insights...",https://www.linkedin.com/jobs/view/data-analyst-at-sbs-creatix-llc-1388359830?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"SBS Creatix, LLCGreater St. Louis Area 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
 
Looking for a data analyst who is able to analyze data, build SQL queries and create data visualizations that provide actionable insights to all levels of the organization. The candidate must be a team player, great communicator and collaborator who is able to complete the development process from end to end utilizing excellent analysis and troubleshooting skills.  
   
Duties and Responsibilities:  
   
Requirements and Qualifications:  
",Mid-Senior level,Contract,"Information Technology, Finance","Information Technology and Services, Banking, Investment Banking"
Workbridge Associates,"Philadelphia, PA, US",Data Scientist / Data Analyst,2019-04-17,"What You Will Be Doing. They are looking for someone who has at least 5 years’ experience with SQL, SAS, R, Python and Tableau. ...",https://www.linkedin.com/jobs/view/data-scientist-data-analyst-at-workbridge-associates-1259068350?position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Workbridge AssociatesPhiladelphia, PA, US 
",Entry level,Full-time,"Engineering, Information Technology","Information Technology and Services, Computer Software, Financial Services"
Dextro Software Systems Inc,"New York City, NY, US",Data Scientist Data Analyst Consulting -New York,2019-08-01,"We are looking for an Experienced Data Scientist Data Analyst for our Client in New York City. Proactive personality, strong technical ...",https://www.linkedin.com/jobs/view/data-scientist-data-analyst-consulting-new-york-at-dextro-software-systems-inc-1408396672?position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Dextro Software Systems IncNew York City, NY, US 
",Entry level,Full-time,"Engineering, Information Technology","Medical Devices, Biotechnology, Pharmaceuticals"
Modis,"Chicago, Illinois",Data Analyst,2019-08-01,"The ideal candidate must have strong SQL experience with the ability get into the data warehouse to pull data and set up views, combine ...",https://www.linkedin.com/jobs/view/data-analyst-at-modis-1395362686?position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"ModisChicago, Illinois 
This is a unique opportunity for a Junior Data Analyst to join an expanding team in a trailblazing healthcare organization.  This client, located in downtown Chicago, offers the “start-up-esque” atmosphere but has the stability and growth of a well-established organization.  
  
This Data Analyst will take ownership over incoming data requests from vendors, clinicians, and internal business users.  You will join a team of 3 people that work closely with the business analysts and business intelligence teams to provide ad hoc data requests.  The ideal candidate must have strong SQL experience with the ability get into the data warehouse to pull data and set up views, combine data sets and even write stored procedures.  Additionally, this Data Analyst needs to have the ability to meet with users to gather and clarify requirements.  If you have advanced Excel experience with PowerPivot, even better!  
  
If you are looking to get in at the ground floor of an exploding organization, this is a great opportunity.  Perks include casual dress, weekly Friday happy hours, and tons of room for growth.  
  
*THIS IS A DIRECT-HIRE OPPORTUNITY AND CANDIDATES MUST BE ABLE TO WORK DIRECTLY ON W2 AS GREEN CARD OR US CITIZEN. SPONSORSHIP IS NOT OFFERED*  
  
",Entry level,Full-time,Information Technology,Information Technology and Services
ettain group,"Mooresville, NC, US",Data Analyst,2019-08-04,Our culture empowers teams with the flexibility to deliver a superior candidate experience and client experience using market intelligence.,https://www.linkedin.com/jobs/view/data-analyst-at-ettain-group-1355278988?position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"ettain groupMooresville, NC, US 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
",Entry level,Contract,Information Technology,"Information Technology and Services, Design, Hospital & Health Care"
"Medical Security Card Company (MSC), LLC","4911 E. Broadway , Tucson, AZ 85711, US",Data Analyst,2019-07-31,"Good planning, organizational and prioritization skills; Ability to complete simultaneous projects and meet established deadlines. 2 or ...",https://www.linkedin.com/jobs/view/data-analyst-at-medical-security-card-company-msc-llc-1393467714?position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Medical Security Card Company (MSC), LLC4911 E. Broadway , Tucson, AZ 85711, US 
Data Analyst  
**VISA Sponsorship is not available**  
  
Summary:  
 The position compiles and interprets key business, financial, operational and statistical data, and generates a variety of value-added reports for external customers. This rolewill use interpretationof contracts and data to assist with all pricing aspects of the company's products and services. The Analyst is the the first line of interaction and the owner of the day-to-day activities associated with both periodic and special initiatives of the business.  
 
The Data Analyst provides analytical support to all functional areas within the company including Client Services, Finance and IT. This group also consults with clients in all market segments including employer sponsors, pharmacy programs, and other program sponsors.  
 
 
Primary Responsibilities: 
 
Qualifications: 
 
Education Requirements: 
 
",Entry level,Full-time,"Analyst, Finance, Information Technology","Health, Wellness and Fitness"
Malone Workforce Solutions,"Hinsdale, Illinois",Data Analyst,2019-08-01,An Ideal candidate should possess knowledge and experience in below: We’re looking for someone with 1-2 years of experience manipulating...,https://www.linkedin.com/jobs/view/data-analyst-at-malone-workforce-solutions-1406097579?position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Malone Workforce SolutionsHinsdale, Illinois 
Our Client, a fast growing gaming company,  is looking for a Data Analyst to draw insights from various data sources in order to assist multiple groups in operating more efficiently.  
  
The ideal candidate is adept at creating ETL tools, build predictive models, create ad-hoc statistical reports and dashboards, scrape public data from multiple sources including web portals or Google/Facebook/Yelp APIs, and run A-B testing and simulations. They must have an experience in driving business results with their data-based insights. The right candidate will have a passion for discovering solutions hidden in large data sets. The Data Analyst will report to the Director of Data Analytics.  
   
Qualification  
   
   
",Associate,Full-time,Analyst,"Consumer Services, Consumer Electronics"
Barchart,"Chicago, Illinois",Product Analyst - Data and Analytics,2019-07-30,"MS/BS/BA in technical or business related field - or demonstrated equivalent experience. Industry experience not required, but preferred.",https://www.linkedin.com/jobs/view/product-analyst-data-and-analytics-at-barchart-1390706242?position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"BarchartChicago, Illinois 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
 
Description 
The Data Product Analyst will work within the Commercial and Product teams to position, build, and market Barchart’s products and services to current and prospective customers.  Initial responsibilities will revolve around increasing coverage of fundamental commodities data through programmatic means (Python) and providing ongoing support for our Data Product Manager.   
 
This role is focused on commodity markets, initially Agriculture, and a strong interest in learning how these markets function is critical for success in the role. A successful candidate will be highly motivated to become a subject matter expert in commodities, drive process improvements, develop a strong understanding of Barchart products and services, and take responsibility for articulating product/feature roadmaps.   
 
Mastery of initial responsibilities will lead to exploratory projects around new product creation that are focused on leveraging the Analyst’s subject matter expertise to build proprietary data.  We actively encourage all roles to take ownership of their queue and tell us where to go instead of just executing a defined path. 
 
About Barchart 
Barchart is a leading provider of market data and services to the global financial, media, and commodity industries. Our diversified client base trusts Barchart’s innovative Solutions across data, software, and technology to power their operation from front to back office, while our Media brands enable financial and commodity professionals to make decisions through web content, news and publications.  
 
Skills / Responsibilities 
 
Additional 
 
",Associate,Full-time,Analyst,Financial Services
WunderLand Group,"New Hyde Park, NY, US",Data Analyst,2019-07-31,"Experience with data warehouse and business intelligence solutions; including operational data stores (ODS), relational databases, OLAP ...",https://www.linkedin.com/jobs/view/data-analyst-at-wunderland-group-1391675875?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"WunderLand GroupNew Hyde Park, NY, US 
 
",Associate,Full-time,"Production, Design","Marketing and Advertising, Computer Software, Internet"
