company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
X4 Group Ltd,"New York, New York",Senior Machine Learning Engineer,2019-07-31,They are seeking a Senior ML Engineer to solve some of the most difficult challenges the world faces today. At least 5+ years of ...,https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-at-x4-group-ltd-1393434790?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"X4 Group LtdNew York, New York 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Senior Machine Learning Engineer  
   
Senior Machine Learning Engineer required for socially conscious, smart city and Urban Innovation Start Up that are solving physical problems that mass populations encounter with Machine Learning & Data Science. Detecting and flagging up an area of high risk in a high pressure environment. They are seeking a Senior ML Engineer to solve some of the most difficult challenges the world faces today.  
   
As one of the Senior ML Engineers within the business you will be able to extract the Data then Model and build useful insights independently of assistance from others. Exploring the data, Architype Models, Explore Techniques and bringing models into Production.  
   
Summary of skills or interest:  
A Masters or Ph.D in a STEM Subject or similar).  
At least 5+ years of commercial experience and depth of knowledge via data ­intensive roles  
   
Examples of Coding in open Source sites such as Github, Kaggle, Bitbucket etc. would help in referencing previous work.  
   
The Manager is looking to interview as soon as Monday 13th May and are looking to get the right Data Scientist started as soon as the last Monday of May.  
   
My Name is Lloyd at X4 Please do give me a call about this Data Science Job or if you would like to speak about opportunities.  
   
  
Keywords: Data Science, Machine Learning, Deep Learning, Manhattan, Soho, NYC,  
",Mid-Senior level,Full-time,"Analyst, Science, Information Technology","Computer Software, Research, Information Technology and Services"
Vacasa,"Boise, Idaho",Senior Machine Learning Engineer,2019-07-31,What we’re looking for. We're looking for a self-driven machine-learning engineer or full-stack data scientist who wants to make an ...,https://www.linkedin.com/jobs/view/senior-machine-learning-engineer-at-vacasa-1405561830?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"VacasaBoise, Idaho 
 
Why Vacasa  
We started with just one home and an idea: to bring homeowners and renters together with smart technology and caring local teams. Today, we’re the largest full-service vacation rental company in North America thanks to the people who give us their best every day. You’ll fit right in here if you’re curious, entrepreneurial, and thrive in a rapid-growth environment.  
  
Why Digital at Vacasa  
We make things happen—we learn and grow together. In our line of work, no one can know everything, but everybody knows something. Experimentation is table stakes. We fail fast, learn faster, and iterate rapidly.  
  
What we’re looking for  
We're looking for a self-driven machine-learning engineer or full-stack data scientist who wants to make an outsized impact as a founding member of the machine-learning team in our Boise office. You're someone that craves autonomy -- and loves working with people that do too.  
Working with our product managers, data scientists, and software engineers, you will build and deploy web-scale machine-learning models to personalize the experiences we give our guests and prospective guests across the website, app, emails, and marketing communications. You'll work with a high quality dataset and with modern AWS infrastructure and tools to build cutting-edge models. You'll have a high degree of freedom to bring creativity, define your own solutions to problems, and even help define what problems we solve next.  
  
What you’ll do  
  
Skills you’ll need  
  
What you’ll get  
",Mid-Senior level,Full-time,Engineering,"Hospitality, Leisure, Travel & Tourism, Real Estate"
Trust In Soda Ltd,"Newport Beach, California",Machine Learning Engineer,2019-08-01,"What is in it for you: Our client is looking for a talented Machine Learning engineer to work on their cloud-based, open platform which ...",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-trust-in-soda-ltd-1395328642?position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Trust In Soda LtdNewport Beach, California 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Machine Learning Engineer with a Software Developer/Engineer background  
Orange County, California  
Competitive Salary   
   
Are you a proven Machine Learning Engineer?  
Do you want to work for a growing AI company working on state of the art proprietary AI platform?  
Our client is looking for a talented Machine Learning engineer to work on their cloud-based, open platform which integrates an ecosystem of a variety of state of the art cognitive engines, which can be used to reveal valuable insights from huge amounts of data.  
   
This is the chance to work in an extremely innovative and fast-paced environment. Fantastic offices in a Orange County and the chance to work alongside a very strong team in a great office space.  If you love practical applications of machine learning, and digging in to build models and tools that their customers can derive value from, then this will be a great fit for you.  
   
Responsibilities:  
  
Building best in class cognitive capabilities by leveraging state of the art research, tools, ML frameworks and datasets.  
Helping to evolve and implement a data acquisition and core machine learning  strategy.  
Integrating machine learning capabilities into an existing tech stack, and helping to productize your work.  
   
Preferred Qualifications:  
  
Strong knowledge of AI Frameworks (for example): Tensorflow, Keras, SpaCy, Numpy, Scikit-learn, Caffe, dlib, StarSpace, etc.  
Some Full Stack Developer Experience with modern languages (for example): Go, Python, JavaScript, etc..  
Experience with deep learning, computer vision, natural language processing, speech recognition or other core machine learning concept.  
Familiar with some some Linux DevOps methodologies and frameworks (for example Docker).  
Master’s in Computer Science Preferred.  
   
Required Qualifications:  
  
Excellent communication (written / verbal).  
BS in Computer Science required.  
  
What is in it for you:  
  
A competitive compensation package.  
Stock Options.  
A fully stocked kitchen, casual dress attire, catered lunch on Fridays.  
Flexible Time Off.  
Quality benefits: medical, dental, vision, etc  
An opportunity to be a part of the next big thing in artificial intelligence  
   
This is an opportunity to be a part of the next big thing in AI and you will get to work for a company that regularly recognises your achievements, offers excellent salaries and packages and the opportunity to develop your skills in new areas of tech.  
   
If this role looks interesting, please apply with your up to date CV and we will be in touch to discuss your application further. 
",Mid-Senior level,Full-time,"Information Technology, Engineering",Information Technology and Services
Comrise,San Francisco Bay Area,Machine Learning Engineer,2019-08-01,"2. Experience in developing and deploying software on public cloud such as AWS/Azure, Alibaba Cloud experience is preferred. 3. ...",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-comrise-1406074999?position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"ComriseSan Francisco Bay Area 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
This is a long-term contract position with heavy focus on data science and machine learning. We're open to fresh gradutes. Ideally candidates should have solid internships in data analysis and machine learning. Mandarin Chinese language skill is highly preferred.   
  
Basic requirements: 1. Master's degree in Computer Science/Computer Engineering/Mathematics 2. Background in developing software and algorithms 3. Solid background in OOP(Java/C++/Python) 4. Knowledge in databases such as MySql/HBase/Postgresql  
5. Biligual in mandarin Chinese.   Preferred: 1. Hands on experience in building data analysis system 2. Experience in developing and deploying software on public cloud such as AWS/Azure, Alibaba Cloud experience is preferred 3. Experience in using frontend tools such as D3.js to accomplish data visualization tasks 4. Experience in using data analysis tools such as Matlab, Tableau, etc. 
",Entry level,Contract,"Research, Information Technology",Internet
Roblox,"San Mateo, CA, US",Machine Learning Engineer,2019-07-30,We’re looking for someone who’s eager to take on a meaningful role in the success of Roblox on a massive scale. We’re the one and only...,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-roblox-1389219156?position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"RobloxSan Mateo, CA, US 
",Entry level,Full-time,"Engineering, Information Technology","Information Technology and Services, Computer Software, Internet"
Etsy,"San Francisco, CA, US",Machine Learning Engineer,2019-07-30,"Etsy is looking for a Machine Learning Engineer to join our Data Science teams. You have a solid engineering and coding skills, with ...",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-etsy-1388397530?position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"EtsySan Francisco, CA, US 
",Mid-Senior level,Full-time,"Engineering, Information Technology","Internet, Information Technology and Services, Retail"
Major League Baseball,"New York City, NY, US",Machine Learning Engineer,2019-07-31,"We are looking for Engineers that are passionate about building new technologies for the baseball industry, and this role will help usher...",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-major-league-baseball-1393492252?position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Major League BaseballNew York City, NY, US 
",Entry level,Full-time,"Engineering, Information Technology","Information Technology and Services, Computer Software, Internet"
"Mercedes-Benz Research & Development North America, Inc.","Sunnyvale, California",Intern Machine Learning Engineer,2019-07-29,"Experience with statistical machine learning techniques, BS + prior internships in the field is sufficient. Data analytics on evaluation ...",https://www.linkedin.com/jobs/view/intern-machine-learning-engineer-at-mercedes-benz-research-development-north-america-inc-1388350920?position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Mercedes-Benz Research & Development North America, Inc.Sunnyvale, California 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Please send resume not just Linkedin Profile, thank you.    
  
Machine Learning Engineer Intern  
   
Responsibilities:  
   
Support development and implementation of novel machine  
learning solutions in the automotive environment  
- Design evaluation metrics for model performance  
- Implement automated evaluation frameworks at scale  
- Data analytics on evaluation output and provide direction  
for model improvement  
- Run experiments to validate potential model improvements  
   
Requirements:  
   
Experience with statistical machine learning techniques,  
especially in regards to efficient Bayesian Inference  
- Non-convex optimization techniques  
- Decision processes and risk management  
- Strong communication skills  
   
In progress or completed post-graduate degree in  
Mathematics, Statistics, Machine Learning, Computer  
Science, Computer Engineer, Theoretical or Experimental  
Physics, or related.  
BS + prior internships in the field is sufficient  
Publication history a plus.  
  
",Internship,Internship,Engineering,Automotive
SBT,Greater San Diego Area,Machine Learning Engineer,2019-08-01,Experience in building speech recognition and natural language processing systems (e.g. Experience researching novel algorithms for audio...,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-sbt-1382609698?position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"SBTGreater San Diego Area 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
This is a rare opportunity for a seat at the table, shaping audio-specific machine learning science strategy, culture, standards, and processes for an entire company. This team is positioned for quick impact, visibility, and growth as embedding Machine Learning solutions across the business is a top priority for the leadership. Combining this machine learning expertise with existing audio technology leadership will enable innovation in rare ways to solve the industry’s most complex problems. The security features you develop in voice biometrics here will be the standard by which others are measured.  
  
You will have a proven record of having lead advanced research topics in areas such as NLP (Natural Language Processing), ASR Automatic Speech Recognition, DSP (Digital Signal Processing) (Information Theory, Data Science, Deep Learning, Voice Security, Voice Biometrics, Probability/Statistics, Classification, Large-Scale Optimization, and Audio/Imaging signal processing. A deep understanding of how research translates to successful productization is a requirement. A passionate audio researcher/engineer/scientist will thrive in this role by collaborating with peers across multiple disciplines. In short, your research and development in algorithm development for voice/audio biometrics will enable the advancement of the world around us connecting seamlessly.  
  
We are open to considering experts in all areas of spoken language understanding: ASR, NLU, text-to-speech (TTS), and Dialog Management as it pertains to biometrics.  
  
  
",Director,Full-time,Engineering,"Semiconductors, Consumer Electronics, Electrical/Electronic Manufacturing"
Adept Solutions Inc,"Fremont, California, United States",Machine Learning Engineer,2019-07-31,Create and execute use cases for verifying data transmission depend upon the data source and the methodology defined for –. GOOD TO HAVE...,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-adept-solutions-inc-1393473856?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Adept Solutions IncFremont, California, United States 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
 
Position -Machine Learning QA Engineer 
Type - Contract Position 
Location - Concord/Fremont, CA 
Client - Persistent 
 
Job Description 
 
Key/Must Have Skill 
 
·        Batch testing / batch processing  
·        NDM 
·        Scripting skills 
·        Heavy Database /Data Analytics  
·        Data Flow / Should know how to extract data flow from Data lake 
·        Unix 
·        Python 
 
Experience Level 
 
·        7+ years of experience  
 
GOOD TO HAVE / NOT MANDATORY Skills 
Technologies and tools:  
Responsibility: 
 
Support the development of machine learning Models that analyze data sourced from various lines of business to detect patterns/anomalies in the data to predict future behavior.  
 
 
 
Regards, 
 
Vikas Kumar 
IT Recruitment 
Adept Solutions, Inc. 
Las Colinas Business Park, 4322 N Beltline RD, Suite 120 B 
Irving, TX 75038   
Direct No. : 210 728 3456 
Fax. : 214 975 2828 
Email: vikas.k@adeptcorporate.com 
",Mid-Senior level,Contract,Quality Assurance,Information Technology and Services
