company,location,title,post_date,url,full_desc,seniority_level,employment_type,job_function,industries,search_role,search_city
Thermo Fisher Scientific,"South San Francisco, CA",Research & Development Intern,2020-09-22,https://www.linkedin.com/jobs/view/research-development-intern-at-thermo-fisher-scientific-2151078971?refId=b1cf06e8-67be-4b59-a342-92c5ef86cdb5&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"When you’re part of the team at Thermo Fisher Scientific, you’ll do important work. You’ll have the opportunity to grow and learn in a culture that empowers your development. We have created an inclusive, global environment that values the power of diverse talent, backgrounds, and experiences to drive speed, productivity, innovation, and growth.Our internship program will give you a chance to get real world business experience and build your network before graduation. We are seeking an energetic, responsible intern to join our growing organization. In this position, you will be expected to learn the ins-and-outs of our daily routines and procedures. You will focus on learning how our organization runs, and can be expected to gain valuable insight that can further your interest in your chosen career field.Customers throughout the globe rely on our extensive range of products and services—from next-generation instruments to everyday lab essentials to life-saving medicine. If you desire to be a part of a world-class team, Thermo Fisher Scientific can provide you with the opportunity to work in R&D to produce products that enable our customers to make the world healthier, cleaner and safer. Thermo Fisher’s Research and Development work is carried out by dedicated, team-oriented professionals who want to make a difference.Summary Of InternshipInternship positions provide an opportunity for engineering and science students to get hands on experience in a research & development environment.Internship opportunities within Research and Development may include but are not limited to:New Product IntroductionSoftware Engineering & DevelopmentCell BiologyMolecular BiologyChemistryBioInformaticsHiring Locations may include but are not limited to Massachusetts, Pennsylvania, California, Virginia, Oregon, North Carolina, and South Carolina.Essential FunctionsExecutes experimental plans, analyzes data, and contributes to technical reports and product summaries with guidanceWorks on problems of moderate scope where analysis of data requires an evaluation of various factorsExhibits creativity in selecting approaches and techniques for obtaining solutionsInvestigates new methods and technologies and maintains accurate lab notebook to support protection of intellectual property in accordance with relevant Thermo Fisher required standardsInteracts with other internal departments (i.e., Business Development, Quality, Operations, Technical Services, and/or Marketing) in the commercialization of new productsPerforms duties with guidance from managerComplies with all company safety, training, and quality regulations (e.g., ISO compliance, GLP/GMP requirements, etc.) and proceduresMay be required to perform other related duties as required and/or assignedQualificationsR&D Interns sometimes work in a laboratory environment and are required to be able to lift up to 40 lbs. As an R&D Intern, you may be required to stand for long periods of time while performing duties. You must be able to work safely with chemicals and hazardous materials. An R&D Intern must be able to work flexible hours.Candidate must be able to work independently with direction, as well as in collaborative teams. Interns must also be able to carry out standard operating procedures involving basic laboratory techniques, calculations, materials measurement, operation of laboratory equipment and record keeping. Interns can be responsible for testing data records, notebooks and computerized data storage. Additionally Interns are asked to make detailed observations and analyze data to ensure we are operating within expected parametersStudent currently enrolled in classes leading to an accredited Bachelor’s degree in a related engineering, science or life science disciplinePreferred majors: Cell Biology, Molecular Biology, Biology, Biotechnology, Chemical Engineering, Electrical Engineering, Software Engineering, Mechanical Engineering, Biomedical Engineering or other related majorStrong desire and motivation to develop a career in Research & DevelopmentStrong leadership and team building skillsAbility to work independently and as a member of a cross-functional teamWillingness to learn, be mentored, and improveDesire to contribute and improve design of new and existing scientific instrumentation productsExceptional customer focusDesire to teach other engineers and scientist about technology in area of expertisePrevious industrial experience is preferredAptitude for working with hands and having experience using hand-tools may be beneficialRequires a functional knowledge of laboratory equipment and techniques. Accuracy and attention to detail is required in performing all functions of this position. Initiative, organizational and computer skills are extremely valuable to ensure effective laboratory operations. Excellent written and oral communications skills are required.To qualify, applicants must be legally authorized to work in the United States, and should not require, now or in the future, sponsorship for employment visa statusAt Thermo Fisher Scientific, each one of our 70,000 extraordinary minds has a unique story to tell. Join us and contribute to our singular mission—enabling our customers to make the world healthier, cleaner and safer. Apply today!Show moreShow less 
",Not Applicable,Full-time,Other,"Pharmaceuticals, Biotechnology",Research Intern,"San Francisco, California"
Heluna Health,"San Francisco, CA",Research Analyst Intern,2020-09-24,https://www.linkedin.com/jobs/view/research-analyst-intern-at-heluna-health-2174047566?refId=b1cf06e8-67be-4b59-a342-92c5ef86cdb5&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Requisition Number: RESEA02438Heluna Health invites applications for the position of research analyst intern in the Center on Substance Use and Health (CSUH) of the San Francisco Department of Public Health. CSUH conducts pharmacologic and behavioral interventions and observational studies to maximize the health outcomes of people use alcohol, methamphetamine, opioids, and other substances. We work with people who are actively using substances, and focus on meeting their goals related to their substance use, including reduction in use in harms, prevention or treatment of infectious diseases, or prevention of drug overdose. We conduct research in a community-based environment in downtown San Francisco, with the facilities and resources needed to perform complex clinical research studies (suite of exam rooms, alarmed pharmacy for medication trials, and on-site CLIA-waived laboratory). We are proud to treat people who use substances with respect and dignity and enjoy a close-knit culture of intellectual curiosity collaboration and fun.In the position of research data analyst, you work under the supervision of the Directorto assist in various tasks to advance CSUH goals of investigating health outcomes and new behavioral and pharmacologic interventions to improve the health of people who use drugs.This is a temporary, grant-funded, part time (16 hours a week), non-benefitted position. Employment is provided by Heluna Health.Essential FunctionsThe intern will be involved in the following: Biostatistical AnalysisIn collaboration with the Research Scientists, the intern will assist in conducting various statistical procedures including distribution, frequency and assumption checks; hypothesis testing; data analysis and interpretation; and mathematical modeling on longitudinal and cross-sectional datasets.Data Management and ManipulationUnder supervision of the Research Scientists and Research Managers, the intern will assist with data quality assurance and quality control, data clean-up, database maintenance and development, preparation of codebooks and descriptive epidemiologic reports.Preparation of Data Collection InstrumentsUnder the supervision of the Study Coordinators and Research Scientists, the intern will assist in the programming of electronic surveys and the development of case-report forms.Grant Application / Manuscript PreparationUnder the supervision of the Research Scientists and Director, the intern will conduct peer-reviewed and grey literature research and provide support in preparing data and documents for grant applications and manuscripts addressing topics such as substance use, overdose prevention, and HIV prevention.General dutiesParticipation in weekly research meeting to discuss and problem-solve issues regarding study design and implementation, recruitment, and analysisNon-essential FunctionsOther duties as assignedMinimum QualificationsStrong interest in substance use, HIV, and related health issues affecting vulnerable populationsCompletion of at least one graduate course in Epidemiologic Methods and one graduate course in BiostatisticsProficiency in STATA software, Microsoft Office (Excel, PowerPoint, Word)Experience with conducting data analysis and literature reviewsDesired QualificationsProficiency in Microsoft Access, SAS and EndnotePHYSICAL DEMANDSStand FrequentlyWalk FrequentlySit FrequentlyHandling / Fingering OccasionallyReach Outward OccasionallyReach Above Shoulder OccasionallyClimb, Crawl, Kneel, Bend OccasionallyLift / Carry Occasionally - Up to 50 lbsPush/Pull Occasionally - Up to 50 lbsSee ConstantlyTaste/ Smell Not ApplicableRequiredNot Applicable Not required for essential functionsOccasionally (0 - 2 hrs/day)Frequently  (2 - 5 hrs/day)Constantly  (5+ hrs/day)WORK ENVIRONMENTGeneral Office Setting, Indoors Temperature ControlledAPPLICATION PROCEDUREInterested applicants should submit a cover letter and resume for consideration.Heluna Health is an Affirmative Action, Equal Opportunity Employer that encourages minorities, women, veterans, and disabled to apply.All qualified applicants will be considered for this position in accordance with the San Francisco Fair Chance OrdinanceEEOC STATEMENTIt is the policy of Heluna Health to provide equal employment opportunities without regard to race, color, religion, sex, national origin, age, disability, marital status, veteran status, sexual orientation, genetic information or any other protected characteristic under applicable law.SDL2019-2048Show moreShow less 
",Internship,Internship,"Research, Analyst, Information Technology","Nonprofit Organization Management, Government Administration, Hospital & Health Care",Research Intern,"San Francisco, California"
Novome Biotechnologies,"South San Francisco, CA","Research Assistant - Student, Weekends (Future)",2020-07-27,https://www.linkedin.com/jobs/view/research-assistant-student-weekends-future-at-novome-biotechnologies-2002908871?refId=b1cf06e8-67be-4b59-a342-92c5ef86cdb5&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Thank you for your interest in our Research Assistant - Student, Weekends position! We are not currently hiring for this role, but would love to connect with you so that we can reach out when it opens again in the future. Please apply here, and if you are a potential fit we will get in touch when there is an opening.Research Assistant (Student, Weekends)Novome is building genetically engineered microbial medicines (GEMMs) that perform defined activities in the human gut to treat chronic diseases. We’ve developed the first platform for controlled colonization of the gut with engineered therapeutic bacteria. Our recent $33M Series A funding will bring our lead program in hyperoxaluria into the clinic and expand our platform to additional disease areas.We are seeking a part-time Student Research Assistant to join our dynamic strain engineering team and cover weekend activities, building bacteria with novel genetic pathways. Student Research Assistants will be responsible for assisting full-time Research Associates in translating sophisticated DNA designs into therapeutic bacterial strains for further downstream testing in in vitro assays and in vivo models, utilizing our high-throughput, modular cloning pipeline. They will work on a highly collaborative team to ensure continuity of our production pipeline over the weekend, making strains that address all therapeutic areas of interest at the company, as well as strains that contribute to expansion of our foundational platform technology. Student Research Assistants will work alongside experts in synthetic biology, metabolic engineering, gut microbiota, and various disease areas in a collaborative, transparent environment.ResponsibilitiesPerforming all strain engineering activity on Saturdays and Sundays, including:Picking bacterial colonies for growth in liquid mediaPreparation of plasmid DNA and analyzing Sanger sequencing dataCryogenic storage of bacterial strainsRunning in vitro assays and delivering dataCloning and screening unique DNA constructsPerforming Next Gen sequencing on new bacterial strainsContributing to laboratory support functions as neededUsing our Electronic Lab Notebook system to keep detailed recordsMeeting with team on Fridays to discuss work plan for weekendKey QualificationsCurrently a Masters or Bachelor’s Degree studentStrong history of college-level biology courseworkExperience in college-level laboratory courses, microbiology lab preferredProficiency in Microsoft ExcelExceptional attention to detailExcellent communication skillsHigh standards for the quality of their workOpenness to giving and receiving critical feedback Novome Biotechnologies, Inc. is an equal opportunity employer and all qualified applicants will receive consideration without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or any other characteristic protected by law.Powered by JazzHRl0FUqmvK3DShow moreShow less 
",Internship,Part-time,"Education, Training","Research, Biotechnology, Pharmaceuticals",Research Intern,"San Francisco, California"
Edelman,"San Francisco, CA",Post Graduate Associate Research Analyst Intern,2020-09-17,https://www.linkedin.com/jobs/view/post-graduate-associate-research-analyst-intern-at-edelman-2148353034?refId=b1cf06e8-67be-4b59-a342-92c5ef86cdb5&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Edelman Intelligence is the strategic research arm of Edelman – the world’s largest communications marketing agency – where we serve as strategic partners and consultants to a wide range of top-tier clients. Using the power of customized market research, Edelman Intelligence works closely with Edelman teams and clients to optimize their communications and marketing approach every step of the way.We are seeking a highly motivated, hardworking individual who is interested in learning the ins and outs of market research (both qualitative and quantitative). Candidates must be naturally curious and have a passion for understanding human behavior while becoming an expert with our tools of measurement, customized surveys and communities.This is a truly unique opportunity to gain hands-on experience and exposure with a cutting-edge, rapidly growing, dynamic team within Edelman. You will be working for high-profile clients, on a broad array of interesting research projects.ResponsibilitiesSupport Edelman Intelligence analysts on a wide variety of research projects Compile, synthesize and analyze research collected from secondary sources Quality control measures for survey links and presentation documents Assist with report creation (for both qualitative and quantitative research projects), including analysis, data entry, and chart/table creation in Excel/PPT Run basic quantitative analyses and be very comfortable working with numbers Ideal candidate will have the following skillsQuick learner with the ability to work both independently and collaboratively Ability to multi-task and work effectively in a fast-past environment Excellent attention to detail and organizational skills Competent in Microsoft Office Communication and writing skills Data and statistical knowledgeBasic QualificationsBachelor's Degree in a related field You must have an interest in communications and/or research and possess good interpersonal and communication skills with the ability to work effectively with others. About our internship programThe duration of the internship is a minimum of 3 months and a maximum of 6 months Most of our interns are post-graduates and work a full-time schedule (Weekdays from 9 a.m. to 5 30 p.m.)Show moreShow less 
",Internship,Full-time,"Research, Public Relations, Analyst","Public Relations and Communications, Market Research",Research Intern,"San Francisco, California"
Dodge & Cox,"San Francisco, CA",Macroeconomics Research Intern,2020-10-06,https://www.linkedin.com/jobs/view/macroeconomics-research-intern-at-dodge-cox-2168419344?refId=b1cf06e8-67be-4b59-a342-92c5ef86cdb5&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"PLEASE APPLY USING THE ATS LINK BELOWDodge & Cox has substantial holdings of debt and equity securities from across the globe. Part of our investment process relies on the work of our macroeconomic research team, focused on currencies, interest rates, and country fundamental research. The Summer Intern will work with senior members of the investment team to support the macroeconomic research process, maintain the firm’s country databases and models, as well as assist with portfolio management analytics.Primary responsibilities include:Preparing, analyzing and monitoring a large array of global economic and financial data relevant to our investment process; with a focus on metrics to assess trends, sustainability and risks to economic and financial stabilityPerforming portfolio analytics such as performance attribution and risk analysisConducting in-depth fundamental research on countries and macro themes to support potential and current investmentsMaintaining in-house macroeconomic monitors as well as interest rate and currency modelsCreating investment- and client- related presentation materialsThe work above will be used across the firm’s investment products and will provide the Summer Intern exposure to investment professionals across the firm. This is a 10-week internship scheduled for summer 2021.Dodge & Cox targets candidates with high levels of academic and professional achievement, in addition to leadership ability and interpersonal skills. Qualifications:﻿An excellent academic record with coursework in macroeconomics and statisticsInterest in economics and financial markets, preferably fixed income and/or currency marketsStrong quantitative and analytical skills, including manipulation and presentation of data on complex topicsInitiative and ability to manage multiple projects simultaneouslyExcellent oral and written communication skills and desire to work in a team-oriented environmentFamiliarity with macroeconomic and financial data available from Bloomberg, IMF, WB and other public sourcesAdvanced knowledge of MS Excel, with experience in VBA, Eviews, Python, or Haver a plusShow moreShow less 
",Internship,Full-time,Finance,Investment Management,Research Intern,"San Francisco, California"
RingCentral,"Belmont, CA",UX Research Intern,2020-10-06,https://www.linkedin.com/jobs/view/ux-research-intern-at-ringcentral-2166988342?refId=b1cf06e8-67be-4b59-a342-92c5ef86cdb5&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"UX Research InternshipAt RingCentral we call our interns RingTerns because, by the end of your 10-week program, you’ll know our culture inside and out. Why is that important? Our culture is what makes RingCentral unique, a place where winning together in a dynamic, highly collaborative environment is what makes us different (and, we like to think, better).If you are interested in an internship here, chances are you have some relevant skills and are interested in working for a rapidly growing, cloud-based software and communications company. We can teach you the RingCentral-way what we can’t teach are drive and a passion to succeed.Here are a few reasons to consider being a RingTern at RingCentral:  You have a competitive edge and like to win  . Here, you’ll compete for prizes with individual elevator pitches, team product challenges, off-site excursions and company events. We call it collaborative competition and it’s a great way to experience the way we work.  Hyper-growth, for you and your career.  RingCentral is growing at an annual rate of 30%. Every year. So now is a great time to join us. It also means there are lots of interesting, real-world challenges to help us solve.  Mentors who are in it for you.  Our mentors will work with you to help you grow and achieve your goals. No micro-management and no busy-work. The goal is to help you problem-solve and succeed independently.So, join RingCentral as an intern this summer and discover what it feels like to win together. Early Intern Application Deadline is November 9,2020  Final Intern Application Deadline: December 1, 2020  Job Scope The UX research intern will be doing 2 jobs during his/her time here. UX Visibility: Increase the visibility for UX research and host 2 research readouts by inviting the entire Belmont office to learn how our customers use our products  UX Research: Plan and conduct a UX research to prioritize what features get built in our video conferencing product:  Maintain a daily count of customer and employee requests in a repository  Communicate insights on weekly top requests and how many votes  Increase engagement of upvoting for requests with employees  Collaborate with Product Management to define a metric of when requests get built into product roadmaps  Work in Aha! to manage these requests  Provide weekly updates and reports to the Innovation team Qualifications Part of an Master’s HCI (Human Computer Interaction) or similar program  Must have experience at designing usability plans and conducting research especially interviews  Should be familiar with tools like Tableau, Mixpanel, Google Analytics and data analytics programming tools  Should be able to communicate findings and translate them into recommendations or actions  Good to know how to visually communicate insights in a pictograph or flyer  Proficient with surveys, video editing tools, quantitative and qualitative analysis tools  Should be able to recruit and schedule participants  Must be able to moderate interviews Learning Skills/Outcomes You will be able to plan and execute a feature priorities for our flagship product  You will learn how to advocate for a customer-centric culture at companies by including the entire company in your journey and find ways to effectively manage and facilitate that  You will learn about UCaaS products and customer needs and trends in this industry which is growing fast  You get to work with an excellent team that is collaborative and supportive of your growth and learning AvailabilityFull-time or Part-time internship [10-week internship]Must be available to start either January 26,2021Visit the links below to know more about the company, internships and job openings:About RingCentral - RingCentral’s WebsiteOpenings - Job & Internship webpageAbout RingCentralRingCentral is the worldwide leader in cloud-based communications. Our software communications platform delivers phone, group chat, mobile communications, video calls, videoconference, contact center and AI-driven digital engagement. It’s a powerful, global presence that allows businesses to communicate anywhere, anytime with anyone.RingCentral is headquartered in Belmont, California and has offices around the world.RingCentral is an equal opportunity employer that truly values diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Show moreShow less 
",Internship,Part-time,Other,"Marketing and Advertising, Computer Software, Internet",Research Intern,"San Francisco, California"
OneWire,"San Francisco, CA",2021 Macroeconomics Research Intern,2020-10-06,https://www.linkedin.com/jobs/view/2021-macroeconomics-research-intern-at-onewire-2164749149?refId=b1cf06e8-67be-4b59-a342-92c5ef86cdb5&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Dodge CoxDescriptionNote: Both a cover letter and resume/CV are required for consideration.Dodge & Cox has substantial holdings of debt and equity securities from across the globe. Part of our investment process relies on the work of our macroeconomic research team, focused on currencies, interest rates, and country fundamental research. The Summer Intern will work with senior members of the investment team to support the macroeconomic research process, maintain the firm’s country databases and models, as well as assist with portfolio management analytics.Primary Responsibilities IncludePreparing, analyzing and monitoring a large array of global economic and financial data relevant to our investment process; with a focus on metrics to assess trends, sustainability and risks to economic and financial stabilityPerforming portfolio analytics such as performance attribution and risk analysisConducting in-depth fundamental research on countries and macro themes to support potential and current investmentsMaintaining in-house macroeconomic monitors as well as interest rate and currency modelsCreating investment- and client- related presentation materialsThe work above will be used across the firm’s investment products and will provide the Summer Intern exposure to investment professionals across the firm. This is a 10-week internship scheduled for summer 2021.Dodge & Cox targets candidates with high levels of academic and professional achievement, in addition to leadership ability and interpersonal skills.QualificationsAn excellent academic record with coursework in macroeconomics and statisticsInterest in economics and financial markets, preferably fixed income and/or currency marketsStrong quantitative and analytical skills, including manipulation and presentation of data on complex topicsInitiative and ability to manage multiple projects simultaneouslyExcellent oral and written communication skills and desire to work in a team-oriented environmentFamiliarity with macroeconomic and financial data available from Bloomberg, IMF, WB and other public sourcesAdvanced knowledge of MS Excel, with experience in VBA, Eviews, Python, or Haver a plusThe job description above is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee. It is the Company’s policy to provide equal opportunity to all persons without regard to race, color, religion, sex, pregnancy, marital or domestic partner status, sexual orientation, gender identity or expression, age, ancestry, national origin, disability, or medical condition, as defined in state and federal laws. This policy covers all aspects of employment including, but not limited to, recruitment, selection, training, promotion, transfer, compensation, demotion, and termination. By applying for a position with Dodge & Cox, you acknowledge that you have read our EEO PolicyAll Dodge & Cox employees must adhere to the Firm’s security policies and Code of Ethics. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.Posted 10/6/2020  Full Time position   Compensation will be Market RateShow moreShow less 
",Internship,Full-time,"Education, Training","Financial Services, Investment Banking",Research Intern,"San Francisco, California"
Levi Strauss & Co.,"San Francisco, CA",Paid Summer Intern - Marketing,2020-10-03,https://www.linkedin.com/jobs/view/paid-summer-intern-marketing-at-levi-strauss-co-2165515750?refId=b1cf06e8-67be-4b59-a342-92c5ef86cdb5&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Job DescriptionYou’re an original. So are we.We’re a company of people who like to forge our own path. We invented the blue jean in 1873, and we reinvented khaki pants in 1986. We pioneered labor and environmental guidelines in manufacturing. And we work to build sustainability into everything we do. Our brands stand for freedom and self-expression around the world.Where we lead, others follow. For more than 160 years, we’ve used the strength of our brands to lead with our values and make an outsized impact on the world. We employ more than 15,000 people globally to support our great brands: Levi’s®, Dockers®, Denizen® and Signature by Levi Strauss & Co.™This summer you could have the opportunity to work for one of Levi Strauss & Co.’s iconic brands! Our San Francisco-based Summer Internship opportunities, among the Levi’s® and Dockers® brands, give students real world work experience and exposure to one of the world’s leading fashion and apparel companies. Our 10 week Summer Internship Program is the perfect way to gain work experience within the core of the organization, while learning what a career at LS&Co. might have in store for you.In addition to day-to-day responsibilities, all interns will participate in an intern group project dedicated to a critical business initiative as well as be exposed to all areas of our business and our brands. Leadership seminars and career exploration series connect our interns to our leaders and educate around different career paths. Intern performance will be assessed using our internal review process and could potentially lead to a full-time offer.Marketing InternshipPrimary Responsibilities May Include (but Are Not Limited To)Support marketing team in preparation for Fall 21 season across all channels including but not limited to in-store, ecommerce, digital advertising, social media and PR. Sit in on meetings with the Marketing, Merchandising, Operations and Design teams to understand the importance of a consumer centered business including but not limited to go to market calendar, seasonal/product/account strategies, etc. Monitor competitive landscape (in-store and online) and report out to the broader team.Manage sample inventory and facilitate distribution/shipping to photoshoots, press editors, influencers, creative agency, etc. Proficiency creating and editing documents in Microsoft Word, PowerPoint and Excel.Drive the Marketing side of a unique intern team project that will be presented to Senior Leadership team.Requirements For The Internship High school diploma or GED Must be enrolled in an accredited undergraduate program Must be in junior year (rising senior at time of internship) Computer literacy including proficiency with MS Office applicationsAdditional QualificationsYour creativity inspires you in telling compelling marketing stories.Specific college coursework in an area relevant to the internship, or participation in a specific career development program.Ability to proactively seek out new learning opportunities; intellectual curiosity with the proven ability to learn new information quickly.Flexibility to perform a variety of different types & levels of work.Meet deadlines in a fast-paced, deadline-driven environment with changing priorities.Exceptional problem solving and organizational capabilities.High degree of flexibility and initiative with limited direction.Passionate and knowledgeable about retail and fashion. EOE M/F/Disability/Vets LOCATIONSan Francisco, CA, USAFULL TIME/PART TIMEFull time Current LS&Co Employees, apply via your Workday account.Show moreShow less 
",Not Applicable,Full-time,"Education, Training","Apparel & Fashion, Design, Retail",Research Intern,"San Francisco, California"
Scale AI,"San Francisco, CA",Machine Learning Research Engineer Intern,2020-08-04,https://www.linkedin.com/jobs/view/machine-learning-research-engineer-intern-at-scale-ai-1994507161?refId=b1cf06e8-67be-4b59-a342-92c5ef86cdb5&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"The goal of the ML team at Scale is to develop machine learning solutions advancing the company mission. Our current focus areas are Computer Vision ( 2D/3D detection, 2D/3D segmentation, object tracking), Machine Learning (e.g. semi-supervised learning, active learning) and Natural Language Processing.We are building a large hybrid human-machine system in service of ML pipelines for dozens of industry-leading customers. We currently complete millions of tasks a month, and will grow to complete billions of tasks monthly. As a Machine Learning Research Intern, You Will Research and develop machine learning solutions to assist humans in the loop.Aid in the creation of high quality ground truth data with speed and accuracy.Take state of the art models developed internally and from the community, use them in production to solve problems for our customers and taskers.Take models currently in production, identify areas for improvement, improve them using retraining and hyperparemeter searches, then deploy without regressing on core model characteristicsWork with product and research teams to identify opportunities for improvement in our current product line and for enabling upcoming product linesWork with massive datasets to develop both generic models as well as fine tune models for specific products Requirements Currently enrolled in a PhD or MS Program with a focus on Machine Learning, Deep Learning, Computer Vision or Natural Language Processing or undergrad with published papers in Machine Learning fieldsHave had a previous internship around Machine Learning, Deep Learning, Computer Vision or Natural Language Processing About Us At Scale, our mission is to accelerate the development of Machine Learning and AI applications across multiple markets. Our first product is a suite of APIs that allow AI teams to generate high-quality ground truth data. Our customers include OpenAI, Zoox, Lyft, Pinterest, Airbnb, nuTonomy, and many more.Scale AI is an equal opportunity employer. We aim for every person at Scale to feel like they matter, belong, and can be their authentic selves so they can do their best work. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Scale AI is committed to working with and providing reasonable accommodations to applicants with physical and mental disabilities. If you need assistance and/or a reasonable accommodation in the application or recruiting process due to a disability, please contact us at accommodations@scale.com. Please see the United States Department of Labor's EEO poster and EEO poster supplement for additional information.Show moreShow less 
",Internship,Internship,"Engineering, Information Technology","Information Technology and Services, Computer Software, Internet",Research Intern,"San Francisco, California"
Google,"San Francisco, CA","Research Intern, Bachelors, Summer 2021",2020-09-21,https://www.linkedin.com/jobs/view/research-intern-bachelors-summer-2021-at-google-2149527044?refId=b1cf06e8-67be-4b59-a342-92c5ef86cdb5&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Participation in the internship program requires that you are located in the United States for the duration of the internship program. This internship is intended for students who are pursuing a Bachelor's degree with an anticipated graduation date on or after December 2021, depending on their program and unique circumstances.Preferred RequiredClick on the “Apply” button on this page and provide the required materials in the appropriate sections (PDFs preferred)To start the application process, you will need an updated CV or resume and a current unofficial or official transcript in English. 1. In the “Resume Section:” attach an updated CV or resume. 2. In the “Education Section:” attach a current or recent unofficial or official transcript in English.Under “Degree Status,” select “Now attending” to upload a transcript.Note: By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; Ann Arbor, MI, USA; Austin, TX, USA; Boulder, CO, USA; Cambridge, MA, USA; Chapel Hill, NC, USA; Chicago, IL, USA; Irvine, CA, USA; Kirkland, WA, USA; Los Angeles, CA, USA; Madison, WI, USA; New York, NY, USA; Palo Alto, CA, USA; Princeton, NJ, USA; Portland, OR, USA; Pittsburgh, PA, USA; San Bruno, CA, USA; Seattle, WA, USA; San Francisco, CA, USA; Sunnyvale, CA, USA; Washington, DC, USAMinimum Qualifications Currently enrolled in a Bachelor's degree in Computer Science, Linguistics, Statistics, Biostatistics, Applied Mathematics, Operations Research, Economics, Natural Sciences or a related technical field. Experience in one or more areas of computer science, such as Natural Language Understanding, Neural Networks, Computer Vision, Machine Learning, Deep Learning, Algorithmic Foundations of Optimization, Data Science, Privacy, Trust & Safety, Software Engineering or similar. Experience with one or more general purpose programming languages including: C/C++, Java, MATLAB, Go or Python. Preferred Qualifications Available to work full time for a minimum of 12 weeks outside of university term time and returning to a degree program after completion of the internship. Contribution to research communities or efforts, including publishing papers in major conferences or journals. Relevant work experience, including internships, full time industry experience or as a researcher in a lab. Ability to design and execute a research agenda. Ability to speak and write in English fluently and idiomatically. About The JobJoin us for a 12-14 week paid internship that offers personal and professional development, an executive speaker series, and community-building. Research happens across Google everyday, in many different teams. Our research has already impacted user-facing services across Google including Search, Maps and Google Now, and is central to the success of Google Cloud and our planet-scale computing, storage, and networking infrastructure.Research Interns aren't cloistered in the lab, but instead they work closely with Software Engineers to discover, invent, and build at the largest scale. Ideas may come from internal projects as well as from collaborations with research programs at partner universities and technical institutes all over the world. From creating experiments and prototyping implementations to designing new architectures, Research Interns and Software Engineers work on challenges in artificial intelligence, machine perception, data mining, machine learning, natural language understanding, privacy, computer architecture, networking, operating systems, storage and data management, and much more. As a Research intern, you will work on a specific project critical to Google’s needs. You might also stay connected to your research roots as a contributor to the wider research community by publishing papers.There is always more information out there, and our research teams have a quest to find new ways to make it accessible and useful. We're constantly refining our signature search engine to provide better results, expanding the scope and utility of our data-analytics systems, enhancing our Cloud applications and infrastructure, among a broad range of other Google products.Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.Responsibilities Participate in cutting edge research to develop solutions for real-world, large-scale problems. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form .Show moreShow less 
",Not Applicable,Full-time,"Education, Training","Information Services, Internet",Research Intern,"San Francisco, California"
