company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
Quantifind,San Francisco Bay Area,Data Scientist,2019-07-17,"Excellent written and verbal communication skills, with prior experience explaining assumptions, conclusions and methodology to both ...",https://www.linkedin.com/jobs/view/data-scientist-at-quantifind-1358335104?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"QuantifindSan Francisco Bay Area 
 
LOCATION: MENLO PARK, CALIFORNIA   
   
  
WHAT A GREAT CANDIDATE LOOKS LIKE:  
  
THE OPPORTUNITY WE OFFER  
  
Quantifind is seeking to fill a Full-Stack Data Scientist position in Menlo Park, CA on our Data Science team. We work closely with the Product Management team and Platform engineers to anticipate company needs and quickly put state-of-the-art mathematical tools into the hands of end users. Members of the Data Science team translate real world problems into quantitative language, find or create algorithms to solve those problems, and implement them in code. Our team values a creative and empathetic approach to problem solving and strives to maintain rigorous scientific and engineering standards. We will give you the opportunity to work on the full data science pipeline, bringing solutions from basic research all the way to production.  
  
We are an equal opportunity employer. We pride ourselves on living our values. We are curious. We respect each other. We are proactively transparent. We relentlessly solve problems. We win together.  
  
Will you join us? Apply now! 
",Mid-Senior level,Full-time,Engineering,"Computer Software, Internet, Information Technology and Services"
Big Cloud,San Francisco Bay Area,Senior Data Scientist,2019-07-26,They’re looking for Data Scientists to help tackle one of the most difficult problems of the last 100 years. Are you a Data Scientist ...,https://www.linkedin.com/jobs/view/senior-data-scientist-at-big-cloud-1348475938?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Big CloudSan Francisco Bay Area 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
   
Are you a Data Scientist looking for something a little different? Want to work side by side with the best?  
   
Founded by some of the industry’s finest, this start-up’s tech can turn any car into a self-driving car!  
   
They’re looking for Data Scientists to help tackle one of the most difficult problems of the last 100 years. This is a safety critical project which will have a tremendous impact in the field, heavily focused on analyzing human behavior/decision making.  
   
To be right for the role you’ll need to:  
   
  
     
   
  
For more info or to apply, please get in touch. 
",Mid-Senior level,Full-time,Information Technology,"Information Technology and Services, Automotive"
Omada Health,"San Francisco, CA, US",Data Scientist,2019-07-13,The data team is responsible for building quantitative narratives and data products that empower healthy behavior change for our users ...,https://www.linkedin.com/jobs/view/data-scientist-at-omada-health-1370213040?position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Omada HealthSan Francisco, CA, US 
",Entry level,Full-time,"Engineering, Information Technology","Information Technology and Services, Computer Software, Internet"
Mayvenn,"Oakland, CA, US",Data Scientist,2019-07-11,"Mayvenn is looking for a Data Scientist to join our data team! Experience with eCommerce a plusThe current Mayvenn team, although small, ...",https://www.linkedin.com/jobs/view/data-scientist-at-mayvenn-1367838562?position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"MayvennOakland, CA, US 
",Entry level,Full-time,"Engineering, Information Technology","Marketing and Advertising, Computer Software, Internet"
TextNow,"San Francisco, CA, US",Data Scientist,2019-06-11,"Strong analytical skills, with experience solving ambiguous problems using data and a keen eye for detail through thoughtful ...",https://www.linkedin.com/jobs/view/data-scientist-at-textnow-1334092066?position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"TextNowSan Francisco, CA, US 
",Entry level,Full-time,"Engineering, Information Technology","Computer Software, Internet, Telecommunications"
Outlier AI,"Oakland, CA, US",Data Scientist,2019-06-16,A focus on the user experience and the business needs of our customers. Strong written and oral communication skills. Come help us ...,https://www.linkedin.com/jobs/view/data-scientist-at-outlier-ai-1320877706?position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Outlier AIOakland, CA, US 
",Entry level,Full-time,"Engineering, Information Technology",Computer Software
SentiLink,"San Francisco, CA, US",Data Scientist,2019-06-13,A PhD or Master’s in a technical field plus work experience. Experience with Spark or other distributed computing frameworks. Experience...,https://www.linkedin.com/jobs/view/data-scientist-at-sentilink-1316616095?position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"SentiLinkSan Francisco, CA, US 
",Entry level,Full-time,"Engineering, Information Technology",Information Technology and Services
Curology,"San Francisco, CA, US",Data Scientist,2019-06-08,We're looking for an experienced and highly motivated data scientist who can identify actionable insights that drive marketing strategy ...,https://www.linkedin.com/jobs/view/data-scientist-at-curology-1307859607?position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"CurologySan Francisco, CA, US 
",Entry level,Full-time,"Engineering, Information Technology","Marketing and Advertising, Computer Software, Internet"
Syapse,"San Francisco, CA, US",Data Scientist,2019-07-04,Join us in our mission to make precision medicine available to every cancer patient who needs it and help us make a positive impact in ...,https://www.linkedin.com/jobs/view/data-scientist-at-syapse-1354579545?position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"SyapseSan Francisco, CA, US 
",Entry level,Full-time,"Engineering, Information Technology","Computer Software, Internet, Hospital & Health Care"
"University of California, San Francisco","San Francisco, CA, US",Data Scientist,2019-07-04,The UCSF Digital Health Innovation (CDHI) is seeking an experienced Data Scientist to join our SmarterHealth Initiative team working on ...,https://www.linkedin.com/jobs/view/data-scientist-at-university-of-california-san-francisco-1345725650?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"University of California, San FranciscoSan Francisco, CA, US 
",Not Applicable,Full-time,"Engineering, Information Technology",Higher Education
Salesforce,"San Francisco, CA, US",Data Scientist,2019-06-29,"Experience with one or more Business Intelligence and visualization tools (Business Objects, Tableau, ChartIO, JMP, etc.) is a plus. ...",https://www.linkedin.com/jobs/view/data-scientist-at-salesforce-1331862009?position=11&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"SalesforceSan Francisco, CA, US 
",Not Applicable,Full-time,"Engineering, Information Technology","Computer Software, Information Technology and Services, Internet"
Blueshift,"San Francisco, CA, US",Data Scientist,2019-06-10,Blueshift is looking for bold and self motivated data scientists to join the team. You will work along side experienced technical and ...,https://www.linkedin.com/jobs/view/data-scientist-at-blueshift-1309804465?position=12&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"BlueshiftSan Francisco, CA, US 
",Entry level,Full-time,"Engineering, Information Technology",Internet
Formation,"San Francisco, CA, US",Data Scientist,2019-07-05,We work with high volume data streams to deliver tailored experiences and orchestrate physical and digital exchanges into a seamless ...,https://www.linkedin.com/jobs/view/data-scientist-at-formation-1355383717?position=13&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"FormationSan Francisco, CA, US 
",Entry level,Full-time,"Engineering, Information Technology","Information Technology and Services, Computer Software, Internet"
Marin Software,"San Francisco, CA, US",Data Scientist,2019-05-27,"Marin Software Incorporated’s (NYSE: MRIN) mission is to give advertisers the power to drive higher efficiency, effectiveness, and ...",https://www.linkedin.com/jobs/view/data-scientist-at-marin-software-1334109295?position=14&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Marin SoftwareSan Francisco, CA, US 
",Entry level,Full-time,"Engineering, Information Technology","Marketing and Advertising, Computer Software, Internet"
