company,location,title,post_date,salary,description,url
Noom Inc.,"New York, NY",Data Engineer ,30+,," 
 At Noom, we use scientifically proven methods to help our users create healthier lifestyles, and manage important conditions like Type-II Diabetes, Obesity, and Hypertension. Our Engineering team is at the forefront of this challenge, solving complex technical problems that center around habits, behavior, and lifestyle. 
 We are looking for a Data Engineer to join our Data team and help us improve and maintain our Data Warehouse. If you like to work with billions of rows of data and be at the center of data-driven decisions, we’ll love working with you. 
 What You’ll Like About Us 
 We work on problems that affect the lives of real people. Our users depend on us to make positive changes to their health and their lives.We base our work on scientifically-proven, peer-reviewed methodologies that are designed by medical professionalsWe’re a respectful, diverse, and dynamic environment in which Engineering is a first-class citizen, and where you’ll be able to work on a variety of interesting problems that affect the lives of real people.We offer a generous budget for personal development expenses like training courses, conferences, and books.You’ll get three weeks’ paid vacation and a flexible work policy that is remote- and family-friendly (about 50% of our engineering team is fully remote). We worry about results, not time spent in seats.Delicious (and nutritious) daily lunches and snacks prepared by Sam, our NYC office on-site chef. 
 What We’ll Like About You 
 You have experience dealing with data at scale, processing and transforming hundreds of millions of data points per day.You have first-rate SQL skills, but you are aware of its limits. You know when to use it, and when it’s better to find a different solution.You are familiar with ETL tools and problems. We use Airflow, Redshift, Glue, and many other systems.You’re used to work alongside data analysts and data scientists to help them prepare complex datasets that can be used to solve difficult problems. 
 Job Type: Full-time",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CTxeckkshV_qNgr-yNuagKfX03aAeBqs32sUcG_UJIPCopPaQjc4KKFFfo8lQb5ONFzpN85zdeT-KTG2vfCLyCBdjdtFAFzp5F6jb8I_fhD7EGKeSa0G31fhTXHP97gfrhpYMsPz1CKXfWXcXl6akpgenWVONGK2mLk_vGnlPc2LmmTE8Bt7eACd8HELNPuYapZEF45aoT-6kN3hae63ovn6Rdt9AqhFFJ-3eVsmQV5A8h8VqhxFLTHfD2LEI5ulqbqJavTiM-yXgDMBxglt3VRrkHolHLPykxS633HKyLdIVnoK8VicK-UxJQzLNxR7ACr55-PP3syLboKjDPN33PkEsQn6G5Or7YXJmhRaI_EKmdZpT5aczTmY3z9EBITFqmvcXC_ln6sfDyjSiYbt0g&p=0&fvj=1&vjs=3
CardinalHire,"New York, NY",Sr. Data Engineer ,3,"$140,000 - $180,000 a year"," 
 We are a prominent NYC based data startup, focuses on gathering unique datasets via crowdsourcing and providing unprecedented insights to Commercial Real Estate industry via state of the art data-intensive applications. We are expanding our tech team and looking for talented Senior Data Engineers to help us bring our unique data products to the market. What you will work on will challenge the status quo and change our industry forever. 
 You will be working in the following environment:  
 Scala/Haskell based public and private APIsMachine learning systems for processing and analyzing crowdsourced and public dataSophisticated search tech, based on ElasticsearchAutomated DevOps via SaltStack, Terraform, Nomad, Consul and VaultPolyglot development environmentData-driven product offeringsAnd much more 
 What can you do?<br/>We are looking for senior data engineers with 5+ years of experience who have a proven track record of delivering high-quality, maintainable data-driven software. Your experience should include: 
 Designing and implementing distributed data systemsKafka/Kafka Streams/Kafka ConnectorsApache Spark + ScalaCloud computing with AWS (S3, Lambda, DynamoDB, EMR ...)Relational and NoSQL data storesDomain Driven DesignMicroservice architectureElasticsearch is a big plusSpark MLib is a big plusEvent sourcing is a plus 
 Who are you?<br/>We provide a fantastic environment for your continuous personal and professional growth, and in return, we hope that: 
 You love data-driven productsYour professional mission is to develop rock-solid systems and write clean and maintainable codeYou are focused on solving problems via well designed composable systemsYou are interested in working in a lean startup environmentYou are always eager to learn no matter the depth of your experienceYou are a kind person who has an easy time collaborating with other peopleYou are happy to mentor less experienced gifted engineersYou have a BS or MS degree in Computer ScienceYou have experience with Scala, and you count Scalaz, Cats, Shapeless among your favorite librariesYou have experience in other functional languages like Haskell or OCamlYou are interested in Machine Learning and NLP 
 We were born out of our dreams to revolutionize Commercial Real Estate and deliver information and insight out of fragmented and sparse data. We hail from 500 Startups, one of the most prestigious Silicon Valley incubators. Our goals and potential are lofty, and that is why we are backed by one of the most acclaimed VC firms – Canaan Partners. When you join our family, you will be joining a smart and collaborative team that is currently disrupting an antiquated industry. 
 What will you be paid? 
 Highly competitive compensation: salary + bonus + equityKarma points for doing great things in life. 
 Job Type: Full-time 
 Salary: $140,000.00 to $180,000.00 /year 
 Experience: 
 relevant: 5 years (Preferred) 
 Work Location: 
 One location 
 Benefits: 
 Health insuranceDental insuranceVision insuranceRetirement planPaid time offFlexible scheduleParental leaveRelocation assistance",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A1RuKDyCfAPIZaxa04NaoYqnk4NcGXvseMuFEK8Ui4xg2Y60tkybh4BNIUQ7pkP822udEKCCPvlJf6L66c4jValnq-HsDK-ORE51lD224kSvqcw1sUVrJpNOlQpxlTYCVZRBcdez9EXnT0blM-eCVu5fdo3xdelK0izNRQFBa7rEJlH44G0dv2Zd8ZGSTMaABJDC9WTlKb0p7Zl_3aw_vIHAzy6fdy0vbvSlx4IgVot864rVoDOY_lprZSF1Q-pOTCJsS5NFa301UxMugtvoCL34bb1dpPNKU1GXCqZ87JxUMYCGjM2sM3QlJNuSg_ckodapPMAffpCEWYsdxVGjpUTemb-WHjeNHH0siy6YQH3zZfvWnTG1CH7ZZhNYKfmo1z26jfOyjV0HxXtPwjyuKVJVd8RtclI-60HAcnY_Ic8S72KgPEYmxBZazWW5kvC1INUy_Ba6UnOw==&p=1&fvj=1&vjs=3
Blue Orange Digital,"New York, NY 10016",Data Engineer ,27,"$130,000 - $150,000 a year"," 
 Company Introduction 
 Founded by freelance engineers, Blue Orange Digital wanted to bring an engineering-first approach to the development agency model. We aim to work on projects that use the latest and greatest technologies. We care about the products we build and only work with clients who understand that good applications come from happy engineers and team members. We’re headquartered in NYC and DC with additional remote engineers across the US. 
 We are looking for an Experienced Data Engineer with a preference for Python that will be responsible for managing ETL/ELT and performant data storage and retrieval. Our projects ingest data from multiple sources, wrangles the disparate data into a unified schema, and then provides a final database/cloud storage for reporting efforts by other groups. We are looking for candidates proficient related AWS services and DBs. 
 Your primary focus will be the development of server-side logic, data ingestion, data wrangling, and algorithm development. Major technologies involved include AWS, Python 3, Spark, Pandas, MySQL. 
 Skills And Responsibilities 
 Development of new RDBMS schema to handle the addition of new datasets.Applicable AWS proficiencyComfortable with Containerization (Docker, Vagrant, etc)Ability to write intermediate to advanced SQL for data wrangling and reporting efforts.Development of Python/Pandas code to wrangle multiple datasets covering a full spectrum of ETL tasks including entity resolution.Occasional Linux server management including the review or management of log files, crontab, security configuration, etc.Familiarity with machine learning topics to support supervised and unsupervised classification efforts.Data exploration, analysis, and reporting skills with an eye towards developing a narrative using Jupyter Notebook.Working understanding of REST APIs.Developing techniques to work with both tabular and hierarchical data. 
 The ideal candidate:  
 Motivated by a passion to create highly fault tolerant apps with excellent design practicesEnjoys collaborating with other engineers on architecture and sharing designs with the teamHas experience collaborating with team members and communicating code patterns.Interacts with others using sound judgment, good humor, and consistent fairness in a fast-paced environment 
 Job Type: Full-time 
 Salary: $130,000.00 to $150,000.00 /year 
 Experience: 
 AWS: 4 years (Required)Data Warehousing: 4 years (Required)MySQL: 4 years (Required)Python: 4 years (Required)RDBMS: 4 years (Required)ETL: 4 years (Required) 
 Location: 
 New York, NY (Required) 
 Benefits offered: 
 Paid time offHealth insuranceParental leaveDental insuranceRetirement benefits or accounts",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CntyNKFPSH3JeiohMW1BYMDsYeLMUhzz3Cg-ura0o-B-rmhBBW6tfgBtCMQ59rbLHS1MvT-5eL4elO6KpC_PGCqvn05RwfUn-J4PoWeYXdaVRRAWRAsVaryP5ZM5CMdD6XCGrlwfG923KTcSEb-wf6cWGFjkcnO8yIbyRD844_TiLWuMv6K7RyqMqPypoBppn1aOgfgWQr3-sEseMcOkhVMXhvY6_1w08px1k2j8H04gs3HfWtOq0oCe3GEqqb5wdsPcjR5LydS8XiZ9SZELI6_zYvSnSOei91HpMN1mfBxzEnZEj9oCdWhI9mhVJi2d8_soxQKxxoV7MC9Aki9R-7742uA72mY7aoTliOqKnqHwyPchA4a84diTBdNkSEw77jvyjLsbCnOof0xSAo7IAzKbZx12XzkFq_2noBup2zLRopfbqS1oPdu_BBhLRpSwc=&p=2&fvj=1&vjs=3
Transport Learning,"New York, NY 10014",Data Science/Machine learning engineer at an EdTech startup ,30+,"$70,000 - $100,000 a year"," 
 Job description: <br/>- Using Tensorflow Lite, implement data collection methods, processing, and storage (principally facial features, pupil size, ambient sound, and ambient light). 
 - Clean data for pattern/signal detection. 
 - Train data against known stimuli. 
 - Create models to predict user reactions (for example, facial features and pupil size). 
 Experience: <br/>Minimum 2+ years<br/>(Must have references.) 
 Expert in:  
 Python<br/>Azure 
 Familiar with:  
 OpenCV<br/>TensorFlow Lite 
 Keras 
 Qualities:  
 Learns quickly<br/>Attention to detail<br/>Creative problem solver<br/>Delvers on time 
 Interview Process 
 Phone interview 
 In-person interview 
 Job Type: Full-time 
 Salary: $70,000.00 to $100,000.00 /year 
 Experience: 
 machine learning: 2 years (Required) 
 Location: 
 New York, NY (Required) 
 Work authorization: 
 United States (Required)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_nvrFZn-GLrGUcGLIXBPEt_uU6fXCjMaLhA5SlwFsfFm15RaETMw__agHVZsIr8BVAB8W7sW0jw3zrG1b_ug4jmynqrkmriJxURl_ZopeffA2qkawlApixCb-2gTQMwmnCS1T6JLtI6RR4ZqSjpYOWqnzVKfU0QP6LmVseI2jv4pdgR1DW0dXoL-fw6SlLpMB3gzUvPtVLlvdeh9d962YK4ercIxfVV7My68unmoFwMfuR7Vgnbyl2SrznjX3u22SHlBFBataTHROuLSnU9HxAi004pitWQChRmBezfJv-8NiuFfH5Q7S8nm12EH1KbhCgn_QcsBz71HjeRFJeCudYcPCRj37CU74Ejb6jBXr3OmNg9KNlWo9KTS_ZNMiRuQ3EMuAljdzWIDMZfmSgJiIO_2nKCsMp9D49Cv5poMdsJdsXzRr-cnnw_wZvQlb69INlX9PdD3PzQRoC53EXxq7fJhaRuj2ehFOw4KxGT_ldut8JR0eTtjU&p=3&fvj=1&vjs=3
,"New York, NY",Data Engineer ,30+,," 
 Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.
With one application you can be considered for thousands of tech roles from leading companies on Indeed Prime.<br/>

How Indeed Prime Works
We find out what's important to you and match you with your dream job
Get started – Complete a 5-minute application to be considered for roles at hundreds of leading companies
Get matched – Companies apply to you with opportunities that reflect your role, location and salary specifications
Get career coaching – Level up with free 1:1 coaching, our team will make sure you're ready to tackle any interview
Get your dream job<br/>

Skills and Requirements
We look for top tech talent to join the Indeed Prime platform. Each candidate is reviewed on the following to make sure you're a good fit for our network<br/>

In Demand Skills
From strong communication skills to experience with the latest technologies, you have what employers are looking for<br/>

Stand Out Qualities
You bring unique qualities and traits that stand out and make an impact<br/>

Change ready
You are ready for a career changes and will be responsive to employers who reach out with job opportunities<br/>

Get matched with top tech companies on Indeed Prime!",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DhVAxkc_TxySVbUOs6bxWYWOfhmDTNcVTjFFBAY1FXZ-EFN3cXsFacyjbJwnCPXT8pu1IIVxX8o3KMzC7p25b3JXrkhP-q1fEwgmqcY_Q5lmcxad9RyVbygZ5grSIh2Qy6utJup3KeT350H8PjSyAxkOcrj4GAnT_d5dT18tQN0PYZ_tHVyinzeIlJP3JjfEe9jHq7gV5M24ZyqaUgEjPVF_p0CsBpLayw4-yhRsO--UIKRgwq986A-hyBeIWI9GDWrx84zx7--nnXiGhxWC_OhnTtvbfJmN4oxpA27sw3N8py2UZ9NucmyqIHEtCUGLSdssKHF1NV13jUVHQmF_R62IhJPVg0ZkHlXtjv__7Uwp1kfeesTLRxHgFQZlG9Q4bZGhztE_3t6yWOTyvacuwBDKqmk06-4Tynl08E2L68jbKYbmOlNBT5xjwCqy-508fSIUIcEG01A2j9bDtb9NTnk4-YMV01J0DYeW4Gidq91Lb9WWy0AUzlFVFTApv6__NVxEjEIiZ4y-mopPBxZqP5eqQ5kxF5F0MUt22Tz_GnRDzIJIdoZWrAQ4GPvYKddvElZSJtA1nB1ux8IaZDAbW0ZBv2WKFkliw=&p=4&fvj=1&vjs=3
Disney Streaming Services,"New York, NY",Data Engineer ,12,," 
 Disney Streaming Services is a place for the creative and the bold. Whether New York City, San Francisco, Manchester or Amsterdam, we provide opportunities to elevate your career and transform the industry.<br/>
<br/>
Software Engineers at Disney Streaming Services develop premium digital media products for Major League Baseball and our partners. The products we build, such as ESPN+, MLB.TV and NHL.TV are paving the way for the next-generation media and sport technologies, including the upcoming Disney+ offering. Our Engineering team for Disney Streaming Services is headquartered in the Chelsea area of New York City. Other office locations also include the SoMo area of San Francisco, CA and several international locations.<br/>
<br/>
At Disney Streaming Services, data is central to measuring all aspects of the business, and critical to its operations and growth. The data engineering team is responsible for collecting, analyzing and distributing data using public cloud and open source technologies and offers transparency into customer behavior and business performance.<br/>
<br/>
If you are interested in joining Disney Streaming Services in the pursuit of not only crafting new media products but enjoying the products you build, we are interested in hearing from you.<br/>
<br/>
Responsibilities :<br/>
Collaborate with product teams, data analysts and data scientists to design and build data-forward solutions
Build and deploy streaming and batch data pipelines capable of processing and storing petabytes of data quickly and reliably
Integrate with a variety of data providers ranging from marketing, web analytics, and consumer devices metrics
Build and maintain dimensional data warehouses in support of business intelligence tools
Develop data catalogs and data validations to ensure clarity and correctness of key business metrics
Drive and maintain a culture of quality, innovation and experimentation<br/>

Basic Qualifications :<br/>
2-3 years of experience developing in object oriented Python
Familiar with big-data solutions using technologies like EMR, S3, Spark
Loading and querying cloud-hosted databases such as Redshift and Snowflake
Building data pipelines using Kinesis, Kafka, Spark, or Flink<br/>

Preferred Qualifications:<br/>
Familiarity with binary data serialization formats such as Parquet, Avro, and Thrift
Experience deploying and using data notebook and analytic environments such as Jupyter and Databricks
Knowledge of the Python data ecosystem using pandas and numpy
Experience with graph-based data workflows using Apache Airflow<br/>

Required Education :<br/>
Bachelor’s degree in Computer Science or related field or equivalent work experience",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C-wIR9HnnWAb3omIwSft6ef7V4Na-alUKjTpWUiR2p-idA4MZ8GyHBWmojlZOPCJOKGkHuqVbFHhOc64yruQyLqsdqHuTwyetKMdZWtV4mvt0XXn5hwL8En7p0gTGon60AldQ9nF_s42f6RU-cUQ_gqEJh4m9j_sO6X048IHzpuiw50_VFYfszW9qhH1tLtL7ZblRpsRMdG1NwXF218tBUaAdnetRBjojh64Y1d4sKL1-OJ41X_yKRYKxWavqma2SyufgQOLYVJpxu2lnUQPrXZbMm2YdHzABXoxRDu1bR-Tn7vPnNSNgEnyoUMEVjLHlw10ksbKf37qyyMzQAW6uyzbMU2UUKy9Wb1WNx5nyE-va5k4bJKnRHdqtbER9FEI-60T6yU1TzWkLx_fNtqELscVccIVN6HLleefwkr_khmV_1rZv5SDoPU9YwctPwqAkLCfp9mdi4KeZ3Jt2rwzl0PXRizmfOz1EvnCrs8UIQbFGjhivNy8W3R7wDDq90F_I-EukBGm8zLtmn1sN6oXMGEM9wF3cZ9r2pYegGlAsMOptO3LhGriM6hc7TGQUzztQkpebz5fqYGA==&p=5&fvj=0&vjs=3
1010data,"New York, NY 10004",Software Data Engineer ,30+,," 
 ---------------------
 
 <br/> 
 <br/> 
 
 
 1010data values: 
 <br/> 
 
---------------------
 
 <br/> 
 <br/> 
 
 
 Integrity: 
  Doing the right things for the right reasons
 
 <br/> 
 <br/> 
 
 
 Agility: 
  Adapting and thriving in a dynamic environment
 
 <br/> 
 <br/> 
 
 
 Teamwork: 
  Combining our strengths to do amazing things
 
 <br/> 
 <br/> 
 
 
 Passion: 
  Channeling enthusiasm to drive excellence
 
 <br/> 
 <br/> 
 
 
 Creativity: 
  Unleashing curiosity to defy the norm
 
 <br/> 
 <br/> 
 
---------------
 
 <br/> 
 <br/> 
 
 
 About the role: 
 <br/> 
 
---------------
 
 <br/> 
 <br/> 
 
As a Software Data Engineer at 1010data, you will be responsible for designing, maintaining, and optimizing large-scale automated ELT processes. Working actively with data scientists and analysts specializing in enterprise data warehousing, you will leverage industry-standard data orchestration tools as well as in-house proprietary scheduling and automation tools to create efficient and reliable ELT jobs which support 1010data's product offerings and data warehousing needs for our customers. As we incorporate more cloud technologies into our processes, you will be at the forefront of exploring and defining best practices, and helping us transition our products to be more scalable.
 
 <br/> 
 <br/> 
 
As part of the onboarding process, you will learn about 1010data's proprietary technology stack. Our query engine, query language, database, and data storage layer were all developed and fine-tuned in-house over the lifetime of the company. ELT processes heavily rely on these components, whether they are written in Python and Airflow , K, or our proprietary data orchestration tools. You will be formally trained in the latter as a new 1010data employee. The concepts should be familiar to anyone with exposure to database techniques like normalization/indexing/partitioning, MapReduce, columnar database architecture and distributed systems.
 
 <br/> 
 <br/> 
 
----------------------
 
 <br/> 
 <br/> 
 
 
 What you will take on: 
 <br/> 
 
----------------------
 
 <br/> 
 <br/> 
 
 
 
Taking end-to-end ownership of data products and custom solutions for our clients
Coordinating with the systems, core, data science, and analytics teams to build and maintain data products and custom solutions for our clients
Designing and writing automated scripts to preprocess terabytes of data from our partners/clients
Designing and writing new enterprise-scale ELT/ETL workflows from scratch in Python using Airflow, Docker, Kubernetes, AWS, etc.
Modifying/redesigning legacy ELT/ETL processes to leverage cutting-edge open source and proprietary technologies
Ensuring quality, reliability and uptime for critical automated processes
Migrating our products and processes into the cloud while drastically reducing our in-house data center footprint
 
 
----------------------
 
 <br/> 
 <br/> 
 
 
 What you already have: 
 <br/> 
 
----------------------
 
 <br/> 
 <br/> 
 
 
 Required Skills: 
 <br/> 
 
 
 
At least 1-2 years of professional experience programming in Python
Exposure to ETL/ELT pipeline automation
Exposure to basic database concepts
 
 
 
 Preferred Skills: 
 <br/> 
 
 
 
Good understanding of Data Engineering, NoSQL databases and database design, distributed systems and/or information retrieval
Knowledge of Apache Airflow
Familiarity with functional/vector programming
DBA experience
Ability to plan and collect requirements for projects, and interact with the analyst and data science teams
 
 
 
 Education: 
 <br/> 
 
 
 
STEM Bachelor's required, graduate degree is a big plus
 
 
---------------
 
 <br/> 
 <br/> 
 
 
 About 1010data: 
 <br/> 
 
---------------
 
 <br/> 
 <br/> 
 
1010data travels at the speed of thought to make Big Data discovery easy; we power sub-second responses to analyses run on billions of rows of data. 1010data is defining the way the world interacts with data. Come be a part of it. Come do powerful things with data.
 
 <br/> 
 <br/> 
 
An essential tool to more than 850 of the world's top retail, manufacturing, telecom, government and financial services enterprises including The New York Stock Exchange, Dollar General, P&G, and RiteAid; the 1010data platform is a highly differentiated product that is becoming the industry standard for Big Data Discovery and Data Sharing.
 
 <br/> 
 <br/> 
 
With more than 30 trillion rows of data in our private cloud, 1010data is designed to scale to the largest volumes of granular data, the most disparate and varied data sets, and the most complex advanced analytics. All while delivering lightning-quick system performance.
 
 <br/> 
 <br/> 
 
1010data is an equal opportunity employer. We embrace humans of every background, appearance, race, religion, color, national origin, gender, gender identity, sexual orientation, age, marital status, veteran status, and disability status.",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BlrgrFrEpemNixPAG61kflGlilJD9shIeb2__xeshlUZl_Nc9t8jnNgDiG_J4M72nSPCtAZXWTIUs3fWq5v4Pk8SjFupEa_YsGbBIUoXSeDeL6rI8YbTH5V7_ZWRYmydgJDJB2kzzcNpK40nXJSV2HCorJUUO0sgbhJ8ecEZCU5C3Y-rj2bs6NrAkpNz_IrRl0ZG8np9e2DpFoTGmolE7dMQkIn4AdZ2koUs2vxIirgDzqB1saRpC8TVBrzTUYaxo0z0HX5QwQ5gfPD3-8-WL4dU_BKXWtp6I5v31JEWLZja8vCnWVlJ09sFdpOgdxp1ckFrm6lbBaNmeEVg1a4lX3s6ucxclmtA6L6r-PmTWZp8dB2A09dlnZZ4RacQoRwG5-Pk-Jil6hhQ==&p=6&fvj=0&vjs=3
The New York Times,"New York, NY 10036",Data Engineer ,30+,," 
  
 The New York Times is seeking inventive and motivated data engineers at all levels of experience to join the Data Engineering group. In this role, you will build critical data infrastructure that surfaces data and insights across the company.
About Us
Our Data Engineering teams are at the intersection of business analytics, data warehousing, and software engineering. As Maxime Beauchemin wrote in “The Rise of Data Engineering”, ETL and data modeling have evolved, and the changes are about distributed systems, stream processing, and computation at scale. They’re about working with data using the same practices that guide software engineering at large. A strong data foundation is essential for The New York Times and we’re responsible for it. We use our data infrastructure to power analytics and data products and to deliver relevant experiences to our customers in real-time. We enable our company to validate strategic decisions, make smarter choices, and react to the fast changing world. We are part of a New York based technology organization with a remote-friendly workplace that includes engineers around the world. We value transparency and openness, learning, community, and continuous improvement. Check out the Times Open blog, which is written by engineers and other technical team members, and follow @nytdevs on Twitter to see what we’re up to.
About the Job
We focus on the software engineering related to data replication, storage, centralized computation, and data API’s. We provide customers and partners with data tools, shared frameworks, and data services. These are the foundational core of our group which enables ourselves and others to work with data from a common underpinning. Our tools and services enable our group to scale and avoid blocking others. We reduce data redundancy by creating systems and datasets that serve as sources of record. We enable discovery and governance of our data. We support key business goals like growing our digital subscriber base, understanding how our customers use our products, and retaining our print subscribers.
As a data engineer, you will:
Run and support a production enterprise data platform
Design and develop data models
Work with languages like Java, Python, Go, Bash, and SQL
Build batch and streaming data pipelines with tools such as Spark, Airflow, and cloud-based data services like Google’s BigQuery, Dataproc, and Pub/Sub
Develop processes for automating, testing, and deploying your work
About You
To thrive in this role, you are excited about data and motivated to learn new technologies. You are comfortable collaborating with engineers from other teams, product owners, business teams, and data analysts and data scientists. You are own and shape your technical domain area and move the related business goals forward. You are eager to resolve upstream data issues at the source instead of applying workarounds. You analyze and test changes to our data architectures and processes, and determine what the possible downstream effects and potential impacts to data consumers will be.
Benefits and Perks:
Make an impact by supporting our original, independent and deeply reported journalism.
We provide competitive health, dental, vision and life insurance for employees and their families
We support responsible retirement planning with a generous 401(k) company match.
We offer a generous parental-leave policy, which we recently expanded in response to employee feedback. Birth mothers receive 16 weeks fully paid; non gestational parents receive 10 weeks, also fully paid.
We are committed to career development, supported by a formal mentoring program and $8,000 annual tuition reimbursement.
We have frequent panel discussions and talks by a wide variety of news makers and industry leaders.
Join a community committed to the richness of diversity, experiences and talents in the world we cover, supported by a variety of employee resource groups.
#LI-AM1
The New York Times is committed to a diverse and inclusive workforce, one that reflects the varied global community we serve. Our journalism and the products we build in the service of that journalism greatly benefit from a range of perspectives, which can only come from diversity of all types, across our ranks, at all levels of the organization. Achieving true diversity and inclusion is the right thing to do. It is also the smart thing for our business. So we strongly encourage women, veterans, people with disabilities, people of color and gender nonconforming candidates to apply.
<h3 class=""jobSectionHeader"">The New York Times Company is an Equal Opportunity Employer and does not discriminate on the basis of an individual's sex, age, race, color, creed, national origin, alienage, religion, marital status, pregnancy, sexual orientation or affectional preference, gender identity and expression, disability, genetic trait or predisposition, carrier status, citizenship, veteran or military status and other personal characteristics protected by law. All applications will receive consideration for employment without regard to legally protected characteristics.",https://www.indeed.com/rc/clk?jk=c30c3f753af35a48&fccid=1b50fcfb150b1b48&vjs=3
Spotify,"New York, NY 10011","Data Scientist, Music Analytics ",2,," 
 We are looking for an extraordinary Data Scientist to join the band and build core analytics to support our Music organization. The Music organization is responsible for editorial music recommendations, programming of music content on the Spotify app, relationships with the music industry, artist marketing, and live events.

Spotify’s mission is to unlock the potential of human creativity—by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by it. You will help us achieve this mission, and above all, you will be at the nexus of data science and business at one of the most innovative companies in the world.
<h2 class=""jobSectionHeader"">
What you’ll do
Support leadership with research on key business initiatives and challenges.
Perform analyses on large sets of data to extract actionable insights that will drive decisions, with a particular focus on editorial curation and Spotify’s key music brands.
Engineer novel data sets and features that shed new light on the dynamics of music listening.
Define success measures and build tools that predict and track performance of strategic projects.
Communicate data-driven insights and recommendations to non-technical audiences, through clear visualisations and presentations.
<h2 class=""jobSectionHeader"">Who you are
You are a natural communicator, who focuses just as much on the delivery and the “so what” of your insights, as you do on the technical craft of extracting them.
You are comfortable building and maintaining relationships with senior management, as well as team members around the world.
You are capable of tackling very loosely defined problems, and comfortable leading and owning a research agenda for long term analytics projects.
You are passionate about music and popular culture in general. Previous experience in music, media, entertainment, or tech industries is a plus.
What you bring

Degree in Computer Science/Engineering, Mathematics, Statistics, Economics, or another quantitative field; advanced degree is desirable.
2+ years (5+ years for senior role) of relevant experience analyzing complex data with SQL, Python, and/or R.
Modeling and statistical knowledge is a strong preference. Feature engineering for machine learning models is a real plus.
Experience with visualisations and dashboarding (e.g., Tableau or similar BI software) is a strong preference.
Experience creating and scheduling datasets is highly valued. Knowledge of Google BigQuery and Java/Scala is a plus. 
 ",https://www.indeed.com/rc/clk?jk=033b1e4550a09410&fccid=fe404d18bb9eef1e&vjs=3
Facebook,"New York, NY 10017","Data Engineer, Analytics (University Grad) ",6,," 
 Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started.
Would you like to work with big data? Do you want to use data to influence product decisions for products being used by over half a billion people every day? If yes, we want to talk to you. Our data warehouse team works very closely with Product Managers, Product Analysts and Internet Marketers to figure out ways to acquire new users, retain existing users and optimize user experience - all of this using massive amounts of data. In this role, you will see a direct link between your work, company growth, and user satisfaction. You will work with some of the brightest minds in the industry, and you'll have the opportunity to solve some of the most challenging business problems on the web and mobile Internet, at a scale that few companies can match. This is a full-time position based in Menlo Park, Seattle or New York.
RESPONSIBILITIES
Architect, implement and deploy new data models and data processes in production
Perform data analysis to generate business insights
Interface with Engineers, Product Managers and Product Analysts to understand product goals and data needs
Build data expertise and own data quality for allocated areas of ownership
Manage data warehouse plans for a product or a group of products
Support critical data processes running in production
MINIMUM QUALIFICATIONS
Currently has, or is in the process of obtaining, a Bachelors, Masters or PhD degree in Computer Science, Mathematics, or related technical field
Programming knowledge in Python or Java
Knowledge of SQL
Knowledge of database systems
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment
PREFERRED QUALIFICATIONS
Ability to thrive in a fast-paced work environment
Curious, self-driven, analytical and excited to play with data
Facebook is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com.",https://www.indeed.com/rc/clk?jk=d545f93c4b9efed3&fccid=1639254ea84748b5&vjs=3
