company,location,title,post_date,salary,description,url
Transport Learning,"New York, NY 10014",Data Science/Machine learning engineer at an EdTech startup ,30+,"$70,000 - $100,000 a year"," 
 Job description: <br/>- Using Tensorflow Lite, implement data collection methods, processing, and storage (principally facial features, pupil size, ambient sound, and ambient light). 
 - Clean data for pattern/signal detection. 
 - Train data against known stimuli. 
 - Create models to predict user reactions (for example, facial features and pupil size). 
 Experience: <br/>Minimum 2+ years<br/>(Must have references.) 
 Expert in:  
 Python<br/>Azure 
 Familiar with:  
 OpenCV<br/>TensorFlow Lite 
 Keras 
 Qualities:  
 Learns quickly<br/>Attention to detail<br/>Creative problem solver<br/>Delvers on time 
 Interview Process 
 Phone interview 
 In-person interview 
 Job Type: Full-time 
 Salary: $70,000.00 to $100,000.00 /year 
 Experience: 
 machine learning: 2 years (Required) 
 Location: 
 New York, NY (Required) 
 Work authorization: 
 United States (Required)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_nvrFZn-GLrGUcGLIXBPEt_uU6fXCjMaLhA5SlwFsfFm15RaETMw__agHVZsIr8BVAB8W7sW0jw3zrG1b_ug4jmynqrkmriJxURl_ZopeffA2qkawlApixCb-2gTQMwmnCS1T6JLtI6RR4ZqSjpYOzL2xGRHMQ7cmtrJvz2-jiIaAIR9J7F6FTe7JkQG_BBfUgvYVAxN3yBe8uB8yjlFZVqQtV9i5BslciXE-0aZprj5wxJeav9NFR32WjbFcaR4CXZp0mpYm_4_ehKXLczOcfwYutuN0SN_ru9eR1SiQExhZVzZ-XFa3TFs7Smz0qsjSALmjkN_eFeSZ_MFfjXnF3XZswvLK0dYgG0S8JIu8ys-gywO4v28zmHWwr2Ary0RvC5XU0wbQUT8sHHNSg72PAWYWAkCaWS1-RbdsjZM7NxCN4DCtqs3K10PUjF3Olh4gs6v2TeIq4dCAx6RbxX3qf5aCXsGnovvGUnIHCpLyBHPy6ZluUPm0Y3d9veT7vQk=&p=0&fvj=1&vjs=3
PeopleStrata,"New York, NY 10001","Director, Data Engineering ",14,"$175,000 - $225,000 a year"," 
 As the leader of the Data Engineering team, the Director of Data is responsible for developing, testing, vetting, and productionalizing algorithms that support myriad business use cases. The Director should have significant experience writing and deploying production code in python or java, have extensive experience with databases, be familiar with or able to quickly adapt to a microservices architecture, have extensive experience writing machine learning algorithms or statistical analyses in R or python, and be ready and able to find performance improvements (and cost savings) through algorithmic efficiencies (i.e., be able to apply algorithms with an understanding of their runtimes). 
 The technology stack is built on Google Cloud. The Director of Data should have several years of experience working with cloud technologies and should have experience with Big Data storage and transformation technologies including large-scale relational databases such as Google BigQuery or Amazon Redshift; messaging queues such as kafka, rabbitmq, Amazon Kinesis or Google Pub/Sub; key-value stores such as Redis or Aerospike; batch and streaming data processing tools such as Apache Beam or Spark; etc. 
 Reporting to our VP of Engineering, our hands-on Director of Data is responsible for the following: 
 Developing algorithmic and predictive solutions to business problemsTesting and vetting data post-processing and working with stakeholders to make sure that data/outputs are accurate and fully meet the needs of the businessLeading a team of Engineers by providing direction around project prioritizing, skill development and career pathingEfficiently implementing algorithms (developed by self or others) in productionIterating on existing processes to improve efficiencyWorking with front-end and other engineers to integrate data products into dashboards and user interfaces as needed 
 Requirements:  
 4+ years of python experience with a focus on statistical analysis or data manipulation including experience with data modeling techniques2+ years of experience leading teams and projects5+ years SQL3+ years experience writing and deploying code in a production environment2+ years experience working with big data (datasets on the order of hundreds of millions to billions of records) including tools noted aboveExperience within the ad-tech industry is a major plus!Bachelor’s degree in a relevant field (CS, Engineering, Math, Economics, etc) or equivalent experience. Master’s degree preferred. 
 We’d love it if you had experience with:  
 Java + Spring BootMicroservice ArchitectureKubernetes / DockerApache BeamApache KafkaGoogle Cloud Platform / Amazon Web Services 
 Job Type: Full-time 
 Salary: $175,000.00 to $225,000.00 /year 
 Experience: 
 Relevant: 5 years (Required) 
 Location: 
 New York, NY 10001 (Required) 
 Work authorization: 
 United States (Required) 
 Additional Compensation: 
 Bonuses 
 Work Location: 
 One location 
 Benefits: 
 Health insuranceDental insuranceVision insuranceRetirement planPaid time offParental leaveRelocation assistance",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BSyPDC-ZL5dflanJi1GhPmadMM9IDBv28Y2eVJ37sqnfYD_r0mK_nRI5oAmelT5_3xEmhe3yHlcB5ruTIlY_OpcPIx2VbkJdamOZiN3Autl_ycftU5HS7UU-6Rx8_ekD6ukurqVShwHb_yDYoEDBfNWSXArHop7YaClGcdTa_0vG6HJ6GhRsNspY_bfKwEvcNzzMcfka8uokKoGQSqAf4nqsSPwn9uqnp0FhD0Xd0fNKx8n_UwM-woKRmp4mSmGxQ3wACPVil5vwjfbf-Y6G0M581YUz9dKyHWfJsXal0LPnJnhtF5_LO0fJnIAXGzJzN455KDdt2Y-jTiVh5XLwMDY6CgsxVcnDS1OsxhTODjL86Gmm_4lkWAwgAicu3yPFb1EuuZvrr9ncfL87G1mzxkn4v-WQ9Nc7Oy8J6iA1XLySLSWgjBhE3YEKQCrWvXT0QMbygZopqBcZCdHisD76Xf&p=1&fvj=1&vjs=3
SummitWorks Technologies Inc,"South Plainfield, NJ 07080",(Fresher) Junior Level Software Developer (Python with AWS) ,14,," 
 Entry level Software Engineer - Python with AWS 
 Job Summary: - Entry level Software Engineer.<br/>We are looking for an entry-level software programmer. The Candidates who are in CPT /OPT/USC/GC or any Engineering/Sciences or all eligible to work in the US are encouraged to apply..<br/>Benefits Include:  
 Competitive Pay Packages &amp; Insurance.Expert guidance and mentoring.Sponsor visas for the eligible candidates.On Job, Support to help in day to day queries.The Company is E-verified to get an OPT STEM Extension.The excellent Sales team and best of the clients to help to fetch you a new project.We pay a referral bonus, so let us know if you know someone who is interested. 
 Requirement:<br/>Basic coding experience or Basic knowledge of software programming or knowledge of any programming and Good analytical and problem-solving abilities.<br/>Work Authorization: .<br/>OPT, CPT, US Citizen, Green Card or all eligible to work in the US are encouraged to apply. The Company is E-verified to get an OPT STEM Extension.<br/>**<br/>**<br/>Our Expertise: <br/>Please apply for this job even if you fall short of desired “Python and AWS“experience, looking for a coding language change or if you have basic programming knowledge.<br/>We have a job for you<br/>SummitWorks Technologies Inc allows us to focus on providing you with the most flexible, cost-effective technology solutions crucial to sustaining your competitive advantage in this increasingly complex marketplace. We deliver the strategies, personnel, tools, and resources that enable you to succeed.<br/>KEY WORDS<br/>Web development Web design Web developer Web. UI Developer UI/UX developer /entry level Web developer / mid-level Web developer / Entry level Java developer / Entry level Aws developer / AWS Cloud developer<br/>Entry-level UI developer / Java Developer / Junior java Developer / Entry level Web UI Developer / Junior Front End Developer / Junior Web UI Developer / Mean stack developer / Entry level Software Engineer / Full Stack Developer / Junior UI Developer/ Junior Software Engineer / Junior Programmer / Junior Developer / Junior Python Developer / Fresher opportunities / Data science / cloud computing / AWS cloud / AWS cloud computing / Machine learning / Software Engineer / Software Developer / Software programmer / junior python developer / Python consultant 
 Job Types: Full-time, Internship, Contract",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BURmF02iz-d1HYy6qiHqNJ_78djFQ2TtzoPw5o_bsDvlxG-gWCzmSlK0l5d4pMzrfMoHHYMzpnpj9hT2ZeYOSgyIJmuKrYuFNnsxleAM8DBnAR33Xm0zs4b3jmCSW1EU0-020SQTNaVzvGT8vG0_q7_CBD4wJnXLplQc0ls2DyfXblL9gWEEX8c-HbERNtTkL6Mkyp8ldMxuTHOd9S4lzlg4EXPxMNvJWLE4ZqnV2XwQYhrwXiSv1mRsYkd3tXdyo__uh2DLhq4Vvl5jf3G9ZeSL076GuJ8bLcnqY6ds-6UqsVo82a08I-9PIPMe85z47XBLbiWmr6ndj95_-kjoYS0D1R_J5q5B7z3J_cBzhLhHWJR3yiqt2xrOeF8UeyRXFxsoxg2lvC_Xgc0n8BQUTA3dttQGZTqHTWrlKR16wAOv03gupdrzF6F37Q7p04OHXZVTejPRqbRpsqfu37gCqfUClwADcVkDwkAPV9iqBHzQ==&p=2&fvj=1&vjs=3
Spotify,"New York, NY 10011",Machine Learning Engineer – Customer Experience ,Today,," 
 Spotify is looking for Machine Learning Engineers to join our team. You will work on a variety of problems such as personalization, targeting, optimization and similar. Being a part of a team, you will come up with new and interesting hypotheses, test them, and scale them up to massive data sets, so that your algorithms and models can be used to improve critical components in the Spotify products. Above all, your work will impact the way our 200 million users experience music.

This position requires experience from applied machine learning in production systems, preferably on a large scale. So for this particular role, we will not be considering applications from recent graduates. We currently hiring for several teams.

What you’ll do:

Build new or take already live features of our apps and make them better utilizing ML
Contribute to designing, building, evaluating, shipping, and refining Spotify’s product by hands-on ML development
Prototype new approaches and production solutions at scale.
Build systems that take in multiple user signals and suggest feature optimizations for each user.
Take on complex data-related problems using some of the most diverse datasets available
Perform data analysis to establish baselines and inform product decisions.
Run experiments to understand the value of your approaches
Collaborate with a cross-functional agile team spanning design, data science, product management, and engineering.
Who you are:

You have a strong background in machine learning, data, and backend.
You have experience building data pipelines and are self-sufficient in getting the data you need to build and evaluate your models, using tools like Apache Beam / Scio.
You have hands-on experience implementing production machine learning systems at scale in Java, Scala, Python, or similar languages.
Experience with PyTorch, TensorFlow, or Google Cloud Platform is a plus.
You care about agile software processes, data-driven development, reliability, and disciplined experimentation
You have experience and passion for mentoring and encouraging collaborative teams.
You love your customers even more than your code. 
 ",https://www.indeed.com/rc/clk?jk=9c32702c147c40da&fccid=fe404d18bb9eef1e&vjs=3
7N,"New York, NY",Machine Learning Engineer ,13,," 
 Do you want to change the ways of secure interactions between humans and computers? 
 
 
 <br/> 
 <h4 class=""jobSectionHeader"">Machine Learning Engineer
On behalf of a client we are looking for a Machine Learning Engineer who wants to be a part of developing a new enterprise solution that will change the ways of secure interactions between humans and computers. You will join a team of Software Developers and Engineers who work closely with scientists.
<h4 class=""jobSectionHeader"">Responsibilities
You will be working on an enterprise SaaS solution. Your daily work will be a mix of data science and applying new deep learning techniques from image, video, and voice processing research to behavioral data. The role is involved in everything from preprocessing, feature extraction, modeling, testing, evaluating, productizing, and to some extent deploying. You will also be involved in the pipelining and automation of the algorithms.
<h4 class=""jobSectionHeader"">Qualifications
Machine Learning fundamentals. i.e. algorithms, math and statistics
Python programming skills
Experience with deep learning and deep learning frameworks
Experience with feature learning
Experience with template matching and statistical machine learning
Experience with data science, data cleaning and data processing",https://www.indeed.com/rc/clk?jk=d1e29f17027c21e1&fccid=050cf6e1fc6835a8&vjs=3
NBCUniversal,"New York, NY","Engineer, Machine Learning ",6,," 
 Description<br/>
The Machine Learning Engineer is a key resource in the design and implementation of high-impact data products, as part of NBCUniversal’s Analytics Center of Excellence (COE). Working in a hands-on collaborative environment, join us in building some of the most innovative solutions not yet built. Transcend the static nouns of platforms, data sources, integrations, interfaces, etc., and relish in the verbs of mining, modeling, predicting, and innovating to unlock the stories yet to be told.<br/>

Primary Responsibilities
Collaborate with the leaders within ACOE to size, scope, and deliver machine learning frameworks
Engage with various leaders throughout the enterprise to understand business problems, translate them to possible solutions to drive value
Help create a community of practice within the ACOE around data science and machine learning
Design, build, and scale production-ready machine learning pipelines across a variety of systems for various use cases, optimizing for reusability, efficiency, and cost
Productionalize existing data science prototypes, as well as develop machine learning projects from end-to-end
Maintain quality and on-going evaluation of machine learning models
Research and implement appropriate machine learning algorithms and tools
Participate in development sprints, demos, and retrospectives, as well as release and deployment
Collaborate in establishing and evolving development, testing, and documentation standards as well as related code reviews
Ensure policies and standards are followed across the organization
Deliver services that meet internal KPIs &amp; customer SLAs
Stay up-to-date on developments and research in the field
Qualifications/Requirements
Education &amp; Certifications<br/>
Undergraduate degree in the field of computer science or engineering, or focus on statistical analysis or equivalent experience required. Masters degree in related proficiencies preferred.<br/>
<br/>
Required Knowledge &amp; Experience<br/>
Three (3) to five (5) years of experience in data science and software development<br/>
High proficiency in Python (experience in R and additional languages a plus)<br/>
High proficiency in manipulating data from SQL and NoSQL databases<br/>
Solid knowledge of statistics and common machine learning techniques, such as clustering, classification, and regression methodologies<br/>
Experience with building REST APIs and other web technologies<br/>
Experience with cloud environments and server-less architectures<br/>
Able to understand common data structures and patterns utilized for data transformation<br/>
An ability to apply new research and methodologies to problem sets<br/>
Prior experiencing translating analytical solutions from POCs to operational frameworks with specified SLAs and a focus on efficiency<br/>
Knowledge of domain-driven design and design patterns<br/>
Knowledge of source control and code review systems<br/>
Ability to quickly understand how data is used by business processes and what the data means in the context of these specific processes<br/>
Ability to work effectively within cross-functional business and technical teams, as well as proficiencies with Agile/Scrum methodologies.<br/>
Demonstrated business acumen and the ability to apply technology solutions to solve business problems<br/>
Working knowledge of media sales and/or research operations, including broadcast TV, digital, and mobile preferred<br/>
Experience working with data sources such as Nielsen, Adobe Analytics, comScore, Hitwise, and other industry research sources a plus.
Desired Characteristics
Personal Attributes<br/>
Strong interpersonal oral and written communication skills<br/>
A general disposition towards learning, application and experimentation<br/>
The ability to quickly build rapport and gain the respect and cooperation of both technology and business peers<br/>
Be able to deal with ambiguity and make quality decisions in a dynamic, fast-paced environment<br/>
Active passion for the media space<br/>
Action-oriented and driven to achieve results in a positive manner, displaying ethical behavior, integrity, and building trust at all times<br/>
Customer-focused<br/>
Strong teamwork and interpersonal skills; ability to communicate and persuade peers and thrive in a cross-functional matrix environment<br/>
Strong organizational skills<br/>
Ability to articulate ideas to both technical and non-technical audiences<br/>
Continually improves upon weaknesses while maintaining and utilizing strengths to reach goals<br/>
Able to work independently, plan workloads and deliver on commitments<br/>
Superior analytical, evaluative, and problem-solving abilities<br/>
Able to quickly learn new technologies as they become prevalent and widely implemented, and develop oneself<br/>
Driven to utilize both proven and unique solutions to address business problems until issue is resolved<br/>
Asks informative, open-ended questions when necessary, and actively listen to responses
Sub-BusinessTechnology
Career Level
Experienced
CityNew York
State/Province
New York
CountryUnited States
About Us
At NBCUniversal, we believe in the talent of our people. It’s our passion and commitment to excellence that drives NBCU’s vast portfolio of brands to succeed. From broadcast and cable networks, news and sports platforms, to film, world-renowned theme parks and a diverse suite of digital properties, we take pride in all that we do and all that we represent. It’s what makes us uniquely NBCU. Here you can create the extraordinary. Join us.
Notices
NBCUniversal’s policy is to provide equal employment opportunities to all applicants and employees without regard to race, color, religion, creed, gender, gender identity or expression, age, national origin or ancestry, citizenship, disability, sexual orientation, marital status, pregnancy, veteran status, membership in the uniformed services, genetic information, or any other basis protected by applicable law. NBCUniversal will consider for employment qualified applicants with criminal histories in a manner consistent with relevant legal requirements, including the City of Los Angeles Fair Chance Initiative For Hiring Ordinance, where applicable.",https://www.indeed.com/rc/clk?jk=645a6a69ef40b609&fccid=35d653c09c2712b6&vjs=3
MLB.com,"New York, NY",Machine Learning Engineer ,2,," 
 Position: 
  Machine Learning Engineer, Baseball Data
 
 <br/> 
 <br/> 
 
 
 Reports to: 
  Director, Software Engineering, Baseball Data
 
 <br/> 
 <br/> 
 
Major League Baseball's Technology team is renowned for creating experiences that baseball fans love.
 
 <br/> 
 <br/> 
 
We're looking for an expert in Machine Learning to create the code powering Major League Baseball. The Baseball Data team is tasked with analyzing the data captured on the field. With the launch of Statcast in 2015, MLB began tracking ball and player movements for each and every play. This role will involve combining our various data sources with video in near real-time to further our understanding of what is happening on the field.
 
 <br/> 
 <br/> 
 
This position offers the opportunity to collaborate with other world-class engineers, data scientists, product developers, and designers; contribute to award-winning and complex apps and systems; influence the innovation of products used by millions globally; and work in a highly collaborative, results-oriented, team environment.
 
 <br/> 
 <br/> 
 
Using bleeding edge technology, our software is consumed by fans, broadcasters, stadiums, MLB Clubs and the league itself. We are looking for Engineers that are passionate about building new technologies for the baseball industry, and this role will help usher in the next generation of experiences for fans of all ages!
 
 <br/> 
 <br/> 
 
 
 Core Responsibilities: 
 <br/> 
 
 
 
Brainstorm, discuss, and drive new advanced technology solutions for MLB products
Build scalable machine learning algorithms
Influence the innovation of products used by millions of users worldwide
Present and explain complex models to non-technical stakeholders
Introduce technologies you feel passionate about
 
 
Qualifications
 
 <br/> 
 <br/> 
 
 
 
Masters or PhD in Computer Science with a focus in machine learning
3+ years experience working with machine learning
Deep knowledge of machine learning and statistical predictive modeling
Experience with numpy, pandas, and scikit Python libraries
Real-world application experience implementing CNNs, or RNNs/LSTMs
Deep Learning Tools – Tensorflow, Theano, Caffe, etc.
 
 
",https://www.indeed.com/rc/clk?jk=a675d15afa608421&fccid=bc1c9d9d782c6b91&vjs=3
Spotify,"New York, NY 10011",Machine Learning Infrastructure Engineer ,30+,," 
  
 We are looking for a Senior Software Engineer to help us define and build the next generation of ML infrastructure at Spotify. Our mission is to enable every team at Spotify to iterate quickly on hypotheses and scale their experiments to data sets with hundreds of billions of data points. In this role you will work closely with many of the ML teams at Spotify across missions including personalization, music recommendations, ads targeting, pricing and more. Above all, your work will impact the way the world experiences music.<br/>


What you’ll do

Build infrastructure that best supports the needs of a broad community of machine learning engineers, active across all Spotify business units
Design such infrastructure under the constraints that come with scale in regards to correctness, usability, interpretability, experimentation and maintainability
Become an expert on leveraging existing state-of-the-art tooling into the Spotify eco-system (TensorFlow, TFX, Kubeflow Pipelines, Cloud Bigtable)
Collaborate with cross functional agile teams of software engineers, data engineers, ML experts, and others in building new product features
Contribute to new and existing Spotify open source machine learning and data processing products (scio, zoltar)
Leverage your experience to drive best practices in ML and data engineering
Gain a deep understanding of various models used by our stakeholders on both structured and unstructured content (text, audio, images, behavioral data etc)
Determine the feasibility of projects through quick prototyping with respect to performance, quality, time and cost using Agile methodologies<br/>


Who you are

You have development experience with an object-oriented programming language such as C++ or Java and/or functional programming languages
You have previous industry experience with ML systems using frameworks such as Scikit-learn and Tensorflow
You have previously built APIs and libraries for Java, Scala or Python
You care about agile software processes, data-driven development, reliability, and responsible experimentation
You routinely survey research publications in the machine learning and software engineering communities
You preferably have experience with data processing and storage frameworks like Google Cloud Dataflow, Hadoop, Scalding, Spark, Storm, Cassandra, Kafka, etc.
You preferably have open source contributions to share with us
Skilled communicator and have a proven record of leading work across disciplines 
 ",https://www.indeed.com/rc/clk?jk=6f08f5796c5f6465&fccid=fe404d18bb9eef1e&vjs=3
Butterfly Network,"New York, NY",Machine Learning Engineering Intern ,30+,," 
 Job Description<br/>
<br/>
Building “intelligence” into our software is the responsibility of the Deep Learning Team.
We’ve built a strong research team and are looking for talented Software Engineers, Data Scientists and Research Scientist interns. This role is best suited for engineers interested in learning about machine learning and building components of high-impact, life-saving systems.
Each internship will involve working alongside other research scientists, software engineers and a world-class clinical team to help develop a new suite of “intelligent” medical products.
Examples of Projects
Designing Algorithms for interpretation of machine learning models.
Real-time analytics systems that monitor the performance of models and annotations.
Optimizing speed and size of neural networks on mobile devices
Next generation distributed infrastructure for training machine learning models. 
 
 
 <br/> 
 
 
 Qualifications<br/>
<br/>
Minimum:
Working on CS undergraduate or graduate degree.
Familiarity with engineering best practices and design patterns.
Good to have:
Working on MS or Phd in computer vision, data science or machine learning.
Experience with machine learning infrastructure or models.<br/>
Additional Information<br/>
<br/>
All your information will be kept confidential according to EEO guidelines.",https://www.indeed.com/rc/clk?jk=6b045eff8e4ab71d&fccid=f34adc12ba09e47f&vjs=3
Blue Apron,"New York, NY 10013",Machine Learning Engineer ,30+,," 
 WHO'S IN THE KITCHEN
 
 <br/> 
 --------------------
 
 <br/> 
 <br/> 
 
Our Technology team is a collection of over 50 talented engineers, analysts, designers, and product managers who have built our web and e-commerce applications, our mobile (iOS and Android) apps, our proprietary Warehouse Management System, and our data platform (among many other things). Within Engineering, the Data team is responsible for our enterprise data warehouse, business intelligence platform, ETL processes, machine learning models and deployment infrastructure, including demand forecasting, personalization and product recommendations.
 
 <br/> 
 <br/> 
 
WHAT'S ON THE MENU
 
 <br/> 
 ------------------
 
 <br/> 
 <br/> 
 
 
 
Solve high-impact problems contributing to the success of our chefs at home and of the organization as a whole
Research, design and implement new predictive models to assess recipe appeal, solve complex logistical challenges and help customers get more out of their Blue Apron experience
Collaborate with other engineers and internal stakeholders to apply ML solutions to the unique challenges of our business
Research, share, and recommend new technologies and trends
Our stack: Python, SQL, Spark, Tensorflow, Airflow, Kafka, BigQuery
 
 
NECESSARY INGREDIENTS
 
 <br/> 
 ---------------------
 
 <br/> 
 <br/> 
 
 
 
2+ years experience in data science and/or machine learning
Solid understanding of statistical methods and machine learning techniques
Willingness to own ML models from end-to-end from requirements and data collection to production deployment and performance evaluation
A thirst for learning and a passion for putting new technologies, processes and patterns into practice
 
 
Blue Apron provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Blue Apron complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.",https://www.indeed.com/rc/clk?jk=893fdf47f1947ca0&fccid=dc55ba6e7c37067b&vjs=3
