company,location,title,post_date,salary,description,url
UBS,"New York, NY",PPNR Modeler ,30+,," 
  
 Your role
Are you great at aiding in design, building, implementing, and supporting quantitative models? Do find interest in forecasting key Pre-provision Net Revenue components for internal forecasting, capital stress testing and CCAR exercises? If so then you we are looking for you to:<br/>
Conduct econometric and statistical analysis of times seriesDesign quantitative models to forecast revenue for various businesses under different macroeconomic scenariosMaintain a clear documentation trail of approach and processMake sure consistency across models employed for forecasting and stress testingImprove model intelligence by liaising with internal and external resources
Your team
The Enhanced Prudential Standards program is charged with the responsibility to implement changes in the US organization to ensure compliance with the Federal Reserve requirements for the US operations of Foreign Banking organizations (the ""FBO Enhanced Prudential Standards""). This includes designing and implementing processes and tools to enable the UBS's US intermediate holding company to comply with the Comprehensive Capital Analyses and Review requirements (""CCAR"").<br/>
The PPNR Modeling Analyst will aid in the design, enhancement, and implementation of financial risk, valuation and forecast models, tools, and analytics.
Your expertise
You have:<br/>
– Bachelor's Degree in relevant subject area;<br/>
– Computer proficiency required in Excel, R, SAS; experience with Bloomberg, KMV is helpful; will learn numerous applications specific to the department;<br/>
–– Effective writing and oral presentation skills.
Your colleagues
About us
Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world.<br/>
<br/>
We are about 60,000 employees in all major financial centers, in more than 50 countries. Do you want to be one of us?
Join us
We're a truly global, collaborative and friendly group of people. Having a diverse, inclusive and respectful workplace is important to us. And we support your career development, internal mobility and work-life balance. If this sounds interesting, apply now.
Disclaimer / Policy Statements
UBS is an Equal Opportunity Employer. We respect and seek to empower each individual and support the diverse cultures, perspectives, skills and experiences within our workforce.",https://www.indeed.com/rc/clk?jk=7b7491ded9c95304&fccid=1c76c3a36f6c7557&vjs=3
BlackRock,"New York, NY 10055","Junior Data Engineer, Financial Modeling Group (NY) ",5,," 
 About this role
Title: Junior Data Engineer, Financial Modeling Group
Location: New York
Company Description:
BlackRock helps investors build better financial futures. As a fiduciary to our clients, we provide the investment and technology solutions they need when planning for their most important goals. As of March 31, 2019, the firm managed approximately $6.52 trillion in assets on behalf of investors worldwide. For additional information on BlackRock, please visit www.blackrock.com | Twitter: @blackrock | Blog: www.blackrockblog.com | LinkedIn: www.linkedin.com/company/blackrock.
Organization Business
The Financial Modeling Group (FMG) is responsible for the research and development of financial models underpinning the risk management analytics produced at BlackRock. The group also contributes to the infrastructure and software responsible for the production of analytics and the delivery of analytic content to portfolio and risk management professionals both within and outside BlackRock. Given the diversity of business objectives among BlackRock Solutions clients and within BlackRock itself the models developed and supported by the Financial Modeling Group span a wide array of financial products, ranging from equity to fixed income to derivatives. In addition, members of FMG seek to provide analysis and insight on many different levels from analysis of the cash flows of a single bond to the overall financial risk associated with an entire portfolio, enterprise or balance sheet.
Responsibilities
Working with subject matter experts and financial modelers to understand the business requirements and design data workflow to address those requirements.
Implementation and maintenance of data workflow for financial modeling and model performance surveillance
Working with operations team to monitor and debug production data issues
Setting up automated data quality control workflow
Qualifications
Data engineering skills. Experience with cluster computing frameworks such as Apache Spark preferred.
Software engineering skills. Enterprise level Java and Scala experience preferred.
System admin and operations skills. DevOps experience preferred.
Statistical modeling skills and finance knowledge preferred but not required
Experience with cloud computing desired but not required
BlackRock is proud to be an Equal Opportunity and Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, national origin, religion, sex, sexual orientation, gender identity, disability, protected veteran status, and other statuses protected by law.
About BlackRock
BlackRock helps investors build better financial futures. As a fiduciary to investors and a leading provider of financial technology, our clients turn to us for the solutions they need when planning for their most important goals. As of March 31, 2019, the firm managed approximately $6.52 trillion in assets on behalf of investors worldwide. For additional information on BlackRock, please visit @blackrock | Blog: www.linkedin.com/company/blackrock.
BlackRock is proud to be an Equal Opportunity and Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, national origin, religion, sex, sexual orientation, gender identity, disability, protected veteran status, and other statuses protected by law.
BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law.",https://www.indeed.com/rc/clk?jk=c73c6239b9ae6f42&fccid=58c732f14833248a&vjs=3
Morgan Stanley,"New York, NY",Mortgage Prepayment Modeling Strategist/Modeler ,18,," 
 Morgan Stanley Wealth Management Strategists and Modeling group is seeking an AVP level mortgage modeler for our mortgage model development team. The position covers conforming and non-conforming mortgage prepayment and default modeling, interest rate modeling and implementation. Desk Strategists (Strats) support revenue-generating activities and reside within our Wealth Management businesses, covering a wide range of financial products including bank deposits, mortgage lending, retail and margin lending, and investments. We have an opening for a qualified individual to join our fast paced work environment.New team member will collaborate with the banking business on pricing strategies, new product offerings and risk analysis. Strats will be responsible for the creation of product risk and valuation models, as well as on-demand tools to better identify market opportunities.Responsibilities include: •Determine requirements and create valuation and risk management models that feed the Firm’s books and records for the bank’s holdings.•Monitor and analyze the effectiveness of current valuation and risk models, and make enhancements as needed.•Develop and apply analytics using advanced mathematical, statistical, quantitative, or econometric techniques.•Collaborate with portfolio managers to analyze and advise on managing the risk of positions currently on the bank’s balance sheet as well as future growth.•Ensure compliance with regulatory requirements such as CCAR.
 
 <br/> 
 Skills required: 
  •Ph.D. degree in Statistics, Economics, Finance, Data Science, Mathematics, Physics, Engineering or other quantitative/computational field.•Strong hands-on technology skills are a core requirement (e.g., statistical packages such as SAS and R, and/or Python and C++ programming). •Experience with handling large datasets and performing data analytics.•Effective communication & collaboration skills are required.",https://www.indeed.com/rc/clk?jk=6f9aba0129fcbd20&fccid=0c39fb2c91742dcf&vjs=3
Fortress Investment Group LLC,"New York, NY 10019",Predictive Analytics Modeler ,13,," 
 About NewRez
With offices across the country, including our Philadelphia area headquarters, each of our 2,200 employees goes the extra mile to redefine the standard of excellence in the mortgage industry - all while keeping your best interests in mind. This is because we believe the lending business isn't about financial transactions. It's about people.<br/>
With offices across the country, including our Philadelphia area headquarters, each of our 2,200 employees goes the extra mile to redefine the standard of excellence in the mortgage industry - all while keeping your best interests in mind. This is because we believe the lending business isn't about financial transactions. It's about people.
NewRez LLC is a wholly-owned subsidiary of New Residential Investment Corp., a publicly traded residential mortgage REIT that is externally managed by an affiliate of Fortress Investment Group LLC.<br/>

About Fortress
Fortress Investment Group LLC is a leading, highly diversified global investment manager with approximately $39.2 billion of assets under management as of March 31, 2019. Founded in 1998, Fortress manages assets on behalf of over 1,750 institutional clients and private investors worldwide across a range of credit and real estate, private equity and permanent capital investment strategies. Investment performance is our cornerstone - we strive to generate strong risk adjusted returns for our investors over the long term. For additional information on Fortress, please visit www.fortress.com.<br/>

About The Position<br/>
The predictive analytics model developer will combine strong data analysis, quantitative finance, communication and collaborative skills to help build a high-performance retention analytics platform for mortgage loan portfolio management.<br/>

Responsibilities<br/>
Collaborate with a team of seasoned origination business intelligence experts and other senior origination, investment management and modelling personnel to create models for customer marketing and retention and pricing of mortgage assets
Perform exploratory data analysis and collateral surveillance to understand current retention management results, develop strategy, and identify patterns for new retention opportunities
Leverage large data analysis techniques to build models for customer outreach purposes
Analyze large nationwide mortgage data sets to identify lending trends and borrower performance metrics
Backtest, deliver and deploy models and model analytics to business users
Explain model analytics to business users and work with business to improve model capabilities
Qualifications<br/>
2-5 years of experience using Python, R, SQL, AWS to build econometric models
Advanced degree in a quantitative discipline such as financial engineering, math, science, quantitative economics.
Familiarity with U.S. housing market
Knowledge of customer retention modeling techniques
Familiarity with mortgage servicing rights, whole loans, and other consumer loan products
Familiarity with statistical regression techniques and predictive analytics methods
Excellent communication skills and ability to collaborate effectively with a team",https://www.indeed.com/rc/clk?jk=786c2f4493b13439&fccid=e49015e2ea56466f&vjs=3
Capital One - US,"New York, NY 10017",Principal Quantitative Modeler ,6,," 
 NYC 299 Park Avenue (22957), United States of America, New York, New York
 
 <br/> 
 <br/> 
 
At Capital One, we’re building a leading information-based technology company. Still founder-led by Chairman and Chief Executive Officer Richard Fairbank, Capital One is on a mission to help our customers succeed by bringing ingenuity, simplicity, and humanity to banking. We measure our efforts by the success our customers enjoy and the advocacy they exhibit. We are succeeding because they are succeeding.
 
 <br/> 
 <br/> 
 
Guided by our shared values, we thrive in an environment where collaboration and openness are valued. We believe that innovation is powered by perspective and that teamwork and respect for each other lead to superior results. We elevate each other and obsess about doing the right thing. Our associates serve with humility and a deep respect for their responsibility in helping our customers achieve their goals and realize their dreams. Together, we are on a quest to change banking for good.
 
 <br/> 
 <br/> 
 
Principal Quantitative Modeler
 
 <br/> 
 <br/> 
 
Capital One's Commercial Bank contains an approximately $100B (exposure) loan portfolio that has grown by virtue of several acquisitions. It is a Commercial Portfolio of C&I, CRE, Financial Institutions lending, and various other specialty lending. As one of its top initiatives, the bank is updating its suite of statistical loss forecasting models for a series of critical processes, such as CECL, Capital allocation, and Credit decisioning.
 
 <br/> 
 <br/> 
 
 
 Responsibilities and Skills: 
 <br/> 
 
Ownership of methodology development and parametrization of substantial components of Probability of Default, Loss Given Default, and Exposure at Default models in the wholesale portfolio risk suite , under the guidance of a senior manager
 
 <br/> 
 Understand technical issues in statistical modeling, including theoretical assumptions and methodology limitations, data pitfalls, model sensitivities, simulation approaches or scenario analyses for low-default portfolios, and applying these skills toward providing robust solutions to business problems
 
 <br/> 
 Communicate technical subject matter clearly and concisely in long-form writing of the model documentation and in short-form interactions in meetings with experts from various backgrounds, such as partner teams, senior management, model risk officers
 
 <br/> 
 Interface effectively with partner teams and business customers: understand the business needs, identify available data and its quality and governance, prepare analyses and draft materials for discussion of model component options and results, defend the theoretical robustness and practicality of the selected approach and outcome to oversight groups, support the implementation team, and conduct impact estimation
 
 <br/> 
 Identify opportunities to automate parts of model development and contribute to infrastructure, tool, or process improvement to enable efficiencies on the team
 
 <br/> 
 Balance several priorities at a time, for example contribute to re-calibration of one model while staying on top of business-as-usual processes such as annual reviews of model appropriateness, issue remediation, ad-hoc user questions, third party model audits, on another model, keeping their respective timelines in mind
 
 <br/> 
 Work on various ad hoc quantitative, modeling, and programming assignments using R or Python
 
 <br/> 
 <br/> 
 
 
 Basic Qualifications: 
 <br/> 
 
Bachelor’s Degree in Statistics, Econometrics, Mathematics, Financial Engineering, Operations Research, Engineering, Finance, Business, Technology or Physics
 
 <br/> 
 4 years’ experience in statistical or econometric modeling
 
 <br/> 
 <br/> 
 
 
 Preferred Qualifications: 
 <br/> 
 
Master’s Degree. in Financial Engineering, Statistics, Econometrics, Mathematics, Operations Research, or Physics
 
 <br/> 
 2-4 years of credit risk modeling experience for commercial bank, or portfolio risk modeling at an investment firm
 
 <br/> 
 Experience in underwriting, deal structuring, credit analysis, or investment portfolio management would be a plus
 
 <br/> 
 Professional qualifications (CFA, FRM, etc) would be a plus
 
 <br/> 
 <br/> 
 
Capital One will consider sponsoring a new qualified applicant for employment authorization for this position.",https://www.indeed.com/rc/clk?jk=d5d664212145f472&fccid=b85c5070c3d3d8c8&vjs=3
TIAA,"New York, NY",Quantitative Asset Modeler ,2,," 
 Company Overview<br/>

TIAA is a unique financial partner. With an award-winning track record for consistent performance, TIAA is the leading provider of financial services in the academic, research, medical, cultural and government fields. TIAA has $1 trillion in assets under management (as of 9/30/2018) and offers a wide range of financial solutions, including investing, banking, advice and guidance, and retirement services.<br/>

Summary<br/>

The role involves applying machine learning and quantitative modeling knowledge to maintain and enhance existing asset models, ranging from streamlining processes to development and implementation of empirical analysis to optimizing models at the asset and portfolio level.<br/>

Key Responsibilities and Duties<br/>

Support the implementation of the strategy for the modeling of TIAA’s invested assets used in the asset liability projection model that supports actuarial modeling applications
Develop, maintain, and support the exiting asset models, such as: perform regular updates and production of model results as required by business need, implement enhancements to models as directed by Team lead and business leaders
Develop market data adapters for security and reference data for providers like Reuters, Bloomberg, Intex etc., in order to recalibrate models in a timely manner
Integrate third party solutions with in-house systems e.g. GEMS
Coordinate with other internal teams in Actuarial, IT, Risk Management understand requirements and automate systems
Apply econometric techniques to market microstructure data to potentially improve models and provide feedback to the optimization framework.
Qualifications<br/>

Required<br/>

BA/BS degree
Experience and strong with data analysis with one of the following tools is required (R, Python or MATLAB)
Must have 1-3 years minimum of coding skills and statistical modeling techniques<br/>

Desired<br/>

Bachelor's degree majors: Computer Science, Applied Mathematics, data scientist or other technical discipline
Master's in Computer Science or Applied Mathematics
3+ years' experience working with large data sets and building predictive models to model financial assets and GIT
Advanced programming skills highly desired
Insurance industry experience be a plus
While we analyze the data-rich domain of finance, financial experience is not a requirement 
 ",https://www.indeed.com/rc/clk?jk=0b50e196b87d5060&fccid=ee5ba787b9f4e31a&vjs=3
Credit Suisse,"New York, NY 10022",Quantitative Strategies Equity Derivatives Modeler ( ,30+,," 
 Quantitative Strategies Equity Derivatives Modeler (#133124)
United States-NY-New York | Full-time (FT) | Corporate Functions | Job ID 133124
Credit Suisse is a leading global wealth manager with strong investment banking capabilities. Headquartered in Zurich, Switzerland, we have a global reach with operations in about 50 countries and employ more than 45,000 people from over 150 different nations. Embodying entrepreneurial spirit, Credit Suisse delivers holistic financial solutions to our clients, including innovative products and specially tailored advice. Striving for quality and excellence in our work, we recognize and reward extraordinary performance among our employees, provide wide-ranging training and development opportunities, and benefit from a diverse range of perspectives to create value for our clients, shareholders and communities. We are Credit Suisse.
We Offer

Area Overview<br/>

The Quantitative Strategies Group at Credit Suisse is a modeling, analytics and trading risk group, whose mandate is to work as an integrated part of the trading team to develop and deliver: pricing models; risk analytics; trading tools for risk management, hedging, and relative value; management tools and techniques to optimize trading decisions across Global Markets portfolio risks and capital. The group is organized along business divisions and sits with the trading groups. The Quantitative Strategies Group reports to the Chief Risk officer.<br/>
<br/>
Responsibilities<br/>

The Quantitative Strategies group is looking for a modeler to work within the Equity Derivatives (EqD) team. The role will focus on model development and quantitative support for the Equity Derivatives business.<br/>

Credit Suisse maintains a Working Flexibility Policy, subject to the terms as set forth in the Credit Suisse United States Employment Handbook.
You Offer

Qualifications:
Advanced technical degree (Mathematics, Physics, Engineering, Computing, etc.) required.
You have strong quantitative and statistical modelling skills.
Strong C/C++ programming skills and standard Python knowledge desired. F# knowledge is a plus.
Exposure to and deep knowledge of financial and derivatives markets and Equities in particular desired.
You have the ability to work both independently and as part of a team.
You have excellent written and verbal communication and presentation skills.<br/>
Credit Suisse is an equal opportunity employer. Welcoming diversity gives us a competitive advantage in the global marketplace and drives our success. Credit Suisse complies with applicable federal, state, and local laws prohibiting discrimination in employment in every jurisdiction in which it maintains facilities. Subject to applicable law and regulatory requirements, Credit Suisse complies with state and local laws regarding considering for employment qualified individuals with criminal histories.",https://www.indeed.com/rc/clk?jk=8cfa1f0556473056&fccid=e127f4594cdf24f4&vjs=3
KPMG,"New York, NY 10001",Associate ,6,," 
 Innovate. Collaborate. Shine. Lighthouse – KPMG's Center of Excellence for Advanced Analytics – has both applied data science, AI, and big data architecture capabilities. Here, you'll work with a diverse team of sophisticated data and analytics professionals to explore the solutions for clients in a platform-diverse environment. This means your ability to find answers is limited only by your creativity in leveraging a vast array of techniques and tools. Be a part of a high-energy, diverse, fast-paced, and innovative culture that delivers with the agility of a tech startup and the backing of a leading global consulting firm. For you, that translates into the chance to work on a wide range of projects – covering technologies and solutions from AI to optimization – and the power to have a real impact in the business world. So, bring your creativity and pioneering spirit to KPMG Lighthouse.
KPMG is currently seeking an Associate - AI to join our KPMG Lighthouse - Center of Excellence for Advanced Analytics.
Responsibilities:
Work in multi-disciplinary and cross-functional teams to translate business objectives into artificial intelligence approaches and objectives; capture business domains into knowledge bases, taxonomies, and ontologies across areas such as risk management, financial services, mergers and acquisitions, and public policy
Work in a fast-paced and dynamic environment with both virtual and face-to-face interactions; utilize structured approaches to solving problems, managing risks, and documenting assumptions; communicate results and educate others through insightful visualizations, reports and presentations
Build ingestion processes to, prepare, extract, and annotate a rich data variety of unstructured data sources such as social media, news, internal/external documents, images, video, voice, emails, financial data, and operational data
Leverage a variety of tools and approaches to solve complex business objectives, from Statistical Natural Language Processing, Information Retrieval/Extraction, Machine Learning/Deep Learning, Image Processing, Rules Engines, Knowledge Graphs and Semantic Search
Deliver on engagement milestones by following analytics processes to mitigate risks in data, modeling, validation, and delivery; manage assumptions, and risks, and work with others to clear issues
Refactor deploy and validate models; work with clients iteratively to validate performance metrics, and sample output to drive towards a business-first solution; Utilize APIs, platforms, containers, multi-threading, distributed processing to achieve throughput goals
Qualifications:
Minimum of two years of experience working in teams of data &amp; analytics professionals to deliver on business-driven analytics projects; Solid experience across the modeling process from data discovery, cleaning, model selection, validation, and deployment; multidisciplinary backgrounds is preferred
Bachelors, Master's, or PhD degree from an accredited college or university in a quantitative discipline, such as Computer Science, Engineering, or Mathematics, including at least one year of training specific to artificial intelligence
Ability to apply artificial intelligence techniques to achieve concrete business goals; ability to work with the business to understand available resources and constraints around data (sources, integrity, and definitions), processing platforms, and security; Provide assistance, and resolve problems, using solid problem-solving skills, verbal/written communication
Understanding of data preparation, machine learning, deep learning, natural language processing; ability to discuss pros and cons of modeling approaches; Understanding of development practices such as testing, code design, complexity, and code optimization
Fluency in Python; Proficiency in AI related frameworks such as NLTK, Spacy, Scikit-Learn, Tensorflow; and experience with platforms such as Google Cloud, Azure, and AWS; Ability to work with a variety of databases such as SQL, ElasticSearch, Solr and Neo4j
Ability to travel up to eighty percent of the time; Applicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the future
KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-equal opportunity employer. KPMG complies with all applicable federal, state and local laws regarding recruitment and hiring. All qualified applicants are considered for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. No phone calls or agencies please.",https://www.indeed.com/rc/clk?jk=69f7e4639187815c&fccid=2dd390c3a48a7ed0&vjs=3
Bank of America,"New York, NY 10020",Consumer Behavior Modeler I ,6,," 
 Job Description:
The Team:
The importance and visibility of statistical modeling at Bank of America, while always large, is dramatically increasing. As such, the 100-person Consumer Behavior Modeling team has multiple newly opened positions. We are looking to hire excellent statisticians at all stages of their careers.The modeling team offers a compelling combination of professional opportunities. We work on some of the largest, most varied, and most important data in the world. The mathematical sophistication of our models ranges from direct and routine application of standard tools to advanced and even research-level approaches. Our scientific rigor is excellent. We write fully reproducible code and document our work with substantial formal scientific essays. We implement our models and track their performance with advanced multivariate SPC. We get the deepest satisfaction in seeing our models perform as we predicted. We continually train on the latest and most powerful tools.
We work across all products and across all the stages of the customer lifecycle. For example, our models:
Set credit limits for 12% of the country’s credit card debt
Evaluate the return on our hundred million dollar television advertising investment
Correct for the significant selection bias caused by having performance data on approved accounts only
Candidates who have deep skills in applied statistics and communicate with above-average effectiveness are cordially invited to apply.
Job Description:
Responsible for understanding, developing, and extending quantitative models and applications in support of risk, marketing, pricing, and operations.
Key Responsibilities:
Conduct all aspects of consumer behavior model development including problem formulation, stakeholder identification, model design, computer programming, data extraction, model estimation, model validation, model documentation, implementation, and monitoring.
Understand the deeper issues and independently structure problems.
Clearly communicate and champion options and tradeoffs with senior management.
Understand the core tradeoffs and biases in selecting a model development sample, and execute on data preparation by extracting and building datasets from complex data warehouses.
Design randomized experiments to gather data needed to build still better models.
Write efficient computer code using white space, comments, indentation, arrays, control blocks, and modularization.
Have a deep understanding of both classical and modern statistical methods and the ability to apply them in practice
Connect the use of the model with how it should be validated and monitored.
Produce high-quality written model documentation.
Design models that can be implemented given corporate constraints, and influence the development of even better platforms to support future models.
Manage work streams by breaking down complex projects into steps and communicating timelines to stakeholders.
Deliver high performing, fully functioning models.
Collaborate with multiple functional groups including risk strategy, model risk management, legal, compliance, and technology.
Required:
Advanced degree in statistics or related field, such as econometrics, engineering, applied mathematics, the applied sciences, or other heavily quantitative disciplines
Advanced programming skills
Deep expertise in modern statistical methods
Clear and concise oral and written communication
0 – 5 years directly relevant experience
Shift:
1st shift (United States of America)
Hours Per Week:
40",https://www.indeed.com/rc/clk?jk=81810a239b21a6c1&fccid=5bd99dfa21c8a490&vjs=3
Capital One - US,"New York, NY 10017",Senior Quantitative Modeler ,6,," 
 NYC 299 Park Avenue (22957), United States of America, New York, New York
 
 <br/> 
 <br/> 
 
At Capital One, we’re building a leading information-based technology company. Still founder-led by Chairman and Chief Executive Officer Richard Fairbank, Capital One is on a mission to help our customers succeed by bringing ingenuity, simplicity, and humanity to banking. We measure our efforts by the success our customers enjoy and the advocacy they exhibit. We are succeeding because they are succeeding.
 
 <br/> 
 <br/> 
 
Guided by our shared values, we thrive in an environment where collaboration and openness are valued. We believe that innovation is powered by perspective and that teamwork and respect for each other lead to superior results. We elevate each other and obsess about doing the right thing. Our associates serve with humility and a deep respect for their responsibility in helping our customers achieve their goals and realize their dreams. Together, we are on a quest to change banking for good.
 
 <br/> 
 <br/> 
 
Senior Quantitative Modeler -Credit Risk
 
 <br/> 
 <br/> 
 
Capital One's Commercial Bank contains an approximately $60B (exposure) loan portfolio that has grown by virtue of several acquisitions. It is a Commercial Portfolio of C&I, CRE, Construction, and various specialty lending. As one of its top initiatives, the bank is currently building its full suite of Basel-compliant, statistically-based Dual Risk Rating models that produce Probability of Default and Loss Given Default.
 
 <br/> 
 <br/> 
 
 
 Responsibilities: 
 <br/> 
 
 
 
Develop Basel compliant Probability of Default, Loss Given Default and Exposure at Default models for the Commercial Bank.
Work under the guidance of the reporting manager during the model development process
Actively participate in all stages of model development from data collection, model building, model validation, testing and calibration
Support the implementation of models in the Risk Rating platform and connectivity with other loan systems and data marts.
Develop comprehensive model documentation that stands up to Capital One and regulatory standards
Understanding technical issues in econometric and statistical modeling and applying these skills toward solving business problems
Communicating technical subject matter clearly and concisely to individuals from various backgrounds
Develop, maintain and enhance econometric models for various R&amp;D projects, such as macro-economic linkage model and stress testing methodology.
Work on various ad hoc quantitative, modeling, and programming assignments using R, Python, SAS, Matlab, SQL, Access and VBA.
 
 
 
 Basic Qualifications: 
 <br/> 
 
 
 
Master's degree in Statistics, Economics, Mathematics, Financial Engineering, Operations Research, Business, Finance or Physics
At least 1 year of experience with SAS, Matlab, R or Python
 
 
 
 Preferred Qualifications: 
 <br/> 
 
 
 
1-2 years’ experience in econometric/statistical modeling of credit risk within a commercial bank or a risk consulting firm
At least 1 year of experience in econometric or statistical modeling of credit risk
Deep understanding and knowledge of commercial banking business and Basel framework
Experience in underwriting, deal structuring, credit analysis or credit portfolio management
Professional qualifications (CFA, FRM, etc) a plus
Strong verbal and written communication and presentation skills
Strong influencing skills and ability to partner/collaborate across functions
Results driven approach to work
 
 
Capital One will consider sponsoring a new qualified applicant for employment authorization for this position.",https://www.indeed.com/rc/clk?jk=6ff7b3ee6084de59&fccid=b85c5070c3d3d8c8&vjs=3
