company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
Quantitative Systems,"New York, New York, United States",Artifical Intelligence (AI) Research Scientist,2019-07-31,"A PhD in AI, NLP, ML, Optimization, or equivalent experience in related fields. 5+ years of experience programming in C++, Python or Java.",https://www.linkedin.com/jobs/view/artifical-intelligence-ai-research-scientist-at-quantitative-systems-741320053?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Quantitative SystemsNew York, New York, United States 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
 
",Mid-Senior level,Full-time,"Information Technology, Engineering, Finance","Computer Software, Information Technology and Services, Information Services"
Accenture,"San Francisco, CA, US",Accenture Labs - Artificial Intelligence Research Principal,2019-07-27,"Devise new solutions to these challenges by applying deep skills in machine learning, NLP, optimization, and related disciplines. 4+ ...",https://www.linkedin.com/jobs/view/accenture-labs-artificial-intelligence-research-principal-at-accenture-1385131636?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"AccentureSan Francisco, CA, US 
",Not Applicable,Full-time,"Research, Analyst, Information Technology","Information Technology and Services, Computer Software, Management Consulting"
IBM,"Yorktown Heights, NY, US",RSM - AI Hardware Acceleration,2019-07-22,We have an ambitious research agenda and are seeking a Research Staff Member to lead ground-breaking work in the design and ...,https://www.linkedin.com/jobs/view/rsm-ai-hardware-acceleration-at-ibm-1387473347?position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"IBMYorktown Heights, NY, US 
",Mid-Senior level,Full-time,Research,"Information Technology and Services, Computer Software, Financial Services"
Amazon Web Services (AWS),"Seattle, WA, US",Amazon AI- Applied Scientist,2019-07-08,"Our mission is to provide a delightful experience to Amazon’s customers by pushing the envelope in Automatic Speech Recognition (ASR), ...",https://www.linkedin.com/jobs/view/amazon-ai-applied-scientist-at-amazon-web-services-aws-836038445?position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Amazon Web Services (AWS)Seattle, WA, US 
",Not Applicable,Full-time,"Research, Science, Engineering","Computer Software, Information Technology and Services, Internet"
N/A,"Seattle, WA, US",Amazon AI- Applied Scientist with N/A,2019-07-24,You may also want to visit our News & Advice page to stay up to date with other resources that can help you find what you are looking for...,https://www.linkedin.com/jobs/view/amazon-ai-applied-scientist-with-n-a-at-n-a-1391297158?position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"N/ASeattle, WA, US 
",Entry level,Full-time,Other,"Health, Wellness and Fitness, Hospital & Health Care, Hospitality"
Galaxy.AI,"Cambridge, Massachusetts, United States",AI/Computer Vision Scientist ,2019-07-18,"Galaxy.AI is looking for a creative, passionate, self-motivated AI (Artificial Intelligence) scientist with strong background in computer...",https://www.linkedin.com/jobs/view/ai-computer-vision-scientist-at-galaxy-ai-1380727101?position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Galaxy.AICambridge, Massachusetts, United States 
Galaxy.AI is looking for a creative, passionate, self-motivated AI (Artificial Intelligence) scientist with strong background in computer vision, deep learning (DL), statistical machine learning (ML) and image processing. Ideally, the candidate should be an out-of-the-box thinker who likes to produce iterative solutions to problems in a rapid development startup environment, enjoys coding, and thrives on taking up new challenges. Any experience in transitioning deep learning/machine vision technologies from R&D to commercialization and demonstrated ability to scale a product in commercial setting willl be highly valued. 
 
Galaxy.AI creates artificial intelligence technologies to solve important problems for humanity at an industrial scale. We exploit massive proprietary datasets and offer a unique opportunity to build algorithms that move the world. Galaxy.AI is a technology company that creates deep learning algorithms to solve problems in the insurance industry at a global level. We are working with several top property and casualty insurance companies globally and are scaling rapidly. 
 
Ideal candidate has: 
 
Job resposibilities: 
·      Identify, acquire, generate, process and/or prepare relevant datasets 
·      Research, develop and prototype AI/DL/ML algorithms to solve challenging computer vision and multi-modal data fusion tasks 
·      Validate algorithms and/or models in a mathematically disciplined and statistically meaningful manner 
·      Develop clear, commented and understandable code for integration into production systems 
·      Define and document effective domain specific methodologies 
·      Generate and present analysis results and reports tailored to target audience (scientists, software engineers, business strategists, investors, etc.) 
·      Collaborate with fellow scientists and software engineers 
·      Co-author papers for publication in peer-reviewed journals and conferences 
 
Job location: 
",Mid-Senior level,Full-time,Information Technology,Information Technology and Services
The Johns Hopkins University Applied Physics Laboratory,"Laurel, MD, US",Artificial General Intelligence Researcher,2019-01-04,"Benefits: APL offers a comprehensive benefits package including a liberal vacation plan, a matching retirement program, significant ...",https://www.linkedin.com/jobs/view/artificial-general-intelligence-researcher-at-the-johns-hopkins-university-applied-physics-laboratory-1052374108?position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"The Johns Hopkins University Applied Physics LaboratoryLaurel, MD, US 
",Entry level,Full-time,Other,Defense & Space
"Path Robotics, Inc (We're Hiring!)","Columbus, OH, US",Artificial Intelligence Researcher I Deep,2019-07-21,"We are looking for an expert in deep reinforcement learning methods to continue to push past the published state-of-the-art forward, ...",https://www.linkedin.com/jobs/view/artificial-intelligence-researcher-i-deep-at-path-robotics-inc-we-re-hiring%21-1388856706?position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Path Robotics, Inc (We're Hiring!)Columbus, OH, US 
",Associate,Full-time,Other,Information Technology and Services
Ericsson,"Santa Clara, CA, US",Artificial Intelligence Researcher - Santa Clara CA,2019-03-28,"Ericsson Research is looking for highly motivated and talented Artificial Intelligence Researchers to be part of our AI Research team, ...",https://www.linkedin.com/jobs/view/artificial-intelligence-researcher-santa-clara-ca-at-ericsson-1230774192?position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"EricssonSanta Clara, CA, US 
",Not Applicable,Full-time,Other,Telecommunications
Highmark Health,"Pittsburgh, PA, US",Artificial Intelligence (AI) Scientist,2019-07-23,"The incumbent is responsible for creation of written reports, presentation and data visualizations that draws clear lines between the ...",https://www.linkedin.com/jobs/view/artificial-intelligence-ai-scientist-at-highmark-health-1390004406?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Highmark HealthPittsburgh, PA, US 
",Associate,Full-time,Other,Hospital & Health Care
