company,location,title,post_date,description,url,full_desc,seniority_level,employment_type,job_function,industries
Cypress HCM,Greater Omaha Area,Data Scientist,2019-08-01,2+ years of work experience providing analytical insights and business reports to product or business functions. 2+ years of experience ...,https://www.linkedin.com/jobs/view/data-scientist-at-cypress-hcm-1394605292?position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Cypress HCMGreater Omaha Area 
Data Scientist  
  
Responsibilities:  
  
Basic Qualifications:  
  
Preferred Qualifications:  
",Associate,Contract,Engineering,Internet
"TSR Consulting Services, Inc","Lawrenceville, NJ, US",Data Scientist,2019-07-30,One of our most prestigious clients is looking for a Data Scientist. A successful candidate must have strong independent machine learning...,https://www.linkedin.com/jobs/view/data-scientist-at-tsr-consulting-services-inc-1389218817?position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"TSR Consulting Services, IncLawrenceville, NJ, US 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
",Entry level,Full-time,"Engineering, Information Technology","Staffing and Recruiting, Banking, Financial Services"
Sprinklr,"New York City, NY, US",Data Scientist,2019-07-27,"We focus on our mission: We believe social technology is the future of customer-brand relations across all departments, and we seek to ...",https://www.linkedin.com/jobs/view/data-scientist-at-sprinklr-1397602359?position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"SprinklrNew York City, NY, US 
",Entry level,Full-time,"Engineering, Information Technology","Marketing and Advertising, Information Technology and Services, Computer Software"
OM1 S.r.l.,"Boston, MA, US",Data Scientist,2019-07-25,We are seeking a Data Scientist to be part of the team which is responsible for developing and deploying the Artificial Intelligence ...,https://www.linkedin.com/jobs/view/data-scientist-at-om1-s-r-l-1393538740?position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"OM1 S.r.l.Boston, MA, US 
",Entry level,Full-time,"Engineering, Information Technology","Information Technology and Services, Computer Software, Hospital & Health Care"
Momentum Solar,"South Plainfield, NJ, US",Data Scientist,2019-07-27,"Ideal candidates will have at least a year experience in professional or academic environment using Python, SQL, R and JavaScript ...",https://www.linkedin.com/jobs/view/data-scientist-at-momentum-solar-1398409065?position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Momentum SolarSouth Plainfield, NJ, US 
",Entry level,Full-time,"Engineering, Information Technology","Renewables & Environment, Construction, Marketing and Advertising"
Golden State Warriors,"San Francisco, CA, US",Data Scientist,2019-07-27,We are seeking an individual who thrives in an environment that is ever-changing and full of diversity and pride themselves on community!,https://www.linkedin.com/jobs/view/data-scientist-at-golden-state-warriors-1397109634?position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"Golden State WarriorsSan Francisco, CA, US 
",Entry level,Full-time,"Engineering, Information Technology",Sports
NTT DATA Services,"Plano, TX, US",Data Scientist,2019-07-25,Experience with ETL skillsets with exposure using multiple tools. Experience with converting & writing distributed algorithms to process ...,https://www.linkedin.com/jobs/view/data-scientist-at-ntt-data-services-1396206947?position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"NTT DATA ServicesPlano, TX, US 
",Entry level,Full-time,"Engineering, Information Technology","Information Technology and Services, Computer Software, Staffing and Recruiting"
BAMM,"Manhattan, New York, United States",Data Scientist,2019-07-16,"We’re looking for an ambitious data and statistics specialist, with 2-3 years’ experience, who’s eager to apply data science ...",https://www.linkedin.com/jobs/view/data-scientist-at-bamm-1334241544?position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"BAMMManhattan, New York, United States 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
 
In order to be considered for this position please send a copy of your CV/Resume and Cover Letter, along with two professional references to jobs@bammnewyork.com. The deadline to apply is August 16th, 2019. 
 
About BAMM: 
Based in NYC and London, BAMM fuels Brand Momentum by pushing at the boundaries of research – developing new methodologies, speaking with unexpected people, asking surprising questions and incorporating the latest technology into our work. We draw from a deep appreciation of commercial strategy, the latest thinking on marketing and the social sciences. 
 
Your Role: 
BAMM has an opportunity for a Data Scientist to join our growing New York office. We’re looking for an ambitious data and statistics specialist, with 2-3 years’ experience, who’s eager to apply data science approaches to big, strategic insights projects for the world’s leading brands, and for the freedom and support to help us build a robust, innovative, industry-leading data science practice. 
This role offers the opportunity to work across big brands on big strategic questions, and to work with a collaborative, multi-disciplinary team of ethnographers, photojournalists, cultural anthropologists, survey builders, behavioral scientists, and strategists.  
We’re looking for candidates who have the energy and desire to innovate, who want a new set of client challenges to solve, and who are interested in combining data-led techniques with leading edge ethnography and behavioral science. We will provide the space, support and culture to help ensure success. 
 
Your Responsibilities:  
 
Qualified candidates will have: 
 
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. 
",Entry level,Full-time,"Engineering, Information Technology",Research
SpotX,"Broomfield, CO, US",Data Scientist,2019-07-24,"Knowledge and experience: Regression, Random Forests, Support Vector Machines, Bagging, Boosting, Decision Trees, Clustering, ...",https://www.linkedin.com/jobs/view/data-scientist-at-spotx-1393387129?position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"SpotXBroomfield, CO, US 
",Not Applicable,Full-time,"Engineering, Information Technology",Internet
GIACT,"Allen, TX, US",Data Scientist,2019-07-20,We’re seeking an experienced data scientist to deliver that insight to us on a daily basis. Our ideal team member will have the ...,https://www.linkedin.com/jobs/view/data-scientist-at-giact-1382932196?position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click,"GIACTAllen, TX, US 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
Easily apply to this job by creating a LinkedIn profile. This will only take about 3 minutes. 
Sign in to apply for this job with your LinkedIn profile. 
We will use your resume to quickly build your profile and apply to this job. 
",Entry level,Full-time,"Engineering, Information Technology","Information Technology and Services, Computer Software, Financial Services"
